"ASVID","TSP_23_02","TSP_24_02","TSP_25_02","TSP_26_02","TSP_27_02","TSP_28_02","TSP_01_03","TSP_02_03","TSP_03_03","TSP_04_03","TSP_25_05","TSP_26_05","TSP_27_05","TSP_28_05","TSP_29_05","TSP_30_05","TSP_31_05","TSP_01_06","TSP_02_06","TSP_03_06","TSP_24_08","TSP_25_08","TSP_26_08","TSP_27_08","TSP_28_08","TSP_29_08","TSP_30_08","TSP_31_08","TSP_01_09","TSP_02_09","TSP_25_11","TSP_26_11","TSP_27_11","TSP_28_11","TSP_29_11","TSP_30_11","TSP_01_12","TSP_02_12","TSP_03_12","TSP_04_12"
"OTU_1",-2.09186406167839,-1.52846884990043,-0.955511445027436,-2.14006616349627,-0.630626823578611,-0.32668423025505,-1.29198368164865,0.255933374137201,-0.942608040191529,-0.923670839171778,-1.07535542650384,-0.630233355149376,-0.82098055206983,-1.56397553835734,-1.45343366395752,-1.95606252051933,-1.18149994847388,-1.52349548263338,-1.22644566017799,-1.16643488500687,-0.611801541105993,-0.587786664902119,-0.538996500732687,-1.16074406977512,-1.19941698779008,-0.889857474806,-0.909370289029581,-0.815036998168982,-1.02338886743052,-0.749236647210989,-2.23804657185647,-2.26436388017385,-1.26025364022453,-2.32727770558442,-1.75539182505718,-2.11021320034659,-1.76766191764899,-1.64625188555682,-1.95774460670232,-2.55389952127495
"OTU_2",-1.02663878904302,-1.91238745701667,-2.47293045874128,-1.02961941718116,-2.53142666542289,-4.64439089914137,-1.24171313230878,-2.85263142991332,-2.51567830845475,-1.59685913022724,-2.4567357728213,-4.76217393479776,-2.39789527279837,-2.484906649788,-2.03292152604494,-2.2270775404859,-2.89958841300109,-2.89037175789616,-2.55389952127495,-2.34454929209308,-1.88454120267902,-2.56494935746154,-2.89037175789616,-1.91481956198528,-2.14006616349627,-2.05127066471314,-2.76211742237249,-2.1722232751308,-2.15948424935337,-2.52572864430826,-1.595049174982,-1.24521576285998,-2.27726728500976,-1.31824089787487,-1.9339339580086,-2.11021320034659,-1.53623450841081,-1.50407739677627,-1.16857087727502,-1.41226984752315
"OTU_3",-3.3787245258101,-1.7462970951513,-3.78418963391826,-3.12456514539696,-2.69687690050408,-3.94158180766969,-2.25606507735915,-2.85263142991332,-2.16645291866947,-3.83945231259331,-1.54756250871601,-1.03192091416944,-1.90423745265475,-1.31567679390594,-2.53142666542289,-1.59885580310356,-1.18149994847388,-1.19941698779008,-1.22644566017799,-2.51230562397611,-4.59026467227356,-2.32238772029023,-2.53142666542289,-1.83524458116779,-3.42317628838093,-3.23212105161822,-2.00372971994414,-3.34403896782221,-1.93283806748796,-4.38202663467388,-2.10684051586795,-2.13350876295011,-3.02042488614436,-3.36729582998647,-3.83945231259331,-1.85629799036563,-2.26868354131836,-2.7408400239252,-1.95774460670232,-2.91235066461494
"OTU_4",-5.78296932581396,-3.90197266957464,-3.78418963391826,-3.83945231259331,-4.54329478227,-3.22882615572137,-3.62877553004423,-4.69134788222914,-3.54577861047326,-3.42317628838093,-5.87909034754998,-4.76217393479776,-3.97029191355212,-3.51650822817315,-3.83945231259331,-4.01638302075239,-3.61988658262699,-4.54329478227,-3.44468249360189,-4.36944785246702,-3.3787245258101,-3.29583686600433,-3.83945231259331,-3.03495298670727,-3.12456514539696,-4.35670882668959,-4.60517018598809,-3.76120011569356,-3.74950407593037,-4.38202663467388,-5.73854265200089,-3.72569342723665,-3.73766961828337,-2.32727770558442,-2.53142666542289,-3.58351893845611,-2.70805020110221,-2.30258509299405,-2.55389952127495,-1.95774460670232
"OTU_6",-2.65089178726226,-2.95491027903374,-3.06805293513362,-3.42317628838093,-5.9755029298772,-3.94158180766969,-3.62877553004423,-4.69134788222914,-3.24843462710975,-2.89037175789616,-6.05349018727872,-4.76217393479776,-3.25809653802148,-3.51650822817315,-3.12456514539696,-4.71849887129509,-3.32323584019244,-4.54329478227,-4.56434819146784,-3.66356164612965,-3.79548918917219,-6.05067866360209,-4.54329478227,-3.97968165390196,-3.83945231259331,-4.35670882668959,-3.48635519000246,-5.94614381427061,-3.74950407593037,-5.90121155813042,-3.70130197411249,-3.00815479355255,-3.32022831912849,-2.47293045874128,-3.42317628838093,-3.58351893845611,-2.90142159408275,-3.46573590279973,-4.56434819146784,-3.44468249360189
"OTU_11",-6.05195765180182,-2.76211742237249,-6.04851574148923,-3.83945231259331,-4.54329478227,-6.1182479090676,-3.62877553004423,-3.5742165457938,-2.38774290133435,-4.54329478227,-3.61091791264422,-3.3499040872746,-3.25809653802148,-3.51650822817315,-4.54329478227,-4.01638302075239,-3.09104245335832,-4.54329478227,-3.8607297110406,-3.66356164612965,-3.3787245258101,-2.56494935746154,-3.42317628838093,-3.03495298670727,-4.54329478227,-4.35670882668959,-3.18841661738349,-3.76120011569356,-3.74950407593037,-5.99576845879161,-6.00756387105256,-4.43081679884331,-4.44265125649032,-4.48863636973214,-6.07085455929843,-5.95983946447581,-4.55387689160054,-4.58496747867057,-3.14630513203337,-4.56434819146784
"OTU_13",-4.49980967033027,-2.95491027903374,-6.25575119151762,-6.28437625995132,-4.54329478227,-4.64439089914137,-3.3322045101752,-6.34038423143892,-4.66343909411207,-6.27714132751308,-3.08190996979504,-2.76362005225702,-3.25809653802148,-2.484906649788,-3.83945231259331,-4.71849887129509,-2.73622107806891,-2.89037175789616,-2.91235066461494,-3.24519313318557,-6.25020776008958,-4.70953020131233,-4.54329478227,-4.68213122712422,-6.28316565501974,-6.19824741524099,-6.30823823075152,-4.46590811865458,-6.23914402806152,-6.20302779123041,-6.21481775304657,-6.23199789118602,-3.73766961828337,-6.25909155874776,-3.83945231259331,-6.1671158006004,-3.43398720448515,-4.58496747867057,-4.56434819146784,-4.56434819146784
"OTU_10",-3.3787245258101,-3.18841661738349,-3.36729582998647,-3.42317628838093,-6.39188167731683,-6.44005752115967,-4.04305126783455,-4.69134788222914,-3.96081316959758,-6.39175476765551,-3.31418600467253,-3.3499040872746,-3.25809653802148,-2.79320800944252,-4.54329478227,-4.01638302075239,-3.61988658262699,-3.83945231259331,-4.56434819146784,-3.66356164612965,-6.36482674389193,-3.29583686600433,-6.39989504632902,-4.68213122712422,-6.39777787548876,-4.35670882668959,-6.42284545325341,-4.46590811865458,-3.3322045101752,-4.38202663467388,-4.40671924726425,-4.43081679884331,-3.73766961828337,-4.48863636973214,-6.39269351798028,-6.28175285864561,-4.55387689160054,-4.58496747867057,-4.56434819146784,-6.40617027572369
"OTU_5",-6.40463204854424,-4.60517018598809,-3.78418963391826,-3.83945231259331,-6.42270409533876,-4.64439089914137,-6.51542081940897,-6.48580454051853,-6.47955536528226,-3.83945231259331,-6.50062280526777,-6.51869160084033,-6.48297219076283,-3.93182563272433,-3.12456514539696,-6.50681771527379,-6.50867650404791,-6.42938181449693,-4.56434819146784,-6.34903000231234,-6.39565055391436,-4.00733318523247,-3.83945231259331,-3.56482680544396,-4.54329478227,-4.35670882668959,-6.45366632369581,-4.46590811865458,-6.3845897227677,-3.25809653802148,-6.36026994000274,-4.43081679884331,-4.44265125649032,-2.63905732961526,-2.25712271891729,-3.58351893845611,-2.90142159408275,-3.88156379794344,-2.55389952127495,-3.44468249360189
"OTU_9",-3.79548918917219,-6.68323036899934,-6.62858703929298,-3.83945231259331,-6.65009141899515,-6.69824936349712,-6.74277893774638,-6.71317169528794,-4.66343909411207,-2.89037175789616,-3.61091791264422,-6.74604873751302,-6.71034022382969,-6.69411514064161,-3.12456514539696,-3.60186807712431,-6.73603665672865,-3.83945231259331,-4.56434819146784,-6.576442542238,-4.49980967033027,-6.72517711941774,-3.83945231259331,-4.68213122712422,-3.83945231259331,-6.57111855159855,-4.60517018598809,-4.46590811865458,-4.45434729625351,-3.67630067190708,-4.40671924726425,-4.43081679884331,-4.44265125649032,-3.36729582998647,-3.12456514539696,-3.58351893845611,-6.65825437961568,-3.88156379794344,-3.44468249360189,-6.66437461838316
