"ASVID","TSP_23_02","TSP_24_02","TSP_25_02","TSP_26_02","TSP_27_02","TSP_28_02","TSP_01_03","TSP_02_03","TSP_03_03","TSP_04_03","TSP_25_05","TSP_26_05","TSP_27_05","TSP_28_05","TSP_29_05","TSP_30_05","TSP_31_05","TSP_01_06","TSP_02_06","TSP_03_06","TSP_24_08","TSP_25_08","TSP_26_08","TSP_27_08","TSP_28_08","TSP_29_08","TSP_30_08","TSP_31_08","TSP_01_09","TSP_02_09","TSP_25_11","TSP_26_11","TSP_27_11","TSP_28_11","TSP_29_11","TSP_30_11","TSP_01_12","TSP_02_12","TSP_03_12","TSP_04_12"
"OTU_1",10,18,25,10,33,44,25,62,30,27,29,41,33,18,18,14,27,17,22,19,32,40,35,26,22,23,29,27,23,26,8,8,19,8,14,8,14,16,12,7
"OTU_2",24,13,7,25,7,1,26,6,8,16,9,1,9,8,11,11,6,5,7,7,12,8,5,14,10,9,6,9,9,6,14,19,8,19,12,8,17,18,23,19
"OTU_3",3,15,2,4,6,2,11,6,11,2,20,31,14,22,7,19,27,22,22,6,0,10,7,15,3,3,12,3,11,1,9,9,4,3,2,10,9,6,12,5
"OTU_4",0,2,2,2,1,4,3,1,3,3,0,1,2,3,2,2,3,1,3,1,3,4,2,5,4,1,1,2,2,1,0,2,2,8,7,2,6,9,7,12
"OTU_6",6,5,4,3,0,2,3,1,4,5,0,1,4,3,4,1,4,1,1,2,2,0,1,2,2,1,3,0,2,0,2,4,3,7,3,2,5,3,1,3
"OTU_11",0,6,0,2,1,0,3,3,9,1,3,4,4,3,1,2,5,1,2,2,3,8,3,5,1,1,4,2,2,0,0,1,1,1,0,0,1,1,4,1
"OTU_13",1,5,0,0,1,1,4,0,1,0,5,7,4,8,2,1,7,5,5,3,0,1,1,1,0,0,0,1,0,0,0,0,2,0,2,0,3,1,1,1
"OTU_10",3,4,3,3,0,0,2,1,2,0,4,4,4,6,1,2,3,2,1,2,0,4,0,1,0,1,0,1,3,1,1,1,2,1,0,0,1,1,1,0
"OTU_5",0,1,2,2,0,1,0,0,0,2,0,0,0,2,4,0,0,0,1,0,0,2,2,3,1,1,0,1,0,3,0,1,1,6,9,2,5,2,7,3
"OTU_9",2,0,0,2,0,0,0,0,1,5,3,0,0,0,4,3,0,2,1,0,1,0,2,1,2,0,1,1,1,2,1,1,1,3,4,2,0,2,3,0
"OTU_151",2,2,0,1,1,0,4,0,1,0,2,0,1,0,1,0,0,1,0,0,0,1,1,5,4,1,2,0,1,0,0,1,1,1,4,0,1,5,1,3
"OTU_101",1,0,1,0,1,1,2,0,5,3,1,3,0,2,0,3,2,0,1,0,1,2,1,3,2,1,3,0,2,0,0,0,0,0,0,0,0,0,2,0
"OTU_8",1,2,3,1,0,2,1,1,0,2,0,0,0,0,1,1,2,0,0,1,3,0,0,2,3,0,3,1,2,2,0,0,0,2,4,1,0,1,0,1
"OTU_7",0,1,1,0,0,3,3,6,0,0,0,2,3,0,4,1,0,2,0,0,0,0,1,0,3,0,0,2,0,0,2,2,0,1,1,0,0,1,0,2
"OTU_12",3,1,3,1,2,1,1,1,0,1,0,0,1,0,1,3,0,1,1,0,1,0,1,0,1,0,0,1,0,2,3,1,0,0,4,1,0,0,0,2
"OTU_34",1,1,0,0,3,1,2,0,2,0,0,0,0,1,1,1,0,0,2,1,2,1,2,0,1,1,0,2,0,0,1,2,2,0,0,1,2,1,0,0
