"ASVID","TSP_23_02","TSP_24_02","TSP_25_02","TSP_26_02","TSP_27_02","TSP_28_02","TSP_01_03","TSP_02_03","TSP_03_03","TSP_04_03","TSP_25_05","TSP_26_05","TSP_27_05","TSP_28_05","TSP_29_05","TSP_30_05","TSP_31_05","TSP_01_06","TSP_02_06","TSP_03_06","TSP_24_08","TSP_25_08","TSP_26_08","TSP_27_08","TSP_28_08","TSP_29_08","TSP_30_08","TSP_31_08","TSP_01_09","TSP_02_09","TSP_25_11","TSP_26_11","TSP_27_11","TSP_28_11","TSP_29_11","TSP_30_11","TSP_01_12","TSP_02_12","TSP_03_12","TSP_04_12"
"OTU_220",-4.43005669270149,-4.43201478897778,-4.43032567813325,-4.43290937324049,-4.42918519545864,-4.43042812974525,-4.43067141026469,-4.4273371609031,-4.43091463161311,-4.42905697001651,-4.42709306777277,-4.42797922668745,-4.43064580457591,-4.43105541693911,-4.4333946697676,-4.43197643176261,-4.42905697001651,-4.43241106074031,-4.43209149899457,0.693147180559945,-4.42557578544129,-4.42962103901849,-4.43344573991506,-4.43094023041941,-4.43255163556339,0.693147180559945,0,0,-4.42995420302614,-4.42805624688583,-4.42885177510408,-4.43140089691199,-4.43322867377346,-4.43195085946844,-4.42980044881517,-4.4303640987178,-4.43118338640176,-4.43288382479294,-4.42960822280125,-4.43183577605141
"OTU_51",0.693147180559945,0,0.693147180559945,0,0.693147180559945,-3.08669338304416,-3.08693666356359,-3.08360241420201,0,-3.08532222331541,0,0,0,-3.08732067023801,-3.08965992306651,-3.08824168506152,-3.08532222331541,-3.08867631403922,0,-3.08703907976272,0,-3.0858862923174,0,-3.08720548371831,-3.0888168888623,-3.08758938719768,0,0,-3.08621945632504,-3.08432150018473,-3.08511702840299,0,0,-3.08821611276734,-3.08606570211408,0,0,0,-3.08587347610016,0
"OTU_108",-4.02459158459332,0,-4.02486057002508,-4.02744426513232,-4.02372008735048,-4.02496302163709,-4.02520630215653,-4.02187205279494,0,-4.02359186190834,-4.02162795966461,-4.02251411857929,-4.02518069646774,-4.02559030883094,-4.02792956165944,0,-4.02359186190834,-4.02694595263215,-4.0266263908864,-4.02530871835565,-4.02011067733313,-4.02415593091033,-4.02798063180689,-4.02547512231124,0,0,-4.02539832392637,0,0,-4.02259113877766,0,0,-4.0277635656653,-4.02648575136027,-4.02433534070701,-4.02489899060963,-4.0257182782936,-4.02741871668478,-4.02414311469309,-4.02637066794325
"OTU_293",0,-4.43201478897778,-4.43032567813325,-4.43290937324049,-4.42918519545864,-4.43042812974525,-4.43067141026469,-4.4273371609031,-4.43091463161311,-4.42905697001651,0,-4.42797922668745,-4.43064580457591,-4.43105541693911,-4.4333946697676,-4.43197643176261,-4.42905697001651,-4.43241106074031,-4.43209149899457,-4.43077382646382,-4.42557578544129,-4.42962103901849,-4.43344573991506,0,-4.43255163556339,-4.43132413389878,-4.43086343203454,-4.43196364569727,-4.42995420302614,0,-4.42885177510408,-4.43140089691199,-4.43322867377346,-4.43195085946844,-4.42980044881517,-4.4303640987178,0,-4.43288382479294,0,-4.43183577605141
"OTU_406",-5.12320387326143,-5.12516196953773,-5.12347285869319,-5.12605655380043,-5.12233237601859,-5.1235753103052,-5.12381859082464,-5.12048434146305,-5.12406181217306,-5.12220415057645,-5.12024024833272,-5.1211264072474,-5.12379298513585,-5.12420259749905,-5.12654185032755,-5.12512361232256,-5.12220415057645,-5.12555824130026,-5.12523867955451,-5.12392100702376,-5.11872296600123,-5.12276821957844,-5.126592920475,-5.12408741097935,-5.12569881612334,-5.12447131445872,-5.12401061259448,0,0,-5.12120342744577,-5.12199895566402,-5.12454807747194,-5.12637585433341,-5.12509804002838,-5.12294762937512,0,-5.12433056696171,-5.12603100535289,-5.1227554033612,-5.12498295661136
"OTU_42",-3.2773771827631,0,-3.27764616819486,-3.2802298633021,-3.27650568552026,-3.27774861980687,-3.2779919003263,-3.27465765096472,-3.27823512167473,-3.27637746007812,-3.27441355783438,-3.27529971674907,-3.27796629463752,-3.27837590700072,-3.28071515982922,-3.27929692182423,0,0.693147180559945,-3.27941198905618,-3.27809431652543,-3.2728962755029,0,0,-3.27826072048102,0.693147180559945,-3.27864462396039,0,0,-3.27727469308775,-3.27537673694744,-3.27617226516569,-3.27872138697361,-3.28054916383508,0,0.693147180559945,-3.27768458877941,-3.27850387646338,0.693147180559945,1.09861228866811,0
"OTU_752",0,-5.12516196953773,-5.12347285869319,0,-5.12233237601859,-5.1235753103052,-5.12381859082464,-5.12048434146305,-5.12406181217306,-5.12220415057645,-5.12024024833272,-5.1211264072474,-5.12379298513585,-5.12420259749905,-5.12654185032755,-5.12512361232256,-5.12220415057645,-5.12555824130026,-5.12523867955451,-5.12392100702376,-5.11872296600123,-5.12276821957844,-5.126592920475,-5.12408741097935,-5.12569881612334,-5.12447131445872,-5.12401061259448,-5.12511082625721,-5.12310138358608,-5.12120342744577,-5.12199895566402,-5.12454807747194,-5.12637585433341,-5.12509804002838,-5.12294762937512,-5.12351127927774,-5.12433056696171,-5.12603100535289,0,-5.12498295661136
"OTU_207",-4.61237824949544,-4.61433634577173,-4.6126472349272,0,-4.61150675225259,-4.61274968653921,-4.61299296705864,-4.60965871769706,-4.61323618840707,-4.61137852681046,-4.60941462456672,-4.61030078348141,-4.61296736136986,-4.61337697373306,0,-4.61429798855657,-4.61137852681046,-4.61473261753427,-4.61441305578852,-4.61309538325777,0,-4.61194259581245,-4.61576729670901,-4.61326178721336,-4.61487319235735,-4.61364569069273,-4.61318498882849,-4.61428520249122,-4.61227575982009,-4.61037780367978,-4.61117333189803,-4.61372245370595,-4.61555023056742,0,-4.61212200560913,-4.61268565551175,-4.61350494319572,-4.6152053815869,-4.61192977959521,0
"OTU_499",-5.12320387326143,0,-5.12347285869319,-5.12605655380043,-5.12233237601859,-5.1235753103052,-5.12381859082464,-5.12048434146305,-5.12406181217306,-5.12220415057645,-5.12024024833272,-5.1211264072474,-5.12379298513585,-5.12420259749905,0,-5.12512361232256,-5.12220415057645,-5.12555824130026,-5.12523867955451,-5.12392100702376,0,-5.12276821957844,-5.126592920475,-5.12408741097935,-5.12569881612334,-5.12447131445872,-5.12401061259448,-5.12511082625721,-5.12310138358608,-5.12120342744577,-5.12199895566402,-5.12454807747194,-5.12637585433341,-5.12509804002838,-5.12294762937512,-5.12351127927774,-5.12433056696171,-5.12603100535289,-5.1227554033612,-5.12498295661136
"OTU_808",-6.22181616192954,-6.22377425820584,-6.2220851473613,-6.22466884246854,-6.2209446646867,-6.22218759897331,-6.22243087949274,-6.21909663013116,-6.22267410084117,-6.22081643924456,-6.21885253700083,-6.21973869591551,-6.22240527380396,-6.22281488616716,-6.22515413899566,-6.22373590099067,-6.22081643924456,-6.22417052996837,-6.22385096822262,-6.22253329569187,-6.21733525466934,-6.22138050824655,-6.22520520914311,-6.22269969964746,-6.22431110479145,-6.22308360312683,-6.22262290126259,-6.22372311492532,-6.22171367225419,-6.21981571611388,0,-6.22316036614005,-6.22498814300152,-6.22371032869649,-6.22155991804323,-6.22212356794585,-6.22294285562982,-6.224643294021,-6.22136769202931,-6.22359524527947
