"SampleID","Day","Season","Temperature","Rainfall.daily","Wind.speed","Global.Solar.Radiation","Humidity","PM10","PM2.5","fluoride.conc","chloride.conc","nitrate.conc","sulphate.conc","Na","ammonium","K","Mg","Ca"
"TSP_23_02",0,4,5.4,0.43,0.79,21.92,98.29,27.67,"36",0.32,0.33,6.15,1.35,0.64,2.85,0.43,0.26,1.25
"TSP_24_02",1,4,5.53,0,1.22,60.67,92.21,32.67,"36",0,0.76,8.12,1.48,0.37,3.72,0.26,0.12,3.05
"TSP_25_02",2,4,7.11,0,0.93,108.71,87.25,62,"36",0.03,0.55,13.66,1.6,0.4,4.81,0.34,0.19,5.14
"TSP_26_02",3,4,9.64,1.06,1.61,83.42,85.13,79.33,"64",0.09,0.59,14.89,1.59,0.46,6.66,0.29,0.17,3.28
"TSP_27_02",4,4,7.85,0,2.33,102.96,65.42,32,"21",0.09,0.26,3,0.64,0.4,1.18,0.13,0.16,4.02
"TSP_28_02",5,4,9.95,0.03,1.49,80.08,59.42,22,"11",0.02,0.55,3.69,0.58,0.36,2.7,0.38,0.1,1.37
"TSP_01_03",6,4,5.4,0.06,1.69,55.63,93.67,20,"16",0.12,0.73,4.93,0.97,0.3,0.99,0.05,0.07,1.35
"TSP_02_03",7,4,8.24,0,1.68,126.46,83.58,43.67,"31",0.03,1.27,14.02,2.5,0.48,5.14,0.46,0.14,2.87
"TSP_03_03",8,4,9.42,0,1.16,120.83,72.33,56.33,"37",0.04,0.59,21.11,1.87,0.58,5,0.45,0.28,3.52
"TSP_04_03",9,4,7.11,0.7,2.25,23.83,94.13,74.67,"55",1.63,0.65,24.74,1.98,0.34,5.45,0.21,0.56,0.75
"TSP_25_05",91,1,21.61,0,2.29,313.67,51.25,28.33,"15",0.1,0,0.9,3.78,0.39,2.12,0.08,0.17,3.3
"TSP_26_05",92,1,20.95,0,2.88,276.75,53.92,32,"13",0.03,0.46,14.4,3.65,1.36,1.62,0.22,0.29,2.02
"TSP_27_05",93,1,20.13,0.13,2.45,207.29,56.83,27.67,"13",0.07,0,15.95,3.24,0.66,1.65,0.22,0.12,1.22
"TSP_28_05",94,1,16.65,0.07,0.98,182.75,79.58,22.5,"9",0,0,6.16,2.16,0.35,3.04,0.12,0.13,2.72
"TSP_29_05",95,1,18.65,0,1.09,164.29,73.54,35,"21",0,0,17.3,1.5,0.34,2.59,0.14,0.11,1.28
"TSP_30_05",96,1,19.3,0.02,1.38,183,77,37.33,"23",0.1,0,24.71,4.49,0.43,7.72,0.21,0.01,0.96
"TSP_31_05",97,1,20.67,0,2.81,291.54,56.79,31.67,"27",0.16,0.25,1.86,2.12,0.47,0.98,0.13,0.16,2.89
"TSP_01_06",98,1,20.62,0,2.89,335.17,32.46,13,"5",0.07,0.06,1.66,0.54,0.35,0.15,0.11,0.14,2.42
"TSP_02_06",99,1,21.45,0,2.38,296,38.63,18.33,"9",0.1,0,4.51,0.51,0.27,0.09,0.21,0.18,1.86
"TSP_03_06",100,1,22.13,0,3.64,309.38,41.46,10,"3",0,0.33,2.83,0.92,0.32,1.1,0.14,0.18,2.97
"TSP_24_08",182,2,24.69,0,1.84,193.92,70.33,29,"15",0,0.03,1.01,3.69,0.32,1.9,0.17,0.13,1.74
"TSP_25_08",183,2,22.96,0.06,1.79,197.54,84.13,26,"14",0.02,0.38,1.78,3.8,0.64,1.94,0.13,0.17,1.98
"TSP_26_08",184,2,23.29,0,1.28,248.08,77.38,27.33,"10",0.07,0.05,1.53,3.54,0.55,1.62,0.17,0.17,2.48
"TSP_27_08",185,2,25.31,0,1.76,206.92,68.71,30.67,"16",0.12,0.16,2.2,4.44,0.79,2.44,0.18,0.2,2.21
"TSP_28_08",186,2,23.48,0,2.18,161.42,79.54,29.5,"11",0.06,0.1,1.74,4.04,1.14,1.36,0.15,0.27,2.57
"TSP_29_08",187,2,23.28,0,3.51,259.5,51.04,20,"7",0,0.84,0.62,0.53,0.77,0,0.11,0.27,2.59
"TSP_30_08",188,2,19.09,0,1.36,197.38,57.92,9.67,"2",0.04,0.25,1,0.61,0.62,0.11,0.11,0.16,2.11
"TSP_31_08",189,2,19.85,0,4.85,261.67,34.42,15.33,"7",0,0.37,0.4,0.29,0.29,0,0.07,0.12,2.92
"TSP_01_09",190,2,18.17,0,2.5,255.67,39.38,17,"4",0,0.13,0.56,0.44,0.27,0,0.05,0.13,2.31
"TSP_02_09",191,2,18.03,0,1.2,236.54,53.75,17.33,"10",0.04,0.1,1.97,0.75,0.38,0.6,0.19,0.13,3.39
"TSP_25_11",275,3,4.28,0,1.13,73.33,82.63,45.67,"23",0,0.72,4.36,1.23,0.35,1.67,0.63,0.12,3.59
"TSP_26_11",276,3,3.91,0.63,1.62,46.42,83.67,55.5,"42",0.03,0.43,8.01,1.49,0.35,2.8,0.27,0.12,3.31
"TSP_27_11",277,3,0.9,0.28,1.58,35.13,73.25,24.67,"16",0,0.8,2.03,0.77,0.53,0.42,0.53,0.15,2.11
"TSP_28_11",278,3,2.28,0.38,1.53,20.96,86.46,28,"15",0.03,0.75,42.23,1.03,1.96,2.47,0,0,0
"TSP_29_11",279,3,2.41,0.21,2.01,29.38,99.38,26,"18",0.1,0.54,5.9,1.6,0.26,1.48,0.41,0.06,0.56
"TSP_30_11",280,3,2.39,0,1.2,59.83,81.17,52,"25",0.13,3.7,16.45,2.27,3.03,2.67,0.68,0.4,4.9
"TSP_01_12",281,3,2.58,0.53,1.43,17.54,85.92,42.67,"20",0.12,1.55,4.38,0.91,1.34,1.49,0.28,0.12,1.96
"TSP_02_12",282,3,0.33,0.32,0.7,11.88,100,20.33,"11",0.09,0.62,2.64,1.6,0.35,0.13,0.22,0.07,0.68
"TSP_03_12",283,3,1.8,0.03,1.45,11.29,99.96,44.5,"28",0.09,0.93,6.57,3.04,0.48,4.89,0.34,0.1,1.01
"TSP_04_12",284,3,2.45,0.05,1.12,31.63,96.13,45.5,"22",0.09,0.67,7.67,1.63,0.53,4.25,0.32,0.09,1.25
