"ASVID","DonorA_Stool2","DonorA_Stool4","DonorA_Stool5","DonorA_Stool6","DonorA_Stool7","DonorA_Stool8","DonorA_Stool9","DonorA_Stool10","DonorA_Stool12","DonorA_Stool13","DonorA_Stool14","DonorA_Stool15","DonorA_Stool16","DonorA_Stool17","DonorA_Stool18","DonorA_Stool19","DonorA_Stool20","DonorA_Stool21","DonorA_Stool22","DonorA_Stool23","DonorA_Stool24","DonorA_Stool25","DonorA_Stool26","DonorA_Stool27","DonorA_Stool28","DonorA_Stool29","DonorA_Stool30","DonorA_Stool32","DonorA_Stool33","DonorA_Stool34","DonorA_Stool36","DonorA_Stool37","DonorA_Stool38","DonorA_Stool39","DonorA_Stool40","DonorA_Stool41","DonorA_Stool42","DonorA_Stool43","DonorA_Stool44","DonorA_Stool45","DonorA_Stool46","DonorA_Stool47","DonorA_Stool49","DonorA_Stool50","DonorA_Stool51","DonorA_Stool52","DonorA_Stool53","DonorA_Stool54","DonorA_Stool55","DonorA_Stool56","DonorA_Stool57","DonorA_Stool58","DonorA_Stool59","DonorA_Stool60","DonorA_Stool61","DonorA_Stool64","DonorA_Stool65","DonorA_Stool66","DonorA_Stool67","DonorA_Stool68","DonorA_Stool70"
"OTU_2",7.52779398772144,7.68982866873648,7.60339933974067,6.94601399109923,7.77737360265786,7.43955930913332,7.55799495853081,7.59085212368858,7.38832785957711,7.56631101477246,7.39572160860205,7.64539769942863,7.28619171470238,7.38647084882989,7.39449310721904,7.15461535691366,7.6434829070772,7.40610338123702,7.32118855673948,7.62119516280984,7.35115822643069,7.58273848891441,8.04109100370863,7.52131798019924,7.90100705199242,6.93147180559945,6.94601399109923,7.59387784460512,7.65917136766606,7.59739632021279,7.27239839257005,7.24850407237061,7.51588908521513,6.94408720822953,7.24565506759454,7.39694860262101,6.98378996525813,7.5422134631934,7.64587582518481,7.57198844937744,7.58984151218266,7.51425465281641,7.58781721999343,7.56475701290573,7.69893619981345,7.72577144158795,7.59689443814454,7.58933582317062,7.27239839257005,7.21229446850034,7.74500280351584,7.3178761986265,7.24351297466548,7.49387388678356,7.47079377419506,7.5522372875608,7.32843735289516,7.14282740116162,7.50823877467866,7.31121838441963,7.48773376143644
"OTU_1",7.35308192051543,7.63578686139558,7.39018142822643,7.98820359702258,6.84800527457636,7.14440718032114,6.89162589705225,7.38336814699238,7.3375877435386,6.78558764500793,7.53636393840451,7.22983877815125,7.46049030582534,7.15617663748062,7.16780918431644,6.41673228251233,7.10414409298753,7.53208814354172,7.54486106865846,7.11639414409346,6.84161547647759,7.20191631753163,4.0943445622221,7.42773884053289,6.19236248947487,7.47420480649612,7.42356844425917,7.10987946307227,7.15226885603254,7.26192709270275,7.62217459481762,7.41878088275079,7.53047999524554,7.85321638815607,7.29505641646263,6.92657703322272,6.5191472879404,7.12447826249342,6.26149168432104,7.38832785957711,6.96224346426621,6.13988455222626,7.35115822643069,7.30451594646016,7.03085747611612,7.13568734702814,6.86797440897029,7.24279792279376,6.68710860786651,6.98378996525813,6.62273632394984,7.27447955877387,6.56103066589657,7.38770923908104,7.02464903045364,7.1785454837637,6.97634807044775,6.36475075685191,7.38461038317697,7.60887062919126,7.53369370984863
"OTU_3",6.38350663488401,6.76388490856244,6.61606518513282,6.38687931936265,6.4085287910595,6.72503364216684,6.78897174299217,6.92559519711047,6.79682371827486,6.53087762772588,6.09582456243222,6.57088296233958,6.55819780281227,6.10702288774225,6.88959130835447,6.96696713861398,7.09090982207998,5.8171111599632,6.68085467879022,6.25575004175337,6.05443934626937,6.28226674689601,5.96100533962327,5.8664680569333,5.47646355193151,5.91620206260743,6.59167373200866,6.69703424766648,6.29526600143965,5.97380961186926,7.17242457712485,6.47389069635227,6.35610766069589,6.29526600143965,7.27031288607902,7.28069719538474,7.25629723969068,7.0335064842877,6.61740297797448,6.91373735065968,7.26612877955645,6.79570577517351,6.51471269087253,6.23048144757848,6.40191719672719,6.66440902035041,5.74300318780948,6.72383244082121,5.52146091786225,5.56452040732269,6.2803958389602,6.53524127101366,6.72623340235875,6.63463335786169,6.97354301952014,6.02344759296103,6.61338421837956,4.8283137373023,6.22851100359118,6.51619307604296,5.47646355193151
"OTU_9",6.07304453410041,5.70044357339069,6.0282785202307,5.35185813347607,6.64509096950564,6.65672652417839,6.96224346426621,6.56244409369372,5.54126354515843,6.73696695800186,6.08221891037645,6.4150969591716,5.87211778947542,6.04263283368238,6.2803958389602,7.37462901521894,6.58340922215876,5.72031177660741,6.65027904858742,5.74300318780948,6.28599809450886,5.14166355650266,6.89162589705225,5.5683445037611,6.22455842927536,6.3578422665081,7.19893124068817,6.0282785202307,6.53378883793334,6.19236248947487,5.48479693349065,5.97380961186926,6.74405918631135,6.32793678372919,6.35262939631957,6.42162226780652,6.85540879860993,5.89164421182577,6.77992190747225,6.34035930372775,6.76503897678054,6.93049476595163,6.37672694789863,6.6052979209482,6.86901445066571,6.33327962813969,6.06842558824411,6.23048144757848,6.98378996525813,6.81124437860129,6.21660610108486,6.24027584517077,6.2841341610708,5.62762111369064,5.37063802812766,5.74620319054015,5.76205138278018,6.1779441140506,6.25958146406492,5.39816270151775,6.2803958389602
"OTU_8",5.76519110278484,3.95124371858143,4.75359019110636,5.11198778835654,6.68959926917897,6.35088571671474,6.17586727010576,5.90536184805457,5.25749537202778,6.12249280951439,5.88332238848828,5.67675380226828,5.31320597904179,6.56667242980324,5.0998664278242,5.08140436498446,5.45958551414416,6.33682573114644,5.82304589548302,6.79234442747081,6.49677499018586,6.4831073514572,6.38350663488401,5.47646355193151,6.15060276844628,7.58069975222456,6.51767127291227,6.88141130364254,6.3818160174061,5.74939298590825,5.27299955856375,6.16751649088834,5.94017125272043,5.23110861685459,5.71373280550937,4.93447393313069,5.605802066296,6.23441072571837,7.43838353004431,6.55677835615804,6.5191472879404,7.43366654016617,5.48063892334199,4.61512051684126,4.87519732320115,5.89715386763674,7.13329595489607,5.31320597904179,5.85220247977447,6.35437004079735,6.66568371778241,6.30991827822652,6.34388043412633,5.80814248998044,5.12396397940326,6.69332366826995,6.72383244082121,6.77764659363512,6.60665018619822,5.82304589548302,6.33682573114644
"OTU_5",6.33859407820318,6.20657592672493,6.0591231955818,6.70686233660275,5.78074351579233,6.43454651878745,5.12989871492307,6.51471269087253,6.96979066990159,6.24610676548156,6.27664348934164,6.29156913955832,6.70808408385307,6.2709884318583,6.17378610390194,4.11087386417331,6.38350663488401,5.71373280550937,5.15905529921453,5.92958914338989,6.80793494369993,6.58479139238572,1.63195523851397,6.50428817353665,5.53338948872752,5.6021188208797,4.83628190695148,5.70044357339069,5.77144112313002,6.82219739062049,6.00388706710654,6.3919171133926,5.605802066296,6.30991827822652,6.83087423464618,6.52649485957079,6.06610809010375,6.59441345974978,3.04452243772342,4.80402104473326,3.46573590279973,4.20469261939097,6.17170059741091,6.77878489768518,6.41345895716736,5.37989735354046,4.23410650459726,6.81783057145415,6.32076829425058,5.57594910314632,5.4510384535657,6.62804137617953,5.84354441703136,6.35610766069589,7.02286808608264,6.3578422665081,6.11368217983223,5.92425579741453,6.4707995037826,6.68336094576627,6.97728134163075
"OTU_6",5.88887795833288,5.62401750618734,6.26720054854136,6.68710860786651,5.52545293913178,5.71702770140622,5.39816270151775,6.42486902390539,6.4281052726846,5.85793315448346,6.71901315438526,6.30078579466324,6.18620862390049,6.86693328446188,6.44413125670044,5.30826769740121,5.95324333428778,7.14519613499717,6.22059017009974,6.40357419793482,6.45204895443723,6.22455842927536,2.07944154167984,5.92425579741453,4.88280192258637,6.25766758788264,5.14749447681345,6.71780469502369,6.1527326947041,6.33150184989369,6.54391184556479,5.73334127689775,5.8348107370626,6.77422388635761,6.59850902861452,5.8171111599632,5.10594547390058,6.0137151560428,4.36944785246702,6.19440539110467,5.0998664278242,4.91265488573605,5.64190707093811,5.12989871492307,5.38449506278909,5.19849703126583,4.85981240436167,6.31896811374643,6.21260609575152,5.16478597392351,5.55295958492162,6.44888939414686,5.34710753071747,5.77144112313002,5.89989735358249,6.38856140554563,6.63463335786169,5.12396397940326,6.35262939631957,6.30627528694802,6.84800527457636
"OTU_15",6.16331480403464,5.87211778947542,6.33327962813969,5.99396142730657,5.73657229747919,5.96357934361845,6.37161184723186,6.07764224334903,5.93224518744801,6.22257626807137,5.68357976733868,5.54517744447956,5.89715386763674,6.19440539110467,6.69456205852109,6.2709884318583,6.17586727010576,5.65248918026865,6.04973345523196,6.08904487544685,5.99146454710798,6.25575004175337,6.50578406012823,6.46769872610435,6.43294009273918,5.39362754635236,6.20859002609663,6.18826412308259,6.16961073249146,5.88887795833288,6.07993319509559,5.58724865840025,4.99721227376411,5.19849703126583,5.44241771052179,6.40191719672719,6.60394382460047,6.32076829425058,5.72031177660741,5.91350300563827,6.18826412308259,5.72031177660741,6.17378610390194,5.86078622346587,6.11809719804135,6.15909538849193,5.96357934361845,5.95064255258773,6.10031895202006,6.11589212548303,6.46458830368996,5.95324333428778,6.21060007702465,6.4281052726846,6.51471269087253,5.57972982598622,6.27664348934164,6.73933662735717,5.53733426701854,6.05443934626937,4.98360662170834
"OTU_13",5.36129216570943,5.50125821054473,5.12396397940326,4.18965474202643,5.51745289646471,5.26269018890489,5.37527840768417,4.31748811353631,4.92725368515721,5.42934562895444,5.12989871492307,5.31811999384422,5.24174701505964,5.6970934865054,5.44673737166631,5.66642668811243,5.17048399503815,5.65948221575962,5.98645200528444,5.24702407216049,5.62040086571715,5.6937321388027,5.99645208861902,5.97380961186926,7.02108396428914,5.85220247977447,5.57594910314632,6.04737217904628,5.91889385427315,6.40522845803084,5.63121178182137,5.17048399503815,5.97380961186926,5.91620206260743,5.96100533962327,6.42162226780652,5.66296048013595,4.71849887129509,5.26269018890489,5.89715386763674,6.31354804627709,6.33327962813969,5.91620206260743,5.8664680569333,5.87211778947542,6.06610809010375,6.13122648948314,5.85793315448346,6.61069604471776,6.20050917404269,6.22851100359118,5.84643877505772,6.361302477573,5.89715386763674,5.41610040220442,6.06145691892802,6.21460809842219,6.79570577517351,5.96100533962327,4.29045944114839,5.0998664278242
"OTU_20",5.53733426701854,5.01063529409626,4.98360662170834,3.78418963391826,5.4510384535657,5.34233425196481,5.26269018890489,4.51085950651685,3.91202300542815,5.75257263882563,5.32787616878958,4.26267987704132,4.87519732320115,4.70048036579242,4.92725368515721,5.12989871492307,4.53259949315326,4.74493212836325,5.8636311755981,5.76205138278018,4.97673374242057,5.58724865840025,6.45833828334479,5.26269018890489,5.53338948872752,4.4188406077966,5.59098698051086,4.89034912822175,5.18738580584075,4.52178857704904,4.99721227376411,6.16120732169508,6.15060276844628,5.50533153593236,4.56434819146784,5.11799381241676,6.00635315960173,6.04263283368238,6.11146733950268,5.18738580584075,5.27299955856375,6.12468339089421,6.31896811374643,5.4249500174814,5.94803498918065,6.19236248947487,5.44241771052179,4.59511985013459,5.54517744447956,6.39024066706535,5.25749537202778,4.33073334028633,5.08759633523238,4.55387689160054,4.92725368515721,4.85203026391962,5.12989871492307,5.24174701505964,4.53259949315326,4.46590811865458,5.50938833662798
