"ASVID","DonorA_Stool2","DonorA_Stool4","DonorA_Stool5","DonorA_Stool6","DonorA_Stool7","DonorA_Stool8","DonorA_Stool9","DonorA_Stool10","DonorA_Stool12","DonorA_Stool13","DonorA_Stool14","DonorA_Stool15","DonorA_Stool16","DonorA_Stool17","DonorA_Stool18","DonorA_Stool19","DonorA_Stool20","DonorA_Stool21","DonorA_Stool22","DonorA_Stool23","DonorA_Stool24","DonorA_Stool25","DonorA_Stool26","DonorA_Stool27","DonorA_Stool28","DonorA_Stool29","DonorA_Stool30","DonorA_Stool32","DonorA_Stool33","DonorA_Stool34","DonorA_Stool36","DonorA_Stool37","DonorA_Stool38","DonorA_Stool39","DonorA_Stool40","DonorA_Stool41","DonorA_Stool42","DonorA_Stool43","DonorA_Stool44","DonorA_Stool45","DonorA_Stool46","DonorA_Stool47","DonorA_Stool49","DonorA_Stool50","DonorA_Stool51","DonorA_Stool52","DonorA_Stool53","DonorA_Stool54","DonorA_Stool55","DonorA_Stool56","DonorA_Stool57","DonorA_Stool58","DonorA_Stool59","DonorA_Stool60","DonorA_Stool61","DonorA_Stool64","DonorA_Stool65","DonorA_Stool66","DonorA_Stool67","DonorA_Stool68","DonorA_Stool70"
"OTU_3632",-10.342411304222,-10.2350205813263,-10.1602899159492,-10.0848319824126,-10.1182186074252,-10.2152717708161,-10.2719571036058,-10.2181991025005,-10.1701954363272,-10.1818393172924,-10.163679190652,-10.1807033022379,-10.2240730032078,-10.0641875487786,-10.1546204193983,-10.3128009826132,-10.2732190117791,-10.1036657531274,-10.1736505838855,-10.0548792797071,-10.1206920791322,-10.373553472991,-10.2659691499753,-10.2179635811221,-10.1975034579673,-10.0975363636829,-10.2278080072207,-10.1238276920339,-10.152690089726,-10.1662471300299,-10.224992045564,-10.2665935254528,-10.2471325868157,-10.185762941559,-10.1010142769888,-10.2744057410323,-10.2422341314358,-10.2402951782823,-10.2360543075931,-10.1983125830706,-10.271467318966,-10.3235255180587,-10.3079482797822,-10.2935769024149,-10.1822333830576,-10.2846112735171,-10.2085345027708,-1.37162433294923,-10.15463705579,-10.1105802991784,-10.2460634469109,-10.2607410610895,-10.0731321294493,-10.1947046990742,-10.1822856292016,-10.2086496067022,-10.1801720953863,-10.2770945497385,-10.1572428247766,-10.1218465979595,-10.078207565395
"OTU_2212",-8.73297339178795,-8.62558266889221,-8.55085200351514,-8.47539406997854,-8.50878069499105,-8.60583385838197,-8.66251919117169,-8.60876119006643,-8.56075752389306,-8.57240140485828,-8.55424127821793,-8.57126538980385,-8.61463509077366,-8.45474963634453,-1.44454089887849,-1.60275897568289,-8.66378109934505,-8.49422784069333,-1.46365275747526,-8.44544136727303,-8.51125416669809,-8.76411556055685,-8.65653123754121,-8.60852566868796,-8.58806554553316,-8.48809845124882,-8.61837009478656,-8.51438977959982,-8.54325217729192,-8.55680921759577,-8.6155541331299,-8.65715561301866,-8.63769467438157,-8.57632502912489,-8.49157636455466,-8.66496782859816,-8.63279621900173,-8.63085726584816,-8.62661639515899,-8.58887467063647,-8.66202940653193,-8.71408760562461,-8.69851036734806,-8.68413898998081,-1.47230379631707,-8.67517336108304,-8.59909659033674,-8.47231806212399,-8.54519914335594,-8.50114238674428,-8.63662553447677,-8.65130314865543,-8.46369421701516,-8.58526678664014,-8.57284771676753,-8.59921169426813,-8.57073418295222,-1.56662768219431,-8.54780491234252,-8.51240868552542,-8.4687696529609
"OTU_70",-8.55065183499399,-8.44326111209826,-8.36853044672118,-8.29307251318459,-8.32645913819709,-8.42351230158801,-8.48019763437773,-8.42643963327248,-8.37843596709911,-8.39007984806433,-8.37191972142398,-8.3889438330099,-8.43231353397971,-8.27242807955057,-8.36286095017024,-8.52104151338513,-8.48145954255109,0.398326190836283,-8.38189111465742,-8.26311981047908,-8.32893260990414,-8.5817940037629,-8.47420968074725,-8.42620411189401,-8.40574398873921,-8.30577689445487,-8.4360485379926,-8.33206822280587,-8.36093062049796,-8.37448766080181,-8.43323257633594,-8.47483405622471,-8.45537311758762,-8.39400347233094,-8.3092548077607,-8.48264627180421,-8.45047466220777,-8.44853570905421,-8.44429483836503,-8.40655311384252,-8.47970784973798,-8.53176604883066,-8.5161888105541,-8.50181743318685,-8.39047391382959,-8.49285180428909,-8.41677503354278,-8.28999650533004,-8.36287758656198,-8.31882082995033,-8.45430397768282,-8.46898159186148,-8.2813726602212,-8.40294522984618,-8.39052615997358,-8.41689013747417,-8.38841262615826,-8.48533508051048,-8.36548335554857,-8.33008712873147,-8.28644809616694
"OTU_344",-7.34667903066805,-7.23928830777232,-1.45006531039195,-7.08909970885865,-7.12248633387116,-1.50521738539791,-7.2762248300518,-1.50813292852948,-1.46012572301038,-0.778480022142048,-7.16794691709804,-7.18497102868396,-1.51382518539863,-7.06845527522463,-7.15888814584431,-7.3170687090592,-7.27748673822516,-7.10793347957344,-7.17791831033148,-7.05914700615314,-1.41022461297467,-7.37782119943696,-7.27023687642131,-7.22223130756807,-7.20177118441327,-7.10180409012893,-1.51766836558584,-7.12809541847993,-7.15695781617202,-7.17051485647588,-7.22925977201001,-0.863253931027791,-7.25140031326168,-7.190030668005,-0.697668222529339,-1.56443201226662,-7.24650185788184,-1.53024859524418,-7.2403220340391,-7.20258030951658,-7.27573504541204,-7.32779324450472,-1.59800253001979,-7.29784462886092,-7.18650110950365,-7.28887899996315,-7.21280222921684,-7.0860237010041,-7.15890478223605,-7.11484802562439,-7.25033117335688,-7.26500878753554,-1.36289270749881,-7.19897242552025,-7.18655335564764,-7.21291733314824,-7.18443982183233,-7.28136227618455,-7.16151055122263,-7.12611432440553,-0.269320905420879
"OTU_266",-10.342411304222,-10.2350205813263,-10.1602899159492,-10.0848319824126,-10.1182186074252,-10.2152717708161,-10.2719571036058,-10.2181991025005,-10.1701954363272,-10.1818393172924,-10.163679190652,-10.1807033022379,-10.2240730032078,-10.0641875487786,-10.1546204193983,-10.3128009826132,-10.2732190117791,-10.1036657531274,-10.1736505838855,-10.0548792797071,-10.1206920791322,-1.66351976236701,-10.2659691499753,-10.2179635811221,-10.1975034579673,-10.0975363636829,-10.2278080072207,-10.1238276920339,-10.152690089726,-10.1662471300299,-10.224992045564,-10.2665935254528,-10.2471325868157,-10.185762941559,-10.1010142769888,-10.2744057410323,-10.2422341314358,-10.2402951782823,-10.2360543075931,-10.1983125830706,-10.271467318966,-10.3235255180587,-10.3079482797822,-10.2935769024149,-10.1822333830576,-10.2846112735171,-10.2085345027708,-10.0817559745581,-10.15463705579,-10.1105802991784,-10.2460634469109,-10.2607410610895,-10.0731321294493,-10.1947046990742,-10.1822856292016,-10.2086496067022,-10.1801720953863,-10.2770945497385,-10.1572428247766,-10.1218465979595,-10.078207565395
"OTU_543",-8.14518672688583,-8.03779600399009,-7.96306533861302,-7.88760740507642,-7.92099403008893,-8.01804719347985,-1.56192299791808,-8.02097452516431,-7.97297085899094,-7.98461473995616,-7.96645461331581,-7.98347872490173,-8.02684842587154,-7.8669629714424,-7.95739584206208,-8.11557640527697,-8.07599443444293,-7.90644117579121,-7.97642600654926,-7.85765470237092,-7.92346750179597,-8.17632889565473,-8.06874457263909,-8.02073900378585,-8.00027888063104,-7.9003117863467,-8.03058342988444,-7.9266031146977,-7.95546551238979,-7.96902255269365,-8.02776746822778,-8.06936894811654,-8.04990800947946,-7.98853836422277,-7.90378969965254,-8.07718116369604,-8.04500955409961,-8.04307060094604,-8.03882973025687,-8.00108800573435,-8.07424274162981,-8.12630094072249,-8.11072370244594,-8.09635232507869,-7.98500880572142,-8.08738669618092,-8.01130992543461,-7.88453139722187,-7.95741247845382,-1.40043451764936,-1.53594201949934,-8.06351648375331,-7.87590755211304,-7.99748012173802,-7.98506105186541,-0.805463055702903,-7.9829475180501,-0.180333321074422,-7.9600182474404,-7.92462202062331,-7.88098298805878
"OTU_2849",-9.6492641236621,-9.54187340076637,-1.45006531039195,-9.3916848018527,-9.42507142686521,-9.52212459025612,-9.57880992304584,-9.52505192194059,-9.47704825576722,-9.48869213673244,-9.47053201009209,-9.487556121678,-9.53092582264781,-9.37104036821868,-9.46147323883835,-9.61965380205324,-9.5800718312192,-9.41051857256748,-9.48050340332553,-9.36173209914719,-9.42754489857225,-9.68040629243101,-9.57282196941536,-9.52481640056212,-9.50435627740732,-9.40438918312297,-9.53466082666071,-9.43068051147397,-9.45954290916607,-9.47309994946992,-9.53184486500405,-9.57344634489282,-9.55398540625573,-9.49261576099905,-9.40786709642881,-9.58125856047232,-9.54908695087588,-9.54714799772232,-9.54290712703314,-9.50516540251063,-9.57832013840609,-9.63037833749877,-9.61480109922221,-9.60042972185497,-9.4890862024977,-1.57453569862809,-9.51538732221089,-9.38860879399815,-9.46148987523009,-9.41743311861844,-9.55291626635093,-9.56759388052959,-9.37998494888931,-9.50155751851429,-9.48913844864169,-9.51550242614228,-9.48702491482637,-9.58394736917859,-9.46409564421668,-9.42869941739958,-9.38506038483506
"OTU_88",1.92306043170858,1.69393540601083,1.18899201922331,1.56987874956459,1.42505981610036,0.574224156281929,1.61613083242987,1.13092440108578,1.48431325615606,1.41874455519417,1.80468403090976,1.4198789405743,0.683399391937592,1.78149871889495,1.59998153884493,1.83122822880226,1.52798539719899,1.65108915933165,2.09169530401415,1.91353950386065,2.02376259151048,0.41592177931283,-0.170341144081721,1.38256325860727,-0.388784807968942,0.810034366680668,1.94806753721389,1.9535264739197,2.31854956099949,1.43425860693792,1.57616907803166,1.77580339858747,1.02795376207341,2.60180356923776,2.59816864347499,2.26420938422247,1.51243064750521,-0.143954234124293,2.08465995138425,1.68973928629199,1.43430006408947,0.178023504713514,1.3977297435342,1.81780730889487,1.57221864140635,1.06452163098717,1.14050990238614,-1.37162433294923,-0.058095716443709,0.209003394784743,-0.842794838939396,0.528772350432531,-1.36289270749881,-0.0982080508341185,-1.47214002874133,-1.49861023626285,1.23800653741981,-0.873480501634368,-0.754044221720492,0.785559332044245,0.829291383247231
"OTU_431",-7.34667903066805,-7.23928830777232,-1.45006531039195,-7.08909970885865,-7.12248633387116,-7.21953949726208,-7.2762248300518,-7.22246682894654,-7.17446316277317,-7.18610704373839,-7.16794691709804,-0.371880528653753,-7.22834072965377,-1.3539954970342,-7.15888814584431,-7.3170687090592,-7.27748673822516,-7.10793347957344,-0.770505576915314,-7.05914700615314,-7.1249598055782,-7.37782119943696,-7.27023687642131,-7.22223130756807,-7.20177118441327,-7.10180409012893,-7.23207573366667,-7.12809541847993,-1.44265055469407,-0.357500862290134,-1.51487337532665,-7.27086125189877,-7.25140031326168,-7.190030668005,-7.10528200343477,-7.27867346747827,-7.24650185788184,-7.24456290472827,-7.2403220340391,-7.20258030951658,-7.27573504541204,-7.32779324450472,-7.31221600622817,-7.29784462886092,-7.18650110950365,-7.28887899996315,0.293212041998938,-1.37162433294923,-7.15890478223605,-7.11484802562439,-7.25033117335688,-7.26500878753554,-7.07739985589527,-7.19897242552025,-1.47214002874133,-7.21291733314824,-7.18443982183233,-7.28136227618455,-7.16151055122263,-7.12611432440553,-7.08247529184101
"OTU_2821",-8.39650115516673,-8.289110432271,-8.21437976689392,-8.13892183335733,-1.40815352795586,-8.26936162176076,-8.32604695455048,-8.27228895344522,-8.22428528727185,-8.23592916823707,-8.21776904159672,-0.777345636761917,-8.27816285415245,-8.11827739972331,-8.20871027034298,-8.36689083355787,-8.32730886272384,-8.15775560407211,-8.22774043483016,-8.10896913065182,-8.17478193007688,-8.42764332393564,-1.55663550520161,-8.27205343206675,-8.25159330891195,-8.15162621462761,-8.28189785816535,-8.17791754297861,-8.2067799406707,-8.22033698097455,-8.27908189650868,-8.32068337639745,-1.53699559538813,-8.23985279250368,-8.15510412793344,-8.32849559197695,-8.29632398238051,-8.29438502922695,-8.29014415853777,-8.25240243401526,-8.32555716991072,-8.3776153690034,-8.36203813072684,-8.3476667533596,-8.23632323400233,-8.33870112446183,-0.805400246669171,-8.13584582550278,-8.20872690673472,-8.16467015012307,-8.30015329785556,-8.31483091203422,-8.12722198039394,-8.24879455001892,-8.23637548014632,-8.26273945764691,-8.234261946331,-8.33118440068322,-8.21133267572131,-8.17593644890421,-8.13229741633969
