"ASVID","DonorA_Stool2","DonorA_Stool4","DonorA_Stool5","DonorA_Stool6","DonorA_Stool7","DonorA_Stool8","DonorA_Stool9","DonorA_Stool10","DonorA_Stool12","DonorA_Stool13","DonorA_Stool14","DonorA_Stool15","DonorA_Stool16","DonorA_Stool17","DonorA_Stool18","DonorA_Stool19","DonorA_Stool20","DonorA_Stool21","DonorA_Stool22","DonorA_Stool23","DonorA_Stool24","DonorA_Stool25","DonorA_Stool26","DonorA_Stool27","DonorA_Stool28","DonorA_Stool29","DonorA_Stool30","DonorA_Stool32","DonorA_Stool33","DonorA_Stool34","DonorA_Stool36","DonorA_Stool37","DonorA_Stool38","DonorA_Stool39","DonorA_Stool40","DonorA_Stool41","DonorA_Stool42","DonorA_Stool43","DonorA_Stool44","DonorA_Stool45","DonorA_Stool46","DonorA_Stool47","DonorA_Stool49","DonorA_Stool50","DonorA_Stool51","DonorA_Stool52","DonorA_Stool53","DonorA_Stool54","DonorA_Stool55","DonorA_Stool56","DonorA_Stool57","DonorA_Stool58","DonorA_Stool59","DonorA_Stool60","DonorA_Stool61","DonorA_Stool64","DonorA_Stool65","DonorA_Stool66","DonorA_Stool67","DonorA_Stool68","DonorA_Stool70"
"OTU_3632",-17.9222624118976,-17.922318715268,-17.9221636824344,-17.9221109844471,-17.9224034376493,-17.9222929382168,-17.922272658486,-17.9222049114265,-17.9222084507723,-17.9222510267408,-17.9222057604181,-17.9222493970665,-17.9221868946866,-17.922330789202,-17.9223180733188,-17.9222805597287,-17.9222008677694,-17.9221715516129,-17.9223361845891,-17.9221614771834,-17.9221069774016,-17.9222722634222,-17.9216720029417,-17.9222938192901,-17.9221452734789,-17.9220855294532,-17.9222783790915,-17.9222968887658,-17.9223778932115,-17.9222727165282,-17.9222574076937,-17.9223311513226,-17.9222757288842,-17.9223674250705,-17.9221379507761,-17.9223120869442,-17.9222810786743,-17.9222851358366,-17.9218352584767,-17.9222365918123,-17.9221738469565,-17.9221279117197,-17.9223839033615,-17.9222257417976,-17.9223677403395,-17.9221144870372,-17.9222256283392,-9.21203892861176,-17.9221860551039,-17.9222845189858,-17.9223599802112,-17.9222106072978,-17.9221784988278,-17.9222411992705,-17.9222843379171,-17.922377728619,-17.9222671691604,-17.9220065036305,-17.9222899752947,-17.9223200901249,-17.9222134481839
"OTU_2212",-16.3128244336189,-16.312880736993,-16.3127257041492,-16.3126730061584,-16.3129654593799,-16.3128549599401,-16.3128346802079,-16.312766933144,-16.31277047249,-16.3128130484613,-16.3127677821356,-16.3128114187869,-16.3127489164029,-16.3128928109277,-9.21213875391756,-9.21213875391756,-16.3127628894866,-16.3127335733282,-9.21223856925926,-16.312723498898,-16.3126689991126,-16.3128342851441,-16.3122340246241,-16.3128558410134,-16.3127072951925,-16.3126475511628,-16.3128404008138,-16.3128589104894,-16.3129399149404,-16.3128347382501,-16.3128194294146,-16.3128931730484,-16.3128377506063,-16.3129294467986,-16.3126999724892,-16.3128741086687,-16.3128431003968,-16.3128471575593,-16.3123972801698,-16.3127986135319,-16.3127358686719,-16.3126899334321,-16.3129459250908,-16.3127877635165,-9.21233837463886,-16.3126765087488,-16.3127876500581,-16.3128324007872,-16.3127480768201,-16.3128465407085,-16.3129220019389,-16.3127726290156,-16.3127405205435,-16.3128032209904,-16.3128463596398,-16.3129397503478,-16.312829190882,-9.21143976741948,-16.3128519970178,-16.31288211185,-16.312775469902
"OTU_70",-16.1305028603638,-16.1305591637388,-16.1304041308924,-16.1303514329008,-16.1306438861271,-16.1305333866854,-16.130513106953,-16.1304453598879,-16.130448899234,-16.130491475206,-16.1304462088796,-16.1304898455316,-16.1304273431466,-16.1305712376737,-16.1305585217896,-16.1305210081964,-16.1304413162305,-7.41958040308121,-16.1305766330614,-16.1304019256413,-16.130347425855,-16.1305127118892,-16.1299124513592,-16.1305342677588,-16.1303857219354,-16.1303259779048,-16.130518827559,-16.1305373372348,-16.1306183416872,-16.1305131649952,-16.1304978561594,-16.1305715997944,-16.1305161773514,-16.1306078735453,-16.1303783992321,-16.1305525354144,-16.130521527142,-16.1305255843046,-16.1300757069077,-16.1304770402763,-16.1304142954153,-16.1303683601747,-16.1306243518377,-16.1304661902608,-16.1306081888143,-16.1303549354912,-16.1304660768024,-16.1305108275322,-16.1304265035638,-16.1305249674538,-16.1306004286854,-16.1304510557597,-16.130418947287,-16.1304816477349,-16.130524786385,-16.1306181770946,-16.130507617627,-16.1302469520756,-16.1305304237632,-16.1305605385958,-16.1304538966461
"OTU_344",-14.9265298255816,-14.9265861289696,-9.21183924809992,-14.9263783980837,-14.9266708513774,-9.21213875391756,-14.9265400721732,-9.21203892861176,-9.21203892861176,-8.51869206753997,-14.9264731740844,-14.9265168107464,-9.21183924809992,-14.9265982029073,-14.9265854870202,-14.9265479734184,-14.9264682814342,-14.9264389652685,-14.9266035982962,-14.9264288908358,-9.21153965255166,-14.9265396771093,-14.925939416441,-14.9265612329839,-14.9264126871262,-14.9263529430819,-9.21203892861176,-14.9265643024606,-14.9266453069317,-14.9265401302154,-14.9265248213761,-8.51879191277993,-14.9265431425723,-14.9266348387873,-8.51859221232995,-9.21223856925926,-14.9265484923642,-9.21213875391756,-14.9261026720271,-14.9265040054882,-14.9264412606128,-14.9263953253616,-9.21233837463886,-14.9264931554702,-14.9266351540564,-14.9263819006749,-14.9264930420117,-14.9265377927519,-14.926453468764,-14.9265519326767,-14.9266273939258,-14.9264780209656,-9.21183924809992,-14.9265086129478,-14.9265517516079,-14.926645142339,-14.9265345828459,-14.9262739172345,-14.9265573889874,-14.9265875038269,-8.11302723903969
"OTU_266",-17.9222624118976,-17.922318715268,-17.9221636824344,-17.9221109844471,-17.9224034376493,-17.9222929382168,-17.922272658486,-17.9222049114265,-17.9222084507723,-17.9222510267408,-17.9222057604181,-17.9222493970665,-17.9221868946866,-17.922330789202,-17.9223180733188,-17.9222805597287,-17.9222008677694,-17.9221715516129,-17.9223361845891,-17.9221614771834,-17.9221069774016,-9.21213875391756,-17.9216720029417,-17.9222938192901,-17.9221452734789,-17.9220855294532,-17.9222783790915,-17.9222968887658,-17.9223778932115,-17.9222727165282,-17.9222574076937,-17.9223311513226,-17.9222757288842,-17.9223674250705,-17.9221379507761,-17.9223120869442,-17.9222810786743,-17.9222851358366,-17.9218352584767,-17.9222365918123,-17.9221738469565,-17.9221279117197,-17.9223839033615,-17.9222257417976,-17.9223677403395,-17.9221144870372,-17.9222256283392,-17.9222703790654,-17.9221860551039,-17.9222845189858,-17.9223599802112,-17.9222106072978,-17.9221784988278,-17.9222411992705,-17.9222843379171,-17.922377728619,-17.9222671691604,-17.9220065036305,-17.9222899752947,-17.9223200901249,-17.9222134481839
"OTU_543",-15.7250377028721,-15.7250940062499,-15.7249389733959,-15.7248862754016,-15.7251787286424,-15.7250682291953,-9.21213875391756,-15.7249802023935,-15.7249837417397,-15.7250263177138,-15.7249810513852,-15.7250246880393,-15.7249621856512,-15.7251060801855,-15.7250933643007,-15.7250558507056,-15.7249761587358,-15.7249468425754,-15.7251114755734,-15.7249367681446,-15.7248822683557,-15.725047554398,-15.7244472938384,-15.7250691102688,-15.724920564438,-15.7248608204044,-15.7250536700681,-15.7250721797449,-15.7251531842013,-15.7250480075041,-15.7250326986675,-15.7251064423061,-15.7250510198604,-15.7251427160588,-15.7249132417343,-15.7250873779252,-15.7250563696513,-15.7250604268141,-15.724610549395,-15.7250118827834,-15.7249491379193,-15.7249032026765,-15.7251591943521,-15.7250010327673,-15.7251430313279,-15.7248897779923,-15.7250009193089,-15.725045670041,-15.7249613460684,-9.21203892861176,-9.21213875391756,-15.7249858982655,-15.7249537897913,-15.7250164902422,-15.7250596288945,-8.51899157335762,-15.7250424601355,-7.82484569102686,-15.7250652662729,-15.725095381107,-15.724988739152
"OTU_2849",-17.2291152148765,-17.2291715182478,-9.21183924809992,-17.2289637874235,-17.2292562406305,-17.2291457411962,-17.2291254614651,-17.2290577144045,-17.2290612537503,-17.2291038297195,-17.2290585633961,-17.2291022000452,-17.2290396976643,-17.229183592182,-17.2291708762986,-17.2291333627079,-17.2290536707473,-17.2290243545903,-17.2291889875692,-17.2290142801606,-17.2289597803779,-17.2291250664013,-17.2285248059108,-17.2291466222695,-17.2289980764559,-17.2289383324292,-17.2291311820706,-17.2291496917453,-17.2292306961923,-17.2291255195073,-17.2291102106725,-17.2291839543026,-17.2291285318633,-17.2292202280511,-17.228990753753,-17.2291648899239,-17.2291338816535,-17.2291379388158,-17.2286880614486,-17.2290893947908,-17.2290266499339,-17.2289807146963,-17.2292367063424,-17.2290785447759,-17.2292205433201,-9.21193909333988,-17.2290784313175,-17.2291231820444,-17.2290388580815,-17.2291373219651,-17.2292127831917,-17.2290634102758,-17.2290313018053,-17.229094002249,-17.2291371408963,-17.2292305315998,-17.2291199721394,-17.2288593066052,-17.2291427782741,-17.2291728931048,-17.229066251162
"OTU_88",-5.65329086384701,-5.99086436703595,-6.57148302236359,-6.2655013127884,-6.37742698292896,-7.13199822573965,-6.03178641658655,-6.57168296238225,-6.26580138780941,-6.31986860907968,-5.95124333362112,-6.31986860907968,-7.01381554975424,-6.07434603100535,-6.16561791425009,-5.77515244691452,-6.11879779357619,-6.16531780921108,-5.6534911843605,-5.95114322851067,-5.77455154554441,-7.13199822573965,-7.82564473221999,-6.31996861408002,-8.11312710422178,-7.01361566968161,-5.74320348826083,-5.84204404165613,-5.44683760721994,-6.31996861408002,-6.11889783859653,-5.8771353614674,-6.6458908895563,-5.12889530323945,-5.21754908706895,-5.37909558961697,-6.16551788924376,-7.82554488698003,-5.59742045666129,-6.03178641658655,-6.21440807841952,-7.41997992366183,-6.21470809342252,-5.80784214458098,-6.16581793425276,-6.57158299736992,-6.57178291740258,-9.21203892861176,-7.82524529143177,-7.6022016152737,-8.51889174805182,-7.13189833062943,-9.21183924809992,-7.82534516658791,-9.21203892861176,-9.21223856925926,-6.50259012588297,-8.51819269174932,-8.51889174805182,-7.0140153898828,-7.01381554975424
"OTU_431",-14.9265298255816,-14.9265861289696,-9.21183924809992,-14.9263783980837,-14.9266708513774,-14.9265603519103,-14.9265400721732,-14.9264723250925,-14.9264758644394,-14.9265184404212,-14.9264731740844,-8.11312710422178,-14.926454308347,-9.21203892861176,-14.9265854870202,-14.9265479734184,-14.9264682814342,-14.9264389652685,-8.51899157335762,-14.9264288908358,-14.926374391037,-14.9265396771093,-14.925939416441,-14.9265612329839,-14.9264126871262,-14.9263529430819,-14.9265457927805,-14.9265643024606,-9.21223856925926,-8.11322695943181,-9.21203892861176,-14.9265985650281,-14.9265431425723,-14.9266348387873,-14.9264053644212,-14.9265795006437,-14.9265484923642,-14.9265525495277,-14.9261026720271,-14.9265040054882,-14.9264412606128,-14.9263953253616,-14.9266513170835,-14.9264931554702,-14.9266351540564,-14.9263819006749,-7.41988005847975,-9.21203892861176,-14.926453468764,-14.9265519326767,-14.9266273939258,-14.9264780209656,-14.9264459124855,-14.9265086129478,-9.21203892861176,-14.926645142339,-14.9265345828459,-14.9262739172345,-14.9265573889874,-14.9265875038269,-14.9264808618526
"OTU_2821",-15.9763521640754,-15.9764084674513,-15.9762534346024,-15.9762007366099,-9.21223856925926,-15.9763826903975,-15.9763624106647,-15.9762946635986,-15.9762982029447,-15.9763407789174,-15.9762955125903,-8.51869206753997,-15.9762766468569,-15.9764205413865,-15.9764078255021,-15.9763703119082,-15.9762906199411,-15.9762613037817,-15.9764259367742,-15.9762512293512,-15.976196729564,-15.9763620156009,-9.21223856925926,-15.9763835714709,-15.9762350256451,-15.9761752816135,-15.9763681312708,-15.976386640947,-15.9764676454007,-15.976362468707,-15.9763471598709,-15.9764209035071,-9.21203892861176,-15.9764571772586,-15.9762277029416,-15.9764018391268,-15.9763708308539,-15.9763748880165,-15.9759250106122,-15.9763263439875,-15.9762635991255,-15.9762176638841,-15.9764736555513,-15.9763154939718,-15.9764574925276,-15.9762042392004,-8.51889174805182,-15.9763601312439,-15.9762758072741,-15.9763742711657,-15.9764497323986,-15.9763003594704,-15.9762682509973,-15.9763309514461,-15.976374090097,-15.9764674808081,-15.9763569213386,-15.976096255783,-15.9763797274752,-15.9764098423083,-15.9763032003568
