"ASVID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_2",-1.98523560466128,-1.90679415438016,-1.35843018558176,-2.11733148528283,-2.18335283699325,-2.3905332763573,-2.04704864551568,-1.53678503812356,-1.52972308310135,-1.44567072313624,-0.998948674774771,-0.863962011020308,-1.38629436111989,-1.15875855601477,-1.1778644960513,-1.6028732019197,-1.02625601391873,-1.24389402426687,-1.24622394472831,-1.47862620864148,-1.09396429670491,-1.63596199894125,-1.05288528681712,-1.94074776289809,-1.08065060745363,-1.31783820398621,-1.3929559281578,-1.2680121402995,-1.2904095787332,-1.80786833812704,-1.6970709866772,-1.8046086403056,-1.76845282568699,-1.21435235427521,-1.09410500793768,-1.06130212108027,-2.13517617820208,-1.46036282553997,-1.15387037412963,-1.0650956378852,-1.38296571894778,-1.33363376090022,-2.9252622170963,-1.77614253384742,-0.408268193335281,-1.66876129789256,-1.24853295557869,-1.31340397099897,-1.42851699154224,-1.43841615317879,-0.966200926028137,-1.21857160374709,-0.833416638656594,-1.36490861737604,-1.50345016223272,-0.96028191256842,-1.13883143254788,-1.14865426145379,-0.876612936689836,-1.40822623778645
"OTU_1",-1.6809520473081,-1.41330899093072,-2.97173416223105,-1.40723148197117,-1.3007678950901,-1.17986248290414,-1.3659249576162,-1.37527460871664,-2.35137525716348,-1.68328112419443,-1.99095906380936,-3.12049690187542,-2.26621744882317,-1.61531770669279,-3.03072911559109,-1.98953376750312,-1.85499505858521,-1.72198831187635,-1.45219400320928,-1.69943714293044,-1.92334317998498,-2.12449581260624,-2.61443350180422,-2.47876538176592,-1.76750644366898,-1.70567091367646,-1.7254452030903,-1.80445229602647,-1.85562931765599,-1.54588597848985,-1.42737690801265,-1.71941352074746,-1.52991470028438,-1.69749527970459,-1.51092351213784,-1.57640425492981,-1.19083376662792,-1.71544073714665,-1.44401145291888,-1.71596474968647,-2.007545573455,-2.25937405019975,-1.0335519830157,-1.52175909006678,-4.05596300305345,-1.85942526824585,-2.23378217307002,-2.03917992823337,-1.79663158605206,-1.8248374834121,-2.16470138563066,-1.73845290599559,-2.48851839186315,-1.91408060019293,-2.01985713237952,-2.62143771861028,-1.69638190170849,-1.5043946254691,-2.88690050420061,-1.27933208589931
"OTU_3",-2.01211890595771,-2.05168428310437,-1.16221794832282,-1.0217901267767,-1.01237281445706,-0.953637668821244,-2.9289280656678,-2.47793798047191,-2.13972076023453,-2.14035589260159,-2.40180611079037,-2.88521852024358,-2.29940904676708,-3.13148445710235,-3.03312505407404,-2.78130505700723,-3.75544786430465,-3.44007729222204,-2.57903171714746,-2.57003440147151,-2.31586791302239,-3.06085067293338,-3.43160289643027,-5.75479239556395,-2.79229488411655,-2.54516653848683,-2.29742060413782,-2.63629779367347,-2.96429592034255,-3.15549488263582,-2.47787155893233,-1.58795271098331,-2.41255994620262,-2.97881650092121,-2.71232441441515,-2.64258389267062,-2.34108241340396,-2.85145634164649,-2.59523269288988,-2.40774756924138,-2.27404994246644,-2.08272561688103,-3.53123289947088,-2.48435019771199,-2.32580802821659,-3.00672199299384,-3.24608470079871,-2.85095778935529,-2.38107297375544,-2.76503407964195,-3.26884239685204,-2.89189864225868,-2.80590083624094,-3.37122594285752,-2.68003474062917,-2.60308908065125,-3.59094911316594,-2.81587092326283,-3.35006906294107,-3.55677014781998
"OTU_6",-2.85311116127296,-2.31523411355982,-2.78903664548775,-4.7030596811249,-3.93666316450543,-3.42954979625302,-3.08358255606791,-2.49407323918167,-3.13656983182289,-2.50096489375672,-3.06474043544392,-2.47446357020827,-2.76831825311633,-3.01579688670443,-4.06162029970685,-3.12464614219763,-2.70423027831264,-3.38332371034365,-2.27924654644502,-2.19966999340202,-2.99551673308543,-2.31590637404688,-3.02163814388983,-3.54339894466668,-2.24412004494624,-2.14047336515397,-1.90549712077284,-2.04667426143414,-2.71700994247368,-1.94496675275893,-2.34443417092792,-2.79335299476301,-1.9804168444711,-2.8657591165162,-2.21108902170638,-1.99091386417224,-2.2980550739223,-2.41115564085463,-3.70240459689098,-2.38768090620715,-2.19996149317399,-3.37746907789873,-1.9297008267515,-1.83287948192962,-3.69373776326501,-1.77620705622057,-3.30172395820111,-3.25413571284654,-2.97728356800166,-2.42943714025087,-2.6348727623374,-3.2174807503274,-3.84643584178818,-2.11854285897601,-2.01589234177406,-2.58177196872475,-2.66199230089775,-2.99736848880859,-3.19613266221628,-2.6955352398563
"OTU_5",-3.25787921758164,-3.01880475293909,-3.57367928687581,-3.4648937974868,-3.03443543299952,-2.64235875222431,-1.86368466784123,-2.68802532688879,-3.51643750431443,-2.37470745148091,-2.94648606278817,-2.88106936523385,-2.06707215675856,-1.88489081635947,-2.55749927220694,-2.55950338679125,-3.3274383093398,-2.71611520642573,-2.91175879945523,-1.85600747566838,-2.09559435351331,-2.37045947772545,-2.74937556541413,-2.68284484743347,-2.3708199182684,-2.46035732499141,-2.31980736321819,-2.53349643323339,-2.68546701259709,-1.99395589704416,-2.65709423173051,-3.54444420004946,-2.56805254071205,-2.15553068888267,-2.70009245485148,-2.79841512179968,-2.43202126617626,-2.86977269702609,-3.89842582671593,-3.04859882182771,-2.49696305838475,-2.17930542109595,-1.48425254701095,-2.29357602305168,-3.83607637497661,-2.61370632165089,-2.98134353610189,-2.8711341604075,-1.95487345973714,-3.13549421592915,-3.30140373617777,-4.45727616864012,-2.74377834897759,-2.91222099936721,-2.84139535664639,-2.32047634235114,-3.75502199634076,-2.69057818914431,-3.93747413785767,-3.54112337948842
"OTU_11",-2.87153220835835,-2.44689262528312,-4.31632341437347,-3.6882516420184,-3.90961172366015,-2.95419832793412,-2.49563454895916,-2.50445717018952,-2.87976444986817,-2.88338940354124,-2.77302341035791,-4.36997513958707,-2.62203610936339,-2.49123578483965,-3.08972406160506,-2.38253364314197,-3.86161960038662,-3.00345347987597,-2.64766795033083,-2.47710603366851,-2.40036136529356,-2.82740160556413,-3.9260545362324,-3.00840333338234,-3.02107508122579,-2.86495494491204,-2.63872861652404,-2.9460687942716,-2.87704039479224,-2.34934204738138,-2.98486558410788,-3.70208968585074,-2.52683913859228,-2.19275183635135,-2.84445370903312,-3.1398969076046,-3.00181396041384,-2.82749023796622,-2.97095299754459,-2.96880389991314,-2.9077122872789,-3.10506547017907,-2.88152118744047,-3.28565542266008,-5.39500081018197,-3.38428365922009,-3.18504573749613,-3.40901619726729,-3.36999459559058,-4.17817355965247,-3.24007038985901,-4.34516603748041,-3.3849819634249,-3.54788965200034,-3.49471099559356,-3.32147643793521,-4.28602390742162,-3.47250175581244,-4.78471009982017,-4.30773403009203
"OTU_8",-2.92219160577427,-3.3064701223057,-2.97173416223105,-3.3976157914014,-4.32439335126936,-4.4194635960838,-3.56575197364146,-3.76782265645406,-2.89418460635217,-3.90191978330655,-3.41588005845464,-2.90197089373952,-3.00302006346437,-4.43144871039673,-2.56698948057648,-2.80605158121266,-2.62021453501521,-3.1582385447438,-3.50327850463265,-3.99283020515175,-3.70895554397374,-3.5084489652662,-3.31674892016326,-2.04232676713392,-3.53233196483842,-3.73055441808563,-3.71262951021205,-3.29958720525137,-3.42221674888623,-3.99562858928294,-3.68522471501417,-3.39087171832606,-3.04280108173087,-3.57326026882564,-3.79219136117747,-3.88523892152133,-3.74892358566367,-2.78673858787113,-2.39867770172109,-3.16577334571643,-3.30287689508068,-3.20317995329517,-5.15298188510595,-3.2536241634067,-3.15809655191864,-2.88094232694979,-2.28426688678483,-3.00051385188835,-2.65706366801494,-2.03485763507181,-2.22288479244592,-1.97321112341975,-3.22942112017627,-2.16318590787615,-2.11136474354155,-3.1522487684726,-3.1595068246853,-3.84348971714268,-3.08395650696883,-2.53344446539391
"OTU_9",-3.9250192680455,-3.80634648407959,-4.30036314810172,-3.30103830016114,-3.03914550251918,-2.93690720265353,-4.46140478591436,-4.28940514479349,-2.00588477760441,-3.14298488765831,-2.87142754068656,-2.8225708605918,-2.78705212645178,-3.20950227134674,-2.97473412671422,-2.12215729316715,-2.47418535339158,-2.65733692910321,-4.23695866942094,-4.09807690459803,-3.38896352311119,-3.30177544632492,-2.45111927291406,-2.55490469313047,-3.78482368233853,-3.89799841746343,-3.60411195998152,-3.62768195907362,-2.73853321782729,-3.51452606696916,-2.83689002359211,-2.26386914905012,-3.55640570304755,-4.74942698775768,-3.61736239113108,-4.27199102868706,-4.29056400537706,-3.80474678037218,-2.8656712238549,-3.16840830535743,-2.92031312925608,-3.52411200929439,-5.68419800538001,-4.5476656915079,-3.14740174361382,-3.29092914250826,-2.20813732706673,-2.06477022209003,-3.64187341173801,-2.9093025455556,-3.19829809410732,-3.04268509594743,-3.70857551136685,-3.15764172087282,-3.7491889002173,-3.76098274801528,-2.90111323762024,-3.71965111278069,-3.31810206273684,-3.31462667891123
"OTU_13",-2.73378816094757,-3.61229481271877,-3.65130201814001,-3.31302253740923,-3.6219665749159,-4.04367763803981,-3.52390653565459,-3.71271964257171,-2.86149314755208,-3.08445032919971,-2.89795329534856,-2.21059920247634,-2.82547783672478,-3.80146381486108,-2.62228028920065,-3.31172308111666,-2.74866774542241,-2.72144943817123,-4.50634908821309,-4.29099025489831,-4.01299239128148,-2.93475393692447,-2.71999669729059,-2.56121484285132,-3.75204456634089,-3.87162609061674,-3.98192421657744,-3.38071740903195,-3.24816639395988,-3.78556289774787,-3.59262765465435,-3.39739268461849,-3.53752788342599,-3.94274196178389,-3.8065576624732,-3.83442875414804,-3.55269905331784,-3.4439300076755,-3.34974506684014,-3.59694479687135,-3.25310422853976,-3.96944355719159,-5.56937553797966,-3.55661709719272,-2.73298067074162,-3.54921437051645,-3.07724765619421,-2.82917469860611,-3.54968171821601,-3.91550898582409,-3.30743119878525,-2.98033658807602,-2.47391383017218,-2.90386782691529,-3.0463522644005,-3.20766568439459,-3.06483442868675,-3.4976847246395,-2.75478010912766,-3.65153093688747
"OTU_15",-4.02322357756765,-3.67878685372671,-3.14745070126101,-3.40088087588328,-3.70642842880341,-4.28093851649073,-4.71005384378123,-4.88637297984211,-3.31894804582868,-4.75893751708529,-4.23193022517466,-4.33676350931292,-4.49439524644065,-4.00511084451149,-3.39372617588462,-3.70986973000577,-3.50722668771433,-3.28698960902046,-4.37123949546091,-3.72446107516385,-3.43887251581558,-3.2033300816177,-3.03596693966738,-3.38940772587892,-4.42103829587699,-3.87162609061674,-3.88422914222692,-3.81035935165165,-3.57432274236375,-4.1125538309691,-3.80634037670585,-3.11683774943506,-4.40869769326806,-5.20109970828549,-5.19058779174027,-4.59896540910121,-4.33000207882778,-4.65986878684369,-4.52158151627596,-3.79090106850625,-3.41323609308384,-3.07012524868541,-4.57876398483098,-3.42427326472901,-3.08786105634666,-2.9529376138879,-3.10949115891065,-3.33498913230229,-3.65451470027786,-3.74191230602216,-3.6253985745345,-3.36676189863736,-4.1859652844075,-3.59804960722742,-3.08986251221847,-3.38323771526396,-3.19758698732552,-3.48322150750075,-2.9435446247189,-3.32092598930568
