"ASVID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_2",1154,1255,1956,1052,984,818,1102,1701,1728,1839,2632,2848,1937,2296,2239,1620,2574,2168,2148,1773,2444,1570,2461,1193,2453,2029,1945,2129,2089,1365,1474,1379,1418,2214,2446,2503,1025,1808,2341,2508,1956,2003,496,1409,3800,1538,2166,2052,1855,1855,2677,2210,2912,1985,1772,2606,2323,2319,2766,1849
"OTU_1",1500,1899,466,1926,2080,2292,1959,1939,844,1511,1175,406,910,1594,438,1163,1320,1469,1824,1476,1242,1028,649,735,1412,1477,1478,1370,1309,1702,1842,1483,1732,1497,1763,1668,2260,1463,1864,1491,1155,908,2556,1744,162,1307,940,1115,1365,1343,1000,1448,737,1254,1141,638,1484,1751,497,2048
"OTU_3",1127,1105,2279,2592,2590,2712,489,744,1022,1015,812,508,883,402,437,564,223,301,678,679,875,431,298,30,559,699,893,648,475,396,737,1656,800,468,607,647,851,524,678,808,910,1064,277,749,847,457,364,529,812,573,356,509,548,324,625,649,257,544,319,261
"OTU_6",521,872,554,88,186,306,422,733,404,731,436,746,572,449,161,407,612,318,893,953,464,865,442,267,928,1011,1266,1109,600,1212,833,563,1180,521,963,1170,885,790,235,823,973,317,1235,1342,231,1404,345,360,465,783,650,373,201,1047,1145,662,625,458,370,595
"OTU_5",354,452,261,297,446,648,1294,612,280,821,488,510,1088,1267,684,694,338,601,496,1291,1067,823,572,608,827,756,875,713,618,1161,624,274,693,1004,614,559,783,515,194,443,742,976,1800,892,201,662,469,519,1190,403,345,111,581,503,537,842,219,612,180,265
"OTU_11",512,773,126,239,191,483,734,726,516,511,575,120,656,735,414,817,201,458,636,740,810,538,184,447,450,518,652,484,516,844,458,235,720,971,536,404,459,536,476,478,505,412,517,351,43,318,386,310,319,146,366,124,315,273,287,328,130,290,78,125
"OTU_8",488,343,466,317,127,116,265,217,509,191,311,500,458,113,678,551,662,395,281,173,233,280,333,1091,275,225,233,345,306,175,233,318,443,264,215,196,223,557,813,396,346,375,56,362,388,515,898,459,629,1118,949,1182,366,1006,1052,386,390,202,412,692
"OTU_9",185,211,128,348,444,491,110,130,1151,399,524,539,562,373,462,1034,758,635,137,156,318,342,755,685,215,191,259,251,588,280,527,919,270,83,255,134,131,209,526,395,499,275,33,102,392,348,962,1090,245,500,381,441,230,398,224,214,499,228,329,330
"OTU_13",583,255,242,344,253,168,276,229,525,422,511,949,542,210,644,340,587,598,105,129,173,486,588,681,222,196,179,319,362,215,255,316,275,184,212,206,270,297,331,261,363,178,37,270,581,271,428,540,268,189,343,468,747,507,442,366,427,283,563,238
"OTU_15",168,239,394,316,233,133,86,72,339,82,140,124,107,172,309,231,284,349,120,225,303,376,436,310,115,196,197,210,264,156,207,414,117,53,54,97,126,90,105,216,311,426,99,307,415,481,415,333,242,224,252,323,144,260,424,309,376,287,471,328
"OTU_18",270,83,153,367,351,133,73,66,267,133,277,160,116,77,163,102,212,166,51,47,93,150,108,268,108,57,66,39,138,52,122,162,109,52,47,99,134,66,196,191,93,126,23,117,117,89,176,236,148,67,248,393,228,191,174,152,278,57,84,71
"OTU_17",168,194,49,24,64,64,368,279,108,130,180,114,163,205,83,116,82,128,130,139,294,103,95,17,138,76,144,135,181,106,128,18,168,232,178,183,210,207,104,105,132,192,393,119,130,104,156,102,147,71,58,19,112,88,61,33,81,129,153,117
"OTU_25",200,281,291,227,93,89,133,146,58,120,42,28,68,109,20,113,66,62,197,202,54,176,124,78,174,150,75,153,93,178,183,75,94,67,232,144,147,107,33,65,132,82,416,215,29,138,53,67,157,181,53,32,32,46,76,105,177,335,93,294
"OTU_20",83,96,177,187,175,72,137,169,164,101,134,213,180,101,82,109,189,264,71,47,57,86,78,337,90,27,45,144,132,121,166,228,127,68,65,68,36,32,88,142,107,96,38,46,102,152,123,114,30,217,165,225,92,77,84,72,73,139,331,214
"OTU_35",65,2,12,1,4,5,91,33,14,97,71,28,19,23,300,184,18,10,160,69,46,731,126,139,19,354,81,53,48,27,39,20,204,390,200,183,352,431,44,38,20,55,27,67,26,15,38,52,217,33,277,33,538,27,82,142,8,167,66,24
"OTU_28",60,45,31,73,33,23,35,39,85,68,69,127,69,93,213,59,130,92,27,32,68,129,100,133,26,22,34,71,65,56,96,61,46,40,61,34,41,51,101,115,137,72,9,64,145,96,124,154,62,71,88,166,140,159,133,138,178,103,110,50
"OTU_45",43,92,41,13,9,15,371,118,40,128,116,25,45,40,28,40,5,21,70,62,81,54,15,34,87,74,79,72,32,86,48,8,51,227,122,108,165,156,34,54,52,46,239,210,16,75,29,21,89,27,117,37,172,83,93,67,8,55,15,53
"OTU_46",21,55,54,3,34,58,27,63,26,54,11,62,24,19,40,16,37,20,75,55,27,80,134,80,66,48,89,105,39,36,24,4,99,72,43,75,64,131,64,48,36,49,99,106,164,155,29,50,75,69,42,25,48,95,83,80,18,21,89,49
