"ASVID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_2212",-8.94458837273169,-9.06684934392777,-9.04359538745154,-9.01377765663491,-9.14284998512005,-9.07791339689674,-9.12603468480859,-9.03742626163606,-9.06899234744576,-8.92576564707258,-9.01854255934782,-8.9367230506395,-9.04432359058943,-9.04925144299049,-1.42317487244437,-8.94717798492538,-9.05801694062531,-9.00962724162309,-9.1375139316427,-9.04363487891721,-9.04249080721661,-9.12704547278596,-8.97300896385329,-9.07069636261999,-9.08957669944318,-9.09927620460995,-8.95609949985374,-9.07145134548235,-9.03839090474624,-8.93600148648165,-9.02147004505124,-9.07133788380629,-9.00199236287264,-8.97816699650419,-9.02102506664197,-9.05949467903248,-9.01941385819521,-9.05643610376234,-8.99102632265397,-9.09463567181896,-9.11956989281084,-9.10316774318259,-9.06157762089493,-8.98796462633604,-9.01336646300657,-9.12937069029518,-9.04411102498748,-9.05046259031722,-9.01673262676215,-1.48682474970148,-9.0161909432609,-9.18459716074552,-9.09776600510313,-9.20502196756256,-9.03669182028895,-8.99105092042208,-9.2330240634387,-1.54839041170103,-9.11218524642074,-9.0772183944212
"OTU_2760",-10.0432006613998,-10.1654616325959,-10.1422076761196,-1.4191514793555,-10.2414622737882,-10.1765256855649,-10.2246469734767,-10.1360385503042,-10.1676046361139,-10.0243779357407,-10.1171548480159,-10.0353353393076,-10.1429358792575,-10.1478637316586,-10.1166273595252,-10.0457902735935,-10.1566292292934,-10.1082395302912,-10.2361262203108,-10.1422471675853,-10.1411030958847,-10.2256577614541,-10.0716212525214,-10.1693086512881,-10.1881889881113,-10.1978884932781,-10.0547117885218,-10.1700636341505,-10.1370031934143,-10.0346137751498,-10.1200823337193,-10.1699501724744,-10.1006046515407,-10.0767792851723,-10.1196373553101,-10.1581069677006,-10.1180261468633,-10.1550483924305,-10.0896386113221,-10.1932479604871,-10.2181821814789,-10.2017800318507,-10.160189909563,-10.0865769150042,-10.1119787516747,-10.2279829789633,-10.1427233136556,-10.1490748789853,-10.1153449154303,-10.1801393136568,-10.114803231929,-10.2832094494136,-10.1963782937712,-10.3036342562307,-10.1353041089571,-10.0896632090902,-10.3316363521068,-10.2416102813603,-10.2107975350889,-10.1758306830893
"OTU_344",-5.90006593500827,-6.02232690620435,-5.99907294972811,-5.96925521891149,-6.09832754739663,-6.03339095917332,-6.08151224708517,-5.99290382391263,-6.02446990972233,-5.88124320934916,-5.9740201216244,-5.89220061291607,-1.44979195221001,-1.45444273531836,-5.97349263313364,-1.3524411451899,-6.01349450290189,-5.96510480389967,-1.54272612918084,0.74832889316209,-1.44784968415993,-1.53233196601432,-5.92848652612987,-6.02617392489657,-0.801738709548593,1.20349573170753,-0.668319632161152,-6.02692890775892,-0.750618284640455,-0.647936744436295,-0.733375163339706,-0.0901950608498088,-1.40727266293701,-1.38356868984559,-0.733108280634336,-1.46486833562769,-5.97489142047178,-0.36325895226511,-5.94650388493054,-1.49992381317338,-1.52482420313425,-6.05864530545917,-6.01705518317151,-1.39331457659778,-5.96884402528315,-0.841593765089376,-1.4493227035724,-1.4556523894094,-5.97221018903872,-1.48682474970148,-1.42120164718115,-6.1400747230221,-6.05324356737971,-6.16049952983914,-5.99216938256553,-1.39624103757538,-6.18850162571528,-6.09847555496872,-6.06766280869732,-1.48230200273749
"OTU_890",-8.4337627489657,-8.55602372016178,-8.53276976368555,-8.50295203286892,-8.63202436135406,-8.56708777313075,-8.6152090610426,-8.52660063787007,-8.55816672367977,-1.33109181093679,-8.50771693558183,-8.4258974268735,-8.53349796682344,-8.5384258192245,-8.50718944709107,-8.43635236115939,-1.46347896166686,-8.4988016178571,-8.62668830787671,-8.53280925515122,-8.53166518345061,-8.61621984901997,-1.37808102262873,-8.559870738854,-8.57875107567719,-8.58845058084396,-8.44527387608775,-8.56062572171636,-8.52756528098024,-8.42517586271566,-8.51064442128525,-8.5605122600403,-8.49116673910665,-8.4673413727382,-8.51019944287598,-8.54866905526649,-8.50858823442922,-8.54561047999635,-8.48020069888798,-1.49992381317338,-8.60874426904484,-8.5923421194166,-8.55075199712894,-1.39331457659778,-8.50254083924058,-8.61854506652919,-8.53328540122149,-8.53963696655123,-8.50590700299615,-8.57070140122267,-8.50536531949491,-8.67377153697953,-8.58694038133714,-8.69419634379657,-8.52586619652296,-8.48022529665609,-8.72219843967271,-8.63217236892615,-8.60135962265475,-8.56639277065521
"OTU_543",-7.47825130393826,-7.60051227513435,-7.57725831865811,-7.54744058784148,-7.67651291632662,-1.48337407589766,-7.65969761601517,-7.57108919284263,-1.47426609630399,-7.45942857827916,-7.55220549055439,-1.34202834119237,-7.577986521796,-7.58291437419707,-0.0368805113244761,-7.48084091613195,-7.59167987183189,-7.54329017282966,-1.54272612918084,-7.57729781012378,-7.57615373842318,-7.66070840399253,-7.50667189505986,-7.60435929382657,-7.62323963064975,-7.63293913581652,-1.3614668127211,-1.47681351979227,-7.57205383595281,-7.46966441768822,-7.55513297625781,-7.60500081501286,-7.53565529407921,-7.51182992771076,-7.55468799784855,-7.59315761023905,-7.55307678940178,-7.59009903496892,-7.52468925386054,-7.62829860302553,-7.65323282401741,-7.63683067438917,-7.5952405521015,-7.52162755754262,-7.54702939421314,-7.66303362150175,-7.57777395619406,-7.58412552152379,-7.55039555796872,-7.61518995619524,-1.42120164718115,-7.7182600919521,-7.63142893630971,-1.61041897410958,-7.57035475149552,-7.52471385162865,-7.76668699464528,-7.67666092389871,-1.51748416841345,-7.61088132562777
"OTU_2666",-8.94458837273169,-9.06684934392777,-9.04359538745154,-9.01377765663491,-9.14284998512005,-9.07791339689674,-9.12603468480859,-9.03742626163606,-9.06899234744576,-8.92576564707258,-9.01854255934782,-8.9367230506395,-9.04432359058943,-9.04925144299049,-9.01801507085706,-8.94717798492538,-9.05801694062531,-9.00962724162309,-9.1375139316427,-9.04363487891721,-9.04249080721661,-9.12704547278596,-8.97300896385329,-0.782783083055691,-9.08957669944318,-9.09927620460995,-8.95609949985374,-9.07145134548235,-9.03839090474624,-8.93600148648165,-9.02147004505124,-9.07133788380629,-9.00199236287264,-8.97816699650419,-9.02102506664197,-9.05949467903248,-9.01941385819521,-9.05643610376234,-8.99102632265397,-9.09463567181896,-9.11956989281084,-1.50825347979815,-9.06157762089493,-8.98796462633604,-9.01336646300657,-9.12937069029518,-9.04411102498748,-9.05046259031722,-9.01673262676215,-9.08152702498866,-9.0161909432609,-9.18459716074552,-9.09776600510313,-9.20502196756256,-9.03669182028895,-8.99105092042208,-9.2330240634387,-9.14299799269214,-9.11218524642074,-9.0772183944212
"OTU_88",1.28950206799216,1.41810212229455,1.4414562718598,2.72398324703603,2.18930756882118,1.84883043427754,1.46464436904427,1.50176352947014,2.26340352197938,-0.637944630376842,0.367743794646111,-0.648881160632429,0.629649589469831,0.337316733909697,-0.324562583776257,1.35560905591231,0.145958950767245,1.07000479266431,1.54831632417748,1.64214676918419,1.95334769750223,-0.839184785454377,-1.37808102262873,-3.13228103660183,2.37631512079935,1.75354206862681,2.10426909007863,1.00809312999573,2.3848759312887,2.39658569328713,2.38014014587067,2.30770021194856,1.3007775381652,0.813655887490628,0.97163981160409,2.29633178006588,1.61987038917966,-0.36325895226511,1.4940021639768,1.13913351644188,0.672400374201971,1.71062234507005,0.142324580061528,1.90252228940654,-0.0322931049303461,1.03020841181222,1.44104905432377,1.54007988414459,0.975850074145158,1.50890752385252,1.14374771028039,1.54550225907686,1.58793473736573,1.1621697481302,1.73592220222049,-0.70309385701543,-0.25204594704894,0.0610475007330715,1.47824810514054,1.84990250743772
"OTU_431",-7.09876168223336,-7.22102265342944,-1.44891548603637,-7.16795096613658,-7.29702329462172,-7.23208670639841,-7.28020799431026,-7.19159957113773,-7.22316565694743,-7.07993895657425,-7.17271586884949,-7.09089636014116,-1.44979195221001,-7.20342475249216,-1.42317487244437,-7.10135129442705,-7.21219025012698,-7.16380055112476,-7.29168724114437,-7.19780818841888,-7.19666411671828,-7.28121878228763,-0.684933842068783,-7.22486967212166,-7.24375000894485,-7.25344951411162,-7.11027280935541,-1.47681351979227,-1.4437654652004,-7.09017479598332,-7.17564335455291,-7.22551119330796,-7.15616567237431,-7.13234030600586,-7.17519837614364,-1.46486833562769,-7.17358716769688,-7.21060941326401,-7.14519963215564,-1.49992381317338,-7.2737432023125,-7.25734105268426,-7.2157509303966,-7.14213793583771,-7.16753977250824,-7.28354399979685,-7.19828433448915,-1.4556523894094,-0.323432909985103,-7.23570033449033,-7.17036425276257,0.201767512375766,-7.2519393146048,-7.35919527706423,-7.19086512979062,-7.14522422992375,-7.38719737294037,-7.29717130219381,-7.26635855592241,-7.23139170392287
"OTU_2821",-10.0432006613998,-10.1654616325959,-10.1422076761196,-10.112389945303,-10.2414622737882,-10.1765256855649,-10.2246469734767,-10.1360385503042,-10.1676046361139,-10.0243779357407,-10.1171548480159,-10.0353353393076,-10.1429358792575,-10.1478637316586,-10.1166273595252,-10.0457902735935,-10.1566292292934,-10.1082395302912,-10.2361262203108,-10.1422471675853,-10.1411030958847,-10.2256577614541,-10.0716212525214,-10.1693086512881,-10.1881889881113,-10.1978884932781,-10.0547117885218,-10.1700636341505,-1.4437654652004,-10.0346137751498,-10.1200823337193,-10.1699501724744,-10.1006046515407,-10.0767792851723,-10.1196373553101,-10.1581069677006,-10.1180261468633,-10.1550483924305,-10.0896386113221,-10.1932479604871,-10.2181821814789,-10.2017800318507,-10.160189909563,-10.0865769150042,-10.1119787516747,-10.2279829789633,-10.1427233136556,-10.1490748789853,-10.1153449154303,-10.1801393136568,-10.114803231929,-10.2832094494136,-10.1963782937712,-10.3036342562307,-10.1353041089571,-10.0896632090902,-10.3316363521068,-10.2416102813603,-10.2107975350889,-10.1758306830893
"OTU_182",0.0367390994967893,-1.47226963560161,0.342843983191686,-0.320539190687394,-5.7088627806349,-5.64392619241159,-5.69204748032345,0.349084019531754,-5.63500514296061,-5.49177844258744,-5.58455535486267,-5.50273584615435,-1.44979195221001,-5.61526423850535,-5.58402786637192,-5.51319078044023,-5.62402973614017,-1.41490185712369,1.22986259305894,1.54683658937986,-1.44784968415993,-1.53233196601432,-1.37808102262873,-5.63670915813485,-1.49488589010854,0.980352180393325,-5.52211229536859,-1.47681351979227,-5.60440370026109,-1.34108392499624,-0.733375163339706,-1.4764894219697,-1.40727266293701,-5.54417979201905,-1.42625546119428,-5.62550747454733,-5.58542665371006,-0.0755768798133287,-1.39636959391937,-1.49992381317338,-5.68558268832569,-5.66918053869745,-1.46711333237257,-5.5539774218509,-5.57937925852142,-5.69538348581003,-5.61012382050234,-5.61647538583207,-5.582745422277,-5.64753982050352,-5.58220373877575,-5.75060995626038,-5.66377880061799,-5.77103476307741,-5.6027046158038,0.213196874858725,-5.79903685895356,-5.70901078820699,-5.6781980419356,-5.64323118993605
