"ASVID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_2212",-7.59503311110859,-7.59457970832616,-7.59467990141517,-7.59462617727941,-7.59448793565786,-7.59453932099908,-7.59494678029888,-7.59475081193975,-7.59472625114176,-7.5946738361358,-7.59452688476587,-7.59469470944712,-7.59453163837942,-7.59480870767213,0,-7.59473683973548,-7.59453797895846,-7.5947253844994,-7.59478780246186,-7.59473919474308,-7.59464112305668,-7.59471350677164,-7.59492794122456,-7.59476609900436,-7.59469080933464,-7.59472173521528,-7.59463268713264,-7.59463782569008,-7.59462543954584,-7.59491756148541,-7.59494770115159,-7.59484846183659,-7.59471969993563,-7.5945983066586,-7.59476960544769,-7.59462634340479,-7.59476180965145,-7.59456486282912,-7.5946567287346,-7.59471185864558,-7.59474568967659,-7.59491426338444,-7.59446428852236,-7.59465004973826,-7.59477899695633,-7.59462974464586,-7.59478832141509,-7.59481020090782,-7.59468742810893,0,-7.59498929607975,-7.59460520389323,-7.59465828911055,-7.59460299345298,-7.59456019216149,-7.5948098828467,-7.59468375526987,0,-7.5947010780073,-7.59491639168371
"OTU_2760",-8.6936453997767,-8.69319199699427,-8.69329219008328,0,-8.69310022432597,-8.69315160966719,-8.69355906896699,-8.69336310060786,-8.69333853980987,-8.69328612480391,-8.69313917343398,-8.69330699811523,-8.69314392704753,-8.69342099634024,-8.6934524870808,-8.69334912840359,-8.69315026762657,-8.69333767316751,-8.69340009112997,-8.69335148341119,-8.69325341172479,-8.69332579543975,-8.69354022989267,-8.69337838767247,-8.69330309800275,-8.69333402388339,-8.69324497580075,-8.69325011435819,-8.69323772821395,-8.69352985015352,-8.6935599898197,-8.6934607505047,-8.69333198860374,-8.69321059532671,-8.6933818941158,-8.6932386320729,-8.69337409831956,-8.69317715149723,-8.69326901740271,-8.69332414731369,-8.6933579783447,-8.69352655205255,-8.69307657719047,-8.69326233840637,-8.69339128562444,-8.69324203331397,-8.6934006100832,-8.69342248957593,-8.69329971677704,-8.6933145639553,-8.69360158474786,-8.69321749256134,-8.69327057777866,-8.69321528212109,-8.6931724808296,-8.69342217151481,-8.69329604393798,-8.69321986965922,-8.69331336667541,-8.69352868035182
"OTU_344",-4.55051067338517,-4.55005727060274,-4.55015746369175,-4.55010373955598,-4.54996549793444,-4.55001688327566,-4.55042434257545,-4.55022837421633,-4.55020381341834,-4.55015139841237,-4.55000444704245,-4.5501722717237,0,0,-4.55031776068927,0,-4.55001554123503,-4.55020294677598,0,2.19722457733622,0,0,-4.55040550350114,-4.55024366128093,0.693147180559945,2.70805020110221,0.693147180559945,-4.55011538796666,0.693147180559945,0.693147180559945,0.693147180559945,1.38629436111989,0,0,0.693147180559945,0,-4.55023937192802,1.09861228866811,-4.55013429101118,0,0,-4.55039182566102,-4.54994185079894,0,-4.55025655923291,0.693147180559945,0,0,-4.55016499038551,0,0,-4.55008276616981,-4.55013585138712,-4.55008055572956,-4.55003775443807,0,-4.55016131754645,-4.55008514326769,-4.55017864028387,0
"OTU_890",-7.0842074873426,-7.08375408456017,-7.08385427764918,-7.08380055351342,-7.08366231189187,-7.08371369723309,-7.08412115653289,-7.08392518817376,-7.08390062737577,0,-7.08370126099988,-7.08386908568113,-7.08370601461343,-7.08398308390614,-7.0840145746467,-7.08391121596949,0,-7.08389976073341,-7.08396217869587,-7.08391357097709,-7.08381549929069,-7.08388788300565,0,-7.08394047523837,-7.08386518556865,-7.08389611144929,-7.08380706336665,-7.08381220192409,-7.08379981577984,-7.08409193771942,-7.0841220773856,-7.0840228380706,-7.08389407616964,-7.08377268289261,-7.0839439816817,-7.0838007196388,-7.08393618588546,-7.08373923906313,-7.08383110496861,0,-7.0839200659106,-7.08408863961845,-7.08363866475637,0,-7.08395337319034,-7.08380412087987,-7.0839626976491,-7.08398457714183,-7.08386180434294,-7.0838766515212,-7.08416367231376,-7.08377958012724,-7.08383266534455,-7.08377736968699,-7.0837345683955,-7.08398425908071,-7.08385813150388,-7.08378195722512,-7.08387545424131,-7.08409076791772
"OTU_543",-6.12869604231516,-6.12824263953273,-6.12834283262174,-6.12828910848598,-6.12815086686443,0,-6.12860971150545,-6.12841374314633,0,-6.12833676734237,-6.12818981597245,0,-6.12819456958599,-6.12847163887871,1.38629436111989,-6.12839977094206,-6.12820091016503,-6.12838831570598,0,-6.12840212594965,-6.12830405426325,-6.12837643797821,-6.12859087243114,-6.12842903021093,-6.12835374054121,-6.12838466642185,0,0,-6.12828837075241,-6.12858049269198,-6.12861063235816,-6.12851139304317,-6.1283826311422,-6.12826123786517,-6.12843253665426,-6.12828927461137,-6.12842474085802,-6.1282277940357,-6.12831965994117,-6.12837478985215,-6.12840862088316,-6.12857719459102,-6.12812721972893,-6.12831298094483,-6.12844192816291,-6.12829267585243,-6.12845125262166,-6.12847313211439,-6.12835035931551,-6.12836520649376,0,-6.12826813509981,-6.12832122031712,0,-6.12822312336807,-6.12847281405327,-6.12834668647645,-6.12827051219768,0,-6.12857932289029
"OTU_2666",-7.59503311110859,-7.59457970832616,-7.59467990141517,-7.59462617727941,-7.59448793565786,-7.59453932099908,-7.59494678029888,-7.59475081193975,-7.59472625114176,-7.5946738361358,-7.59452688476587,-7.59469470944712,-7.59453163837942,-7.59480870767213,-7.5948401984127,-7.59473683973548,-7.59453797895846,-7.5947253844994,-7.59478780246186,-7.59473919474308,-7.59464112305668,-7.59471350677164,-7.59492794122456,0.693147180559945,-7.59469080933464,-7.59472173521528,-7.59463268713264,-7.59463782569008,-7.59462543954584,-7.59491756148541,-7.59494770115159,-7.59484846183659,-7.59471969993563,-7.5945983066586,-7.59476960544769,-7.59462634340479,-7.59476180965145,-7.59456486282912,-7.5946567287346,-7.59471185864558,-7.59474568967659,0,-7.59446428852236,-7.59465004973826,-7.59477899695633,-7.59462974464586,-7.59478832141509,-7.59481020090782,-7.59468742810893,-7.59470227528719,-7.59498929607975,-7.59460520389323,-7.59465828911055,-7.59460299345298,-7.59456019216149,-7.5948098828467,-7.59468375526987,-7.59460758099111,-7.5947010780073,-7.59491639168371
"OTU_88",2.63905732961526,2.89037175789616,2.89037175789616,4.14313472639153,3.73766961828337,3.3322045101752,2.99573227355399,2.94443897916644,3.73766961828337,0.693147180559945,1.79175946922805,0.693147180559945,2.07944154167984,1.79175946922805,1.09861228866811,2.70805020110221,1.6094379124341,2.484906649788,3.09104245335832,3.09104245335832,3.40119738166216,0.693147180559945,0,-1.65635077298619,3.87120101090789,3.25809653802148,3.46573590279973,2.484906649788,3.8286413964891,3.73766961828337,3.80666248977032,3.78418963391826,2.70805020110221,2.19722457733622,2.39789527279837,3.76120011569356,3.04452243772342,1.09861228866811,2.89037175789616,2.63905732961526,2.19722457733622,3.2188758248682,1.6094379124341,3.29583686600433,1.38629436111989,2.56494935746154,2.89037175789616,2.99573227355399,2.39789527279837,2.99573227355399,2.56494935746154,3.13549421592915,3.09104245335832,2.77258872223978,3.17805383034795,0.693147180559945,1.38629436111989,1.6094379124341,2.99573227355399,3.3322045101752
"OTU_431",-5.74920642061026,-5.74875301782783,0,-5.74879948678108,-5.74866124515953,-5.74871263050075,-5.74912008980055,-5.74892412144142,-5.74889956064343,-5.74884714563747,-5.74870019426754,-5.74886801894879,0,-5.7489820171738,0,-5.74891014923715,-5.74871128846013,-5.74889869400107,-5.74896111196353,-5.74891250424475,-5.74881443255835,-5.74888681627331,0.693147180559945,-5.74893940850603,-5.74886411883631,-5.74889504471695,-5.74880599663431,0,0,-5.74909087098708,-5.74912101065326,-5.74902177133826,-5.7488930094373,-5.74877161616027,-5.74894291494936,0,-5.74893511915312,-5.74873817233079,-5.74883003823627,0,-5.74891899917826,-5.74908757288611,-5.74863759802403,-5.74882335923993,-5.748952306458,-5.74880305414753,-5.74896163091676,0,1.09861228866811,-5.74887558478886,-5.74916260558142,1.79175946922805,-5.74883159861221,-5.74877630295465,-5.74873350166316,-5.74898319234837,-5.74885706477154,-5.74878089049278,-5.74887438750897,-5.74908970118538
"OTU_2821",-8.6936453997767,-8.69319199699427,-8.69329219008328,-8.69323846594752,-8.69310022432597,-8.69315160966719,-8.69355906896699,-8.69336310060786,-8.69333853980987,-8.69328612480391,-8.69313917343398,-8.69330699811523,-8.69314392704753,-8.69342099634024,-8.6934524870808,-8.69334912840359,-8.69315026762657,-8.69333767316751,-8.69340009112997,-8.69335148341119,-8.69325341172479,-8.69332579543975,-8.69354022989267,-8.69337838767247,-8.69330309800275,-8.69333402388339,-8.69324497580075,-8.69325011435819,0,-8.69352985015352,-8.6935599898197,-8.6934607505047,-8.69333198860374,-8.69321059532671,-8.6933818941158,-8.6932386320729,-8.69337409831956,-8.69317715149723,-8.69326901740271,-8.69332414731369,-8.6933579783447,-8.69352655205255,-8.69307657719047,-8.69326233840637,-8.69339128562444,-8.69324203331397,-8.6934006100832,-8.69342248957593,-8.69329971677704,-8.6933145639553,-8.69360158474786,-8.69321749256134,-8.69327057777866,-8.69321528212109,-8.6931724808296,-8.69342217151481,-8.69329604393798,-8.69321986965922,-8.69331336667541,-8.69352868035182
"OTU_182",1.38629436111989,0,1.79175946922805,1.09861228866811,-4.16050073117271,-4.16055211651393,-4.16095957581373,1.79175946922805,-4.16073904665662,-4.16068663165065,-4.16053968028073,-4.16070750496198,0,-4.16082150318699,-4.16085299392755,-4.16074963525034,-4.16055077447331,0,2.77258872223978,2.99573227355399,0,0,0,-4.16077889451921,0,2.484906649788,-4.1606454826475,0,-4.16063823506069,0,0.693147180559945,0,0,-4.16061110217345,0,-4.16063913891965,-4.1607746051663,1.38629436111989,0,0,-4.16075848519144,-4.1609270588993,0,-4.16066284525311,-4.16079179247119,-4.16064254016071,-4.16080111692994,-4.16082299642267,-4.16070022362379,-4.16071507080204,-4.1610020915946,-4.16061799940809,-4.1606710846254,-4.16061578896783,-4.16057298767635,1.6094379124341,-4.16069655078473,-4.16062037650597,-4.16071387352215,-4.16092918719857
