"ASVID","ZN3TBJM_nasal_920","ZN3TBJM_nasal_921","ZN3TBJM_nasal_922","ZN3TBJM_nasal_923","ZN3TBJM_nasal_924","ZN3TBJM_nasal_925","ZN3TBJM_nasal_926","ZN3TBJM_nasal_927","ZN3TBJM_nasal_928","ZN3TBJM_nasal_929","ZN3TBJM_nasal_930","ZN3TBJM_nasal_931","ZN3TBJM_nasal_932","ZN3TBJM_nasal_933","ZN3TBJM_nasal_934","ZN3TBJM_nasal_935","ZN3TBJM_nasal_936","ZN3TBJM_nasal_937","ZN3TBJM_nasal_938","ZN3TBJM_nasal_939","ZN3TBJM_nasal_940","ZN3TBJM_nasal_941","ZN3TBJM_nasal_942","ZN3TBJM_nasal_947","ZN3TBJM_nasal_948","ZN3TBJM_nasal_949","ZN3TBJM_nasal_950","ZN3TBJM_nasal_951","ZN3TBJM_nasal_953","ZN3TBJM_nasal_955","ZN3TBJM_nasal_957","ZN3TBJM_nasal_959","ZN3TBJM_nasal_961","ZN3TBJM_nasal_963","ZN3TBJM_nasal_964","ZN3TBJM_nasal_966","ZN3TBJM_nasal_967","ZN3TBJM_nasal_968"
"OTU_1",-0.347354403938179,-0.434442144585027,-0.955208552400556,-0.881178073949813,-0.0872827842378693,-0.824354315558435,-0.652952258233577,-1.01137604940567,-1.12417848495233,1.10601863269979,-1.42585144762906,-1.3178593697032,-0.556689040559172,-1.65998058411078,-0.909016846982364,-0.608016439115473,-2.08764136399361,-1.46031917664806,-1.73800039579079,-1.85894026325918,-0.783999094212473,-1.18214217206345,-1.10213962918608,0.0332428624433905,-1.08523610784042,-1.92939289232185,-1.40655711030298,-0.893615385386596,-1.35924330509888,-2.06894770126773,-1.55552269729964,-1.18211920303932,-0.673977264452225,-1.03286091110533,0.0707191137680585,-0.429606075090148,-1.99122875718279,-1.26693367212714
"OTU_5",-2.55441538406689,-2.09439829959594,-2.62415253576082,-2.54694770243615,-2.2031725502623,-1.72695947600114,-1.74495847578856,-0.948216579851138,-1.78428424431743,-2.44754122473647,-2.75689850649669,-1.9343956288455,-2.2423599347604,-0.933288308242726,-1.5357913722658,-1.21723039744191,-2.02203384452811,-1.98844807879108,-1.06087196068526,-1.16015671102344,-1.26111491013989,-1.12136042619405,-2.25996466796986,-2.04234263605041,-1.42084249786512,-1.63167254092898,-1.31144647032346,-1.77376797943501,-0.938682648407784,-1.00106547183207,-1.19731517740952,-1.39015856686672,-2.22604501587171,-1.61345283035958,-2.92198126462062,-2.08649667372927,-1.93867684446179,-1.41645842483124
"OTU_2",-3.23243060122602,-2.53796121274389,-3.00867145592519,-1.97089567592673,-2.5092624567361,-2.44029748374452,-2.00957033598828,-1.95904165087905,-1.52616418417912,-2.83532875206097,-0.465244590537507,-1.55907689486709,-2.59459532486817,-1.22965181874363,-1.47617859163822,-1.55678084863688,-2.51119539388587,-1.87725454569972,-1.59239204516111,-1.1506967872948,-1.32895381450465,-1.09803241042629,-4.10018333919593,-2.74003611920203,-1.70151915820925,-1.14710663860672,-1.14351483528882,-1.17689399845761,-1.59613984412947,-0.870506622696162,-1.19002844848375,-1.6458737671026,-1.75315602813774,-4.93207297159315,-4.2384886325563,-4.25331875501906,-0.314442180315459,-1.62781113269072
"OTU_37",-1.59397506102266,-1.34350708591468,-0.740452179958279,-0.95848195431973,-1.8100510688416,-1.25647778916972,-1.62690791735664,-2.06468475643399,-1.54286797927074,-3.36248867868964,-1.86563436831231,-1.26967038268466,-1.16822111336209,-1.96295744080335,-1.94287677969198,-2.29857707159651,-4.08698420781581,-1.38876383692555,-1.61881786656392,-1.92709008972854,-2.32852314654249,-2.3508989532726,-7.72709448477984,-1.89960445821354,-1.78259909982939,-2.2106027032824,-2.07775092420193,-1.90682276034727,-2.22019113845627,-2.75939725748542,-2.28530041974977,-2.18843331192505,-1.70803465821027,-1.47045472167016,-1.76018444095662,-1.32202902670714,-2.36472958979094,-2.07968613016094
"OTU_44",-2.33292813211531,-2.21053713022853,-1.99766121410776,-2.36656542265745,-2.71137799119488,-2.31732737473125,-2.26481786846875,-2.7510675861859,-2.63172262265256,-4.10704890732187,-2.46284520587586,-2.37178412879468,-2.43628677084674,-2.81217918951079,-2.51454204663349,-3.01391459263718,-4.34782777364563,-2.55718004233592,-2.54553127160444,-2.62369886153373,-3.2547366961331,-3.26603038900012,-7.32140899099585,-2.60442972416426,-2.50523012275991,-2.53314295074748,-2.62646702939134,-3.01929507018416,-3.41485658233773,-3.34370751273134,-3.14207393337076,-2.26625222477908,-2.74323087153757,-2.62129487327542,-3.02438752931437,-2.52409941085116,-2.85551189277867,-3.18943569690327
"OTU_42",-2.88895833009902,-2.54436345645361,-2.15915894030691,-2.27263277071069,-3.18830077608594,-2.82992695612185,-2.88598223947005,-3.06357505865771,-2.70098303387912,-4.30609006858394,-2.51538291365746,-2.35221878315192,-2.70851792795826,-2.92352912643679,-2.60423666022781,-3.32334705634114,-7.0842907341512,-3.06095989544239,-2.90856873588239,-3.02995308890135,-3.49007239003021,-3.48314730930014,-6.47322910188554,-3.29248453299558,-2.28537625531341,-2.88654076729522,-2.5034365572405,-2.64345395824105,-3.39340453910804,-3.71504917184732,-3.26328666588565,-3.65769652667725,-2.56265050587443,-1.92587699398354,-2.62985763271684,-2.01600333240827,-2.68034362824285,-2.87351870586213
"OTU_23",-3.90974769159101,-4.18789649981523,-5.59054790256747,-4.54572975856995,-4.30271282795416,-3.65992445184938,-3.68171096463532,-2.97446703870713,-3.45663665894461,-4.41279829334063,-5.05426713041451,-4.0350244688851,-3.78800771828701,-3.08309599310714,-3.55080259911774,-3.15767208802861,-5.70976454633375,-3.99998921097671,-3.04952244814013,-3.12721027736667,-3.12942473568035,-3.25990485677827,-4.10018333919593,-3.67984756101678,-3.2845500644697,-3.37306337037536,-3.4883496504974,-3.93424614221286,-3.05577431452086,-2.72144901015985,-3.06307329605241,-3.74196875376567,-4.17308631567919,-3.49847655053481,-4.69570708703976,-4.22257586449728,-3.5025965732537,-3.36954706911826
"OTU_135",-8.85058846713978,-5.48850265980221,-7.04031745206511,-8.85031909558593,-6.105685691198,-5.51834495718399,-8.85056778294213,-5.64632989990812,-7.02775807137683,-8.85045818145759,-8.85036368574488,-4.12937202303402,-4.86246668594655,-4.46855712682616,-5.77321969185142,-6.83582953941055,0.248742726746143,-7.03768644857417,-6.64509096950564,-5.54885989205036,-4.9674232930065,-5.13165041232742,-8.42046200245647,-5.60407046413172,-8.85017367025519,-8.85005012816875,-8.85043411087181,-7.74867570383152,-8.85064640576164,-8.8503027266475,-6.64357269570786,-8.8501185768476,-8.85056998842842,-7.64683139143048,-8.85041725577299,-7.74824429744001,-8.85081062761197,-8.85073098220759
"OTU_21",-4.04578164495741,-5.17332087637335,-4.78155309121446,-4.58873145964493,-4.35468248354436,-4.30496558853742,-4.8336328987799,-4.20290889539518,-5.23155415038835,-5.36464000947911,-5.78580125059818,-4.85892607591898,-4.23677851687507,-4.83980303735006,-4.45255678547972,-5.00567678442185,-4.98028693292325,-4.26780866518199,-4.45631989963288,-4.01857792944745,-4.82115302535518,-4.2926664603625,-0.754581715759925,-8.348754085235,-8.34228466356955,-8.3528331085949,-8.35112323770428,-4.51939440896669,-6.79950169354188,-8.29898506352873,-5.13492659741352,-5.41920668382349,-5.61420095275211,-5.03815438119065,-4.44177941685358,-4.56021640348694,-5.90445317011835,-5.20948615284142
"OTU_22",-3.05250557474373,-7.04990567108681,-4.33695834927218,-4.38980877511594,-4.73822069377526,-4.59601731485716,-4.17572416849048,-4.58363562497758,-5.11310273997165,-4.431714868055,-3.80064441744476,-6.62892282180734,-8.53102057432235,-5.71987452255585,-7.31610511115889,-5.4978151255853,-8.52780967573172,-1.72064833598963,-3.37403439995968,-3.06985758258933,-4.71762741154495,-3.9025275161738,-8.52882197506998,-4.42168431528004,-8.5315071198907,-4.80445235808909,-7.05854316810421,-8.44203851781548,-5.22664232984115,-5.10933366688053,-6.23745619250555,-8.52776834703753,-5.88332238848828,-5.1994574154933,-3.67244072777078,-5.30135622280455,-6.44458538931497,-5.86603213713563
