"ASVID","ZN3TBJM_nasal_920","ZN3TBJM_nasal_921","ZN3TBJM_nasal_922","ZN3TBJM_nasal_923","ZN3TBJM_nasal_924","ZN3TBJM_nasal_925","ZN3TBJM_nasal_926","ZN3TBJM_nasal_927","ZN3TBJM_nasal_928","ZN3TBJM_nasal_929","ZN3TBJM_nasal_930","ZN3TBJM_nasal_931","ZN3TBJM_nasal_932","ZN3TBJM_nasal_933","ZN3TBJM_nasal_934","ZN3TBJM_nasal_935","ZN3TBJM_nasal_936","ZN3TBJM_nasal_937","ZN3TBJM_nasal_938","ZN3TBJM_nasal_939","ZN3TBJM_nasal_940","ZN3TBJM_nasal_941","ZN3TBJM_nasal_942","ZN3TBJM_nasal_947","ZN3TBJM_nasal_948","ZN3TBJM_nasal_949","ZN3TBJM_nasal_950","ZN3TBJM_nasal_951","ZN3TBJM_nasal_953","ZN3TBJM_nasal_955","ZN3TBJM_nasal_957","ZN3TBJM_nasal_959","ZN3TBJM_nasal_961","ZN3TBJM_nasal_963","ZN3TBJM_nasal_964","ZN3TBJM_nasal_966","ZN3TBJM_nasal_967","ZN3TBJM_nasal_968"
"OTU_1",1854,1814,1270,1339,2149,1373,1561,1213,1107,3388,886,960,1662,733,1297,1642,501,859,691,626,1451,1079,1132,2355,1154,593,916,1347,918,467,804,1064,1580,1100,2402,1828,530,1011
"OTU_5",323,506,309,332,447,680,678,1270,649,359,273,574,438,1295,800,1064,531,549,1188,1108,1022,1130,429,532,889,765,988,673,1263,1119,1070,904,456,696,237,512,555,898
"OTU_2",170,338,215,559,338,361,539,562,806,250,1764,790,317,1038,840,811,341,605,781,1116,969,1150,74,281,705,1127,1125,1093,757,1229,1076,733,691,30,66,65,1862,755
"OTU_37",756,955,1476,1267,632,998,749,512,795,151,613,997,1082,565,566,425,75,910,764,590,411,400,2,603,658,462,518,600,440,248,426,457,718,783,681,976,379,511
"OTU_44",396,456,546,392,280,404,429,273,303,73,359,388,367,260,338,218,58,328,336,314,172,169,3,319,345,344,314,216,143,142,191,426,283,284,215,344,240,182
"OTU_42",236,336,473,427,178,251,241,203,284,60,342,395,285,234,311,162,0,204,239,214,137,137,7,166,422,247,352,308,146,99,170,114,335,533,312,545,283,246
"OTU_23",88,69,17,48,60,113,112,221,138,54,29,79,101,201,126,190,15,82,209,195,194,170,74,114,165,155,138,89,202,257,206,105,71,123,42,67,129,153
"OTU_135",0,19,4,0,10,18,0,16,4,0,0,72,35,52,14,5,2552,4,6,18,32,27,1,17,0,0,0,2,0,0,6,0,0,2,0,2,0,0
"OTU_21",77,26,38,46,57,60,36,67,24,21,14,35,65,36,52,31,31,63,53,82,37,62,1452,0,0,0,0,50,5,0,27,20,17,27,54,48,12,25
"OTU_22",202,4,59,56,39,45,69,46,27,53,100,6,0,15,3,19,0,692,153,206,41,91,0,55,0,38,4,1,24,25,9,0,13,23,115,23,7,13
"OTU_89",0,0,0,0,1,1,0,1,0,0,24,0,52,2,48,1,0,15,21,14,14,32,62,0,19,0,46,72,137,43,85,0,421,110,160,53,30,395
"OTU_57",23,12,12,6,15,22,4,29,7,3,0,30,14,24,0,27,8,21,53,45,24,56,59,34,56,0,13,22,164,18,66,73,39,65,0,29,28,93
"OTU_255",12,4,41,0,11,3,5,11,1,4,0,6,8,7,0,12,0,7,5,21,5,7,524,12,7,0,8,7,13,0,13,0,4,4,21,15,9,30
"OTU_175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,306,10,14,30,49,7,90,2,0,76,5,1,54
"OTU_3",0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,0,1,5,1,1,1,0,33,0,0,0,1,5,0,0,295,0,0,1,168,21,11,21
"OTU_631",50,7,7,21,9,15,13,9,4,2,27,5,0,0,0,0,0,14,3,0,1,0,90,0,3,19,49,33,38,24,29,0,11,7,0,17,20,2
"OTU_31",8,12,8,6,7,25,29,21,269,17,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_801",3,0,0,0,0,5,0,3,0,0,0,10,0,5,0,1,353,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9
"OTU_653",39,0,0,3,7,6,5,0,4,10,0,1,0,0,0,0,0,6,0,0,0,0,34,0,0,14,54,23,14,41,30,0,15,20,0,8,1,18
"OTU_382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,153,0,4,0,32,6,1,0,3,45,1,0,37
"OTU_1165",25,1,0,8,5,2,3,2,7,5,16,5,0,0,0,0,0,4,1,0,0,0,44,0,9,0,24,21,25,19,4,0,10,8,0,3,6,19
"OTU_156",3,3,4,0,16,5,13,6,14,0,5,10,7,17,2,3,0,1,3,1,3,9,0,30,37,4,5,9,0,0,4,0,0,0,0,3,20,31
"OTU_8692",0,10,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,12,4,212,0,0,0,0,0,1,0,2,0,1,1,0,0,3,0
