"ASVID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_25",-2.41935751714451,-2.37297436896694,-2.01508665840891,-2.05386026379546,-2.74651648193001,-2.31241801391028,-1.81255934333873,-2.44982885802375,-1.53032855513166,-2.01067955486702,-1.93477118233701,-2.11855995827531,-1.72045979164319,-2.79299428856117,-1.41112918076397,-1.40701830009395,-1.9632516240918,-2.0062581662975,-2.73714197324403,-1.97615278493236,-2.14874882914171,-2.04491891648253,-2.11274252880681,-2.42210273446264,-1.8361777606761,-1.72618021759303,-1.9335541434226,-1.73829382177059,-2.88476557642957,-3.12703249679971,-2.93575476374398,-2.57215864689119,-2.75366071235426,-2.50351183761903,-3.91266795869139,-3.14547765991333,-3.45751770189534,-3.41493241005231,-3.95320411913086,-3.61136826167233,-2.22900931883053,-3.62966009445396,-1.84697854318856,-3.92395157629342,-2.74576533350436,-3.17131071646306,-3.70363491967986,-1.93366912749858,-2.84378346889469,-1.94961822679137,-2.8544397486701,-2.6387234955277,-2.62594889961179
"OTU_33",-6.57507584059962,-3.43321886022914,-3.50522367430685,-3.35091184710997,-3.68561325632731,-4.93734749832642,-4.42799326755571,-3.89884565516234,-3.54360503408577,-4.84521360494052,-4.99145247467948,-5.45893063527334,-3.25302296042078,-8.10440130792161,-3.76794797758963,-3.44445119951043,-2.90673545580626,-4.63594184465485,-8.53217689671282,-2.3574230530388,-2.32635106459147,-1.64918846702581,-5.07423587550585,-5.97030474927236,-4.48831529090453,-2.05260149789002,-3.85980592344603,-2.68356998425492,-1.14212666647361,-1.43001266319136,-2.19203390886416,-2.47505435334499,-3.13807011431758,-7.53743003658651,-2.83790818836042,-2.93519506050471,-0.903344745761228,-1.69259291617944,-1.07315266505679,-2.2423599347604,-2.53210099177051,-3.94108802114003,-2.49935776832617,-1.02419080740438,-1.71149317295661,-1.64571949438193,-2.17149968609778,-2.07983209040575,-1.97958889674188,-2.48140178719109,-1.80754333692932,-1.53465376201403,-1.26575328828505
"OTU_6",-2.83026783382646,-2.59829933714309,-2.5050878976478,-1.93925381207573,-3.08771096776731,-2.1729287114283,-2.0822387463009,-2.64254502933354,-1.9424618697764,-2.45048919730123,-2.04645504268353,-2.21768564920756,-2.22770242745103,-2.95402065579402,-1.85345904876987,-1.91176419138146,-2.05355692058699,-2.51620553142144,-3.39745205893199,-2.58740875336703,-2.86772039967848,-2.10905728504427,-1.57441129032285,-2.43923661295481,-2.35468392365598,-2.27496578802148,-2.51308870937244,-2.15948424935337,-3.12066380098872,-3.10302274383255,-3.21700491693239,-2.99241796376261,-2.30724348651137,-3.3125317445765,-3.94610231908101,-2.94258403521034,-3.40949618447685,-3.63377002326522,-3.11090931394985,-3.62862552629386,-2.93527430451688,-3.99426110366512,-2.81822265022778,-3.97623252508224,-2.12060830434693,-3.58652645952007,-3.50254987592244,-2.93028009314775,-4.12102255584546,-3.00661039170117,-2.90534821208572,-2.73802382062269,-2.52935841235883
"OTU_35",-3.26826858019778,-3.1440746117855,-2.60687379196696,-2.71179318738104,-3.14889724605649,-3.12661184813022,-2.51937517033608,-3.29471390125971,-2.12863746767265,-2.72078922687964,-2.60450358037307,-2.67310317102498,-2.45143072059161,-3.56596652478196,-2.14406520905612,-2.11900883089119,-2.59094261295546,-2.76179839222143,-3.26155838254884,-2.75085188611762,-2.97204349221651,-2.59436833319004,-2.67697656447755,-3.37423456590438,-2.44200191025793,-2.7439238022813,-2.82253029701425,-2.61742946945764,-3.98222726410139,-4.04205772577567,-3.93956475371728,-3.32350880320765,-3.62073082075227,-3.28157441908376,-4.43691144481362,-4.06152001657406,-4.03054650761225,-4.16855834888309,-4.29514511938173,-4.10509735399836,-3.07741778844985,-4.66115933412778,-2.7169233737827,-4.6269316777696,-3.11544581174043,-4.25742534935219,-4.80500416786668,-2.93751853632187,-4.2926200469583,-3.06728257842038,-3.29119648644783,-3.41644009610878,-3.64912918900806
"OTU_41",-4.0196966332518,-2.12723220551618,-3.09239838576945,-2.57378593926203,-3.05422400635301,-4.43189846471405,-4.17029728464411,-3.120895416508,-2.84997171240306,-3.9440060512812,-2.63112936016307,-3.98434366700777,-4.58299054227712,-2.52654463782558,-3.89152871041356,-4.45980433571657,-3.33025455830612,-2.94191452216152,-4.6928757664072,-3.05117851786083,-2.38688935308266,-4.06822010742469,-4.34980575566272,-3.45690798867616,-3.12133760090609,-4.24426553019599,-4.38496349434719,-3.56246552925828,-3.36901848329792,-3.5712080193728,-3.26673184604584,-2.11307161242539,-3.75365833097914,-2.57416070641477,-3.24213268703247,-3.50124259125664,-2.28945580155225,-2.30035211848973,-3.63325629663432,-3.77793123172984,-3.42225079085999,-3.62966009445396,-3.22822330508088,-3.36930251962306,-3.71831216090105,-2.52170308535843,-2.74969347989781,-3.26496693206847,-3.00508687872121,-2.85367039104574,-4.05881514106761,-3.3013447367242,-4.093586699359
"OTU_29",-2.30156416385994,-3.45808475606421,-3.30732347878663,-3.87957927655389,-2.2454266791541,-3.28847577277304,-3.54929805099614,-2.98666876740064,-3.55472675050329,-2.81857806587742,-3.23692621761758,-2.89278430430155,-3.81571232529024,-3.69821078154282,-4.3406257689363,-4.19856806809285,-3.12505706965055,-2.70933143125826,-4.53719720240189,-4.10334349809067,-2.9480008707328,-3.35781708603193,-2.75717099843716,-3.78126327839146,-3.99352214187276,-3.84719726355947,-3.7905034896193,-3.53934772014297,-4.38472569164305,-3.08730413124771,-4.97782207918681,-3.83837646525985,-5.86894374343206,-4.12066187053947,-2.82587508564228,-4.38202663467388,-4.77546316691644,-4.36705018048432,-4.48553198229527,-3.34086652011275,-3.6410427825943,-1.73815210541008,-3.40462791675894,-4.56174062806076,-4.51992348480804,-3.61158502407657,-2.95061183827352,-3.72249910331375,-4.80009316966005,-3.47458146909209,-3.39822266454541,-4.93102727454084,-4.70727540892524
"OTU_59",-7.67461749736436,-4.48337912893417,-8.50668166125393,-8.50605345442183,-5.99609665943454,-8.50741056207701,-8.07713663853845,-8.50725287039229,-5.3921112458344,-4.12231841426451,-4.76660853186562,-3.897158982796,-6.0789520012311,-5.79909265446053,-5.21034859360208,-5.15871717579626,-7.37211802833779,-8.50730849550221,-6.30961520200053,-8.50762538172408,-6.78784498230958,-6.95591032086918,-6.68866599799597,-3.50078036993921,-3.34744163835733,-4.73814586867889,-3.36804517434526,-4.92504583060949,-7.31421988742339,-5.94770856515294,-7.23525884562059,-4.61193298093891,-3.78563159523516,-3.32835094085921,-2.2270775404859,-3.26803222233233,-2.82477447541035,-3.84222335697125,-3.68024856491466,-2.29921403273446,-2.65684687117876,-1.72299502123926,-2.83708046084594,-3.81129519163627,-3.42923208378014,-2.41789593950504,-3.2047769004887,-3.5302982422512,-2.14622859230124,-3.16130812011903,-3.13616288863879,-2.02554141874732,-3.72741311811618
"OTU_72",-2.99135376984274,-5.81338398457128,-3.29785503016057,-4.22584687061984,-6.15060276844628,-3.54224266824132,-3.96429914999352,-4.35817295579448,-5.2088788039008,-4.57711358820557,-7.30013514754165,-5.72227705729237,-3.60590034065225,-3.91048335924255,-4.62410738700784,-2.92827559143856,-2.70805020110221,-2.78348277422965,0.467644210140966,-3.30127710848413,-4.55387689160054,-3.3007849216217,-4.10866461599685,-8.48494373452354,-8.05452260953729,-8.48459474383441,-7.92334821193015,-8.48490491207104,-8.48259975372861,-8.48312135816356,-8.48308875441578,-8.48369233863768,-8.48454414723006,-4.69565591258603,-8.48423693208544,-8.48422390027569,-8.48468588872171,-8.48463982543187,-8.48418636294222,-8.48440055925075,-8.48483191956208,-8.48422111857251,-8.48462786053695,-8.48477008528665,-8.48464295420144,-8.48474213821571,-8.48477616283558,-8.48448011512155,-8.4844643680378,-8.48445037558863,-8.4847434199844,-8.48443142024461,-8.48357289426878
"OTU_71",-4.32979304872669,-4.04989279965127,-3.90379250629163,-3.08819750122608,-2.96706437868442,-2.97022728728184,-4.05289105520849,-3.95603989084492,-4.2620673195949,-3.59192234925249,-3.76639313411464,-4.46129981556839,-2.82186326520289,-3.20513848738747,-4.15569513688348,-4.52110899836166,-4.07881580777428,-4.24697432920865,-6.02132670139189,-3.75529873563287,-3.09398969981825,-4.37945923916864,-5.12584191422746,-4.30116513950438,-3.84400368585972,-4.85690119415421,-5.14531186408813,-4.47290782906687,-4.56367592253495,-4.49226494042959,-4.15232090159033,-3.92718027864979,-4.10623016945608,-7.69488827666492,-2.79634280824789,-4.19720194766181,-5.34966835157914,-3.89285746328571,-3.55930846270551,-3.56122644151878,-3.84946102427149,-3.33958957227266,-3.60311729652474,-3.54345495797546,-4.09936339333404,-3.97095372694491,-4.98066688416741,-4.73830149859127,-5.45460861087441,-3.9207724955486,-3.98475158053576,-4.59795673146979,-4.58836306767171
"OTU_97",-2.54315552806751,-3.79606034577982,-3.55202027139674,-4.58300322740064,-4.716711560721,-4.46303041882697,-5.12709191439022,-4.38752619023992,-4.33042729590751,-4.14416938763231,-4.5825836873153,-4.37807145483095,-4.51981033703693,-4.06228859704383,-4.11874677260337,-4.27020900227314,-4.72485617179056,-3.46542644898324,-7.00367133581196,-4.13838942788482,-3.9982007016692,-5.27779573082724,-5.07423587550585,-4.10410073716747,-4.67829245081705,-4.53552775293234,-4.44632098537928,-4.56086992709151,-7.9800958710278,-5.13350823483871,-3.79604162450528,-3.21413734324826,-4.04197657670478,-4.19073640789717,-3.61416889080007,-3.96063345893127,-3.23641344553353,-3.37185964341954,-3.58826954121471,-3.49786349387762,-3.95330203834758,-3.16834013816031,-4.3617567929869,-3.89050277486339,-4.02535169073515,-3.19681610680347,-4.33007522904178,-3.19849249802522,-3.32341968061947,-3.73706666378816,-3.55205858483901,-3.61637276332719,-5.1806593230798
