"ASVID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_25",176,229,363,292,170,253,452,220,589,348,374,329,465,191,686,585,392,395,201,442,371,361,347,256,433,470,349,477,159,129,140,202,170,142,62,117,84,94,49,60,289,80,411,60,196,124,74,364,155,423,170,214,181
"OTU_33",3,84,90,87,69,20,38,55,93,23,20,13,114,1,79,92,165,32,0,314,316,508,20,8,35,354,57,204,727,593,279,221,118,1,175,143,793,459,663,219,219,59,229,818,497,498,315,320,342,262,440,569,590
"OTU_6",120,186,233,323,123,287,357,184,415,234,339,301,298,164,474,383,362,249,107,254,191,341,552,252,273,290,207,330,127,132,107,136,257,66,60,142,88,76,111,59,150,56,170,57,348,83,90,146,45,160,162,195,198
"OTU_35",79,111,212,160,116,118,240,99,352,182,204,198,243,91,367,319,222,198,122,218,173,219,207,104,252,188,155,217,55,53,53,99,74,68,37,48,48,45,35,37,131,29,187,30,138,43,25,145,38,151,112,102,68
"OTU_41",38,286,134,182,127,33,49,117,181,56,199,56,31,245,70,34,110,167,30,164,299,53,41,96,133,44,34,88,100,84,102,307,65,133,119,83,253,269,67,51,94,80,115,103,77,229,185,106,133,185,53,114,44
"OTU_29",196,82,109,52,270,101,90,133,92,166,112,161,66,80,45,44,134,208,35,59,177,106,192,70,57,65,61,90,37,134,19,60,8,30,177,35,23,37,29,78,76,463,97,32,35,81,153,68,23,102,101,23,24
"OTU_59",1,30,0,0,7,0,1,0,15,47,25,61,7,10,19,17,2,0,6,0,4,3,4,92,107,27,92,23,2,8,2,28,63,65,308,104,154,62,64,208,195,469,167,67,102,252,120,82,295,138,130,374,63
"OTU_72",103,8,110,37,6,79,60,35,18,30,2,10,81,65,34,151,199,194,2032,129,37,112,52,0,1,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_71",28,46,61,112,138,137,55,52,46,79,67,35,172,129,54,32,53,47,8,83,154,39,19,42,66,24,16,36,31,34,43,55,46,0,182,42,13,59,72,63,62,106,80,87,53,57,21,25,12,66,57,32,27
"OTU_97",157,59,86,26,25,32,19,34,43,46,30,38,33,56,56,41,28,101,3,57,64,16,20,51,29,33,32,33,0,18,61,110,49,28,83,53,104,98,70,67,56,125,38,62,57,121,40,113,98,79,87,84,15
"OTU_48",37,57,161,18,58,101,272,37,17,53,153,99,30,77,19,8,9,2,0,2,4,5,2,5,6,86,67,1,21,142,7,78,80,70,74,17,3,4,5,15,45,21,83,115,43,7,203,13,116,83,22,134,0
"OTU_115",22,9,0,0,3,93,134,74,45,90,49,37,8,175,218,10,133,43,0,33,45,2,34,31,9,2,9,9,0,0,0,0,141,38,115,257,12,58,19,1,277,16,11,172,7,1,96,14,127,0,72,0,0
"OTU_16",6,33,12,49,13,56,99,97,11,12,16,43,27,7,24,49,61,40,3,77,30,65,162,51,34,127,59,36,118,120,110,42,125,7,37,17,14,62,31,21,65,19,58,62,108,70,87,15,19,43,11,38,71
"OTU_30",2,0,1,1,1,9,7,12,2,0,6,3,11,38,41,16,6,31,8,21,27,43,4,21,16,21,37,19,187,94,129,67,23,45,13,25,22,17,74,78,33,116,135,10,129,60,41,20,152,114,6,102,134
"OTU_210",37,55,8,13,56,51,51,71,111,128,106,34,61,34,53,32,13,27,1,65,37,34,175,286,146,4,33,72,0,0,0,0,49,2,1,15,16,110,0,1,2,1,7,19,10,3,36,9,6,26,11,4,12
"OTU_61",47,32,70,30,81,41,67,85,19,34,15,77,65,56,71,68,5,33,6,44,44,70,4,11,21,39,37,52,51,32,35,39,13,0,58,16,6,11,42,25,42,9,47,51,41,27,7,0,5,18,59,63,25
"OTU_254",5,92,22,34,20,20,23,31,3,14,6,25,41,26,29,13,28,116,0,32,77,42,28,19,31,24,6,54,79,78,156,19,15,32,8,19,41,15,46,97,38,26,11,10,43,42,75,30,8,23,32,42,37
"OTU_201",30,80,205,19,32,14,13,49,5,41,24,2,23,45,32,51,4,29,4,55,130,24,10,16,19,26,16,18,40,34,70,94,16,0,69,19,67,27,53,33,35,14,29,29,22,12,14,22,16,20,37,52,14
"OTU_128",82,22,40,17,111,46,34,54,32,61,33,60,30,23,19,12,50,85,20,28,51,38,69,22,17,24,21,34,14,56,4,20,5,3,59,7,18,16,13,46,23,132,21,14,10,30,54,21,4,43,46,10,9
"OTU_70",7,38,19,31,12,41,59,43,9,8,13,26,27,4,14,16,39,24,7,54,14,31,90,23,18,65,43,20,70,97,64,29,58,5,25,15,9,56,34,19,40,10,30,40,69,43,44,7,13,36,9,32,30
"OTU_252",21,29,5,9,17,17,24,25,36,58,73,14,74,46,27,28,9,14,2,49,15,16,91,207,124,15,49,82,0,1,0,0,35,4,0,24,22,125,0,0,1,1,14,22,7,3,70,4,12,58,11,9,13
"OTU_28",32,41,48,19,49,26,38,54,6,31,5,53,42,35,37,50,47,68,17,74,41,43,10,6,37,28,22,31,54,50,27,38,8,12,37,16,5,12,28,18,18,4,23,41,30,21,12,3,3,24,58,45,18
"OTU_226",24,29,27,40,35,28,21,14,26,36,37,56,36,150,49,13,4,13,5,38,15,13,24,37,17,13,22,16,17,17,31,14,15,1,38,18,22,28,16,19,46,77,17,26,19,36,41,23,29,40,29,19,10
"OTU_85",27,79,41,100,39,54,48,33,57,84,38,21,48,35,12,11,3,16,1,14,28,11,4,5,6,14,6,16,13,24,12,19,145,2,8,19,14,20,65,9,5,5,11,26,53,16,5,17,6,10,19,15,26
"OTU_36",0,0,1,4,1,4,6,7,0,0,2,2,9,28,13,12,12,25,6,9,16,20,2,20,12,15,25,11,101,54,73,53,9,18,12,30,16,12,58,46,24,77,86,6,84,43,13,17,86,59,2,67,102
"OTU_291",29,25,11,11,26,19,25,35,34,80,70,7,43,38,27,22,5,17,1,30,18,19,84,164,83,16,25,51,0,0,0,0,23,4,0,13,17,73,0,0,1,0,12,16,6,3,32,4,10,33,6,11,9
"OTU_74",32,37,37,28,65,50,22,20,6,21,25,54,40,90,15,4,23,32,18,25,26,17,25,16,13,28,13,27,15,14,4,9,6,10,46,9,10,4,6,5,2,23,25,34,25,30,28,13,32,25,28,11,12
"OTU_64",4,23,7,19,6,26,29,54,4,4,8,17,17,2,8,11,21,20,2,46,19,16,42,19,13,55,33,10,63,88,48,21,43,5,17,11,6,21,34,13,28,9,21,49,66,38,39,5,5,17,3,18,31
"OTU_4168",0,16,12,20,8,4,13,22,37,2,8,3,25,0,15,39,22,5,0,27,29,70,9,2,10,43,18,34,59,52,41,16,22,0,7,11,36,30,51,15,56,4,24,30,52,26,17,21,16,21,34,49,45
"OTU_326",13,42,23,55,43,27,29,23,33,48,36,25,40,24,18,12,2,17,3,22,22,13,4,3,12,17,6,22,13,15,12,30,177,1,4,40,13,14,44,2,3,7,10,24,38,16,13,10,10,17,18,23,31
"OTU_107",2,10,19,24,36,39,28,6,11,31,39,25,29,174,26,7,28,46,8,171,26,5,20,16,15,5,61,10,19,23,0,9,3,5,24,2,3,5,5,5,9,13,30,22,13,27,8,6,6,8,36,8,11
"OTU_124",24,4,7,0,8,6,9,1,3,5,5,7,14,44,11,2,8,10,35,1,1,5,6,83,30,17,104,22,8,48,24,34,33,76,52,62,3,49,10,19,47,54,8,27,6,16,15,19,27,3,47,9,1
"OTU_361",4,57,16,13,11,11,12,28,2,9,5,21,25,12,24,8,23,76,0,20,46,17,13,15,18,23,6,27,46,45,87,10,3,21,2,14,44,5,29,39,18,16,9,7,24,28,30,22,8,12,37,23,34
"OTU_224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,10,6,3,4,16,16,13,25,10,15,24,5,15,61,2,8,14,17,233,9,9,31,3,6,27,11,33,12,46,14,169,16,51,84,45,23,0
"OTU_264",1,9,5,22,3,4,5,2,2,7,6,6,7,22,11,2,5,23,0,11,11,4,12,27,23,25,40,24,0,0,86,56,33,26,64,58,25,26,19,18,24,63,21,28,49,32,33,21,14,31,58,28,0
"OTU_43",38,23,34,18,49,23,29,55,2,29,14,44,38,26,33,53,6,12,4,26,25,44,3,5,8,22,14,29,35,19,23,26,6,0,33,18,4,6,11,18,14,10,15,21,29,10,5,1,1,7,50,21,20
"OTU_172",12,14,41,2,32,21,11,25,10,26,5,4,10,1,3,3,4,6,3,5,12,5,8,6,8,7,8,15,56,24,69,61,38,12,38,55,7,37,31,43,20,36,6,16,19,10,25,39,57,57,22,4,18
"OTU_131",4,2,4,2,0,1,0,2,0,0,0,3,0,23,5,2,0,6,2,6,4,0,2,41,41,44,40,19,19,38,46,43,13,65,71,20,26,26,62,17,36,35,24,53,13,58,25,21,13,13,45,20,34
"OTU_169",42,28,63,24,21,18,18,33,17,39,39,47,22,106,4,1,3,12,1,20,19,0,2,13,15,14,74,23,9,16,20,10,21,17,13,16,16,9,4,15,14,22,17,13,18,27,3,15,5,20,21,13,7
"OTU_185",109,12,32,7,12,17,6,12,4,9,6,4,10,33,8,15,21,14,20,11,10,12,12,40,14,73,107,37,0,0,0,3,0,49,47,0,1,0,11,9,12,22,21,24,9,30,14,19,27,16,24,10,33
"OTU_240",0,6,8,2,21,7,3,2,11,6,12,2,9,50,20,9,4,5,176,22,13,9,16,30,9,2,53,5,2,2,5,22,13,32,32,57,12,100,7,13,12,45,4,22,1,22,10,18,13,5,48,4,15
"OTU_367",12,34,50,26,19,37,29,18,26,28,45,11,17,104,20,11,12,12,0,15,19,6,9,10,11,8,31,15,6,6,10,16,35,5,22,12,12,30,6,24,14,19,25,6,8,8,8,4,10,43,34,16,0
"OTU_76",0,10,12,13,25,17,32,41,31,10,23,48,7,8,22,40,0,2,0,11,27,14,36,28,97,21,2,9,32,16,6,11,6,5,6,0,23,6,20,23,14,41,6,5,16,12,28,9,13,41,11,20,52
"OTU_140",2,10,6,8,59,21,7,18,9,28,10,9,10,4,22,9,14,17,12,15,17,1,7,10,21,18,12,21,30,19,36,29,28,23,13,20,9,12,22,25,17,31,20,13,22,27,37,47,38,46,3,7,11
"OTU_168",15,21,19,25,8,11,25,25,45,21,35,25,17,4,14,25,37,8,14,21,13,20,14,25,55,16,16,32,30,21,24,40,23,17,6,17,15,23,14,4,28,3,16,7,12,15,10,11,4,9,3,11,7
"OTU_329",12,10,28,6,20,15,6,12,7,13,10,4,10,4,6,6,1,0,0,4,8,10,15,1,4,2,3,6,45,24,66,79,22,2,38,62,20,34,20,48,18,29,0,4,14,8,16,38,64,57,12,0,11
"OTU_249",13,37,12,38,30,15,30,27,34,46,30,22,35,30,8,9,7,22,2,12,21,3,2,6,3,16,6,13,9,7,9,17,116,1,3,18,24,15,27,6,1,2,15,30,29,10,9,11,2,14,15,20,14
"OTU_339",0,0,0,0,125,140,28,32,99,40,41,150,49,113,0,0,0,0,0,3,0,20,73,5,6,1,11,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_251",31,17,14,11,19,33,38,17,40,30,31,47,22,8,11,21,46,21,13,9,16,20,66,20,21,15,30,39,5,32,7,9,3,7,9,7,5,6,6,6,23,34,11,3,3,9,13,10,3,9,6,3,8
"OTU_186",8,2,4,0,0,1,4,12,20,9,4,0,5,2,99,40,126,54,0,10,2,15,29,3,15,1,0,15,0,0,0,11,20,28,20,66,9,13,22,9,7,5,3,49,4,1,10,32,58,1,80,6,0
"OTU_383",0,0,0,0,126,131,27,44,108,39,43,133,54,101,0,0,0,0,0,1,0,23,50,2,3,0,14,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_103",0,2,0,0,0,1,0,0,2,1,6,49,12,4,96,12,82,111,14,271,180,7,7,15,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_308",9,13,40,3,17,23,8,27,7,11,5,1,3,5,3,7,1,1,0,3,10,7,11,2,6,3,12,15,50,19,63,59,35,1,34,47,10,26,14,46,20,22,3,1,6,7,8,27,53,49,9,1,17
"OTU_159",2,14,10,15,3,16,30,35,4,3,8,10,13,3,3,12,21,24,1,24,9,22,45,14,17,35,19,9,32,34,27,17,23,5,11,7,3,15,14,15,19,6,23,12,43,35,31,8,9,21,5,7,29
"OTU_24",1,28,17,62,42,12,13,15,9,13,12,16,11,3,3,6,5,10,1,5,32,14,5,1,4,39,10,14,25,7,21,6,7,2,5,4,32,3,14,3,12,47,27,11,31,47,4,12,33,35,14,50,4
