"ID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_17521",0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,3,2,0,0,4,0,6,2,0,2,1,0,0,12,4,3,2,3,0,1,0,13,4,10,0,4,0,2,1,4,3,4,1,4,1,1,3,5
"OTU_3133",0,0,2,0,0,0,0,1,0,1,0,2,0,2,1,1,0,0,1,3,0,1,2,1,4,0,2,0,0,2,0,1,1,3,2,1,2,1,0,0,2,1,3,1,0,1,1,0,0,1,1,0,1
"OTU_105",53,12,12,26,23,12,15,15,18,15,8,19,11,46,27,8,13,3,7,30,11,21,8,3,8,3,6,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,1,0,1,2,0,3,2,1,3,1,1,2,0,1,4,1,4,3,0,1,1,1,2,0,0,0,1,1
"OTU_17524",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,3,1,1,1,4,1,9,6,0,1,2,3,1,0,1,0,3,0
"OTU_4243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,28,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7271",0,0,1,0,0,1,0,2,1,2,5,2,1,0,0,0,0,1,1,0,0,0,2,3,4,0,0,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,3,4,0,0,0,1,1,0,4,0,5
"OTU_3081",5,0,0,1,1,1,2,0,0,0,1,0,0,1,0,1,1,1,0,4,1,1,1,2,1,2,2,0,0,0,1,3,0,0,2,0,0,0,0,1,0,3,1,4,1,6,0,7,4,0,0,0,1
"OTU_18618",0,1,5,5,2,2,2,4,3,5,5,4,5,0,3,7,6,0,3,1,0,5,10,3,1,1,2,5,2,2,1,4,1,3,0,0,1,1,0,2,1,0,0,1,0,0,1,1,1,4,0,1,0
"OTU_7076",0,0,1,3,3,0,3,0,1,0,3,3,0,1,0,3,0,0,0,0,0,3,1,0,2,1,0,2,3,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
"OTU_3722",3,1,0,3,0,0,3,2,0,1,7,4,1,1,0,2,5,0,4,0,0,1,5,1,1,3,4,2,4,3,4,2,0,3,0,0,2,1,1,1,2,1,2,0,0,3,1,1,0,3,0,0,0
"OTU_1803",0,7,1,13,4,3,6,2,3,3,4,1,7,0,0,3,0,1,0,0,2,0,1,0,1,9,5,3,3,0,5,1,2,1,0,2,3,2,1,1,0,2,2,2,6,0,1,0,0,1,0,6,1
"OTU_288",0,0,4,0,0,0,0,4,21,2,0,0,0,0,2,1,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,1,2,2,3,5,2,3,5,10,0,0,0,0
"OTU_16840",1,1,1,0,1,1,6,2,3,6,5,1,6,1,0,3,0,3,0,2,1,1,8,5,6,2,1,3,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"OTU_10178",0,0,0,0,4,1,0,3,0,0,0,4,1,1,1,0,1,0,0,0,3,4,0,0,2,1,0,2,0,1,0,0,1,0,3,0,0,3,1,1,2,0,0,1,1,1,0,0,1,1,1,0,1
"OTU_13468",3,4,0,1,1,3,3,4,5,4,7,2,3,2,3,2,0,2,0,2,1,2,11,9,10,1,3,5,0,0,0,0,8,0,0,1,5,5,0,0,0,0,1,3,0,0,3,1,0,7,3,1,1
"OTU_16298",1,1,2,1,4,4,1,0,1,0,0,0,3,4,1,0,1,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"OTU_870",0,1,2,1,0,1,4,2,4,0,3,1,0,4,0,2,4,6,0,10,8,1,0,1,1,2,0,0,1,2,0,0,116,0,3,2,1,1,1,2,0,3,8,0,0,0,0,0,1,10,2,2,0
"OTU_176",8,27,19,30,15,14,14,26,27,16,27,10,15,12,8,20,35,25,3,24,31,24,9,7,25,11,8,21,20,19,16,22,19,12,4,7,13,18,16,5,25,3,5,7,14,10,10,14,6,11,6,7,9
"OTU_15734",0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,2,1,3,4,4,8,0,0,0,0,0,10,1,4,3,0,1,1,1,2,1,4,2,0,0,0,2,6
"OTU_5821",0,1,1,0,1,1,2,1,1,1,0,6,2,2,0,0,1,2,0,1,1,2,0,0,0,1,0,2,1,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0
"OTU_169",42,28,63,24,21,18,18,33,17,39,39,47,22,106,4,1,3,12,1,20,19,0,2,13,15,14,74,23,9,16,20,10,21,17,13,16,16,9,4,15,14,22,17,13,18,27,3,15,5,20,21,13,7
"OTU_241",0,1,1,1,0,0,1,0,1,2,1,2,1,0,1,1,1,0,0,1,0,0,1,6,6,2,6,2,0,1,1,2,1,8,3,5,2,5,2,2,0,0,2,3,0,5,3,3,6,10,0,0,5
"OTU_3319",1,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,2,0,0,0,1,2,0,0,1,0,1,2,1,0,2,1,2,0,1,5,4,0,2,0,0,0,1,0,4,7,1,1,1,2,3,4,1
"OTU_17354",0,2,2,3,2,5,2,4,0,3,7,0,3,1,3,3,2,0,3,2,2,4,2,0,1,0,1,1,0,0,1,0,2,0,1,0,0,3,2,2,4,1,0,0,0,2,0,0,0,0,1,1,1
"OTU_1787",0,1,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,5,8,2,1,0,11,0,1,2,5,2,0,1,2,2,1,2,3,10,0,2,3,6
