"ASVID","ZOZOW1T_feces_320","ZOZOW1T_feces_321","ZOZOW1T_feces_322","ZOZOW1T_feces_323","ZOZOW1T_feces_324","ZOZOW1T_feces_325","ZOZOW1T_feces_326","ZOZOW1T_feces_327","ZOZOW1T_feces_328","ZOZOW1T_feces_329","ZOZOW1T_feces_330","ZOZOW1T_feces_331","ZOZOW1T_feces_332","ZOZOW1T_feces_333","ZOZOW1T_feces_334","ZOZOW1T_feces_336","ZOZOW1T_feces_339","ZOZOW1T_feces_340","ZOZOW1T_feces_342","ZOZOW1T_feces_343","ZOZOW1T_feces_344","ZOZOW1T_feces_345","ZOZOW1T_feces_346","ZOZOW1T_feces_347","ZOZOW1T_feces_348","ZOZOW1T_feces_349","ZOZOW1T_feces_350","ZOZOW1T_feces_351","ZOZOW1T_feces_352","ZOZOW1T_feces_353","ZOZOW1T_feces_354","ZOZOW1T_feces_355","ZOZOW1T_feces_356","ZOZOW1T_feces_358","ZOZOW1T_feces_359","ZOZOW1T_feces_360","ZOZOW1T_feces_362","ZOZOW1T_feces_363","ZOZOW1T_feces_365","ZOZOW1T_feces_367","ZOZOW1T_feces_368","ZOZOW1T_feces_369","ZOZOW1T_feces_370","ZOZOW1T_feces_371","ZOZOW1T_feces_372","ZOZOW1T_feces_373","ZOZOW1T_feces_374","ZOZOW1T_feces_375","ZOZOW1T_feces_376","ZOZOW1T_feces_377","ZOZOW1T_feces_378","ZOZOW1T_feces_379","ZOZOW1T_feces_380"
"OTU_17521",-4.74078448494223,-1.1157429118583,-4.58411843648117,-4.63207208852602,-4.58763614468728,-4.58519914076861,-1.09219926611452,-4.63426231114205,-0.348226230174052,-4.66602049777719,-4.55560424472902,-4.54780176031928,-4.6033861942382,-4.65936652034376,-4.4813339768988,0.087607474041772,-0.409604881341446,-4.6317610170032,-4.62190815201938,0.323153800280266,-4.58371881708385,0.769176732386245,-0.344659706529827,-4.65512144424833,-0.398732193422213,-1.05509426229131,-4.66778653178635,-4.54760375002193,1.30389642066793,0.154370545114642,-0.145376455310747,-0.443871271365893,0.00160656037256812,-4.85723788411689,-1.16366920213631,-4.70119681239592,1.44147358332485,0.271142073112144,1.13724162570025,-4.71184928059321,0.275508719349924,-4.64072411497096,-0.437163899219099,-1.11610801164237,0.312196433561116,-0.108392913302849,0.270986351322376,-1.20210096912583,0.201187622454722,-1.05918719864913,-1.10976076349112,0.0128250117509037,0.455185741285993
"OTU_3133",-5.54031206906074,-5.43553012254375,-0.380182337395422,-5.43159967264454,-5.3871637288058,-5.38472672488712,-5.39618898930728,-1.10487928128634,-5.34317114114553,-1.15776851342533,-5.35513182884753,-0.339841594443691,-5.40291377835671,-0.467563234440311,-0.991139770233236,-1.01100481462634,-5.40387920210765,-5.43128860112172,-1.12798720633174,0.0354717278284851,-5.38324640120237,-1.02258273684181,-0.344659706529827,-1.15299680524687,0.294414987137732,-5.35045016274302,-0.461964723041423,-5.34713133414045,-5.48435806687261,-0.538776635445304,-5.56249027103708,-1.13701845192584,-1.09700572829554,-0.241940241356767,-0.470522021576363,-1.19846572708551,-0.430328593576744,-1.11515228800775,-5.48449575192661,-5.51137686471173,-0.417638461210021,-1.13635458052398,-0.031698791110935,-1.11610801164237,-5.37397357163506,-1.20700520197096,-1.11530800979751,-5.51443188095482,-5.49402269625297,-1.05918719864913,-1.10976076349112,-5.38529780363297,-1.15425217114811
"OTU_105",2.80098361457328,1.3691637379297,1.41157713183263,2.16028406374984,2.07353867572545,1.42260929719297,1.61585093498769,1.60317091981587,1.84899834716217,1.55028168767688,1.04255301865699,1.9114502041628,1.30437667294378,2.66793098148884,2.30469709577109,1.0684367270535,1.46219729556015,-0.0456317174893512,0.817922942723576,2.33805682082253,1.297318858663,2.02193970088161,1.04163465459006,-0.0543845165787593,0.987562167697677,0.0435180263768009,0.636647565626687,-0.353065507229445,-3.278104082817,-3.3282477702123,-3.35623628698147,-3.23778767822998,-3.19675404329114,0.962032562969169,-3.25029688869806,-3.29447041245882,-3.2292275862383,-3.2238321963825,-3.27824176787099,-3.30512288065612,-3.21430696694686,-3.23399771503386,-3.22787556096675,-3.20078537469304,-3.16771958757945,-3.29679163150135,-3.2067813949197,-3.3081778968992,-3.28776871219736,-3.14478824404175,-3.2004423231702,-3.17904381957735,-3.26466971345886
"OTU_6596",-5.64794273325311,-5.54316078673611,-5.49127668479205,-5.5392303368369,-5.49479439299816,-5.49235738907949,-5.50381965349964,-5.54142055945294,-5.45080180533789,-5.57317874608807,-5.4627624930399,-5.45496000863016,-5.51054444254908,-5.56652476865465,-0.297992589673291,-5.44116516126405,-5.51150986630002,-1.14424400615746,-5.52906640033027,-0.369993380279679,-5.49087706539474,-5.43554851662997,-5.4520942144655,-5.56227969255921,-0.398732193422213,-1.05509426229131,-5.57494478009724,-1.04621268778939,-0.487863048560128,-5.64213241846027,-0.145376455310747,-0.443871271365893,-1.09700572829554,-0.241940241356767,-1.16366920213631,-1.19846572708551,-0.430328593576744,-5.53771684463048,-1.1653434672938,0.216116097327893,-1.11078564176997,0.249939780595913,-0.031698791110935,-5.51467002294102,-1.07409792755877,-1.20700520197096,-1.11530800979751,-0.508953788565884,-5.60165336044534,-5.45867289228973,-5.51432697141818,-1.08578727691721,-1.15425217114811
"OTU_17524",-5.60349097068228,-5.49870902416528,-5.44682492222122,-5.49477857426607,-5.45034263042733,-5.44790562650866,-5.45936789092881,-5.4969687968821,-5.40635004276706,-5.52872698351724,-5.41831073046907,-5.41050824605932,-5.46609267997824,-1.16071041500026,-5.34404046263885,-1.01100481462634,-5.46705810372918,-5.49446750274325,-5.48461463775943,-5.41185345044481,-5.4464253028239,-5.39109675405914,-1.03780688708977,-1.15299680524687,-1.09187937398216,-1.05509426229131,-5.5304930175264,-5.41031023576198,-5.54753696849414,-1.23192381600525,-5.62566917265862,-1.13701845192584,-5.46618692896828,-1.34055253002488,-5.51972977437521,-0.0998534384174006,-1.12347577413669,-1.11515228800775,-1.1653434672938,0.216116097327893,-1.11078564176997,1.06086999681224,0.66144838944901,-5.47021826037019,-1.07409792755877,-0.513858021411013,-0.0166957211294048,-1.20210096912583,-5.55720159787451,-1.05918719864913,-5.46987520884734,0.0128250117509037,-5.534102599136
"OTU_4243",-5.84861342871526,-5.74383148219827,-5.6919473802542,-5.73990103229906,-5.69546508846031,-5.69302808454164,-5.70449034896179,-5.74209125491509,-5.65147250080005,-5.77384944155023,-5.66343318850205,-5.65563070409231,-5.71121513801123,-5.7671954641168,-5.58916292067184,-5.6418358567262,-5.71218056176217,-5.73958996077623,-5.72973709579242,-5.6569759084778,-5.69154776085689,-5.63621921209212,-5.65276490992765,-5.76295038802136,-5.69955326866396,-5.65875152239754,-5.77561547555939,-5.65543269379497,-5.79265942652713,-5.84280311392243,-5.8707916306916,-5.75234302194011,-5.71130938700127,-5.96506682788992,-5.7648522324082,-5.80902575616895,-5.74378292994843,-1.11515228800775,0.626416001934259,-1.170178263792,2.22141886840524,-5.74855305874399,-5.74243090467688,-5.71534071840317,-5.68227493128958,-5.81134697521148,-5.72133673862983,-5.82273324060933,-5.80232405590749,-5.65934358775188,-5.71499766688033,-5.69359916328748,-5.77922505716899
"OTU_7271",-5.50030673444704,-5.39552478793005,-1.07332951795537,-5.39159433803084,-5.3471583941921,-1.06229735259503,-5.35618365469358,-0.41173210072639,-1.041373410734,-0.464621332865387,0.572549389411258,-0.339841594443691,-1.09351859985459,-5.41888876984858,-5.24085622640362,-5.29352916245799,-5.36387386749395,-1.14424400615746,-1.12798720633174,-5.30866921420958,-5.34324106658867,-5.28791251782391,-0.344659706529827,-0.0543845165787593,0.294414987137732,-5.31044482812932,-5.42730878129117,-1.04621268778939,-1.18101022912007,-1.23192381600525,-5.52248493642338,-5.4040363276719,-0.403858547735596,-5.61676013362171,-5.41654553813998,-1.19846572708551,-5.39547623568021,-1.11515228800775,-5.44449041731291,-5.47137153009803,-5.38055561638877,-5.40024636447578,-0.031698791110935,0.270186349477525,-5.33396823702136,-5.46304028094327,-5.37303004436161,-1.20210096912583,-1.18510673866517,-5.31103689348367,0.276533597628775,-5.34529246901927,0.455185741285993
"OTU_3081",0.440129613455263,-5.18421569426284,-5.13233159231878,-1.09781247427164,-1.0619555402037,-1.06229735259503,-0.399052085554572,-5.18247546697967,-5.09185671286462,-5.2142336536148,-1.03688852302284,-5.09601491615689,-5.15159935007581,-1.16071041500026,-5.02954713273642,-1.01100481462634,-1.10275206190139,-1.14424400615746,-5.17012130785699,0.323153800280266,-1.10057641413538,-1.02258273684181,-1.03780688708977,-0.459849624686924,-1.09187937398216,-0.361947081731364,-0.461964723041423,-5.09581690585954,-5.2330436385917,-5.283187325987,-1.24398874397886,-0.0384061632577286,-5.15169359906584,-5.4054510399545,-0.470522021576363,-5.24940996823353,-5.18416714201301,-5.17877175215721,-5.2331813236457,-1.170178263792,-5.16924652272156,-0.0377422918558676,-1.13031107977904,0.270186349477525,-1.07409792755877,0.584754267257096,-5.16172095069441,0.743809179929483,0.201187622454722,-5.09972779981646,-5.1553818789449,-5.13398337535206,-1.15425217114811
"OTU_18618",-4.66995843237361,-1.1157429118583,0.536108394478733,0.511625438162462,-0.36880835964375,-0.369150172035085,-0.399052085554572,0.281415079833555,0.0572388779341122,0.451669399008768,0.572549389411258,0.353305586116255,0.515919312579513,-4.58854046777515,0.107472518434874,0.934905334428975,0.689007407326663,-4.56093496443459,-0.0293749176636278,-1.06314056083962,-4.51289276451524,0.58685517559229,1.26477820590427,-0.0543845165787593,-1.09187937398216,-1.05509426229131,-0.461964723041423,0.56322522464471,-0.487863048560128,-0.538776635445304,-1.24398874397886,0.249275909194052,-1.09700572829554,-0.241940241356767,-4.58619723606655,-4.63037075982731,-1.12347577413669,-1.11515228800775,-4.61414211523948,-0.477031083232052,-1.11078564176997,-4.56989806240235,-4.56377590833523,-1.11610801164237,-4.50361993494793,-4.63269197886984,-1.11530800979751,-1.20210096912583,-1.18510673866517,0.32710716247076,-4.53634267053868,-1.08578727691721,-4.60057006082734
"OTU_7076",-5.71856030046706,-5.61377835395007,-1.07332951795537,0.000799814396471366,0.036656748464414,-5.56297495629344,0.00641302255359277,-5.61203812666689,-1.041373410734,-5.64379631330203,0.0617237656452676,0.0656235136644738,-5.58116200976303,-1.16071041500026,-5.45910979242364,0.087607474041772,-5.58212743351397,-5.60953683252804,-5.59968396754422,-5.5269227802296,-5.56149463260869,0.0760295518262997,-1.03780688708977,-5.63289725977317,-0.398732193422213,-1.05509426229131,-5.64556234731119,-0.353065507229445,-0.0823979404519635,-5.71274998567423,-5.7407385024434,-1.13701845192584,-5.58125625875307,-5.83501369964173,-1.16366920213631,-5.67897262792075,-5.61372980170023,-5.60833441184444,-5.66274398333293,-1.170178263792,-1.11078564176997,-1.13635458052398,-5.61237777642868,-5.58528759015497,-5.55222180304138,-5.68129384696328,-5.59128361038163,-5.69268011236114,-5.67227092765929,-5.52929045950369,-5.58494453863213,-5.56354603503929,-0.0556398824799971
