"SampleID","Day","avgTemp","minTemp","maxTemp","avgPress","avgHumid","avgWind","avgSolarRad","avgPrecip24"
"ZOZOW1T_feces_320",0,16.4338636,10.01,25.01,101025.3,74.32576,0,70.207547,0
"ZOZOW1T_feces_321",220,16.9932836,13.34,21.68,100974.2,67.83582,0.067164179,387.690476,0
"ZOZOW1T_feces_322",256,17.623375,14.46,23.9,100886.2,71.2125,0.07875,380.375,0
"ZOZOW1T_feces_323",283,18.5545122,14.46,25.01,101319,67.67073,0.104268293,439.333333,0
"ZOZOW1T_feces_324",340,13.3009211,6.68,22.23,101216.2,60.77632,0.017763158,363.432432,0
"ZOZOW1T_feces_325",369,12.9199286,5.57,22.23,101448.5,66.53571,0.003214286,272.816667,0
"ZOZOW1T_feces_326",372,10.201,2.79,18.34,100987.3,60.35,0,288.155172,0
"ZOZOW1T_feces_327",379,12.2853957,7.79,18.34,101488,78.47482,0,216.568966,0
"ZOZOW1T_feces_328",387,11.6223022,7.79,17.23,101398.4,77.97842,0,118.648148,0.01644604
"ZOZOW1T_feces_329",394,9.2620714,4.46,16.68,101887.4,74.29286,0.006428571,184.472727,0
"ZOZOW1T_feces_330",416,8.8567143,3.34,16.12,101073.5,74.8,0,163.716981,0
"ZOZOW1T_feces_331",437,10.3228058,6.12,15.01,102021.4,78.99281,0,144.269231,0
"ZOZOW1T_feces_332",668,20.0908633,13.34,27.79,101021.7,67.17266,0.064748201,412.849315,0
"ZOZOW1T_feces_333",699,17.5842017,13.9,25.01,100729.8,73.08403,0.037815126,264.763636,0
"ZOZOW1T_feces_334",736,11.6976429,5.01,21.68,101637.3,66.82857,0.003214286,253.916667,0.17054286
"ZOZOW1T_feces_336",751,10.391295,5.57,18.34,101360.2,66.54676,0,159.527273,0
"ZOZOW1T_feces_339",768,14.3790714,11.68,18.9,101248.1,84.16429,0.035357143,174.3654885,0.762
"ZOZOW1T_feces_340",770,13.5897143,10.01,18.34,101918.8,85.76429,0,104.150943,2.39122857
"ZOZOW1T_feces_342",772,14.3917143,10.57,18.9,101781.7,82.98571,0,131.407407,0.09978571
"ZOZOW1T_feces_343",779,11.2775714,8.34,16.68,100969.1,84.33571,0.122071429,189.203704,22.02724286
"ZOZOW1T_feces_344",785,13.8478417,9.46,18.34,102161.8,84.98561,0.00323741,194.692308,0
"ZOZOW1T_feces_345",799,6.9251799,1.12,16.68,102477.9,71.02878,0,225.113208,0
"ZOZOW1T_feces_346",806,8.8282014,3.9,17.23,101925.6,80.64748,0,224.792453,0.14801439
"ZOZOW1T_feces_347",871,13.6358273,6.12,23.34,101452.7,63.80576,0.01294964,375.75,0
"ZOZOW1T_feces_348",884,14.8715108,10.01,20.57,101658.7,63.1295,0.055035971,391.535211,0
"ZOZOW1T_feces_349",962,17.3998571,10.01,24.46,100997.2,66.29286,0.093214286,383.6426055,0
"ZOZOW1T_feces_350",964,17.9851799,9.46,27.79,101219.8,56.97122,0.067985612,383.6426055,0
"ZOZOW1T_feces_351",976,21.8816788,15.56,30,100757.9,65.29927,0.056654676,383.6426055,0
"ZOZOW1T_feces_352",996,19.3183607,12.5,27.785,100894.65,65.796065,0.056654676,383.6426055,0
"ZOZOW1T_feces_353",999,19.3183607,12.5,27.785,100894.65,65.796065,0.056654676,383.6426055,0
"ZOZOW1T_feces_354",1007,19.3183607,12.5,27.785,100894.65,65.796065,0.056654676,383.6426055,0
"ZOZOW1T_feces_355",1017,19.4642754,13.33,27.78,100992.7,68.8913,0.056654676,434.486842,0
"ZOZOW1T_feces_356",1027,19.172446,14.44,25,100796.6,69.48921,0.056654676,410.733333,0
"ZOZOW1T_feces_358",1045,23.2147143,11.67,35.56,100794,38.22857,0.056654676,368.277778,0
"ZOZOW1T_feces_359",1061,20.4917143,12.22,32.22,101030.7,57.17143,0,286.956522,0
"ZOZOW1T_feces_360",1080,21.8052206,13.33,32.22,101129.3,61.93382,0,286.290323,0
"ZOZOW1T_feces_362",1143,7.4659712,1.11,13.89,101776.9,68.13669,0.058273381,216.716981,0
"ZOZOW1T_feces_363",1149,11.6307914,10,14.44,101631.9,86.94964,0.029136691,65.326923,2.82689209
"ZOZOW1T_feces_365",1164,11.6682734,10,15,100155.6,85.05036,0.145539568,75.823529,10.86535252
"ZOZOW1T_feces_367",1171,11.2228777,5.56,17.22,102088.9,77.74101,0.00323741,194.018519,0
"ZOZOW1T_feces_368",1174,12.4508824,8.33,17.22,101458.5,76.48529,0.019852941,211.283019,0.64433824
"ZOZOW1T_feces_369",1214,12.8889286,4.44,23.33,101582.4,59.43571,0,355.532258,0
"ZOZOW1T_feces_370",1320,16.9221583,12.22,23.33,101072.1,70.7482,0.077625899,323.817073,0
"ZOZOW1T_feces_371",1325,16.3648571,11.11,21.67,101441.5,60.85,0.0225,409.22619,0
"ZOZOW1T_feces_372",1331,20.4588406,10,31.11,101384.3,46.9058,0.032608696,428.780488,0
"ZOZOW1T_feces_373",1346,18.0984892,15,23.33,101186.5,70.02158,0.12618705,401,0
"ZOZOW1T_feces_374",1349,16.5864748,10.56,25,101282.7,71.63309,0.087410072,392.987654,0
"ZOZOW1T_feces_375",1370,17.6101255,11.67,23.33,101234.6,71.09306,0.067812179,389.891263,0
"ZOZOW1T_feces_376",1376,17.5418939,12.78,23.33,101021.2,70.55303,0.153409091,386.794872,0
"ZOZOW1T_feces_377",1394,17.6783571,14.44,23.33,101024.4,72.99286,0.048214286,347.08,0
"ZOZOW1T_feces_378",1453,16.5864748,10.56,23.33,101282.7,72.99286,0.048214286,347.08,0
"ZOZOW1T_feces_379",1486,9.4268254,3.89,16.67,101787.1,77.56349,0,230.255814,0.23585714
"ZOZOW1T_feces_380",1499,9.6347863,6.11,13.89,101634.2,83.98291,0,88.090909,0
