"ASVID","Nov2rep1","Nov3rep1","Nov6rep1","Nov9rep1","Nov10rep1","Nov11rep1","Nov12rep1","Nov13rep1","Nov16rep1","Nov17rep1","Nov18rep1","Nov19rep1","Nov20rep1","Nov24rep1","Nov25rep1","Nov26rep1","Nov27rep1","Dec1rep1","Dec2rep1","Dec3rep1","Dec7rep1","Dec8rep1","Dec9rep1","Dec10rep1","Dec11rep1","Dec14rep1","Dec15rep1","Dec16rep1","Dec17rep1","Dec18rep1","Dec21rep1","Dec23rep1","Jan4rep1","Jan5rep1","Jan6rep1","Jan7rep1","Jan11rep1","Jan12rep1","Jan13rep1","Jan14rep1","Jan15rep1","Jan18rep1","Jan19rep1","Jan20rep1","Jan21rep1","Jan25rep1","Jan26rep1","Jan27rep1","Jan28rep1","Jan29rep1","Feb1rep1","Feb2rep1","Feb3rep1","Feb4rep1","Feb5rep1","Feb8rep1","Feb9rep1","Feb11rep1","Feb12rep1","Feb15rep1","Feb16rep1","Feb18rep1","Feb19rep1","Feb22rep1","Feb23rep1","Feb25rep1","Feb26rep1","Feb29rep1","Mar2rep1","Mar3rep1","Mar4rep1","Mar7rep1","Mar8rep1","Mar9rep1","Mar10rep1","Mar11rep1","Mar14rep1","Mar15rep1","Mar21rep1","Mar22rep1","Mar23rep1","Mar24rep1","Mar28rep1","Apr18rep1"
"OTU_1",-2.07944154167984,-1.23850478786831,-2.32192352160486,-2.77137439300738,-2.56689488336703,-3.61653275052855,-2.40557917449028,-2.51957838330519,-2.30376087208306,-2.52376868288005,-2.46684324989936,-2.21697134027105,-2.3340573925698,-2.89585122366079,-2.86667266032086,-2.69708116973164,-2.58554290894438,-2.55630127819577,-2.43769856680122,-2.51945903129466,-2.34032542097689,-2.23037678465312,-2.49239732151716,-2.34620571546994,-2.68578583060481,-2.07189951072886,-2.09427660808378,-1.90285351673364,-2.00513322894646,-2.91777073208428,-2.68338963928026,-2.48362377597511,-2.80053751382383,-3.01289189383682,-2.90722244824802,-3.29289308996032,-2.53640317555518,-2.85084091913953,-2.89775186519379,-3.41520142974617,-2.67100892942186,-2.94803739974597,-2.91809630591102,-3.10794426416092,-3.02042488614436,-3.34904090206779,-3.05519632158518,-3.16696314365379,-3.03563956414585,-2.99387870490467,-3.01132436831383,-2.89037175789616,-2.96462852850266,-2.76673047467141,-2.79299759387099,-3.02216553062215,-2.85426675325405,-3.06608967549306,-2.96272597708582,-2.93439537281068,-2.80038507374288,-2.79320800944252,-3.42556473811045,-3.25362725683918,-3.04720160878347,-2.64238955529107,-3.27300883344813,-2.83056608903571,-2.77182623649945,-2.54623130663477,-2.82673617135719,-2.52333261372503,-2.65516073718184,-2.86362843292065,-2.88021938643215,-2.73348163899401,-2.58380301882594,-2.31182796007522,-2.45886967600501,-2.41498970615767,-2.39081698921477,-1.80840670266121,-4.05028457242807,-2.6987478084399
"OTU_2",-2.89210636370837,-4.68930706519429,-2.90723556394817,-2.42629730813625,-2.77546918510514,-2.713881121413,-2.4805682481894,-2.35077984184371,-2.04739132067339,-2.27884175037473,-2.3667012276417,-3.20327082679931,-3.02579529867273,-2.99271568001457,-2.50566864123643,-2.55142733212956,-2.45237846745235,-2.54828709320494,-2.31383114226867,-2.22866135075978,-2.47035686877327,-2.26828249860194,-2.08786946838909,-2.17091532051622,-2.14498340008831,-3.13804849573425,-3.10483577549065,-3.76186434687043,-4.2391347992898,-3.13200989184654,-2.37793453023583,-2.38759917154611,-2.44307141062725,-2.45217995628544,-2.6628051474653,-2.96802640473332,-2.35759560787996,-2.39098439525852,-2.36712361413162,-3.28447310735401,-2.37669306514777,-2.39864015178998,-3.17420026103196,-2.4804093726931,-2.53040239000814,-3.40119738166216,-2.97008140977978,-2.64993743694329,-2.92192011563109,-3.00691946294456,-2.6549651126499,-2.71100878314196,-2.86414703788495,-2.98533356633309,-2.77132529819301,-2.88165330685628,-3.20927767079948,-3.25865379632512,-2.88365581593073,-3.3125317445765,-3.33862414120954,-3.11676926859682,-3.10629979741967,-3.25362725683918,-3.20567431300966,-3.23449097624356,-3.80958219987365,-3.37248727577972,-3.29063819109509,-3.13888519917171,-3.24542923282072,-3.39792405631719,-3.17030785823329,-3.14824226392379,-3.2710743697702,-3.10270439310616,-3.41474160676991,-3.34292847353818,-3.12783721067796,-3.61674458608443,-3.68075833159159,-3.4626060097908,-4.16128404489721,-5.65073325356639
"OTU_3",-2.42141158108169,-4.58292457704077,-2.59026716544583,-2.30258509299405,-2.53330721621217,-2.29421684332353,-2.44589555826844,-2.626886793995,-2.74511292602522,-3.03964041012611,-2.72674233411436,-2.78876158148538,-2.7183529322858,-2.59253731398037,-2.90890640811299,-2.84175518976918,-2.76650227618338,-2.94500475004433,-3.13270325681913,-2.95552283648015,-2.3468297947918,-2.37550187977761,-2.68680509248847,-2.74976068968358,-2.94938031102427,-2.75327067139502,-2.75874331541773,-3.04520247855208,-3.15764495871674,-3.11818276225787,-2.98801022746008,-2.62517698058285,-2.94514048743793,-2.9863130516375,-2.89488352835983,-2.59659953263788,-2.96790976795469,-2.64862678063141,-2.66931682437837,-2.90271358392655,-2.64960966108861,-2.82529108440051,-2.58034972878848,-2.7408400239252,-2.47344520626899,-2.62014423630877,-2.55272924612676,-2.71952260226445,-2.51727193429003,-2.63151012397988,-2.88402253021751,-2.72292036358166,-2.62664292646688,-2.74703564781516,-2.83763114865383,-2.81751990951017,-2.74702433553399,-2.79853425372519,-2.60337532139857,-2.60200357907099,-2.82137888640921,-2.66541496945777,-2.64718745569851,-2.76402946884411,-2.85782155777748,-3.13679123297219,-2.73327454677511,-2.93004082467609,-2.95430623189969,-3.24137933159151,-2.96398357523941,-3.17871498739682,-3.17030785823329,-3.00426717600383,-3.10776403526974,-3.43541986948664,-3.26186018567079,-3.55866481411541,-3.14630513203337,-3.86615958863496,-3.53984387495345,-5.63835466933375,-4.42723897749543,-4.25383808645985
"OTU_4",-2.78722170209947,-5.09783183912641,-2.96238674079728,-3.13370583989364,-3.2216953756083,-2.65909335637568,-3.39036974301009,-3.49818964764947,-3.99007277829947,-3.73342783037501,-3.51214227561388,-3.36599374646918,-3.35739475900376,-2.83932209854454,-2.88759011493429,-2.97011276093625,-2.95720899155766,-3.41911499426256,-3.27547852877443,-3.35412987080417,-3.03800775670223,-3.08762753825825,-3.21827863165845,-3.22061344476674,-3.02627375613502,-3.20122088962948,-3.1194444886962,-3.00119676802607,-3.17355655325305,-3.18914235948661,-2.84895137380646,-2.93698089611924,-3.00274984621264,-2.96035781261676,-3.02490776268792,-2.87428562014454,-3.11882201746539,-3.08244167258572,-3.06441259620264,-2.50834260690032,-3.08355178162916,-2.96254885476375,-3.38598796299863,-2.94631691399064,-3.08204896486094,-3.19146120110536,-3.14746244389272,-3.19805449705462,-3.16247613640608,-3.04699309988199,-3.0889423475812,-3.08742842701776,-3.35531208518535,-3.35535369204217,-3.0640137809704,-3.38983362301184,-3.25689389205572,-2.99291933217738,-2.79795861220111,-3.06138624377543,-3.48384916459456,-3.74056901144237,-3.46768712293099,-3.64982893924206,-3.83847431740533,-5.43372200355424,-3.80958219987365,-2.85461884361816,-2.54882616750129,-2.81616553943888,-2.57305253255516,-2.68129275193266,-2.89827693740328,-2.50406714752708,-2.59125677463099,-2.57545207966069,-2.47787262313062,-3.03846792881472,-2.30664189368966,-2.95491027903374,-2.68892915965543,-4.39753082120985,-2.63842501849713,-2.82397966810927
"OTU_13",-5.01893409691095,-4.94266231051005,-5.46171091345647,-6.07821547351664,-6.31535800152233,-6.4140052560064,-5.80312491798846,-6.12850539936878,-5.92265023110762,-5.61417031596651,-7.45298232946546,-4.96538431416467,-4.84418708645859,-4.88803297200392,-5.75204339827345,-6.36245322568617,-4.97039183589529,-4.21841778681208,-4.18477271442912,-4.4414740933173,-3.30667120817004,-3.4578927253387,-4.35845555202453,-4.11030841321111,-4.38618464482255,-4.08753128098805,-4.19147127295282,-4.02667356799306,-4.00356433655024,-4.91998092582813,-4.33635659784069,-4.01216995403308,-4.20807900935248,-4.03271368717622,-4.05364656795,-3.73534403583989,-3.84832222852296,-3.67272401389165,-4.03246915850401,-3.07705621138358,-3.64364066863509,-3.45174966082499,-2.98347800863052,-3.35082702227321,-3.50268677783244,-3.22119198108603,-3.05519632158518,-2.98393455832428,-3.36526537243609,-3.16161510400479,-3.02641609349259,-2.79713439485487,-3.26512307603352,-2.67149260536841,-3.97454336240948,-3.15469759917679,-2.81014006789191,-2.59895028801929,-3.14016556242844,-2.78487556623243,-2.10691053162152,-2.7226224079613,-2.2021351449029,-2.07459891720405,-1.92706901199946,-1.53667855815167,-1.87542716027462,-2.07662860030322,-1.80945904632746,-2.33513769603179,-2.64785504031879,-2.62957858566072,-2.27418561847235,-2.64776565750704,-2.47968470580685,-2.52385773637244,-2.64060892030668,-2.86152037733056,-3.54780085585403,-3.28561779897221,-3.20319801214897,-5.38602294696714,-3.60126183278928,-2.45863872296739
"OTU_6",-4.31915339285537,-5.79402935250398,-4.12820907617486,-2.84599890635319,-2.70420589074542,-2.5166363394061,-3.11168356723543,-3.01473658866773,-3.24815719611892,-3.30828628254534,-3.74123468444786,-4.65268970195607,-4.2243976904703,-3.03134070102136,-2.87708252577748,-3.11531548971452,-3.48064819822637,-3.25698108893762,-3.04284035154044,-3.12943726222096,-3.12470080299738,-3.22684399451738,-3.46100776160378,-3.75722170749075,-3.38439026334577,-4.34256779793333,-4.32111788158689,-5.25554033719198,-4.98422909293914,-4.10861013938092,-3.24476723880094,-3.53125050991035,-2.91741967011824,-3.06805293513362,-2.82357626336783,-2.74690800370896,-2.79046914751763,-2.69056488676119,-2.59151638484626,-2.57155876684921,-2.92398836869515,-2.62452218999615,-2.98347800863052,-2.83888980206102,-3.06631591889003,-2.5111037007545,-2.91676922974719,-2.94569132748291,-2.78237216854885,-2.9066526435003,-3.04171738679581,-3.00742831331718,-2.81709955678984,-2.78677335723174,-2.86062978869743,-3.12687594942927,-2.76767470743735,-2.96956879955736,-3.29517527153759,-2.89510309487368,-3.2727810897044,-3.2342789730049,-3.60510957104848,-3.33164631870104,-3.97029191355212,-3.41997423633345,-3.08035985918834,-3.51865830425407,-3.92380517412641,-3.57488387981923,-3.52425747441938,-3.1953760489523,-3.56150666448062,-3.46365039630871,-3.82301550260693,-3.92197333628131,-4.32780508050724,-5.55231338134501,-4.6391999345744,-5.30330490805908,-4.92216831277393,-7.08578848124916,-5.03043792139244,-6.48739728467256
"OTU_5",-3.53031198332809,-5.79402935250398,-3.36838992199933,-2.98676360357123,-3.49930085937209,-3.3198517422082,-3.01753584933517,-3.01473658866773,-3.00927649866175,-3.08833315882651,-3.09164833038382,-3.68180319428722,-3.60599179430817,-3.42100000895834,-2.94166505228372,-2.71665504829573,-2.73595898921929,-2.75784086560523,-2.76126357288273,-2.81608754323229,-2.98001805152125,-3.19753868748007,-2.46027486259834,-2.70153937608993,-2.45546512461985,-3.71232050208537,-3.90898810173299,-4.62235501074219,-4.43269473366751,-3.66013698524828,-2.88519039915417,-2.98767521106507,-2.69462718077007,-2.8505159224605,-2.85866333101102,-3.11143908126596,-2.67606252560881,-2.94043363335777,-2.86996288626496,-3.37619607945674,-3.05276990715344,-2.89181371921307,-3.36665705640998,-3.35082702227321,-3.27198565018215,-3.59617005600967,-3.48352879394763,-3.42542969504992,-3.19663021592088,-3.28974671319782,-3.3412669632752,-3.41415652630466,-3.73578815018366,-3.42546200366179,-3.66417196046046,-3.76403217649328,-3.55415687611926,-3.79466670797436,-3.6421808511047,-4.4537010926769,-4.10064650229938,-4.47049528266149,-4.09498538249395,-4.51906748693468,-3.77832833416827,-4.10961203435289,-4.2358441244958,-4.1833215986294,-4.08707180289302,-3.67763223002659,-3.83562954512302,-4.04952797441254,-3.53407066304213,-3.48681890436273,-3.96398274435886,-3.88617455269805,-3.77461313347505,-3.92723997123301,-4.42932759529185,-4.29621071508903,-3.84352262348575,-4.01457959375324,-4.015782239719,-6.3456363608286
"OTU_9",-3.3826939100976,-4.94266231051005,-3.50855589998265,-2.87956084179195,-3.02113502938642,-2.95250353900317,-3.40639219853926,-3.42448727274324,-3.61641847656804,-4.29203880446695,-4.39679795199419,-4.87773862062982,-4.31262783665406,-3.00544108768095,-3.49162553386917,-3.44231562859163,-3.75009213828193,-3.51043924402795,-3.77166564773322,-3.15882246842006,-3.35340671782581,-3.30378242426415,-3.50065817519279,-3.40062250380786,-3.65638028672098,-4.34256779793333,-4.32111788158689,-4.38334155925519,-5.59347145383852,-4.91998092582813,-3.31514248489848,-3.62069794169786,-3.28826368006721,-3.21950062963704,-3.46009502290964,-3.15404096352991,-3.87791859342111,-3.1609818464493,-3.26099509077549,-3.30220225987141,-3.25200514862808,-3.45174966082499,-3.06740673155701,-2.87356463957978,-3.02042488614436,-3.05388470622504,-3.11583434288177,-3.23006301425877,-3.00609506058954,-3.25626335693982,-3.18998798392245,-3.10415261928252,-2.86414703788495,-3.02216553062215,-3.18177822943893,-3.07327185100941,-3.11988765667263,-3.14448809330574,-3.6421808511047,-3.20500964033647,-3.04334596699949,-3.20368861707467,-3.13746855023287,-3.16688052974982,-3.59142411796322,-3.83628474580166,-3.30594096385349,-3.68823822292813,-3.4957681898986,-3.59964832038599,-3.71147928603118,-4.04952797441254,-4.29652926251547,-4.29182836675573,-4.17228716411852,-4.26408733680919,-4.27300445253009,-4.56499902129881,-5.60064171573669,-5.16906253069077,-5.14676746842084,-7.31537808083398,-6.74051935960622,-4.72915616576908
"OTU_8",-4.79413628550071,-6.89467003943348,-5.14166355650266,-5.26441581487235,-4.60243918747686,-4.86753445045558,-5.39614961578507,-5.43317600299468,-5.4510384535657,-4.46119483420249,-4.80636022708643,-4.52625429419941,-4.69987412145739,-3.54007161869717,-3.45544607466871,-3.67659500597837,-3.82981579474504,-4.04578874559114,-3.79631099445061,-3.54937789450291,-3.16406758837321,-3.49538459672186,-3.35020139662717,-3.365570204019,-3.5871355789263,-4.08753128098805,-3.71235181029908,-3.62500737751953,-4.38077585277223,-3.13200989184654,-4.00858631822854,-3.77094440716824,-3.34749320269029,-3.18747897080753,-3.14123219788217,-3.09759985390447,-3.54618769209075,-3.57247627996412,-3.24157910684502,-3.33856181067067,-3.2339342887424,-3.42906628067095,-3.53209850656918,-3.10794426416092,-3.03551024501091,-2.99107026044818,-2.71482988808759,-3.01018430014253,-3.06599884334668,-3.2728751321176,-3.13829533820886,-3.03873370954718,-3.04645107862983,-3.64613078590878,-3.42481563301036,-3.18324864722505,-3.06411890070591,-3.30477547300514,-3.01875292454437,-3.59076773461179,-2.96834926347855,-3.15936169733579,-3.10629979741967,-3.34795286714334,-3.47565990088571,-3.36088965817406,-3.17983795214145,-3.02502864304242,-3.00102129230578,-3.12270373526478,-3.26448633612025,-3.01048773911991,-3.0957336269342,-3.2007820814255,-3.05834586628198,-3.2088254890147,-3.46275527466159,-3.63297025967442,-3.35066657301494,-3.83153575451546,-3.48834425082732,-4.39753082120985,-4.42723897749543,-6.3456363608286
"OTU_7",-4.93834027321355,-5.09783183912641,-4.06259586390752,-4.75013595623828,-5.05806398766737,-5.43044151947508,-5.98594936641987,-5.90481674038231,-8.01691545735121,-4.14683158827286,-3.10567686087675,-2.24573622876189,-2.87337418152759,-3.34841621317182,-3.8367605209276,-3.44231562859163,-3.97792778031586,-4.47299841287961,-4.52558570664525,-4.13723848289425,-3.52582562222309,-4.2035864245879,-4.11379698814892,-4.14596518398458,-4.38618464482255,-3.8230356515073,-3.54680100091096,-2.51769647261099,-2.79715019588826,-4.21950770517611,-3.60587694418745,-3.82622301562481,-3.41018465266239,-3.45464521610557,-3.22077877501429,-3.21356764372247,-3.38408204944289,-3.57247627996412,-2.9119099094473,-4.16449232212418,-3.32747636897926,-3.18877204656797,-2.61872209297543,-2.98455897295587,-3.37073817417745,-3.09337074311791,-3.05519632158518,-3.02354696173687,-3.16247613640608,-3.07454345397828,-3.54164921713125,-3.41415652630466,-3.43335449329669,-3.35535369204217,-3.09228700859052,-3.48124008933569,-3.55415687611926,-3.81990771652034,-3.83912642046072,-3.93508827835914,-3.62954476085139,-3.79173683955364,-3.98386239644422,-3.50711329861168,-3.6161776223372,-4.07124019387668,-3.98492489341181,-3.99089792274656,-3.81624605003438,-4.23476504923746,-4.38825718442452,-4.12777933830834,-4.18965474202643,-4.10676708222066,-4.62986279857846,-4.26408733680919,-4.65688646782691,-6.24739792124518,-4.36795753922546,-5.45816606748993,-4.65761666136063,-7.58731050602262,-6.74051935960622,-3.36910906711065
