"ID","Nov2rep1","Nov3rep1","Nov6rep1","Nov9rep1","Nov10rep1","Nov11rep1","Nov12rep1","Nov13rep1","Nov16rep1","Nov17rep1","Nov18rep1","Nov19rep1","Nov20rep1","Nov24rep1","Nov25rep1","Nov26rep1","Nov27rep1","Dec1rep1","Dec2rep1","Dec3rep1","Dec7rep1","Dec8rep1","Dec9rep1","Dec10rep1","Dec11rep1","Dec14rep1","Dec15rep1","Dec16rep1","Dec17rep1","Dec18rep1","Dec21rep1","Dec23rep1","Jan4rep1","Jan5rep1","Jan6rep1","Jan7rep1","Jan11rep1","Jan12rep1","Jan13rep1","Jan14rep1","Jan15rep1","Jan18rep1","Jan19rep1","Jan20rep1","Jan21rep1","Jan25rep1","Jan26rep1","Jan27rep1","Jan28rep1","Jan29rep1","Feb1rep1","Feb2rep1","Feb3rep1","Feb4rep1","Feb5rep1","Feb8rep1","Feb9rep1","Feb11rep1","Feb12rep1","Feb15rep1","Feb16rep1","Feb18rep1","Feb19rep1","Feb22rep1","Feb23rep1","Feb25rep1","Feb26rep1","Feb29rep1","Mar2rep1","Mar3rep1","Mar4rep1","Mar7rep1","Mar8rep1","Mar9rep1","Mar10rep1","Mar11rep1","Mar14rep1","Mar15rep1","Mar21rep1","Mar22rep1","Mar23rep1","Mar24rep1","Mar28rep1","Apr18rep1"
"OTU_18684",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,3,0,0,0,1,0,0,2,0,0,0
"OTU_421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,2,1,1,3,1,2,0,0,4,2,3,2,4,2,3
"OTU_649",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,2,2,0,2,0,0,2,4,3,2,1,2,2,0,0,2
"OTU_14831",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,2,1,0,0,2,0,0,0,1,0,1,0,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"OTU_1465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,1,1,2,0,1,2,0,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"OTU_89",1,0,4,6,0,7,4,2,3,8,2,5,4,5,5,7,5,5,6,10,6,11,9,9,4,10,11,8,0,1,7,8,12,11,7,6,6,7,8,12,8,10,10,9,12,4,9,6,12,0,11,8,7,1,7,6,10,6,12,9,4,5,11,6,1,1,2,9,16,10,6,2,9,6,9,13,7,2,8,4,3,0,1,0
"OTU_9235",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,0,2,1,0,1,0,0,1,0,0,2,0,1,0,1,1,2,1,2,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_20818",0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,1,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"OTU_7858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,1,1,0,0,1,0,1,0,2,0,0,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_109",1,1,4,0,0,0,0,0,0,8,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,5,19,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,3,1,3,4,3,4,2,13,6,2,3,3,11,2,3,2,10,0,4,3,8,9,13,2,9,18,10,18,10,7,3,2,6,12,21,24,28,27,0
"OTU_285",0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,1,3,1,0,1,2,0,0,0,0,2,2,0,3,1,1,1,2,2,0,0,2,4,0,1,2,2,1,1,3,3,4,2,1,2,1,1,1,0,2,2,1,3,2,2,1,1,2,0,0,1,0,0,0
"OTU_459",0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,3,1,0,0,1,0,2,0,0,4,2,0,0,0,1,1,0,1,0,2,0,0,1,1,0,0,0,0,2,0,0,0,1,2,1,0,1,1,0,0,2,1,0,0,0
"OTU_185",10,24,7,2,7,4,7,3,7,2,1,2,1,0,3,1,7,0,0,0,1,1,2,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,4,0,0,1,0,1,2,1,0,1,1,0,1,1,1,1,2,1,3,1,1,1,0,1,3,0,1,0,4,0,0,0,0,0,0,0,0
"OTU_9309",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,2,2,0,3,0,0,0,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_177",22,14,1,2,4,4,4,4,4,5,2,8,5,2,0,1,1,1,2,2,3,3,2,1,0,0,3,5,6,0,0,2,0,1,2,0,0,0,0,2,0,3,1,1,0,1,2,2,1,0,2,0,0,0,0,1,0,1,1,2,3,5,8,2,0,3,0,3,2,3,0,2,3,0,2,1,0,1,0,1,1,0,1,0
"OTU_19467",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,2,1,1,2,0,2,1,0,2,0,1,0,0,2,0,0,1,0,1,0,1,1,1,0,0,0,4,0,0,0,1,0,3,0,0,0
"OTU_6493",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,2,1,0,1,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_799",0,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
