"ASVID","Nov2rep2","Nov3rep2","Nov4rep2","Nov6rep2","Nov9rep2","Nov10rep2","Nov11rep2","Nov12rep2","Nov13rep2","Nov16rep2","Nov17rep2","Nov18rep2","Nov19rep2","Nov20rep2","Nov23rep2","Nov24rep2","Nov25rep2","Nov26rep2","Nov30rep2","Dec1rep2","Dec2rep2","Dec3rep2","Dec4rep2","Dec7rep2","Dec8rep2","Dec9rep2","Dec10rep2","Dec11rep2","Dec14rep2","Dec15rep2","Dec16rep2","Dec17rep2","Dec18rep2","Dec21rep2","Dec22rep2","Dec23rep2","Jan4rep2","Jan5rep2","Jan6rep2","Jan7rep2","Jan8rep2","Jan11rep2","Jan12rep2","Jan13rep2","Jan14rep2","Jan15rep2","Jan18rep2","Jan19rep2","Jan20rep2","Jan21rep2","Jan22rep2","Jan25rep2","Jan26rep2","Jan27rep2","Jan28rep2","Jan29rep2","Feb1rep2","Feb2rep2","Feb3rep2","Feb4rep2","Feb5rep2","Feb8rep2","Feb9rep2","Feb11rep2","Feb12rep2","Feb15rep2","Feb16rep2","Feb18rep2","Feb19rep2","Feb22rep2","Feb23rep2","Feb25rep2","Feb26rep2","Feb29rep2","Mar2rep2","Mar3rep2","Mar4rep2","Mar7rep2","Mar8rep2","Mar9rep2","Mar10rep2","Mar11rep2","Mar14rep2","Mar15rep2","Mar21rep2","Mar22rep2","Mar23rep2","Mar24rep2","Mar31rep2","Apr18rep2","Apr19rep2"
"OTU_18684",-12.7933050827508,-12.7991105632121,-12.7858212324846,-12.8070027817818,-12.7960916034341,-12.7621389955359,-12.7960607444744,-12.7862474276738,-12.7731109043487,-12.8158571657881,-12.7576855360647,-12.7928092367967,-12.7800970425271,-12.763638634169,-12.7372728531536,-12.7734861035496,-12.7762096608573,-12.7690663796851,-12.7856301647729,-12.7395799543678,-12.7633937467983,-12.7888927601387,-12.7837600648645,-12.7941117324277,-12.7815969991334,-7.79523492900217,-12.810242364469,-12.7917284661424,-12.7610371546094,-12.7540878816953,-12.7674082923339,-12.784480624204,-12.7719251165789,-7.77653502818524,-12.7833454542181,-7.78779687818117,-12.7658715027,-12.7540389436593,-6.33150184989369,-12.7512665589923,-12.7656673651409,-12.7862653696409,-12.7298930435851,-12.7384384494157,-12.7426936023988,-12.7743594833857,-12.7501456126541,-12.7256787165959,-7.08422642209792,-12.7426689744649,-12.7926327538513,-12.7629232229237,-12.7519933441744,-7.00624222569679,-12.7554806098774,-12.7632729410228,-7.71779621101358,-12.7613566296026,-12.7898920790471,-12.7923332680328,-12.8019959096492,-7.77821147451249,-12.8116261183267,-7.11720550316434,-12.7673996853865,-12.7858636981384,-12.7910924243915,-7.81035268372429,-12.7912395886639,-12.7961440402087,-7.73805229768932,-12.7960380304607,-12.7927683740257,-12.7689384849957,-12.754962771263,-12.7634339316879,-7.76046702921342,-7.72179177681754,-7.75190533307861,-12.7606014813637,-12.7681517832196,-12.7374613664946,-12.7199928978354,-6.33327962813969,-6.2938812793167,-12.7498399961172,-7.03218285735719,-12.7680940526942,-12.8172699637535,-12.7128358956196,-12.7235528784948
"OTU_421",-12.2242084200483,-12.2300139128442,-12.2167245537756,-12.2379061480676,-12.2269949466609,-12.1930422653786,-12.2269640876357,-12.2171507498796,-12.2040141981788,-12.2467605506021,-12.1885887960956,-12.2237125730374,-12.211000351494,-12.1945419073058,-12.1681760676485,-7.77611547709874,-12.2071129614145,-12.1999696647034,-12.2165334856537,-12.170483174056,-12.1942970193975,-12.2197960880136,-12.2146633817259,-12.2250150714433,-12.2125003113366,-12.2136210310845,-12.2411457375528,-12.2226318000778,-12.1919404220286,-12.184991133768,-12.1983115737294,-12.215383942615,-12.2028284078292,-12.204980241109,-12.2142487701874,-12.2107792688878,-12.1967747807324,-12.1849421956235,-12.1768460405476,-12.182169804804,-12.1965706427262,-12.2171686918851,-12.1607962413872,-12.1693416665358,-12.173596829077,-12.2052627799288,-12.1810488559733,-12.1565819048099,-12.2052777745717,-12.1735722010878,-12.2235360897157,-12.1938264944897,-12.1828965916006,-12.1675695993207,-12.1863838650343,-12.1941762133567,-12.1766712437628,-12.1922598977248,-12.2207954090597,-12.2232366032586,-12.232899265385,-12.2059323577769,-12.2425294943075,-12.2217678213232,-12.1983029667632,-7.80016307039296,-12.2219957569691,-12.2212806395376,-7.81156848934518,-12.2270473835469,-7.73805229768932,-12.2269413735737,-12.2236717101793,-7.76472054477148,-6.63638390535467,-12.1943372043754,-12.1975628177714,-7.028201432058,-12.1936337512264,-7.05358572719368,-6.66525899915211,-12.1683645814143,-12.1508960730494,-7.72090525193678,-7.68156036255954,-7.0339473042199,-7.72577144158795,-7.07242190053737,-4.8233490526729,-6.05067640673983,-6.07304453410041
"OTU_649",-7.8188324438034,-12.5367454697755,-12.523456127958,-12.5446376948618,-12.5337265074911,-12.4997738708774,-12.5336956485058,-12.5238823235052,-12.5107457890766,-12.5534920861184,-12.4953204075669,-12.53044413812,-12.5177319331781,-7.75662333453886,-7.70120018085745,-12.5111209885966,-12.5138445482175,-12.5067012609649,-12.5232650600858,-12.4772148100836,-12.5010286232185,-12.5265276581884,-12.5213949586046,-12.5317466348368,-12.5192318910507,-12.5203526093288,-12.5478772802092,-12.5293633665636,-7.74932246466036,-12.4917227500834,-7.76472054477148,-7.1066061377273,-12.5095600002973,-7.0829682965388,-7.79564653633459,-12.5175108508625,-12.5035063812462,-12.4916738120049,-12.4835776678947,-12.4889014249304,-12.5033022435121,-12.5239002654873,-12.4675278907369,-12.4760733041266,-12.4803284608499,-12.5119943691752,-12.4877804776169,-12.4633135599958,-12.5120093637982,-12.4803038328943,-12.5302676550273,-12.5005580989396,-7.73105314400713,-12.4743012393417,-12.4931154794723,-12.5009078173391,-12.4834028713476,-12.4989915042709,-12.5275269779333,-12.529968168959,-12.539630818601,-12.5126639461385,-12.5492610352005,-12.5284993889319,-7.06817200038804,-12.5234985936475,-12.5287273242814,-7.81035268372429,-6.71214582786125,-12.5337789443093,-12.4934855498148,-12.5336729344731,-12.5304032753149,-12.5065733661662,-7.04228617193974,-12.5010688081426,-12.504294417235,-12.4856193149838,-6.65243282930369,-7.05358572719368,-7.76472054477148,-7.70029520342012,-6.56479537622537,-7.72090525193678,-6.2938812793167,-7.72753511047545,-7.03218285735719,-7.76599307940768,-12.5549048852346,-12.4504707274881,-7.68432406768116
"OTU_12616",-12.7933050827508,-12.7991105632121,-7.11191986369854,-12.8070027817818,-12.7960916034341,-12.7621389955359,-7.82404601085629,-12.7862474276738,-7.77737360265786,-12.8158571657881,-12.7576855360647,-12.7928092367967,-12.7800970425271,-12.763638634169,-12.7372728531536,-12.7734861035496,-12.7762096608573,-12.7690663796851,-12.7856301647729,-12.7395799543678,-7.75405263903576,-12.7888927601387,-12.7837600648645,-12.7941117324277,-7.79234892411304,-6.4077047283841,-7.85282781228174,-12.7917284661424,-7.05574415669559,-12.7540878816953,-6.37715202760747,-12.784480624204,-12.7719251165789,-12.7740769451795,-12.7833454542181,-12.7798759603983,-12.7658715027,-12.7540389436593,-12.7459428065984,-12.7512665589923,-12.7656673651409,-12.7862653696409,-12.7298930435851,-12.7384384494157,-12.7426936023988,-12.7743594833857,-12.7501456126541,-12.7256787165959,-12.774374477996,-12.7426689744649,-7.12367278520461,-12.7629232229237,-12.7519933441744,-12.7366663861929,-6.6390039941898,-12.7632729410228,-7.02420409162538,-12.7613566296026,-12.7898920790471,-12.7923332680328,-12.8019959096492,-12.7750290597802,-12.8116261183267,-12.7908644892325,-12.7673996853865,-12.7858636981384,-12.7910924243915,-12.7903773084878,-7.11801620446533,-12.7961440402087,-12.7558506798995,-12.7960380304607,-12.7927683740257,-12.7689384849957,-7.73587031995257,-7.75362354655975,-12.7666595380138,-12.7479844519045,-12.7627304800839,-12.7606014813637,-12.7681517832196,-12.7374613664946,-7.66434663209862,-7.72090525193678,-12.7277788271116,-12.7498399961172,-12.7491596296202,-12.7680940526942,-12.8172699637535,-12.7128358956196,-12.7235528784948
"OTU_14831",-12.8622981395256,-12.8681036189143,-12.8548142906512,-12.8759958360358,-12.8650846596933,-12.8311320581763,-12.8650538007393,-12.8552404857609,-12.8421039649033,-12.8848502184311,-12.8266785995583,-12.8618022936634,-12.8490901017654,-12.832631696523,-7.70120018085745,-12.8424791640332,-12.8452027208269,-12.8380594410059,-12.8546232229753,-7.70526247486633,-12.832386809199,-12.8578858177328,-12.8527531234163,-12.8631047890531,-12.8505900580903,-12.8517107752134,-12.879235418132,-12.8607215232095,-12.8300302174606,-7.7336835707759,-7.76472054477148,-12.8534736826211,-12.8409181773578,-12.8430700055515,-12.8523385128475,-12.8488690196781,-12.8348645646283,-12.8230320078543,-12.81493587236,-12.8202596237223,-7.06604025794785,-12.8552584277246,-12.7988861124899,-7.70255611326858,-7.71333788887187,-7.77737360265786,-12.8191386776009,-12.7946717863344,-12.8433675383118,-7.0184017990692,-12.8616258107507,-12.8319162854143,-12.8209864087641,-7.69984240739699,-12.8244736737948,-7.75448154747038,-7.71779621101358,-7.05660622571449,-12.8588851364554,-12.8613263249877,-7.8336002236611,-12.8440221199725,-7.85438121065236,-12.85985754646,-7.76174498465891,-7.80016307039296,-12.8600854815768,-12.8593703658058,-7.81156848934518,-12.8651370964582,-12.8248437437458,-12.8650310867298,-12.8617614308999,-12.8379315463407,-7.73587031995257,-7.0600470893244,-12.835652599792,-12.8169775172698,-7.75190533307861,-12.8295945442982,-12.8371448447141,-12.8064544339109,-6.97073007814353,-12.8158275978385,-7.68156036255954,-12.8188330611231,-12.8181526947578,-12.8370871141997,-12.8862630161406,-12.7818289679206,-12.7925459486552
"OTU_1465",-12.8272067270704,-12.8330122069954,-12.8197228775001,-12.840904424841,-12.8299932474959,-12.7960406427883,-12.8299623885391,-12.8201490726496,-12.8070125505582,-12.8497588080418,-12.7915871837437,-12.8267108811623,-12.8139986880785,-12.7975402812782,-12.7711745028125,-12.8073877497236,-12.8101113067743,-12.8029680262777,-12.8195318098063,-12.7734816038008,-12.7972953939309,-12.822794404868,-7.79688034278352,-12.8280133766726,-12.8154986445441,-12.8166193617722,-12.8441440072327,-12.8256301106082,-12.7949388019672,-7.7336835707759,-12.801309939084,-12.8183822693447,-12.8058267629006,-12.8079785912977,-7.79564653633459,-12.8137776059704,-12.7997731495964,-12.787940591689,-6.33150184989369,-7.72929567431048,-12.7995690120567,-12.820167014615,-12.7637946939698,-12.7723400989604,-6.10211106719505,-7.77737360265786,-12.7840472610597,-12.7595803673973,-7.77779262633883,-12.7765706235964,-12.8265343982332,-12.7968248701012,-7.73105314400713,-7.00624222569679,-7.04490511712937,-7.06090545847581,-12.7796696590342,-12.7952582769299,-7.80994708647679,-7.81520706218909,-12.8358975531672,-7.08464544577888,-7.85438121065236,-12.8247661337784,-12.8013013321375,-7.80016307039296,-12.8249940689164,-12.824278953079,-12.825141233175,-12.8300456842657,-12.7897523277549,-12.8299396745275,-12.826670018395,-12.8028401316004,-12.7888644192038,-12.7973355788167,-12.8005611848351,-7.72179177681754,-12.7966321272798,-12.7945031287631,-12.8020534298991,-12.771363016135,-12.7538945492021,-12.7807361809765,-12.7616804777051,-12.7837416445523,-12.7830612781212,-12.8019956993792,-12.8511716058793,-12.7467375477023,-12.7574545295072
"OTU_89",-6.0250604965365,-9.87949120083144,-7.11191986369854,-9.88738380028166,-5.62441854890376,-5.67246379139877,-6.03028453895756,-6.19236248947487,-6.16625783748114,-6.76619171466035,-5.94933962080731,-7.12407560494822,-6.40274604053759,-6.36904445172661,-5.61858762859297,-6.16499759786886,-5.37905913052407,-5.81753623967205,-6.00799384905919,-5.13489304993545,-5.80556516896614,-6.0137151560428,-5.22698659947652,-6.20738205333045,-5.84395840999939,-5.84685157176121,-5.90458303181583,-5.86525323596997,-5.44285051728033,-6.12249280951439,-6.66525899915211,-7.1066061377273,-6.67498217869208,-6.38898148536697,-6.40811684460671,-5.83939503348455,-5.45617545116362,-5.53338948872752,-5.00484076038792,-6.34168118098567,-5.35744354004813,-6.41468771013785,-5.37851390854231,-5.75393225834167,-6.10211106719505,-5.06343855901541,-5.93357056868908,-6.28925164141796,-5.69541422498568,-5.40537643884144,-7.12367278520461,-5.80513496891649,-5.78250563078573,-5.61722553984663,-5.16829628906826,-5.44802963977636,-5.22798431170213,-5.44371556923739,-5.50370419627299,-6.4277013138829,-5.18937902954233,-6.67876131398975,-6.06067961612945,-6.19969748568644,-5.96785468146885,-6.18908514119111,-6.71295620067707,-6.42284103700065,-6.4240583226044,-9.87652453388368,-5.65555465234295,-7.12849594568004,-6.71578734513638,-5.68230344297908,-5.24614649421913,-6.65415252018322,-6.37289307738791,-5.5210163746231,-6.65243282930369,-5.95324333428778,-5.56409460361177,-5.49944250419024,-5.7156169323032,-6.33327962813969,-6.07027572753227,-7.0339473042199,-7.03218285735719,-7.07242190053737,-9.89765147327236,-9.79321216752095,-9.80392971341156
"OTU_9235",-12.4333011443476,-12.4391066317807,-6.01167558772411,-12.4469988597633,-7.13129875031767,-12.4021350190062,-12.4360568093856,-12.4262434807405,-12.413106941377,-12.4558532542421,-7.743269700829,-12.4328052977963,-6.69084227741856,-12.4036346595011,-7.00760061395185,-12.4134821410389,-7.78113850984502,-12.4090624117329,-12.4256262170908,-12.3795759494899,-12.4033897718266,-12.4288888164097,-12.4237561149105,-7.81843027207066,-7.79234892411304,-7.79523492900217,-7.15929190479756,-12.4317245258389,-7.05574415669559,-6.63419524175391,-12.407404322334,-12.4244766751259,-12.4119211521491,-12.4140729833945,-12.4233415037599,-12.4198720057124,-12.4058675307992,-12.3940349570243,-7.71912984090673,-7.72929567431048,-12.4056633929874,-7.80220931624712,-12.3698890263368,-12.3784344430862,-7.01974378093018,-7.77737360265786,-7.72753511047545,-7.67693714581808,-6.67834211465433,-12.3826649735066,-12.4326288146381,-7.0600470893244,-7.73105314400713,-12.3766623776069,-12.395476625047,-12.4032689659011,-7.71779621101358,-12.4013526521004,-12.4298881365264,-7.12165624892941,-12.4419919816677,-12.4150250991636,-12.451622201788,-12.4308605478863,-12.407395715376,-12.4258597507396,-12.4310884833206,-12.4303733665533,-12.4312356477705,-12.4361401052199,-12.3958466955319,-12.4360340953445,-12.432764434976,-12.4089345168856,-7.73587031995257,-12.4034299567661,-12.4066555670881,-12.3879804576626,-12.4027265042889,-12.4005975029221,-12.4081478141383,-12.3774573589214,-12.3599888678199,-12.3868305365583,-12.3677748071474,-12.3898360042115,-12.3891556368584,-12.4080900835416,-12.4572660538699,-12.3528318562955,-12.3635488530848
"OTU_20818",-12.9756271027643,-12.9814325805442,-12.9681432559777,-12.9893247954935,-12.9784136221586,-12.9444610302134,-7.82404601085629,-7.10987946307227,-7.0838072227625,-7.86557175768479,-12.9400075728752,-12.9751312570399,-12.9624190686994,-12.9459606681304,-6.31354804627709,-12.9558081328352,-12.9585316888578,-7.07242190053737,-12.9679521883552,-7.70526247486633,-12.9457157808766,-7.80751004221619,-12.9660820893206,-12.9764337520676,-12.9639190246022,-12.9650397414103,-7.85282781228174,-7.12004008696147,-12.9433591898138,-12.9364099202359,-12.9497303245,-12.9668026483232,-12.9542471466026,-12.956398974186,-7.79564653633459,-12.9621979866743,-12.9481935355972,-12.9363609822234,-7.71912984090673,-12.9335885988939,-7.7596141506969,-12.9685873929268,-12.9122150939236,-12.9207604955546,-12.9250156464599,-7.77737360265786,-7.72753511047545,-12.9080007690187,-12.956696506862,-12.924991018538,-12.9749547741763,-12.9452452572267,-12.934315383725,-12.9189884331998,-12.9378026477475,-12.9455949751587,-12.9280900527696,-12.9436786646542,-12.9722141006442,-12.9746552884967,-12.9843179256544,-12.9573510883373,-12.9939481299308,-12.9731865103778,-12.9497217175567,-12.9681857216117,-12.9734144454311,-12.9726993298594,-12.9735616096351,-12.978466058909,-12.9381727175916,-12.9783600492099,-12.9750903942878,-12.9512605164348,-12.9372848093823,-12.945755965747,-12.9489815705359,-12.9303064933943,-12.9450525144789,-12.9429235167765,-7.07114882589057,-12.9197834131119,-12.9023149530843,-12.9291565742977,-7.68156036255954,-12.9321620367085,-12.9314816705407,-12.9504160845344,-12.9995919727979,-12.8951579544487,-12.9058749319723
"OTU_7858",-12.6979946250146,-12.7038001070848,-12.6905107726606,-12.7116923278267,-12.7007811464714,-12.6668285290013,-12.7007502875031,-12.6909369679692,-12.6778004409429,-12.7205467142498,-12.6623750682504,-12.6974987789228,-12.6847865810957,-12.6683281680641,-12.6419623793998,-12.6781756402502,-12.6808991983289,-12.67375591513,-12.6903197048955,-12.6442694812913,-12.6680832806233,-12.6935823011735,-12.6884496044628,-12.6988012749156,-7.79234892411304,-12.6874072557722,-12.7149319114007,-7.81359155295243,-12.6657266877587,-12.6587774128429,-12.6720978273062,-12.6891701640044,-12.6766146528366,-7.77653502818524,-12.6880349937,-12.6845654989046,-12.6705610372337,-12.6587284747927,-12.6506323353821,-7.72929567431048,-6.66014825548955,-12.6909549099413,-12.634582567654,-7.0089571594911,-12.6473831302341,-12.6790490203337,-7.72753511047545,-7.67693714581808,-7.08422642209792,-7.71199650704767,-7.81722278550817,-12.6676127566139,-12.6566828747159,-7.69984240739699,-6.35088571671474,-7.75448154747038,-7.02420409162538,-7.75018416225784,-6.19888513795696,-12.6970228100264,-12.7066854543181,-12.6797185969179,-7.85438121065236,-7.81075811652936,-12.6720892203564,-12.6905532383263,-7.81237820598861,-7.81035268372429,-12.6959291303531,-12.7008335832605,-12.6605402115562,-12.7007275734831,-12.6974579161403,-12.6736280204041,-12.6596523026634,-12.6681234655244,-12.6713490727724,-12.6526739812825,-12.6674200137189,-12.6652910143879,-12.6728413184039,-12.6421508927962,-12.624682418958,-12.6515240612935,-12.6324683505537,-12.6545295260343,-12.6538491593397,-12.6727835878621,-12.7219595125988,-12.617525414594,-12.6282424006802
"OTU_109",-7.8188324438034,-10.4164555904216,-7.11191986369854,-6.74680374792437,-10.413436548487,-10.3794829993333,-10.4134056886862,-7.80343505695217,-10.3904552158183,-10.4332026442554,-7.0496887748708,-7.12407560494822,-6.17918815319093,-5.55596969254812,-10.3546161470368,-10.3908304254808,-7.78113850984502,-10.3864105781315,-10.4029748232063,-10.3569233148628,-10.3807377859524,-10.4062375082817,-10.4011046717447,-10.4114566234664,-10.3989415462639,-10.4000622945704,-10.4275876924799,-10.4090732920197,-5.44285051728033,-7.7336835707759,-10.3847524443132,-6.00635315960173,-4.87689223886114,-10.3914212835772,-10.4006900496556,-10.3972204598967,-7.06902342657826,-10.3713827181406,-10.3632863500108,-10.3686102545585,-7.7596141506969,-10.403610045563,-10.3472361233594,-10.3557817769718,-10.3600370525495,-10.3917038296542,-10.3674892762508,-10.3430216733901,-10.3917188246821,-10.3600124239075,-10.4099776044712,-7.75362354655975,-6.63156250657811,-10.3540096625404,-6.6390039941898,-10.3806169767747,-5.92381006529215,-5.6677234248405,-6.42243494562451,-6.4277013138829,-6.44611656606803,-6.67876131398975,-5.90614005821058,-5.72847508724657,-6.15060276844628,-7.1066061377273,-6.20132020409526,-5.60987871278976,-6.4240583226044,-7.12889682762567,-6.12686918411418,-7.12849594568004,-5.73293666430877,-5.68230344297908,-5.78733549747448,-6.14246742064451,-5.45403824154481,-5.5210163746231,-5.80341231560504,-5.54647868083753,-5.97083657931201,-5.75166519774703,-6.97073007814353,-5.772330802904,-5.59888481482705,-4.58230199508443,-4.58052105071344,-4.31920706539919,-6.08183832045748,-10.3301784744295,-10.340895773057
