"ASVID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_1",-1.74517840166848,-1.44036158239017,-1.13675382973589,-2.23359222150709,-2.54493691794652,-2.83540994021676,-2.61098136983339,-2.39964199813331,-2.78258325296478,-2.27350788208585,-4.59571385074606,-2.54230688071178,-2.27858134564562,-2.3427401985266,-2.81709324829829,-2.92757938531676,-2.39965325742927,-2.75174805636793,-2.75988207097067,-2.40516396569,-2.34116457496152,-3.82981579474504,-2.30008196277593,-2.24450611096705,-2.14503882416565,-2.20833580276129,-2.27013657738097,-2.39434707274227,-2.29368484352378,-3.89317991762667,-2.20655176021136,-2.0332896467927,-2.09435707243628,-2.58829153095404,-2.8125407732515,-2.51145401651566,-2.39981404537299,-3.07232775080376,-2.90356930997811,-3.23149428882741,-3.1563353063933,-3.00015286805939,-2.89099578287741,-2.83972802507741,-2.64875045882092,-2.79057122479021,-2.91287436192987,-2.92288932370686,-3.15118081209685,-2.99202169415746,-2.88970218974259,-3.03271127679508,-2.95491027903374,-2.77405823021914,-3.00685440325226,-2.70242034809014,-2.98714285834016,-3.00228967410015,-2.98151402455171,-2.83953702135226,-2.96830061909332,-2.95704154041841,-2.98268455816152,-2.7092399692378,-3.12173539975772,-3.10488558745051,-3.06956191384156,-2.80510710624148,-3.05969192347424,-3.3328096539153,-3.14131759052233,-2.83848692252715,-3.20545280453606,-3.13617333310296,-2.74573685077913,-2.59498574514782,-2.69244079017513,-2.48780100781436,-2.59905199500156,-2.76886154684786,-2.47518694710002,-2.68102152871429,-2.80114062416822,-2.20434204510508,-2.54654147474116,-2.27328682019204,-2.35547194458081,-3.08648663682246,-2.02689432863269
"OTU_2",-2.6353876007263,-3.63486012441715,-2.75301862604568,-2.91749206411536,-2.62964549543291,-2.51792046186044,-2.67075113766461,-2.31852874339118,-2.27597723967927,-2.10400644850412,-3.02196738220834,-2.86537045569075,-3.36667987677944,-2.73631366637507,-2.97127839650897,-2.58769976994058,-2.73998324820522,-2.10534619401188,-2.29664644142646,-2.31444628825151,-2.16449788383366,-2.21069927591958,-2.10336767492762,-2.37475948089536,-2.17053897170454,-2.23973097620542,-1.82101687521643,-1.88407226949341,-2.14917487969451,-3.19694211486815,-3.32726622853462,-4.31990942222532,-4.41219204900561,-2.90077497265705,-2.53742468407145,-2.44524139339557,-2.48744794721667,-2.62479352189035,-2.51027144914938,-2.53291586897436,-2.75176163419263,-2.77258872223978,-2.32290699850519,-2.40910196460793,-2.52865119875086,-2.51769647261099,-2.5940546268075,-2.55111787831308,-2.52673653957248,-2.53918607265058,-2.70264843239679,-2.94975460630083,-2.94183650534886,-2.87876059696849,-2.8286276825649,-2.61590652366904,-2.72913224677432,-2.90959674509856,-2.67051228178314,-2.98329570851298,-3.0189181810228,-2.78147766965703,-3.36729582998647,-3.34673542554229,-3.02200741535579,-3.05053207119481,-3.19927317757469,-3.25071643072386,-3.18267277620424,-3.38680864421006,-3.2561716096119,-3.64462168602872,-3.40353383132318,-3.64832451794752,-3.3438126978812,-3.14467460827411,-3.07376627616645,-3.19486094866433,-3.14259651851122,-3.1950221459888,-3.39121868161226,-3.19978567097528,-3.25882196424118,-3.45844192443717,-3.22590985152558,-3.51357864861312,-3.64759779514063,-5.02168513028284,-6.10924758276437
"OTU_3",-2.6538541470567,-3.74678545169138,-3.91724742956495,-2.63962406241592,-2.32214561884854,-2.41726909813806,-2.44090632052556,-2.67386362733539,-2.61533207885956,-2.64947089998373,-2.542998021358,-2.76337206713486,-2.71761965211836,-2.65415443289708,-2.60210162309283,-2.59692598072763,-2.82810984559619,-2.92379389183728,-2.81489897046303,-2.8700610650486,-2.61978411880368,-2.84114747173164,-2.65812896272684,-2.56841356415921,-2.66406664846323,-2.54956443862206,-3.1058839249479,-2.81609940668396,-2.95919032225351,-2.64048488160644,-2.69411710679829,-2.98017986054651,-2.80749853737681,-3.33665886052458,-2.70280772513736,-2.60905507931146,-2.91222713919943,-2.80459647500706,-2.92673940206704,-2.63454264926073,-2.5642623083105,-2.65916828960485,-2.90291897394825,-2.7517770633151,-2.67832939196879,-2.92368596458015,-2.71535677628465,-2.66212720979022,-2.54502837996698,-2.54791961761673,-2.66032742823299,-2.65810552458595,-2.56895470327021,-2.62215137753718,-2.68513594157933,-2.68017383157395,-2.65473056356943,-2.43795587816971,-2.56311617637988,-2.59746774146323,-2.77564776408686,-2.67797274586493,-2.89540955192612,-2.74798291143758,-2.67382632871463,-2.80214752448133,-2.70253040787861,-2.69814624598527,-2.73672600107888,-2.78006073707848,-3.02334744058696,-3.09104245335832,-3.11853970281554,-2.87604193234134,-2.82974713607973,-2.95635965012875,-2.8298269540947,-2.86255355241963,-2.85790595664659,-2.97671194887496,-2.96134493124452,-3.50387136499222,-3.01421708822809,-3.41151434863309,-3.37898275692838,-3.97633828736399,-3.50655789731998,-5.02168513028284,-6.80350525760834
"OTU_4",-3.30357269750088,-4.17980244558341,-3.86977954656051,-2.91749206411536,-3.18612303839639,-3.02942781150094,-2.91414197723008,-3.61806276304429,-3.35233029145707,-3.78535445641455,-2.81653084409628,-3.44131737545158,-3.29521939145553,-3.4613513044819,-2.93639758029145,-2.90306228354021,-2.80792399407503,-2.97452124752235,-2.99826071990735,-3.70471091933062,-2.98777385995478,-2.84114747173164,-3.06864906033756,-3.08101451417219,-3.26735872217395,-3.33794835135446,-3.14792408889592,-3.26148445769342,-3.47053207506322,-2.78897669142275,-2.96602711914008,-3.19433471595208,-3.20586851853082,-3.08976122320227,-3.02787672688056,-3.2201058373234,-3.10832683427156,-2.93042717514622,-2.78405189452116,-2.94316994346314,-2.83388924810358,-2.94823645208441,-3.12811864469436,-3.05528680431058,-3.09670819089399,-3.00359601001421,-2.92564995866481,-3.09578019487683,-2.74581598376936,-2.85784357556051,-3.17871498739682,-3.20327082679931,-3.15635546788687,-3.12330331557654,-3.03482304063471,-3.01041271895821,-3.32438178449399,-3.04452243772342,-3.29407164047976,-3.44691963100025,-2.81809361241952,-3.44386382798106,-3.97393711807445,-3.17457556597162,-2.69398347299116,-3.22245151401765,-3.88303546855489,-3.72316852759257,-3.28897577562438,-4.17201760054032,-3.29135685851136,-4.42767904917135,-3.90399083373088,-2.82566095663068,-2.89383796587265,-3.06838042817732,-2.53162427435546,-2.7868542993986,-2.41428908257405,-2.33152727736497,-2.72218208374008,-2.78018177314738,-2.63308716262875,-2.70880749004412,-2.29683086421079,-2.72003483520683,-2.50613193640328,-2.4614863755799,-4.30631481293819
"OTU_13",-6.77250812957411,-4.45166032643268,-5.59145328968228,-5.34286574280911,-7.04284475274233,-6.17690623123818,-5.92958914338989,-5.74139933822751,-5.94907883061154,-5.6761828630578,-6.33859407820318,-6.12741488671981,-5.63061423175877,-5.79179335197891,-5.30771749105995,-6.03368556254194,-5.4461984333617,-5.33452874851061,-5.21372729824742,-6.47902154393462,-4.79638069019929,-4.07812172671521,-4.68905166996879,-3.77221344287155,-3.69374564376511,-3.62348950678615,-4.37689987892754,-4.41554932671252,-4.17910982884981,-4.16362724678165,-3.97029191355212,-3.56769389731171,-3.5859850309513,-4.74927052996185,-4.38452351487247,-3.8286413964891,-4.38559170083838,-4.25620355178519,-4.16752617951569,-4.63108156777259,-4.12195972925507,-3.8416005411316,-3.25258688221051,-3.54905653426993,-3.81220267014593,-3.50293431880537,-3.59635608521679,-3.359306439953,-3.37893891106121,-3.85922481986118,-3.46051395881857,-3.09170099799851,-3.1406722210259,-2.81219046035481,-3.04907825425928,-3.18635263316264,-3.08840392940013,-3.05896786291115,-3.04511749873473,-2.94843555885093,-3.0189181810228,-2.78147766965703,-2.29345260943077,-2.43871726731863,-3.13675366193946,-2.65324196460722,-1.97723560277053,-2.62619917467189,-2.2270775404859,-1.98933623957026,-1.97520842185732,-1.51130588554582,-1.88226662818089,-1.86580964960553,-2.52537459934085,-1.93309858592111,-2.72526232998333,-2.32106990766815,-2.53751081300652,-2.63755243843584,-2.50458934424643,-2.35215559274736,-2.85410962678263,-2.78395678706795,-2.972384909557,-3.38167471517329,-3.31379908263249,-2.19238195286043,-4.0141282283653
"OTU_6",-4.62381874506616,-5.41432104230434,-5.36737690247953,-3.97083085185673,-2.62089099352616,-2.72251096477188,-2.67954869097,-2.77542560357498,-2.97892515523761,-3.5724626722077,-3.29157765664493,-3.35442131686442,-5.02148531012032,-3.7986054272814,-2.89152849602399,-2.87907220264223,-3.22840771649356,-3.45588360635672,-3.30271834452074,-2.92154737536461,-3.56562937370534,-2.87471821731616,-3.48948998880783,-3.14672398020703,-3.06898273529358,-3.4248910644513,-3.74346002241807,-3.30829455825901,-3.2886425903703,-3.73562671665357,-4.85022575215176,-4.77671964580014,-4.63775837558124,-4.12278249754263,-3.49144425950993,-3.33834326487353,-3.13732964012138,-3.08618217647606,-3.09045196027945,-3.03571180804127,-2.82178464823259,-2.92316158071916,-3.11351530921037,-3.02400526948937,-2.68836077494571,-2.69223959507557,-2.83914416868949,-3.00595382762553,-2.92368596458015,-2.57451880847769,-2.66032742823299,-2.61766613963394,-2.72937012921394,-2.94954289108462,-2.90155240708575,-3.16913438871088,-2.97340698650615,-2.89696373957832,-2.83141100052236,-2.95993426767821,-2.94383383542634,-3.09166492458912,-3.15050387857972,-3.01343185065339,-2.88149408386415,-3.40831484943102,-3.49710156207795,-3.31361766137789,-3.40692805637114,-3.06927617687636,-3.30938983240903,-3.46126162240481,-3.26751945815599,-3.41336791728241,-2.93413315109198,-3.51865830425407,-3.5881378843124,-4.11835943842597,-3.94435189254351,-4.02392209792555,-3.78631804905309,-3.72678811809583,-4.03033923224619,-4.94092788167144,-4.70275051432696,-5.93819561822864,-5.11424427671528,-6.38409981806519,-6.70706673298729
"OTU_5",-3.70482310451107,-4.30676415017333,-3.78086973520859,-3.52690503865085,-3.05031284185813,-3.04127040233705,-3.52363349811024,-3.1642528936642,-3.12361502656064,-2.94264310918363,-2.99573227355399,-3.30547686126939,-4.23350245746322,-3.11224466100892,-3.2222985321457,-3.56585171072994,-2.90176140266052,-2.73066828968998,-2.68707707772193,-2.78295150927533,-2.78886960784392,-2.41366349606631,-2.85022468988275,-3.04340136137282,-3.21826025082599,-3.05969192347424,-2.52025916850372,-2.78593385791905,-2.43386575318069,-3.57330434504639,-3.70990682130601,-4.77671964580014,-4.92785736763856,-3.70918472027468,-2.88389085381208,-2.99016122850454,-2.76638137766545,-2.90647117683035,-2.72382722738415,-3.00847129933142,-3.09304579292649,-3.35863776724336,-2.8445342196807,-2.82673617135719,-2.93499603836616,-3.04582621887291,-3.30553626309304,-3.16003532484527,-3.35960348436332,-2.94133820148819,-3.21229685377016,-3.27258000384006,-3.48635519000246,-3.28940597567404,-3.38214918669146,-3.5074665752562,-3.21690667424832,-3.43785069931019,-3.81423607680154,-3.62378522304264,-3.51986891137965,-3.68826951203952,-3.66356164612965,-3.91715268324814,-3.72600230754799,-3.83391536124797,-4.22537282462851,-3.99346333736832,-4.0486946236695,-4.79814903725603,-4.33073334028633,-4.54016096585383,-4.24620691153135,-4.32875770579454,-4.27136106678636,-4.10200743496767,-3.80469978060247,-4.07685924788108,-4.33832220043915,-4.25063580654847,-4.0796538468121,-3.79076620128282,-4.2570301444992,-4.05540158827349,-4.00049165341575,-4.31815455807947,-4.18889687916332,-4.73180283692146,-5.41387570718231
"OTU_8",-5.15848042136024,-5.23110861685459,-5.18412163880168,-4.27291979405643,-5.30109129343076,-5.25749537202778,-5.45798849490667,-5.13258472244717,-5.1574866714419,-5.85907535906224,-6.05032290411434,-4.79963987671769,-4.77852307279929,-4.34689279695194,-3.41716123265117,-3.58844505679217,-3.67630067190708,-3.51836294276974,-3.86936108398588,-3.56220282073187,-3.63339076849628,-3.97792778031586,-3.59351608140553,-3.32281995330768,-3.42971760361057,-3.49993222234784,-3.23721410866066,-3.07918795382377,-3.41264673842936,-4.35738336297149,-4.07389887106181,-4.36703385008774,-4.46409158772819,-3.30029689251186,-3.70477804018173,-3.72086249996699,-3.99017807655688,-3.33582989178952,-3.13196272314768,-3.33533244516216,-3.10852776769934,-3.01352181511749,-3.37465782642754,-3.52425747441938,-3.28653447334202,-3.06027079469156,-3.16903895925173,-3.17670884023261,-3.08974290801623,-3.04514067576475,-3.1953760489523,-3.22018644104532,-2.90351255145722,-2.83834720205007,-2.97957683333171,-3.23970991177104,-3.30570861448348,-3.30231357258232,-3.03209991772487,-3.00716096937761,-3.44053679622219,-3.36729582998647,-3.33097222412894,-3.14601447660333,-3.03571180804127,-3.09104245335832,-3.31209738687611,-3.17691162576917,-3.04684262437912,-3.18537987044002,-3.30938983240903,-3.23449097624356,-2.78465159468906,-3.18621714098711,-2.81735641063386,-3.16059460897618,-3.07376627616645,-2.97216915982585,-2.92602486112917,-3.15846669707264,-3.24735529619007,-3.05803615689015,-3.20158432775814,-3.302481408723,-3.64452795389634,-3.63758615972639,-3.35883098529053,-4.73180283692146,-5.1896179496247
"OTU_9",-4.01492889805905,-4.716711560721,-4.89456953307937,-3.52690503865085,-3.1026300685307,-3.19436740583947,-3.06528054633264,-3.27991558541612,-3.50620069067214,-3.89589362349826,-4.24670793147526,-4.45986912143782,-4.47013390218415,-4.21151012332969,-3.20754425885865,-3.32664722511034,-3.61146933256446,-3.54003382651637,-3.43336666459555,-3.68313381281786,-3.52275258323996,-3.58470027350194,-3.55067242468381,-3.27603423870815,-3.44937685878971,-3.55990907281698,-3.46051395881857,-3.26148445769342,-3.53174814614854,-4.46995670718058,-4.77551555173533,-5.22155630541458,-5.01547206289687,-4.55325750477368,-3.3322045101752,-3.39328739213866,-3.40240876884845,-3.40844379018292,-3.43983517436757,-3.2650082840417,-2.93574036292602,-3.17244109344299,-3.51245881992664,-3.19019250135226,-3.65436194923122,-3.48124008933569,-3.52699970648516,-3.11149306382961,-3.13549421592915,-3.0588306133913,-2.88970218974259,-3.44706783572825,-3.20480909675715,-3.23116365566189,-3.00685440325226,-3.48431228837266,-3.08840392940013,-2.98856378407538,-3.27773418187455,-3.26429898248973,-3.38468757269834,-3.12068826995107,-3.54802649126041,-3.29699360413215,-3.2650082840417,-3.23808409850647,-3.31209738687611,-3.06834000274001,-3.24213268703247,-3.09716617120884,-3.46573590279973,-3.39991450784927,-3.42181666886489,-3.70230247444608,-4.0943445622221,-3.8286413964891,-4.34445456176612,-3.89113979451172,-3.71635564539795,-4.20113262987111,-3.81877521356804,-4.59800169650948,-4.07187170637004,-4.75717570946896,-4.99269759340959,-6.63266032203583,-5.58649931404147,-6.12468339089421,-6.97583023909743
"OTU_7",-4.9750081164531,-4.82296613097571,-4.44406202559333,-4.16211062785054,-5.41942819229709,-5.07413160565538,-6.15326446818114,-5.74139933822751,-5.61156275255943,-6.37104188426402,-4.33491120371922,-3.28964489575641,-2.13840309975025,-3.29017112846865,-3.33163745600634,-3.20835917984327,-3.76947146144424,-3.93366218053163,-3.78296037746353,-4.00577352804082,-4.33966462918765,-4.88977059190246,-4.23757873030801,-3.87448508610908,-3.62130602928121,-3.92508024458479,-4.24735173134728,-4.37054796258897,-3.7147611274865,-3.7652956845583,-3.32726622853462,-2.61752388200514,-2.70104157094773,-4.38887810962298,-2.98671740245778,-3.57746198474792,-3.95783254145944,-3.20383794750366,-3.42123340842258,-3.12173539975772,-3.1563353063933,-3.28715733228461,-3.55534806148941,-3.60046849676988,-3.41493900951445,-3.13549421592915,-3.18518976721339,-3.39986315864902,-3.28556719936687,-3.41407704452582,-2.73544917529032,-2.88506670566647,-2.94183650534886,-3.33005935382882,-3.10802522598746,-3.18635263316264,-3.34338515936479,-3.59316221472791,-3.53281026846405,-3.4289690729623,-3.3667011228622,-3.82136863716002,-3.52636052461616,-3.49192302621607,-3.28216356410412,-3.75419892023458,-3.94305174766684,-3.7971731637492,-3.66810969262755,-3.5245581810823,-3.84071653526485,-3.89817759860609,-4.24620691153135,-3.59697809183011,-3.7223410942279,-3.99089792274656,-4.29501525768425,-4.59444622262512,-4.05975311745248,-4.54187533561578,-5.07099844382335,-3.89473150831809,-4.42167146602112,-5.29974491853922,-4.62195166295009,-4.9219696570106,-4.41506844187517,-3.19640296901614,-6.80350525760834
