"ASVID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_1",260,216,523,183,132,107,129,156,112,164,17,134,156,144,103,85,155,100,99,162,150,37,160,179,177,179,166,154,158,30,166,194,183,114,92,127,142,76,92,63,64,79,89,81,110,93,83,79,66,81,83,73,80,85,76,95,76,76,85,102,85,83,81,112,70,75,77,104,81,59,67,89,69,64,92,111,99,115,102,84,112,90,82,140,97,142,116,20,105
"OTU_2",117,29,129,97,122,144,122,168,179,191,79,99,56,100,89,117,113,181,152,176,176,172,191,159,173,174,247,243,180,59,58,22,20,85,119,135,131,116,133,122,94,98,151,121,123,120,112,112,119,124,99,79,81,77,90,103,97,83,114,89,81,98,56,61,77,79,68,68,72,56,60,41,57,39,52,66,69,59,61,56,47,55,53,43,51,44,34,3,2
"OTU_3",115,26,42,126,162,158,151,121,131,116,124,109,104,108,126,116,104,85,94,105,116,96,115,133,110,131,76,104,85,100,106,81,95,56,102,116,88,98,90,111,112,109,88,88,107,82,100,101,117,123,103,104,115,98,103,97,104,129,126,128,102,108,88,108,107,100,109,115,110,100,75,70,75,82,85,79,87,81,80,69,71,41,67,45,44,28,39,3,1
"OTU_4",62,17,44,97,72,89,97,49,65,39,96,57,60,50,92,87,106,81,79,47,82,96,78,82,62,62,73,68,52,87,82,66,65,71,75,65,73,87,103,83,87,83,71,66,72,76,82,67,97,92,63,62,66,61,74,71,55,73,63,57,98,52,31,72,105,67,35,43,65,26,58,19,35,86,80,71,115,87,121,126,89,82,96,88,122,94,101,36,12
"OTU_13",2,13,8,9,0,4,5,6,5,6,3,4,6,5,9,4,8,8,9,3,14,29,16,42,41,47,22,22,26,23,31,46,45,14,20,36,21,24,27,16,25,35,63,41,36,47,43,52,53,35,48,69,67,82,73,60,69,72,80,92,81,98,154,144,69,115,211,123,176,206,197,291,234,206,113,202,96,134,108,95,109,122,78,82,65,50,47,46,16
"OTU_6",17,5,10,35,123,119,121,110,93,48,61,62,11,36,96,89,71,51,59,100,47,93,52,77,75,57,41,65,62,35,13,14,16,26,48,58,71,75,77,76,88,85,72,68,106,102,89,73,82,120,103,108,99,72,84,61,77,84,98,91,87,73,69,84,88,56,51,64,58,76,57,49,65,49,77,46,42,24,28,25,32,33,25,10,12,4,8,0,0
"OTU_5",42,15,48,54,82,88,54,76,81,88,81,65,24,70,70,46,97,102,106,114,99,143,96,85,65,81,132,107,139,41,40,14,12,39,86,81,101,89,109,78,68,56,93,82,84,73,57,63,54,85,61,58,48,52,53,44,61,50,38,48,50,41,42,35,39,37,25,33,31,14,21,17,25,20,21,26,34,25,19,20,24,31,20,24,24,20,20,4,4
"OTU_8",10,6,12,26,9,10,8,11,11,5,4,15,14,21,58,45,46,48,34,54,44,32,47,65,53,53,67,81,55,19,28,21,19,58,39,40,31,59,74,57,67,78,56,42,60,72,65,62,70,77,62,61,84,80,78,57,56,57,81,87,54,56,58,74,76,76,61,73,82,68,57,61,103,61,86,65,69,73,75,58,54,63,56,50,34,39,45,4,5
"OTU_9",31,10,16,54,78,76,84,68,56,35,24,21,19,24,71,58,49,47,52,48,49,47,49,68,52,50,54,68,49,17,14,9,11,17,56,55,55,55,55,61,79,67,49,58,42,48,46,66,67,76,83,49,63,55,76,45,69,77,64,68,57,71,47,64,61,66,61,81,68,74,49,52,56,37,25,34,20,30,35,21,31,14,24,12,9,2,5,1,0
"OTU_7",12,9,25,29,8,12,4,6,7,3,22,66,177,59,63,65,42,32,37,35,22,13,25,38,44,35,25,23,41,34,58,114,105,20,78,46,32,67,56,70,64,60,47,39,53,67,64,50,58,54,96,84,81,50,69,60,54,43,50,58,58,36,48,53,60,40,33,40,45,49,34,32,25,41,36,29,21,15,25,15,9,28,17,7,13,11,16,18,1
"OTU_10",9,8,21,44,19,22,5,26,13,9,29,20,18,16,5,8,9,10,9,41,11,23,34,42,36,60,81,83,62,83,80,25,28,61,62,68,60,35,43,18,6,5,38,20,26,10,25,23,37,40,24,18,26,21,35,38,48,50,68,64,45,66,76,59,59,79,65,66,65,46,36,34,72,29,40,24,48,41,41,42,48,40,45,54,43,43,39,3,2
"OTU_12",36,61,81,16,8,17,6,10,8,15,30,39,95,40,22,20,33,20,20,29,37,36,26,38,47,35,31,47,32,175,128,169,160,45,22,37,29,19,21,20,28,24,20,25,27,21,21,24,30,21,21,15,32,19,17,18,20,25,20,23,34,31,35,31,32,27,31,24,39,28,22,22,23,34,29,30,22,14,18,26,12,28,20,10,22,30,7,8,2
"OTU_11",76,46,49,100,87,101,103,118,86,109,82,73,43,94,16,18,53,39,40,41,72,62,35,49,29,66,54,43,54,20,34,7,0,27,22,27,45,14,27,17,10,22,26,21,14,20,13,12,16,26,18,14,14,14,13,15,10,12,15,18,21,16,17,24,15,20,14,27,10,10,20,21,22,9,8,12,13,12,7,11,12,16,12,11,10,13,4,0,1
"OTU_15",0,6,0,1,12,15,18,15,8,4,1,4,2,4,59,59,40,19,26,29,26,21,28,14,25,21,25,25,25,4,0,1,1,2,60,57,44,74,78,66,59,78,49,53,86,52,54,67,66,83,76,79,76,61,53,63,51,41,60,72,35,55,55,54,27,35,57,36,35,42,38,26,17,7,2,10,7,8,5,3,1,4,2,7,0,2,1,1,0
"OTU_14",16,11,6,27,55,58,42,40,34,30,26,21,10,13,59,57,41,47,40,51,24,32,51,30,24,33,30,34,41,12,15,7,7,12,30,23,26,51,39,45,49,51,57,40,31,46,41,39,30,31,34,50,52,33,41,40,48,49,42,26,37,41,33,38,36,33,26,27,39,23,30,22,48,22,22,23,21,25,19,20,14,20,14,10,10,6,6,1,0
"OTU_16",14,10,26,20,10,23,23,20,45,16,37,18,11,18,10,8,7,15,13,19,18,18,12,12,18,6,13,19,26,9,16,5,3,13,27,24,36,29,43,22,8,15,40,18,26,21,25,20,20,27,8,11,9,19,17,18,32,38,37,40,31,59,31,30,31,44,60,83,85,90,80,92,102,32,40,37,53,61,38,44,46,45,47,51,36,46,42,1,4
"OTU_17",31,8,22,18,32,30,31,30,34,43,29,16,19,29,10,7,15,19,18,22,32,32,39,31,55,52,59,45,50,42,45,15,8,18,25,33,34,18,23,9,14,16,32,19,16,16,22,20,19,15,20,14,11,15,19,14,16,15,21,20,27,20,22,18,24,26,18,25,19,19,17,14,26,20,21,13,20,14,13,16,16,25,21,25,17,11,26,1,2
"OTU_23",66,9,34,59,38,30,30,18,26,15,46,47,35,27,28,23,19,15,18,27,13,36,18,24,14,28,7,11,15,46,35,33,29,32,19,13,16,13,21,19,22,16,11,16,21,14,20,20,14,16,9,12,14,12,11,12,12,7,18,11,22,5,15,18,38,29,4,9,23,10,18,4,11,25,34,33,30,37,38,39,27,29,30,30,24,31,35,1,3
"OTU_24",23,14,56,21,20,17,21,18,18,18,2,26,8,21,32,18,24,17,12,15,22,3,13,7,7,13,4,11,6,6,16,17,19,21,13,16,13,21,15,23,19,12,14,10,21,13,18,17,7,9,10,19,10,6,17,11,8,12,13,16,21,10,18,20,12,14,21,20,23,33,26,28,22,46,31,32,48,41,38,31,39,47,38,35,29,79,49,38,143
"OTU_26",11,7,9,23,39,42,54,40,51,26,15,15,7,10,25,28,40,27,29,28,24,14,24,31,32,40,19,27,23,7,18,5,3,5,16,29,28,25,16,29,25,35,25,21,24,23,36,38,27,27,32,32,33,22,19,31,22,15,23,24,22,24,20,18,11,19,14,31,18,26,13,19,24,9,8,11,9,9,5,3,9,5,2,10,2,1,3,0,0
"OTU_27",0,1,1,9,2,2,0,0,0,2,2,4,4,6,6,6,3,5,3,2,4,1,6,6,6,4,9,10,7,6,10,3,9,27,13,12,7,25,27,27,24,30,27,24,25,31,25,27,15,26,19,30,32,34,36,19,33,32,37,26,52,37,41,42,36,39,38,28,28,19,42,35,33,37,27,39,32,41,44,53,30,46,42,46,20,25,15,0,0
"OTU_18",14,21,37,15,3,4,4,1,2,9,0,6,5,9,8,2,6,17,5,7,6,3,7,9,5,7,10,9,4,0,7,10,11,10,7,7,11,11,17,11,12,14,20,27,21,24,23,12,5,7,5,0,5,6,7,8,9,5,10,11,14,8,8,16,12,12,9,11,12,17,16,16,17,16,18,23,30,28,23,27,42,27,62,78,67,137,79,58,334
"OTU_20",11,5,15,8,1,9,1,6,3,2,4,7,0,6,39,34,18,33,30,18,9,33,6,4,8,6,6,4,4,2,2,2,3,4,18,18,19,25,22,39,33,40,23,19,28,17,18,17,19,18,22,29,19,20,27,22,24,16,18,19,26,17,18,18,30,23,8,17,10,12,24,11,13,25,34,34,38,39,37,46,39,44,44,31,51,26,36,3,0
"OTU_19",25,22,20,40,17,23,29,37,44,57,57,62,55,55,9,8,36,16,20,35,56,72,45,62,21,45,36,32,19,68,38,20,14,15,8,20,30,10,8,8,12,8,14,11,10,6,7,11,8,6,5,7,8,5,7,3,13,12,7,6,8,9,12,7,8,17,7,11,5,4,6,6,11,11,9,3,7,5,4,7,10,7,6,5,7,6,4,0,1
"OTU_22",10,19,18,2,5,15,22,19,15,16,18,17,53,24,44,20,25,20,11,15,20,15,11,22,13,14,5,5,6,56,62,161,161,50,14,22,20,15,9,5,7,11,10,6,12,19,6,11,8,10,15,26,16,15,17,7,12,16,15,18,12,16,30,16,7,15,27,26,21,27,20,15,9,12,8,4,5,6,3,5,4,5,2,2,3,5,3,0,2
