"ASVID","nahant_02um_d1_1","nahant_02um_d2_4","nahant_02um_d3_7","nahant_02um_d4_10","nahant_02um_d5_13","nahant_02um_d6_16","nahant_02um_d7_19","nahant_02um_d8_22","nahant_02um_d9_25","nahant_02um_d10_28","nahant_02um_d11_31","nahant_02um_d12_34","nahant_02um_d13_37","nahant_02um_d14_40","nahant_02um_d15_43","nahant_02um_d16_46","nahant_02um_d17_49","nahant_02um_d18_52","nahant_02um_d19_55","nahant_02um_d20_58","nahant_02um_d21_61","nahant_02um_d22_64","nahant_02um_d23_67","nahant_02um_d24_70","nahant_02um_d25_73","nahant_02um_d26_76","nahant_02um_d27_79","nahant_02um_d28_82","nahant_02um_d29_85","nahant_02um_d30_88","nahant_02um_d31_91","nahant_02um_d32_94","nahant_02um_d33_97","nahant_02um_d34_100","nahant_02um_d35_103","nahant_02um_d36_106","nahant_02um_d37_109","nahant_02um_d38_112","nahant_02um_d39_115","nahant_02um_d40_118","nahant_02um_d41_121","nahant_02um_d42_124","nahant_02um_d43_127","nahant_02um_d44_130","nahant_02um_d45_133","nahant_02um_d46_136","nahant_02um_d47_139","nahant_02um_d48_142","nahant_02um_d49_145","nahant_02um_d50_148","nahant_02um_d51_151","nahant_02um_d52_154","nahant_02um_d53_157","nahant_02um_d54_160","nahant_02um_d55_163","nahant_02um_d56_166","nahant_02um_d57_169","nahant_02um_d58_172","nahant_02um_d59_175","nahant_02um_d60_178","nahant_02um_d61_181","nahant_02um_d62_184","nahant_02um_d63_187","nahant_02um_d64_190","nahant_02um_d65_193","nahant_02um_d66_196","nahant_02um_d67_199","nahant_02um_d68_202","nahant_02um_d69_205","nahant_02um_d70_208","nahant_02um_d71_211","nahant_02um_d72_214","nahant_02um_d73_217","nahant_02um_d74_220","nahant_02um_d75_223","nahant_02um_d76_226","nahant_02um_d77_229","nahant_02um_d78_232","nahant_02um_d79_235","nahant_02um_d80_238","nahant_02um_d81_241","nahant_02um_d82_244","nahant_02um_d83_247","nahant_02um_d84_250","nahant_02um_d85_253","nahant_02um_d86_256","nahant_02um_d87_259","nahant_02um_d88_262","nahant_02um_d89_265","nahant_02um_d90_268","nahant_02um_d91_271","nahant_02um_d92_274"
"OTU_12",-4.14126556696883,-4.183396339838,-3.96626277436514,-4.09404148599611,-3.69901311982874,-3.79342978250375,-3.25485924157169,-3.30439799830636,-2.91576672339756,-3.00790280917425,-3.14421910349103,-3.69695486811948,-3.99491878208409,-4.13923988212999,-4.3799975504471,-4.46903801166351,-3.61091791264422,-3.82222700631143,-3.8478177620807,-3.31509468260874,-3.25459390747028,-3.09903184339179,-3.3328096539153,-3.12029499619575,-3.85909754211976,-3.16544332275602,-2.90726976051689,-2.59139774781611,-2.73481304295335,-2.61408440868388,-2.79815684419678,-2.96669849069835,-4.29807610761209,-4.24263394229937,-4.59548053544057,-4.80265399052172,-5.38532874353767,-5.54595838946263,-5.55063129516203,-5.19033904834813,-5.49052578429574,-5.73513757700353,-4.83760378420939,-5.38449506278909,-5.54624221831574,-4.61299662223756,-5.10100906744576,-3.50655789731998,-4.9291588105191,-1.38984256117599,-2.05143252939462,-1.92932709955632,-1.64653103822293,-2.70868191306257,-2.19088382523941,-2.47791011949816,-2.82352334575525,-2.81111299705555,-2.98929266478988,-3.04859576311106,-3.22528382116353,-3.45779304928579,-2.75647115721871,-1.69758099134109,-0.835257785047697,-0.960530382873507,-1.12098637421044,-1.40612720035281,-1.5864483942094,-1.85429182258648,-2.58994243740271,-2.86607344341741,-2.90156068581397,-2.73405824700796,-3.51937858574904,-4.18642580799725,-4.37476347960141,-4.18796982166151,-4.4837085174509,-4.6162622867084,-5.00591830421812,-4.27844516236021,-4.61920910856752,-4.34277960538486,-4.30203600897739,-4.38330786482993,-5.14544038502651,-4.27179315427418,-4.29910886300253,-4.48146053166207,-4.49711243336126,-4.75093414704825
"OTU_6",-2.5916978595764,-2.38257419429913,-2.49086495937163,-2.76343895025082,-2.75280475148599,-3.20223011402534,-2.80352595752749,-2.66892054071407,-2.89003702985957,-2.93872371734957,-3.0512542032999,-2.5045536471718,-2.62121196929525,-3.02260921029271,-2.89994120891232,-3.03200662979159,-2.85285501851123,-2.92995074417682,-3.133113667279,-2.70773862608801,-2.5595046979133,-2.54090251196468,-2.31777853218014,-2.49491924908043,-2.47862127397304,-2.89584769362816,-2.90726976051689,-3.17674063252299,-3.30049453627831,-3.09906946707967,-3.07621760599961,-2.82995813284843,-4.1864931839077,-3.22290132510458,-3.64937701113769,-3.67334851208306,-4.08218763195147,-3.76918737860377,-3.03082359336526,-2.88078264332347,-2.75063905485961,-2.92761929653648,-2.99092622242189,-3.09767231189699,-3.33844420742469,-3.26357600378611,-3.40432972564847,-3.09430983691498,-3.7299594798574,-3.77744478740706,-4.09041528408221,-3.05628195813033,-2.5349409820806,-2.64478071566794,-2.57047513131388,-2.60550915824672,-2.59367544756435,-2.86449709318982,-2.75925291167703,-2.96922510173907,-2.79974635456598,-3.2669639883068,-4.05656498700127,-4.3974476576687,-4.85884294233712,-4.38794657718487,-4.44325439281741,-3.78791866247813,-3.39357766614727,-2.99640772106363,-3.09041094086496,-3.06562026668806,-2.90825755820324,-3.76447441538924,-3.13323724253838,-3.23388861725739,-2.97093059461342,-3.25327725158553,-2.81489110193047,-2.95840290045995,-3.32171631399215,-3.33584220061803,-3.13338821304476,-2.89609014374316,-2.91460672874162,-2.93879581066379,-3.08784131244227,-3.04524367828841,-3.13959398251886,-3.04487774062288,-2.8485188572877,-3.13068981410028
"OTU_16",-4.12153561458807,-4.50848067696807,-4.36975654208207,-3.86301542632145,-4.19086612921272,-3.37179744530543,-3.69048073548091,-3.65130738120618,-3.87671960955891,-3.51749783735832,-3.08903509236308,-3.11454042462562,-2.90373956621416,-3.15300308071749,-2.99152764227196,-3.04776393164759,-3.24761151404986,-3.06920681311543,-3.06976146109168,-3.86911550441687,-3.73278103917315,-3.45100639462069,-3.21644863921059,-3.57234563785798,-3.32829531860845,-3.28110074732943,-3.36631012266171,-3.98289915989519,-3.50113505699853,-3.37619607945674,-3.77032962155535,-3.48076416325389,-4.56592523011672,-2.97397409302527,-3.30662766838555,-3.25037449192757,-3.81474936082625,-3.36408297581715,-3.45659616105194,-3.10234200861225,-3.58970889143418,-2.484906649788,-2.87491549965947,-2.43170459360695,-2.22100691105415,-2.32872272293523,-2.30842574372359,-2.46000292827841,-2.9076586205383,-2.89704289671319,-3.43232303369002,-3.00418132804052,-3.34722431791749,-2.88912253849573,-3.07945628961846,-2.69561548590734,-2.60318339071237,-2.5763550497081,-2.94069684178368,-2.63456138567683,-2.81244639653102,-2.83116877168174,-3.73731418909889,-4.31848761386939,-5.14846299989158,-4.90373037658706,-5.47526737954008,-4.45158951911118,-4.94358857956479,-3.04722058438559,-4.00918047639819,-3.8286413964891,-4.36744718491072,-5.65570039307045,-4.30657608008533,-3.8253914748766,-3.60355016330729,-3.70881823771777,-3.37308665326244,-3.06805293513362,-2.94238094180698,-3.34646174308363,-3.21189499372686,-2.90291897394825,-2.52464697843751,-2.84363886306941,-2.56311617637988,-2.67120963188114,-2.50526086077977,-2.43738150792516,-2.31587923265464,-2.38858288458408
"OTU_7",-2.71132889256391,-2.83696100615646,-2.68265098972335,-2.88159427207494,-2.89953598698729,-3.04127778854331,-3.23754347028332,-2.951787041621,-3.11484112975593,-3.17738694136024,-3.30987922312737,-2.82013226252036,-3.05062622066144,-3.11301393040819,-3.26541236929211,-3.35775006190322,-2.91610100386198,-3.17021065288692,-3.25370092654844,-2.79579452994717,-2.81370917967823,-2.80665527680339,-2.61245508042119,-2.65675690671466,-2.70247915605275,-3.08977018855566,-3.31814509925333,-3.37416870927424,-3.62357435570617,-3.16790145888393,-3.35814543934304,-3.19355801688391,-4.12491814225099,-3.52338186942692,-3.87412072101123,-3.79219942774276,-4.34086856218037,-3.84223616804002,-3.34510791501111,-3.13447467463438,-2.9659379597108,-3.11295492813659,-3.21343733423726,-3.11480006665974,-3.63143896987541,-3.58387962376209,-3.46690709169019,-3.26604742920222,-3.87120101090789,-3.69438375811952,-4.28751970360747,-3.42603780298829,-2.65992061165679,-2.82012496774962,-2.70068663333347,-2.8456929805684,-2.80060175846746,-3.04907825425928,-2.94069684178368,-3.11014262473173,-3.17096662846489,-3.33460932095338,-3.99608130843504,-4.34413836675438,-5.20594404641702,-4.67873038909612,-4.41763506214125,-3.97121941400507,-3.71357206670431,-3.24185757305494,-3.56596652478196,-3.17218263406619,-2.99193195804566,-4.13930612504278,-3.50836477457195,-3.45625095842913,-3.51830678980906,-3.42374820718405,-2.85484790662421,-3.47157817842395,-3.56953269648137,-3.29438337737635,-3.45433878409533,-3.14718611173971,-3.09244007762495,-3.19064094585342,-3.18160875766087,-3.31382943487021,-3.2985514927138,-3.20451229188738,-3.31505143094895,-3.32845599667021
"OTU_15",-3.22978385731093,-3.01349805170601,-3.23709592295296,-2.93630885308319,-2.99385551354113,-2.39654255023836,-2.75253215645395,-2.77831553593745,-2.74134656678111,-2.49956659819868,-2.61427249278578,-2.88348941827322,-3.21151547046191,-2.8802808549142,-2.59374668182457,-2.70257073533758,-2.64552984412088,-2.48184073016617,-2.96698980468834,-2.46575679446446,-2.68899066048059,-2.76542023276117,-2.862664094093,-2.97420034122051,-2.49503331860593,-2.77388322080243,-2.77326416974942,-2.75860248026504,-3.20069630709771,-2.74116580988671,-3.03196444056795,-3.41884018090491,-4.1864931839077,-2.70873725025325,-3.19718778493449,-2.79994771481943,-3.91796277681593,-2.90109351009031,-2.92185737446973,-2.80560893326791,-3.00740880321583,-3.26331070253498,-3.38506799973227,-3.03171816547744,-2.78201386269936,-2.92612344886001,-2.96981798478852,-3.30595255919912,-3.43009311856747,-3.5227989213693,-4.66213701059477,-4.40874970481464,-4.07519689280797,-3.21028944890169,-3.74075699338162,-3.13613813095462,-3.58604100788882,-3.10048109137147,-3.18278516732546,-2.97620960706513,-3.25349882877285,-3.48423261027215,-4.31467714893066,-5.71472241469454,-6.43358297286418,-6.00727637862407,-6.50757617530321,-6.01889730450922,-5.64029390717483,-3.6215386563548,-4.24025469488326,-4.18729505780325,-4.51019328397389,-5.83860470046365,-5.18521087877556,-4.71049498672243,-4.37476347960141,-4.6327182636916,-4.36451305218117,-4.40633807706715,-4.57748270864848,-4.61370508843793,-4.72942794182728,-4.42604352009066,-3.42917123370456,-3.92892847956317,-3.80353259676139,-3.53919035134888,-3.86223234092513,-3.7925462285092,-3.1763162104494,-3.36866055213619
"OTU_1574",-4.38763587343839,-5.29212174265807,-5.09405690223533,-5.02028554992842,-5.71672861362173,-5.67706508631749,-4.84513152222846,-5.3461546959622,-4.95806526796809,-5.55779284710964,-5.04407007018249,-6.23179292317629,-5.83837811558236,-6.25318758038967,-5.80312491798846,-5.4879041343334,-5.85634459179832,-5.11293850939155,-4.25247402713912,-5.08759633523238,-4.70048036579242,-5.7725733055323,-6.19060810305998,-5.44155153463394,-5.74154524907624,-6.30353430761659,-7.3604219885746,-6.26814886535022,-5.81024238575733,-6.01004093268092,-5.10530731178575,-5.30826769740121,-5.99083935171406,-4.56499902129881,-4.67030948815905,-4.64713438508712,-3.20473374216237,-3.26092653788882,-4.05572972609432,-4.49160617887744,-5.22099155300819,-4.70772677431318,-4.83760378420939,-5.46489056637385,-5.37847841041484,-4.57755088101552,-4.65129012160164,-5.25366861487915,-4.05698877567833,-3.9324683062683,-3.00697026003559,-3.84693638890826,-4.96749580143564,-5.07428055925661,-5.70680819557274,-5.5953307664287,-4.52457970926886,-4.93634893368001,-6.2418989586581,-5.73074892288601,-6.03445561605593,-4.62966765758848,-4.48863636973214,-3.21036513520029,-1.63154468821513,-1.72226039676851,-1.66035800286136,-1.98281470599076,-1.98622915995766,-4.77588619666174,-1.63503345962306,-2.10398496733871,-2.01471626174071,-0.754786407434983,-1.53095919847584,-1.65642772552266,-2.1777434417644,-2.07421959769868,-3.16576599955425,-3.12260089412703,-2.2258168043643,-2.15961461895137,-2.52572864430826,-2.38361193163642,-3.54509156132222,-2.12321774809752,-3.47668427279983,-3.91167206666336,-4.0577869664883,-3.67369627769255,-4.90628436963978,-5.17880489510285
"OTU_21",-2.93095129878449,-3.14661230451313,-3.09583249924069,-3.40304752095032,-3.33808779080808,-3.58511408953609,-3.41450710581618,-3.18201423156404,-3.47163949488847,-3.44028591584492,-3.67745075829031,-3.39748680226562,-3.49783867647168,-3.4513094230895,-3.66047997959224,-3.81193954687116,-3.42941502147111,-3.70842405018691,-3.5939655372505,-3.10394585819422,-3.14256763180488,-3.05223074745925,-2.83445096797657,-3.09224582293795,-3.13004461116158,-3.50311447554222,-3.5721496426919,-3.5331998282664,-3.64744452669064,-3.47651938820075,-3.57378176317825,-3.41884018090491,-4.47796792841522,-3.96179790626012,-4.46050562037124,-4.28634138453947,-4.34086856218037,-4.12279769384082,-3.92553135545294,-3.27343164855738,-3.33318698937655,-3.38032896922741,-3.61496377116377,-3.68063124525744,-3.90269391013963,-4.02535169073515,-3.96913606676576,-3.67932693144854,-4.20239376780385,-4.09498538249395,-5.08824589680118,-3.70335747329459,-3.24679025869976,-3.21028944890169,-3.16124671203156,-3.34894669131828,-3.07577498122753,-3.3628158224935,-3.32752066086278,-3.29048389236574,-3.40685510538201,-3.81101806980997,-4.66028948520917,-4.87751789443977,-5.33175214263427,-5.520229390613,-5.02088560995242,-4.21490152476121,-4.11349338106086,-3.58418009550499,-3.79194281277785,-3.54989102202636,-3.46505632411234,-4.4185467062515,-3.85553162104999,-3.888250604234,-3.7828518410766,-3.56289267889529,-3.24012983122903,-3.31594398930342,-3.64565071956312,-3.80666248977032,-3.78418963391826,-3.29338802797804,-3.46264045750778,-3.61384426817102,-3.72656610379086,-3.64467336160944,-3.63056624121105,-3.52950683030553,-3.70369964609519,-3.79061400089986
"OTU_39",-5.03787981620282,-5.64190707093811,-5.52698409851836,-4.52359853229428,-4.89155141270682,-3.85268486916703,-4.53481083507476,-4.17246234148605,-4.61224189659023,-4.53941880842531,-3.67745075829031,-3.18935338560188,-2.9643230761763,-3.30116133781797,-3.26541236929211,-3.24745436592534,-3.49389744579216,-3.46833668449978,-4.25247402713912,-4.66314423932591,-4.83514747688087,-4.94762449428685,-4.79814903725603,-4.96894486704205,-3.88826473880929,-4.62159702367362,-5.34137685600848,-5.8617354404332,-6.16781593691543,-5.60334807733443,-5.75002972582152,-5.08388575583585,-5.76707021389212,-4.9429402813249,-5.04091300362973,-4.68384443638341,-5.70503169405663,-6.05834407594753,-5.21260384827401,-4.97771847908311,-5.16351532572206,-3.73766961828337,-5.02124547320827,-3.45707784005661,-3.17989579071401,-3.65282040429823,-3.19513468256331,-3.49436623302514,-3.85246599532964,-4.38682280693737,-5.55004837471416,-4.65251630658529,-4.18615211147522,-4.35102784265616,-3.74075699338162,-3.66419455754318,-3.99492992544905,-4.01812009185637,-3.6402475052759,-4.01129227981328,-3.66706796108238,-3.8481756034374,-4.09894389812046,-4.19903818889222,-5.33175214263427,-4.82306923970395,-4.97613386237859,-3.98805769170414,-4.22048761706246,-2.22613877085251,-3.23789383070396,-3.00484555078686,-3.17257436458332,-4.66902487961892,-3.63631712402308,-3.21655909373105,-2.80718447734494,-2.79721084031107,-2.44367518279905,-2.69486846440015,-2.8862480407123,-3.49506351789425,-2.94090040505654,-3.00320428839269,-2.63691217326887,-2.9321932527495,-2.30183574863526,-2.61029146488981,-2.47749528711836,-2.6755995020568,-2.37874382928425,-2.26263684252239
"OTU_27",-3.66924347959708,-4.0703753721091,-3.63915135021653,-3.53529878723702,-3.6139844590522,-3.47311837895446,-3.6645227226092,-3.44250905218991,-3.87671960955891,-3.4617807229568,-3.40850395684459,-2.95759706374395,-2.80953959727249,-3.10518886643382,-3.1075950411785,-3.03985707846293,-2.87145631090363,-3.14605885694285,-3.94825517244211,-3.43368568179328,-3.58351893845611,-3.5295586666065,-3.46332916276916,-3.51957283439748,-3.236564605688,-3.67770615351581,-3.84335475657024,-3.96548344139256,-4.38992221167666,-4.08628749973318,-4.21244960721954,-4.06138300748231,-4.97485109360596,-4.24263394229937,-4.00769675549643,-3.77658503453304,-4.48069816218091,-4.37418345721286,-3.88552106468264,-3.68687745144326,-3.91266795869139,-3.57728610434614,-3.61496377116377,-3.36620630745269,-3.45089937228302,-3.31418600467253,-3.23592957943403,-3.32647383546622,-3.7299594798574,-3.54567056660735,-4.73424722826323,-4.65251630658529,-3.54943962480325,-3.56452243776545,-3.22484224231637,-3.30289722909459,-3.35594640173057,-3.56238583845854,-3.31788286655385,-3.25373923265253,-3.28247050450107,-3.81101806980997,-4.48863636973214,-5.71472241469454,-6.25094002766958,-5.520229390613,-5.71732669976396,-4.95827354200193,-5.03954663759068,-3.96310938185793,-4.53872508657994,-4.50149175651325,-4.48000704303409,-5.57536618269845,-5.07922808556187,-4.54458344224215,-4.68345310438214,-4.38640891035387,-3.71715245004932,-3.70091609720244,-4.02137554235551,-3.92896950796949,-4.06731588983418,-3.50946065697794,-3.11683437942478,-3.36175022777877,-3.11262602502549,-3.35526028647513,-3.49650756146648,-3.40259990643624,-3.25740329709251,-3.0438320683484
"OTU_19",-4.16137996355826,-4.28807422833002,-3.1959800466161,-3.97211617675187,-4.70772677431318,-4.40264592187662,-3.67742165849255,-4.61512051684126,-3.53884016112834,-3.93280554461067,-4.39639657495683,-5.02322240960173,-4.56239315663203,-4.29566439759669,-4.43624422057868,-4.46903801166351,-4.95838460375238,-4.87773862062982,-4.35143524821865,-4.0784291069162,-3.54153886621523,-3.79462451121084,-4.04364579817311,-3.02511015127072,-4.52090687236297,-4.07290423098423,-5.10371012249876,-3.74805257982842,-2.63012869887096,-3.69801481454304,-2.88970218974259,-2.45006908146311,-4.22968591009186,-3.36264311305203,-3.1691648829307,-2.58856669133268,-3.21586053074644,-2.79596207342509,-3.40560532308102,-3.150902841282,-3.50829551721852,-3.67648410765922,-2.79971738962803,-4.2259431939581,-3.97824280473286,-4.61299662223756,-5.39021263125229,-4.34310317463381,-3.79819764507437,-4.15536926405988,-3.94207535049455,-3.35346597884097,-3.54943962480325,-3.69374564376511,-4.60152719470959,-5.03292471160778,-4.12340535648523,-4.42956288018372,-4.89263484350261,-3.85677453119767,-4.57126863431241,-3.41932476625471,-3.1708439937812,-3.41349261851919,-3.7165340566928,-4.24631896262676,-3.90898810173299,-3.81631838164384,-4.66506431793803,-5.26463130889323,-3.42838843402813,-3.58728413201945,-3.58351893845611,-3.27053413199557,-2.90383886896705,-2.70907008900296,-3.03632567051924,-3.27198565018215,-4.54895250598986,-4.34495067870724,-3.40646802025716,-3.72731053297042,-3.45433878409533,-4.80709010085067,-4.62733648144535,-3.29550905088912,-4.09677216875504,-4.43640340555195,-4.27468002104443,-4.48146053166207,-5.51577813472675,-4.42218174020643
