"ID","nahant_02um_d1_1","nahant_02um_d2_4","nahant_02um_d3_7","nahant_02um_d4_10","nahant_02um_d5_13","nahant_02um_d6_16","nahant_02um_d7_19","nahant_02um_d8_22","nahant_02um_d9_25","nahant_02um_d10_28","nahant_02um_d11_31","nahant_02um_d12_34","nahant_02um_d13_37","nahant_02um_d14_40","nahant_02um_d15_43","nahant_02um_d16_46","nahant_02um_d17_49","nahant_02um_d18_52","nahant_02um_d19_55","nahant_02um_d20_58","nahant_02um_d21_61","nahant_02um_d22_64","nahant_02um_d23_67","nahant_02um_d24_70","nahant_02um_d25_73","nahant_02um_d26_76","nahant_02um_d27_79","nahant_02um_d28_82","nahant_02um_d29_85","nahant_02um_d30_88","nahant_02um_d31_91","nahant_02um_d32_94","nahant_02um_d33_97","nahant_02um_d34_100","nahant_02um_d35_103","nahant_02um_d36_106","nahant_02um_d37_109","nahant_02um_d38_112","nahant_02um_d39_115","nahant_02um_d40_118","nahant_02um_d41_121","nahant_02um_d42_124","nahant_02um_d43_127","nahant_02um_d44_130","nahant_02um_d45_133","nahant_02um_d46_136","nahant_02um_d47_139","nahant_02um_d48_142","nahant_02um_d49_145","nahant_02um_d50_148","nahant_02um_d51_151","nahant_02um_d52_154","nahant_02um_d53_157","nahant_02um_d54_160","nahant_02um_d55_163","nahant_02um_d56_166","nahant_02um_d57_169","nahant_02um_d58_172","nahant_02um_d59_175","nahant_02um_d60_178","nahant_02um_d61_181","nahant_02um_d62_184","nahant_02um_d63_187","nahant_02um_d64_190","nahant_02um_d65_193","nahant_02um_d66_196","nahant_02um_d67_199","nahant_02um_d68_202","nahant_02um_d69_205","nahant_02um_d70_208","nahant_02um_d71_211","nahant_02um_d72_214","nahant_02um_d73_217","nahant_02um_d74_220","nahant_02um_d75_223","nahant_02um_d76_226","nahant_02um_d77_229","nahant_02um_d78_232","nahant_02um_d79_235","nahant_02um_d80_238","nahant_02um_d81_241","nahant_02um_d82_244","nahant_02um_d83_247","nahant_02um_d84_250","nahant_02um_d85_253","nahant_02um_d86_256","nahant_02um_d87_259","nahant_02um_d88_262","nahant_02um_d89_265","nahant_02um_d90_268","nahant_02um_d91_271","nahant_02um_d92_274"
"OTU_2885",2,1,0,2,1,1,0,4,2,1,1,0,1,0,0,0,0,0,1,1,4,1,0,1,1,2,2,3,1,0,1,1,0,0,2,1,0,1,1,1,2,0,3,1,0,1,0,1,0,0,0,0,1,0,2,2,1,2,1,2,2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,0,1,1,1,1,0,0,1,0,2,0,1,0,0,0
"OTU_167",4,0,1,3,1,1,0,2,1,3,4,0,1,0,3,9,0,5,4,6,2,0,1,0,3,2,1,3,1,0,1,0,3,7,58,17,11,12,8,2,2,1,4,0,2,3,5,1,6,1,5,3,2,0,0,5,2,0,1,0,1,11,6,2,4,6,3,0,2,4,6,4,3,2,5,4,5,28,5,30,54,27,12,9,0,8,10,8,1,11,1,0
"OTU_801",0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,0,1
"OTU_2077",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,5,4,8,7,4,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,1,0,0,1,1,0,0,2,3,0,0,1,0,2,1,6,1,2,4,1,1
"OTU_11615",1,0,0,0,0,1,0,0,0,0,0,0,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_1383",2,2,3,1,2,2,3,7,2,1,9,0,7,7,3,4,2,6,1,4,3,1,0,5,4,7,5,3,9,6,8,2,2,2,0,5,1,0,3,5,3,0,3,3,2,2,0,0,0,5,1,0,0,1,3,1,4,5,1,4,3,2,0,0,0,0,0,2,4,4,3,6,6,2,8,5,5,3,8,4,4,5,2,3,0,4,0,3,1,2,1,1
"OTU_1284",1,0,1,2,1,6,3,3,6,2,1,0,1,0,3,1,1,2,1,0,2,1,2,4,4,6,12,5,3,1,2,5,2,0,1,1,0,1,1,0,1,3,3,2,1,0,0,1,0,3,0,0,1,3,1,1,0,1,1,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1,1,1,0,2,0,2,0,1,1,0,1
"OTU_511",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,3,2,1,3,8,0,1,0,1,1,3,6,9,24,39,26,35,32,38,14,50,20,13,12,15,3,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,3,1,3,3,3,2,6,1,4,4,1,1,2,1,3,3,1
"OTU_178",33,30,33,29,41,35,15,38,26,26,32,25,27,22,16,26,34,21,27,20,26,32,38,42,44,34,38,28,16,20,28,27,11,32,20,24,3,12,20,27,23,36,14,24,19,18,17,20,16,11,2,5,11,15,19,15,11,17,24,23,14,13,4,0,0,0,1,1,0,4,3,4,5,0,0,1,0,1,0,5,2,3,5,2,11,10,10,12,12,19,15,12
"OTU_253",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"OTU_1548",0,3,1,2,0,0,0,1,1,5,0,3,3,2,2,2,2,0,1,2,1,2,1,2,1,0,4,0,0,0,2,0,1,3,0,2,1,0,3,0,2,1,0,4,5,2,7,3,0,1,0,1,0,0,2,2,2,2,1,0,5,4,1,2,0,0,2,1,0,3,5,0,1,1,2,1,3,2,1,6,1,2,1,4,3,1,1,5,2,3,3,2
"OTU_1243",4,5,4,3,0,2,3,4,4,6,7,3,0,2,3,4,4,1,2,0,3,5,2,3,1,5,2,2,3,2,1,5,0,0,1,0,1,0,0,0,0,3,4,2,2,0,2,1,0,2,1,0,2,1,0,3,5,1,1,0,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,4,1,0,0,3,1,3,7,5,0,5
"OTU_4086",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,2,4,1,1,1,0,0,0,0,0,0,2,4,2,0,0,0
"OTU_2296",0,0,0,0,0,1,2,2,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,0,0,0,0,0,1,0,0
"OTU_30534",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0
"OTU_844",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,11,6,7,10,8,27,16,6,3,1,9,4,2,0,1,2,4,7,1,0,0,8,0,1,2,7,0,4,2,14,2,1,0,1,1,0,0,0,0,2,2,0,1,2,1,2,0,8,16,5,1,7,2,4,0,1,1,1,0,0
"OTU_1908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,7,3,2,0,6,5,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0
"OTU_1090",26,11,20,15,5,12,6,11,14,5,10,12,14,24,25,10,11,13,29,20,26,13,7,4,7,5,3,8,6,4,10,7,4,10,4,2,1,3,4,2,3,2,7,2,2,5,1,7,5,4,3,0,3,4,0,4,6,2,1,5,1,3,4,3,2,6,2,0,2,0,3,7,1,2,4,2,2,5,0,0,0,2,0,2,3,9,2,7,11,8,1,11
"OTU_691",2,2,1,1,0,0,0,3,4,1,4,1,2,2,1,1,6,0,1,1,1,2,2,3,5,7,2,1,0,1,7,5,0,6,7,4,1,1,5,8,9,8,13,7,8,11,2,4,1,0,2,3,4,1,4,9,1,1,1,5,7,1,6,2,0,0,0,1,0,3,1,0,1,2,1,5,2,2,3,6,3,6,7,4,2,4,3,11,3,5,4,6
"OTU_6157",0,0,0,0,0,1,0,2,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_7297",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,8,4,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_2456",2,2,3,1,1,0,0,2,1,2,2,0,1,1,0,0,0,0,1,0,1,1,2,0,0,0,2,4,1,2,0,2,0,2,1,2,0,1,1,0,0,2,1,2,0,2,0,0,1,1,0,0,0,1,0,3,0,2,2,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"OTU_6015",0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
"OTU_4589",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,1,1,0,1,0
"OTU_64",50,69,79,24,10,33,36,38,43,23,31,13,14,28,10,12,36,36,85,31,73,30,35,42,31,30,28,17,101,46,63,39,30,42,102,48,63,106,47,38,34,18,69,20,18,29,7,27,32,40,83,30,15,30,20,8,34,33,9,15,10,18,34,47,80,62,50,28,34,21,55,40,21,70,39,18,20,26,6,7,18,49,37,34,32,38,5,45,64,72,14,18
"OTU_7172",0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"OTU_4437",0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,10,2,0,1,0,1,0,0,2,1,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0
"OTU_7519",0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
