"ASVID","nahant_5um_d1_544","nahant_5um_d2_547","nahant_5um_d3_550","nahant_5um_d4_553","nahant_5um_d5_556","nahant_5um_d6_559","nahant_5um_d7_562","nahant_5um_d8_565","nahant_5um_d9_568","nahant_5um_d10_571","nahant_5um_d11_574","nahant_5um_d12_576","nahant_5um_d13_579","nahant_5um_d14_582","nahant_5um_d15_585","nahant_5um_d16_588","nahant_5um_d17_591","nahant_5um_d18_594","nahant_5um_d19_597","nahant_5um_d20_600","nahant_5um_d21_603","nahant_5um_d22_606","nahant_5um_d23_609","nahant_5um_d24_612","nahant_5um_d25_615","nahant_5um_d26_618","nahant_5um_d27_621","nahant_5um_d29_624","nahant_5um_d30_627","nahant_5um_d31_630","nahant_5um_d32_633","nahant_5um_d33_636","nahant_5um_d34_639","nahant_5um_d35_642","nahant_5um_d36_645","nahant_5um_d38_648","nahant_5um_d39_651","nahant_5um_d40_654","nahant_5um_d41_657","nahant_5um_d42_660","nahant_5um_d43_663","nahant_5um_d44_666","nahant_5um_d45_670","nahant_5um_d46_672","nahant_5um_d47_675","nahant_5um_d48_678","nahant_5um_d49_681","nahant_5um_d51_684","nahant_5um_d52_687","nahant_5um_d53_690","nahant_5um_d54_693","nahant_5um_d55_696","nahant_5um_d56_699","nahant_5um_d57_702","nahant_5um_d58_705","nahant_5um_d59_708","nahant_5um_d60_711","nahant_5um_d61_714","nahant_5um_d62_718","nahant_5um_d63_720","nahant_5um_d64_723","nahant_5um_d65_726","nahant_5um_d66_729","nahant_5um_d67_733","nahant_5um_d68_735","nahant_5um_d69_738","nahant_5um_d70_741","nahant_5um_d71_744","nahant_5um_d72_747","nahant_5um_d73_750","nahant_5um_d74_753","nahant_5um_d75_756","nahant_5um_d76_759","nahant_5um_d77_762","nahant_5um_d78_765","nahant_5um_d79_768","nahant_5um_d80_771","nahant_5um_d81_774","nahant_5um_d82_777","nahant_5um_d83_780","nahant_5um_d84_783","nahant_5um_d85_786","nahant_5um_d86_789","nahant_5um_d87_792","nahant_5um_d88_795","nahant_5um_d90_798","nahant_5um_d91_801","nahant_5um_d92_804"
"OTU_3",-6.70808408385307,-8.20832008589074,-4.92558004459918,-5.99271376650841,-5.9646070929381,-7.3185395485679,-6.74051935960622,-6.69950034016168,-7.3790081276283,-5.18738580584075,-5.21372729824742,-3.66117358529326,-4.78454623255229,-4.61101513988125,-4.76549225971989,-5.04342511691925,-5.00562275227271,-5.65399181015319,-8.20923911186258,-4.99150612418726,-5.52715893897688,-4.93250993904603,-6.44571981938558,-4.10696302618131,-4.13516655674236,-3.93735968115897,-5.52266019843773,-4.14110632813014,-3.71018924070069,-4.23347618626564,-4.70862889435632,-5.86552332375013,-6.02425436993097,-4.99518318953733,-4.00081850421128,-6.72202792905335,-5.68833037009728,-8.20872671094138,-5.9427993751267,-8.20954423633616,-5.81934081529047,-8.20688971230238,-7.46965417293213,-8.20913423704971,-6.44730586254121,-7.77988511507052,-8.20751797953332,-8.20830655026759,-8.20808656593359,-3.99162605602711,-4.41340417036614,-1.92802058430454,-1.59422849377057,-2.80013144687736,-3.10217915542404,-0.577411228525287,-0.718937849700748,-0.321454483557773,-0.569362991543313,1.85827094986362,1.7647763819247,-1.24021288934108,-0.38896241924261,-0.0688029199240285,-3.13147276278837,-1.02755968421815,-1.77683381901138,-2.36358914945742,-3.02210555880888,-6.53087762772588,-6.1892902904379,-3.0718725372506,-3.85562331696602,-2.93179962944192,-5.78320960828752,-4.47832446887948,-5.56298666469074,-5.34233425196481,-8.20838483607964,-5.2235938203521,-8.20869499183444,-5.17426471787806,-6.04796302101324,-4.39729410680467,-7.58375630070711,-6.83947643822884,-4.07365582816354,-4.21504141816267
"OTU_5",-5.09375020080676,-4.35554264579941,-3.59959276328717,-4.5376468224805,-4.30510405433659,-3.55330515985961,-6.04618944679723,-5.19110328224089,-2.64777929030756,-5.05305600998021,-3.49465055071927,-2.67134883425178,-2.02572293467141,-0.915815559615274,-2.5807217526023,-2.46860534837669,-1.98175904466039,-2.62050392171951,-4.63871873418891,-2.8426562848565,-3.13019228892897,-5.13449039239025,-4.23571551540296,-2.89444840438993,-2.801969366633,-2.13122366215068,-2.73597897662722,-2.72307194279805,-2.46086608313644,-3.18389610597217,-3.5918177412708,-3.57195811605503,-3.15156221490097,-3.33779111688384,-2.39649569244395,-3.89982773233433,-4.34380542185368,-3.47093071967683,-3.18352131253008,-2.02671418147061,-1.53745192287902,-5.43317600299468,-1.88169998122885,-2.34022394449398,-2.18904696167099,-2.56449941369692,-4.99721227376411,-6.17898092077904,-7.51534457118044,-3.27983652465789,-3.07181705501084,-2.30754788233617,-1.74068010146449,-3.91701054693918,-4.47859864429863,-3.41190903725708,-3.53490237032912,-3.69199958145018,-4.32271253767312,-3.99615988463435,-3.60320163291453,-3.54532063015841,-3.33622057983009,-3.30779015200392,-5.03954663759068,-3.1746697323637,-4.39249793454118,-3.72356501210183,-3.46161558382671,-4.91559174540936,-4.67800750994036,-2.40279724339858,-2.56351050829244,-1.6764824150631,-2.18974409362697,-1.67958953260227,-1.93546618989423,-1.86358520379931,-1.96908280069321,-1.4276702188501,-3.29660817340855,-1.7143885080206,-2.54045833745324,-0.981043638262842,-1.56554748960883,-1.69938614909704,-1.69686072740526,-1.44351692481392
"OTU_8",-4.05302641289137,-3.94363911919621,-1.52659626031162,-2.41293315016291,-2.72567180245203,-5.36864268326877,-3.60126183278928,-4.33635659784069,-4.27477038385116,-3.61581988324443,-2.33339797942358,-2.34564458245449,-2.13435729927595,-1.58279120059976,-2.81009945545638,-3.12822145660007,-2.70698580504642,-2.66882948794893,-5.68641022493173,-2.70162660070343,-2.85682933712756,-3.41336791728241,-4.29367746484259,-1.73793086019017,-0.425189613455943,-0.784995152635799,-1.75329318840026,-0.5735140056154,-0.520834538643312,-1.12614844647672,-1.93674977965665,-3.80955684779668,-4.8146204101703,-4.06868481544152,-3.34625626363085,-4.5728900371808,-4.58292457704077,-4.22269953680388,-4.10450779492832,-4.4020626614343,-2.40356101033405,-7.51643330291563,-4.32153787319323,-5.3315103339038,-4.54116485601218,-4.68002463270709,-6.70747339681119,-5.61780951935905,-5.72085807544646,-5.4816800478504,-5.62582093318649,-4.55980891903442,-4.64118062351112,-5.09375020080676,-6.27977142432861,-4.83826406815547,-5.35067259688196,-6.1303565459746,-5.71890563623042,-6.68035267074754,-6.24003215076235,-6.32882924251221,-5.32641879665891,-6.5875500148248,-7.34794382314869,-5.02825689544608,-8.0054345370977,-6.5792512120101,-5.51664936086502,-8.00364030852259,-7.57712193087668,-4.99495748137703,-5.69776440233064,-4.40439366482078,-5.08697886068359,-3.60941528275969,-3.97968165390196,-4.16860133282859,-5.76016280809231,-4.88496408559087,-5.81487652216179,-3.92356899642521,-4.53558189918138,-3.77371833405097,-5.38245424575424,-5.04234926958578,-4.74686263089331,-4.184740727224
"OTU_4",-2.25974493431755,-2.30131846837885,-3.33565477236736,-3.89563952617762,-4.22995712105045,-2.97915730845978,-3.47245348531294,-3.78797035675817,-2.41089579801507,-4.17923380603817,-4.69926750936721,-2.75112208989557,-2.10380598055398,-2.19195546465621,-1.73331346208964,-1.85078388857223,-0.813455014672062,-1.44015596914795,-1.66663572660108,-1.26835961492692,-1.95564732433317,-2.6231345286868,-3.16737611082877,-3.25889749921769,-3.29638138003902,-3.79383004970044,-3.2044870874161,-4.25527492903474,-3.99876223654591,-4.73557168560369,-4.23320029701372,-3.95220479506098,-3.92773229913333,-3.35828988065088,-2.72321244884189,-3.93121269982129,-4.39855593662509,-4.36437169943516,-3.39472486715654,-3.06956191384156,-3.3453169232677,-5.43317600299468,-1.96889966728001,-2.93309670256251,-3.10939159202651,-2.87329977399752,-5.093136515608,-5.25957653823161,-6.82165257992872,-5.16166422320933,-6.0324865216309,-3.1761794155536,-3.20104334857264,-4.29790364426012,-5.29581423632992,-3.58402386146608,-3.62434093297637,-3.58754308875584,-4.82690097511771,-5.45355988707504,-5.67895294793161,-7.02286808608264,-4.73473539034273,-5.48617910371761,-6.24804287450843,-5.31757518315245,-5.55360537118881,-5.47785728038011,-4.8194747886351,-6.53087762772588,-5.37579267871633,-3.85473739748983,-4.0349211417513,-3.85662774220658,-4.49423862528081,-2.92862635691117,-3.40594798442075,-3.56124198817819,-3.12505706965055,-3.20118603245674,-3.78039456294971,-2.77325339491297,-2.9932600844086,-2.0218124288432,-1.90415401154326,-2.33537491581704,-2.39998295622885,-2.66873878088732
"OTU_9",-2.76677287385978,-2.27377909374496,-2.3297137603823,-3.01618828212137,-2.45044876986431,-2.97915730845978,-2.60110565216528,-3.3334792076072,-2.47013136420585,-3.85991966644385,-3.53756163737098,-3.68530163276605,-3.1659324698156,-4.2606166025817,-4.76549225971989,-3.96319129200255,-4.28072291971167,-3.92019465457747,-3.52057681849931,-3.43362056836738,-2.84586792690742,-3.25674609892361,-3.4997782103346,-4.32140201285745,-4.77121414526173,-4.69902476145972,-1.96468789337506,-3.0635304017686,-3.02505988864851,-3.52572093393238,-2.69195898783967,-3.72424659795123,-4.06372170200812,-3.99035484869805,-5.04213396115563,-5.21372729824742,-6.20050917404269,-4.72485617179056,-2.56833727713347,-4.50331230088147,-4.30481556228254,-5.31484666849925,-3.550086429941,-2.7993259768783,-6.44730586254121,-4.68002463270709,-5.31750706094118,-5.25957653823161,-5.31375317467788,-4.78436184977312,-4.41340417036614,-3.41054324408039,-3.41444260841218,-4.44635954256924,-4.53638737647019,-2.51727193429003,-3.98239127470778,-3.05136709141339,-4.71473238849962,-5.98594936641987,-8.32117830749028,-8.74806102733496,-6.02199375214281,-5.116611005098,-4.50437439948238,-3.71135230996599,-3.89510653176145,-4.37085333407576,-3.31004521200649,-6.53087762772588,-3.79418182854671,-3.60976716453105,-3.62057316006556,-4.40439366482078,-3.05941426358995,-3.41848301794918,-4.21718302377275,-4.46014441393783,-3.40836120259579,-3.72350044390164,-4.41959333647346,-3.54192504115727,-3.27226369828626,-2.84917378260586,-2.39734079537912,-2.56149909526938,-3.06780284134714,-2.69077216212726
"OTU_20",-4.91020089677449,-3.56009866424801,-2.83556352140117,-2.42121594557277,-3.19255851655083,-3.37348354309464,-3.69677503111672,-4.74617359345132,-3.56761023513952,-3.27303457513035,-3.02516498034111,-3.42679292885112,-3.29938207103427,-2.72629888269061,-4.15223222748976,-4.0990951649807,-4.2562879292902,-3.58711329405884,-6.09300527666294,-2.0052759907151,-2.53308612691555,-2.6758886881464,-2.46363830238407,-2.59608355076727,-2.42394594999831,-1.35766986654505,-1.31471355735691,-1.11914872468534,-1.25205433494735,-2.26025428534893,-3.52544098432148,-5.86552332375013,-5.73576552050925,-5.10122052417193,-4.63343365126095,-6.31596059268248,-5.68833037009728,-5.98393628068719,-4.60042208949202,-6.35841980045427,-3.93107120039884,-8.1322783242203,-5.38621376845422,-8.13452289632845,-8.13431399577653,-8.13357010920925,-8.13290660471877,-8.13369519209401,-8.13347520311906,-7.56475701290573,-8.13475640828589,-7.70526247486633,-8.13563597522735,-8.1355126547708,-8.13484408752111,-8.13503345410889,-8.13503221015226,-8.13478985568533,-8.13425318863052,-8.13326430735624,-8.13219869291693,-8.13221714796622,-8.13346384457878,-8.13475494650299,-8.13370722870547,-8.13497663509588,-8.13355363703054,-8.13427229411881,-8.13396709427702,-8.13175948048266,-8.1333012611851,-8.13454018346091,-8.1348142570917,-8.13451502274484,-8.13504405236154,-8.13412453783656,-8.13386095896762,-8.13375862260876,-8.13377347955739,-8.13507307129272,-8.1340836418532,-8.13518405305393,-8.13523403675245,-6.97354301952014,-7.58375630070711,-8.13551630434601,-7.64539769942863,-6.62627615065496
"OTU_11",-4.8295437497575,-4.50389488173103,-4.14991441337691,-5.07267068501571,-5.26888855585722,-4.26066577766961,-3.91866754814681,-4.38576962095272,-4.42326959320793,-4.35349855105934,-4.31201863773178,-5.13932163505758,-4.31699416440303,-4.76080547751954,-4.18348041702091,-4.29876316620399,-6.9084217235253,-4.33225040758108,-4.33301905556719,-4.09760012668187,-4.98531748611197,-5.02847521222459,-3.9431986228966,-3.67709149836189,-5.46858742825518,-5.35731170089171,-4.23128449103325,-4.35670882668959,-5.1302684690408,-2.95034257125518,-3.32115467398862,-6.96602418710611,-2.37270939963847,-3.20428716738345,-4.11610605400361,-3.86936108398588,-2.14725091741296,-2.9260778076003,-3.79495400050542,-4.81160346659628,-5.25749537202778,-7.35838129355709,-4.46303041882697,-4.01924542303391,-3.8896697596474,-3.88883966997249,-3.63821252993164,-4.25744973959609,-4.56105329557098,-4.21845673293013,-4.22865689982969,-3.10812066730135,-3.35699128915766,-3.98279207631635,-4.03044076024262,-3.86022833223842,-3.25381387622948,-3.60424973945879,-3.63471121764079,-5.39614961578507,-4.05575222302911,-2.78161276827923,-2.49861271569237,-2.57039356788938,-1.86181504007113,-4.17218704898603,-2.44584721395141,-2.39035375892558,-4.47976891944682,-2.41227251725258,-2.51636991924379,-2.84514665989123,-3.85562331696602,-2.5158336965368,-2.85090132567553,-2.81323828810197,-3.68574956110501,-3.6346578999473,-2.77995400494934,-4.04851875001668,-2.51096675645787,-3.37313431559525,-3.72388456331263,-4.35908018184399,-4.04046795459217,-4.43081679884331,-2.64264799774599,-2.33553619313373
"OTU_10",-8.37076996358394,-8.37077537021896,-8.37114760836219,-8.37208768268041,-7.57609734062311,-8.37161516543776,-8.37073202206091,-8.37128794588527,-8.37130569679786,-8.37068138402776,-8.37184000682926,-8.3715205417897,-8.37114778186971,-8.37059660185373,-8.37148288435145,-8.37162894332786,-8.3711194782193,-7.60290046220476,-5.27924780382769,-7.94236223767433,-7.47647238116391,-7.33693691370762,-8.37151597382248,-8.37176263787702,-8.37201993290588,-8.37178454267727,-8.37162006189049,-8.37141067950961,-8.37118011328692,-7.38274644973891,-5.40627450805313,-5.86552332375013,-7.12447826249342,-8.37131782466329,-8.36878822947181,-7.41577697541539,-7.3004728142678,-2.58129849546307,-2.40591823846937,-3.15429974433984,-1.88553629836139,-0.957771332994874,-1.65314934552452,-3.86874702194632,-2.02029386917714,-0.799787200752748,-0.869770716239262,-2.74276813359842,-2.05277329459767,-3.23625812020431,-3.78786836277572,-4.60471553719645,-4.69043002993891,-4.05302641289137,-3.92675269857313,-4.97278506996516,-4.59154841776699,-5.79301360838414,-5.58490509041878,-7.95448027304941,-7.96760910550557,-6.32882924251221,-6.24562215195136,-8.37182152396751,-6.65415252018322,-5.4359030295006,-6.65479664258874,-6.17309141821926,-6.43534876512009,-2.68195509031936,-4.19538541673541,-4.53146699020096,-5.00125813228366,-6.07246833126107,-5.78320960828752,-8.37119115430975,-8.37092759175793,-6.9555926083963,-8.37084011776415,-7.53101633207792,-5.25302109163286,-7.37650812632622,-6.33623558654389,-6.97354301952014,-7.58375630070711,-6.83947643822884,-8.3709966220567,-8.37037077512758
"OTU_2",-3.59106614409149,-2.97892515523761,-3.13781037214698,-5.76894580056261,-5.00497829778111,-4.26066577766961,-4.78749174278205,-4.82090172066367,-4.47796792841522,-4.5635465882185,-5.10776200482698,-6.0591231955818,-7.62559507213245,-7.29437729928882,-4.82312382237397,-5.65248918026865,-6.39692965521615,-5.65399181015319,-4.02994939998378,-5.10344681116921,-4.76046307039413,-4.76414437878505,-4.23571551540296,-3.58510498161174,-4.59777448402696,-5.21348543103134,-4.28925000741903,-4.95549165595465,-5.26453895999904,-3.34125434569512,-3.4937489390274,-3.09400249498679,-3.60186807712431,-3.6684009227704,-4.44916593751151,-4.69926750936721,-4.51770416020682,-4.9679175644111,-4.13782967416184,-5.15039723647141,-4.63398188322664,-4.61676932183144,-6.08164797116596,-3.84891935181153,-3.23212105161822,-5.1353781806877,-3.56733936957984,-2.82775183403069,-2.47961096221329,-2.97204978891043,-2.52379128496803,-3.77092016445015,-4.24711179705121,-2.76677287385978,-3.21370116907818,-4.83826406815547,-3.74799464168152,-4.962407471783,-4.61370508843793,-7.19168030255621,-6.52820155265847,-4.23682021046886,-4.98800008740367,-4.54144292988893,-3.53567529589071,-4.13654491671248,-4.29111154420378,-4.49003987873446,-3.51733297048794,-4.32192271060418,-2.37029970274267,-2.62058793359619,-2.10834089124319,-4.22770927428952,-3.21314515015922,-3.64815761483439,-4.76991391151807,-5.34233425196481,-4.41630092389184,-3.84686891024836,-3.53790355389784,-3.01160562271028,-1.79865129526598,-4.56624033961987,-4.52900882502253,-4.30135873160643,-6.54582847288846,-5.93180300304991
"OTU_30",-3.8255309740747,-4.61628466132663,-4.39444915467244,-3.83374344837299,-4.19434591560231,-3.41567540084281,-4.24252507506286,-3.37111992642488,-4.22968591009186,-3.78418963391826,-3.30271834452074,-4.39091558209113,-5.22280981403989,-6.60055054004149,-5.01869794151961,-3.76120011569356,-5.7021144175555,-5.03194508068301,-3.38789085035106,-5.10344681116921,-3.96167859587401,-4.55453457001951,-4.07915034748118,-4.05965900423421,-4.49663001741289,-4.87483375293719,-5.11519548958331,-5.2939746171139,-5.8263687709791,-4.89097549842701,-4.3685432843366,-4.31462688125528,-6.43052560464466,-4.89919573236205,-5.55554023151511,-4.03149044543347,-3.94986914791826,-4.13804241748782,-4.49928042977809,-4.30992334077254,-5.59545459777057,-4.36889734323209,-5.85793315448346,-4.01924542303391,-3.97352119515284,-6.68043635625745,-4.01669362799203,-2.89858873099845,-2.27008592560109,-2.48827933426664,-2.1521630852051,-2.96404276259701,-3.60811809746948,-1.80318816505168,-2.08717988490301,-4.51683561992019,-3.64793632822657,-3.44797344645989,-2.89581327515691,-5.02640768923701,-6.24003215076235,-2.86573653576178,-3.33622057983009,-4.73435001903271,-3.28653447334202,-3.3094194177702,-3.34426091877196,-3.58280643397281,-3.89100363820407,-4.91559174540936,-4.93138592244212,-6.38631799462155,-5.10729136912394,-6.36072660655219,-4.61326235588543,-6.52502965784346,-5.37989735354046,-4.37913785076799,-4.59005654817804,-4.68918688733091,-3.96651119071222,-6.27664348934164,-5.12812198955192,-6.05584680603725,-5.38245424575424,-4.4778777936637,-6.25766758788264,-5.93180300304991
