"ID","nahant_5um_d1_544","nahant_5um_d2_547","nahant_5um_d3_550","nahant_5um_d4_553","nahant_5um_d5_556","nahant_5um_d6_559","nahant_5um_d7_562","nahant_5um_d8_565","nahant_5um_d9_568","nahant_5um_d10_571","nahant_5um_d11_574","nahant_5um_d12_576","nahant_5um_d13_579","nahant_5um_d14_582","nahant_5um_d15_585","nahant_5um_d16_588","nahant_5um_d17_591","nahant_5um_d18_594","nahant_5um_d19_597","nahant_5um_d20_600","nahant_5um_d21_603","nahant_5um_d22_606","nahant_5um_d23_609","nahant_5um_d24_612","nahant_5um_d25_615","nahant_5um_d26_618","nahant_5um_d27_621","nahant_5um_d29_624","nahant_5um_d30_627","nahant_5um_d31_630","nahant_5um_d32_633","nahant_5um_d33_636","nahant_5um_d34_639","nahant_5um_d35_642","nahant_5um_d36_645","nahant_5um_d38_648","nahant_5um_d39_651","nahant_5um_d40_654","nahant_5um_d41_657","nahant_5um_d42_660","nahant_5um_d43_663","nahant_5um_d44_666","nahant_5um_d45_670","nahant_5um_d46_672","nahant_5um_d47_675","nahant_5um_d48_678","nahant_5um_d49_681","nahant_5um_d51_684","nahant_5um_d52_687","nahant_5um_d53_690","nahant_5um_d54_693","nahant_5um_d55_696","nahant_5um_d56_699","nahant_5um_d57_702","nahant_5um_d58_705","nahant_5um_d59_708","nahant_5um_d60_711","nahant_5um_d61_714","nahant_5um_d62_718","nahant_5um_d63_720","nahant_5um_d64_723","nahant_5um_d65_726","nahant_5um_d66_729","nahant_5um_d67_733","nahant_5um_d68_735","nahant_5um_d69_738","nahant_5um_d70_741","nahant_5um_d71_744","nahant_5um_d72_747","nahant_5um_d73_750","nahant_5um_d74_753","nahant_5um_d75_756","nahant_5um_d76_759","nahant_5um_d77_762","nahant_5um_d78_765","nahant_5um_d79_768","nahant_5um_d80_771","nahant_5um_d81_774","nahant_5um_d82_777","nahant_5um_d83_780","nahant_5um_d84_783","nahant_5um_d85_786","nahant_5um_d86_789","nahant_5um_d87_792","nahant_5um_d88_795","nahant_5um_d90_798","nahant_5um_d91_801","nahant_5um_d92_804"
"OTU_1204",0,0,0,0,0,2,4,1,0,3,0,0,0,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,5,1,5,1,5,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,1,0,0,0
"OTU_167",1,0,3,1,1,0,0,0,0,0,3,1,0,0,3,2,1,1,1,2,1,0,0,0,2,0,1,0,1,0,4,15,15,34,12,4,7,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,18,5,26,30,12,1,2,1,5,8,1,1,0,0
"OTU_138",21,6,8,22,13,14,19,9,18,5,9,17,51,27,10,16,23,27,18,29,14,7,10,4,1,6,25,17,13,3,10,2,0,4,1,0,0,0,8,1,0,1,5,25,2,1,1,1,0,2,0,10,7,2,2,8,5,6,0,1,0,0,0,0,1,1,2,0,4,1,2,4,2,1,2,5,0,2,2,5,4,8,8,18,14,7,17,14
"OTU_1186",0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,4,8,0,13,9
"OTU_539",0,1,0,1,34,6,2,2,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_286",14,5,0,5,9,9,16,2,5,12,3,0,3,2,1,4,0,3,21,4,4,7,8,4,5,1,6,1,0,3,13,3,0,4,0,9,1,5,7,5,0,9,1,0,3,5,4,4,10,1,5,5,0,6,2,6,8,0,8,0,1,14,5,3,10,2,7,8,6,8,8,3,0,4,5,0,0,3,2,4,5,5,4,0,8,2,1,2
"OTU_1273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,1,78,39,11,5,0,1,1,3,0,0,0,0
"OTU_366",0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3,0,3,1,0,0,0,4,1,0,1,0,0,0,0,0,0,2,0,0,6,4,5,1,2,0,1,0,3,1,0,1,21,9,11,10,7,4,3,15,2,4,4,3,1,0,1,12,8,18,17,19,9,5,6,4,0,1,2,1,0,1,0,2,0,6,1,2,3,4,4,0,0
"OTU_331",1,1,3,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,2,1,4,0,1,0,8,2,4,12,10,3,4,3,4,3,1,3,11,11,12,6,2,10,5,11,3,10,7,25,2,1,8,23,3,10,10,15,4,4,8,1,0,0,8,5,0,1,4,5,4,6,0,6,3,2,2,0,0
"OTU_462",3,0,2,4,4,7,3,2,1,1,1,3,17,1,6,5,8,5,3,2,2,0,4,3,0,2,2,0,0,0,6,0,1,1,0,0,0,0,1,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,5,6,2,2,2,4,2,2,4,5,1,6,1,1,0,0,1,1,3,3,4,4,0,1,4
"OTU_253",0,4,10,2,1,12,3,6,1,10,7,0,0,0,3,4,1,5,1,1,3,0,8,9,5,5,1,1,1,6,1,1,1,2,8,1,3,1,2,6,0,1,10,4,0,0,0,6,6,1,6,10,3,2,0,0,8,9,0,0,0,1,0,1,0,6,5,10,3,0,1,3,10,10,11,8,27,18,21,8,2,4,6,16,11,15,0,1
