"ASVID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_167",-10.6621486972644,-10.6627626939769,-10.6197254334538,-10.6414717278978,-10.6306923147244,-10.6799490127572,-10.6318701335887,-10.6620051959921,-10.6435381761704,-10.5492165104558,-10.6439074183216,-10.571034381035,-10.6369184220085,-10.6655260569606,-10.6653908305494,-10.6491726706587,-10.627482476437,-10.6780548843397,-10.6401215284212,-10.5852239289393,-10.6167321745896,-10.6367211316159,-10.6504038959659,-10.6212234041864,-10.5923531352339,-10.5506466316453,-8.25997565976828,-10.6536820719093,-10.6543690305908,-10.6479697953473,-8.30992298925832,-6.52502965784346,-6.5649832402124,-5.02856876196973,-5.00976535058772,-4.4530544712512,-4.40936685272931,-5.22829012569903,-6.79374636237027,-7.36739286597869,-6.27538957068205,-10.6228083568797,-8.20303024171486,-7.47732139777073,-6.7659036547419,-7.54459662333099,-6.89213389807918,-10.5737688195597,-8.25062008217469,-8.11042723757503,-7.09892645105307,-6.77764659363512,-6.44677746094371,-7.5880704807267,-8.17667277194846,-7.53929297791039,-7.58528107863913,-8.14235427684983,-7.37400185935016,-10.6375993540984,-7.43750078760064,-7.13621799177395,-7.39694860262101,-8.26821888006751,-8.2845042272585,-10.5742180894096,-8.11522197256233,-7.56008046502183,-7.17803683675375,-10.6513675766018,-10.6291311345149,-6.56723485951435,-6.52150438979778,-10.51430104109,-7.13143202145801,-5.82546362668089,-5.98318032752028,-4.61734576191822,-5.83870179255557,-4.06944701060037,-4.22476577734295,-5.50533153593236,-6.1490023413242,-5.85585307053013,-7.19693622755765,-5.82181239341469,-8.33278946841796,-6.00782990119425,-6.70783985378713,-7.64084406663503
"OTU_138",-5.99719807895574,-5.9986883921973,-6.41972344721701,-7.56501618097767,-6.84933135884442,-5.62881943618275,-5.93357056868908,-5.35310455018984,-5.62040086571715,-5.86678276976044,-6.18260130228711,-5.46806014113513,-4.68345310438214,-4.68961069355551,-4.0153815184153,-4.86548106164374,-4.6937734325357,-4.27885670039587,-4.63394148326703,-5.65424202909607,-4.73207812942148,-6.16699224448053,-6.32819185323702,-6.13394019535474,-6.20715179774574,-6.45771112747601,-5.95505986521418,-6.67380352895132,-6.08652216976991,-6.19082756975679,-6.36253537133045,-6.52502965784346,-6.78840852134957,-9.91282879547976,-7.05243265701691,-7.57763383260273,-5.76205138278018,-7.07862259684208,-9.96022919116505,-9.90312222576375,-9.90783958508942,-6.82952343071256,-6.25547580618329,-8.17075142375753,-5.66498389461442,-6.62751213562735,-6.07993319509559,-5.54967452895856,-6.86354212430581,-5.91079664404053,-6.11671959760307,-8.16479480424477,-8.2398574110186,-7.18235211188526,-8.17667277194846,-5.13606578098983,-5.44139860215334,-6.53175188102359,-7.37400185935016,-5.53549530682605,-6.33771029555618,-5.5235919788712,-7.39694860262101,-5.31915145345088,-5.18814732383669,-5.81502565347218,-9.92857560088211,-8.2534880283459,-6.89010034374342,-6.89137179973161,-6.14926925711385,-8.17779668327778,-5.93253986845795,-7.99328232810159,-7.13143202145801,-9.98254449671331,-6.67758711273096,-5.91546667833603,-5.92595585854045,-6.40385009806072,-7.11015175715156,-7.58832367733522,-6.0309523186151,-6.05704419275396,-6.2148580671774,-5.82181239341469,-6.02803752733882,-5.91227374918354,-5.36941328823177,-5.3339257940154
"OTU_1186",-12.5309691725332,-8.30350479887278,-12.4885467668259,-12.510292616857,-12.4995134227666,-12.5487691386773,-12.5006912175776,-8.3020178097512,-12.5123590233998,-12.4180393530713,-12.5127282581036,-12.4398567452197,-7.14860776407712,-7.21032596392767,-6.5166860511577,-12.5179934045423,-7.12983159433592,-12.546875047139,-12.508942444693,-8.14235427684983,-12.4855535698928,-12.5055421168363,-8.27563105457801,-8.21527695893663,-12.4611750419078,-8.0684029585697,-8.25997565976828,-12.522502715539,-12.523189660507,-12.5167905533749,-7.61652971542778,-12.4528348547253,-12.4713247191157,-12.425530877346,-12.4600179167507,-7.57763383260273,-12.5071479573198,-8.17779668327778,-12.4729291657901,-12.4158247516056,-12.4205418946224,-7.52321115182621,-12.4855407230729,-12.4695964535885,-12.4610229553849,-7.13886699994552,-6.89213389807918,-7.42476176182321,-7.55721177091735,-8.11042723757503,-8.19808924895612,-12.4654740751713,-12.5024997267437,-12.5228832646998,-12.4723948798225,-8.23270600986098,-8.27868216297091,-12.4565762770709,-12.4200731130181,-7.14808365505045,-12.4507343997268,-12.5011068469819,-12.4306723260649,-12.5153617603239,-12.5233603345903,-12.4430403846493,-12.4412769715974,-12.5085167069161,-12.5200696224091,-12.5201882665044,-8.23057721714645,-12.4724716724619,-8.13211877295581,-12.3831246713992,-8.23057721714645,-8.22603842948548,-12.5248510903361,-8.31581113188354,-12.5432416050789,-8.1969879272589,-12.4875673331439,-8.28172399041139,-7.53689712956617,-12.5099852135385,-6.90900449838257,-6.69900760795166,-7.63940175869269,-7.2135228189803,-7.62486309698693,-6.72383244082121
"OTU_539",-13.0461346524854,-13.046748636151,-13.0037123098127,-13.0254581271982,-8.23642052726539,-13.063934592967,-13.0158567422452,-13.0459911542636,-13.0275245306755,-12.9332050069242,-8.26384813136891,-12.9550223639281,-13.02090492034,-13.0495119405145,-8.30967689598773,-13.0331589034919,-13.0114691814346,-13.0620405041377,-13.0241079570404,-7.4489161025442,-8.20631072579402,-13.0207076342486,-13.0343901023031,-13.0052102473499,-12.9763406270083,-12.9346350941055,-13.0272346266704,-13.0376682078587,-13.0383551518193,-13.031956054098,-13.0501914616672,-6.34241480290985,-7.48211892355212,-7.38585107812521,-12.975183503657,-13.0324580413164,-13.022313472338,-12.9878800346659,-12.9880947326646,-12.930990409069,-12.935707544405,-13.0067951649744,-13.0007062706287,-12.984762025609,-12.9761885407226,-13.0171682535517,-13.0371893320076,-7.42476176182321,-13.0225006254278,-8.11042723757503,-12.9980082796197,-12.9806396535809,-13.0176652487023,-13.0380487564614,-12.9875604475209,-13.0149409970606,-13.0368820550052,-12.9717418693608,-12.9352387635624,-8.24722005274523,-12.9659000011972,-13.0162723710266,-12.9458379594746,-13.0305272631566,-7.18538701558042,-12.958205998293,-12.9564425880445,-13.0236822198967,-13.0352351183023,-8.27842825919907,-13.0131178032628,-12.9876372400418,-12.9657062165193,-5.34982492369397,-6.283067494303,-13.0104090461959,-13.0400165792149,-13.0535147264971,-13.0584070672889,-8.1969879272589,-13.0027328776179,-13.0377143143767,-13.0131522076123,-13.0251507243362,-13.0439923210805,-13.0508197739282,-13.061591393082,-13.0524872297186,-13.0542970018475,-13.0620272333624
"OTU_286",-8.3020178097512,-8.30350479887278,-7.11368484956166,-7.56501618097767,-7.54300848112318,-12.1740740759309,-8.23853693017177,-6.69158734140435,-8.26281693767093,-5.42337546196794,-12.1380331361517,-7.41758040241454,-8.24774388722552,-12.1596513792834,-12.1595161553196,-8.27410200229233,-7.53556361823374,-12.1721799813339,-7.15513605466039,-6.19469689380314,-5.80568246413958,-6.63778214031113,-8.27563105457801,-8.21527695893663,-7.461352994592,-6.96916390711078,-12.1373739959104,-7.59085212368858,-7.18664884540084,-12.1420954382034,-12.1603309025327,-7.44219976834676,-12.0966295264624,-6.98007594056176,-8.15162164696975,-12.1425974269983,-12.1324528260087,-12.098019277228,-8.18088094199639,-8.06085575293432,-12.0458466111574,-8.21662849313344,-8.20303024171486,-7.47732139777073,-8.15306194680105,-12.1273075908621,-12.1473287325083,-8.11820704940578,-7.55721177091735,-7.41697962138115,-12.1081475552614,-7.4713630881871,-12.1278045875967,-8.28147085789517,-12.0976996890337,-12.1250803272628,-7.58528107863913,-8.14235427684983,-12.0453778286932,-7.55381085200823,-12.076039170808,-8.23536064375335,-8.09040229659332,-8.26821888006751,-12.1486652303264,-8.12029131396856,-8.11522197256233,-12.1338215779055,-12.1453745126907,-12.145493156983,-12.1232571276347,-8.17779668327778,-7.43867760444725,-7.99328232810159,-7.53716361857508,-12.1205483618858,-12.1501559885374,-12.1636541775956,-12.1685465333902,-8.1969879272589,-12.1128721685762,-12.1478537165174,-12.1232915320943,-12.1352900869926,-12.1541317427664,-12.1609592167309,-12.171730868909,-12.1626266776569,-12.1644364553498,-12.1721667105181
"OTU_1436",-12.9829556100974,-12.9835695938494,-12.9405332613246,-12.9622790818693,-12.9514999023149,-13.0007555530625,-12.9526776955299,-12.9828121118554,-12.9643454856433,-12.8700259477071,-12.964714719853,-12.8918433081121,-12.9577258743553,-12.9863328986012,-12.9861976750358,-12.9699798592655,-12.9482901340813,-12.9988614639711,-12.9609289115174,-12.9060325301414,-12.9375400685006,-12.9575285882354,-12.9712110582521,-12.9420311990817,-12.9131615744446,-12.8714560351137,-12.9640555815967,-12.9744891642739,-12.9751761083319,-12.9687770097,-12.9870124198492,-12.9048213990609,-12.9233112374262,-12.8775174610038,-8.15162164696975,-8.27103686579295,-12.9591344265565,-12.9247009838341,-7.4874537670345,-7.36739286597869,-6.96947733761013,-12.9436161169383,-8.20303024171486,-7.47732139777073,-8.15306194680105,-12.9539892070266,-8.279189777195,-12.8945776834779,-12.9593215796733,-8.11042723757503,-12.9348292302915,-7.06561336359772,-12.9544862022492,-12.9748697129306,-7.07749805356923,-8.23270600986098,-12.9737030113087,-8.14235427684983,-12.8720597046656,-8.24722005274523,-7.03174125876313,-6.28785856016178,-7.39694860262101,-8.26821888006751,-12.9753467821893,-8.12029131396856,-7.01601159775199,-8.2534880283459,-12.9720560743717,-8.27842825919907,-8.23057721714645,-8.17779668327778,-12.902527162342,-7.99328232810159,-12.9497576995822,-12.9472299986881,-12.976837535963,-12.9903356851442,-12.9952280266179,-8.1969879272589,-8.20930841164694,-12.9745352707984,-8.23031079913502,-12.9619716789632,-12.9808132783907,-12.9876407321982,-12.9984123528531,-12.9893081882221,-12.9911179606038,-12.9988481931938
"OTU_366",-12.5440413010228,-7.610109940293,-12.5016188973488,-12.5233647463269,-12.5125855527556,-12.5618412663391,-8.23853693017177,-12.5438978025989,-12.5254311527708,-12.4311114871706,-12.5258003874569,-6.72383244082121,-8.24774388722552,-12.547418593798,-12.5472833700618,-8.27410200229233,-8.22897764335831,-12.5599471748881,-8.25426877009018,-12.4671181197666,-7.51289058221887,-12.5186142465342,-12.5322967342106,-8.21527695893663,-12.4742471737892,-12.432541576604,-12.5251412483499,-12.5355748444275,-12.536261789363,-12.5298626825345,-8.30992298925832,-6.18797073889389,-12.4843968504891,-12.4386030110532,-12.4730900486904,-12.5303646704694,-12.5202200869405,-8.17779668327778,-8.18088094199639,-12.4288968858214,-8.06871619271478,-12.5047017570312,-8.20303024171486,-12.482668585048,-8.15306194680105,-12.5150748607177,-12.5350959678964,-12.4556632573405,-12.5204072403001,-8.11042723757503,-12.4959148587545,-6.77764659363512,-8.2398574110186,-7.18235211188526,-12.4854670111426,-6.84561388244429,-12.5347886904575,-12.4696484091843,-6.6802271293501,-12.5194924511446,-7.43750078760064,-7.54194831669841,-6.14265165622092,-12.5284338895516,-8.2845042272585,-7.02108396428914,-6.50458752992266,-7.15435490633269,-12.5331417514129,-6.6679740865149,-8.23057721714645,-8.17779668327778,-12.4636127471628,-7.99328232810159,-12.5108433477432,-12.5083156435345,-12.5379232191136,-8.31581113188354,-12.5563137329962,-12.4946607216506,-12.5006394637148,-12.535620951011,-12.5110588089473,-12.5230573430231,-12.541898966599,-12.5487264290452,-12.55949806321,-12.55039388717,-12.5522036618279,-12.5599339040943
"OTU_1220",-8.3020178097512,-12.7810448139109,-12.7380084587022,-12.7597542908309,-12.7489751055659,-12.7982307819133,-12.7501528994079,-12.780287331526,-8.26281693767093,-12.6675011057452,-12.7621899300964,-12.6893184786208,-12.7552010809122,-12.7838081200861,-12.7836728964512,-8.27410200229233,-8.22897764335831,-12.7963366918605,-12.758404119767,-12.7035077086157,-12.7350152642639,-12.7550037946878,-8.27563105457801,-12.7395063972653,-8.15478757276852,-12.6689311939775,-8.25997565976828,-12.7719643796301,-8.28576542051433,-12.7662522220743,-12.7844876416835,-8.13563990335439,-12.7207864254492,-12.6749926233546,-7.45818615734049,-6.88397475031673,-5.94489691129165,-6.09638746703476,-6.5703225812658,-6.96161195177285,-12.6700036450642,-7.52321115182621,-12.7350024174548,-12.7190581613865,-12.7104846704859,-12.7514644116018,-12.7714855034617,-12.6920528555304,-12.7567967870741,-8.11042723757503,-12.7323044245886,-12.714935786473,-12.7519614070884,-12.7723449284849,-12.7218565852503,-12.7492371536029,-12.7711782262556,-8.14235427684983,-12.6695348638776,-12.7558819986222,-7.43750078760064,-12.7505685284706,-12.680134067528,-12.7648234301802,-12.7728219979917,-12.692502115273,-12.6907387037584,-8.2534880283459,-12.7695312884599,-12.7696499324595,-12.7474139585684,-12.7219333778248,-12.7000023388589,-12.6325864558041,-8.23057721714645,-12.7447051996599,-12.7743127525402,-7.21670948670946,-12.7927032526582,-6.80986677816301,-8.20930841164694,-12.7720104861787,-12.7474483629413,-8.25634777291802,-8.2960476427647,-12.7851159543554,-12.7958875805144,-12.7867834112352,-8.31825432879885,-12.7963234210766
"OTU_462",-6.69158734140435,-8.30350479887278,-11.744751692213,-8.25842246245888,-8.23642052726539,-7.64683139143048,-7.13939596055029,-8.3020178097512,-6.87574848284705,-11.6742439744691,-11.7689332829089,-7.01181494890692,-6.04842232353764,-5.47227067367148,-6.36228891415113,-6.19287360627619,-5.6608214418872,-5.7675995817911,-6.46120772577274,-5.57390739323479,-7.51289058221887,-7.55485852104068,-7.58222919427646,-7.52185925220163,-11.7173798518213,-8.0684029585697,-11.7682741410921,-11.778707779853,-11.7793947275831,-11.772995594647,-11.7912311019765,-8.13563990335439,-7.48211892355212,-7.38585107812521,-8.15162164696975,-8.27103686579295,-7.55642796944025,-7.48436864328613,-8.18088094199639,-11.6720293631037,-8.06871619271478,-11.7478345648548,-8.20303024171486,-11.7258012993668,-11.717227764648,-7.54459662333099,-7.58578882173203,-8.11820704940578,-11.7635401135284,-11.6951082891942,-11.739047629535,-11.7216789034312,-11.7587047097893,-11.7790883305443,-11.728599737452,-7.53929297791039,-11.7779216226824,-11.7127810672716,-11.6762777434879,-8.24722005274523,-11.7069391647548,-7.54194831669841,-11.686877003517,-8.26821888006751,-11.7795654023524,-8.12029131396856,-7.42177579364465,-11.7647217145787,-11.7762746769245,-11.7763933214982,-7.53716361857508,-8.17779668327778,-8.13211877295581,-6.38249260741838,-11.7539761812656,-6.83894096298178,-8.28803156777646,-11.7945543847918,-11.7994467519522,-11.7377934871173,-11.7437722544534,-11.7787538866241,-8.23031079913502,-11.7661902271868,-11.7850319276801,-8.30943074214033,-8.33278946841796,-8.31262602567496,-11.7953366643671,-11.8030669374547
"OTU_511",-11.9475180469704,-11.9481320332857,-11.9050955172266,-11.9268414314964,-11.9160622057382,-11.965318063612,-11.917240004026,-11.9473745481291,-11.9289078440711,-11.8345878853153,-11.9292770798514,-11.8564053466195,-11.9222882045263,-11.9508953495542,-11.950760125426,-11.9345422415975,-11.9128524236498,-11.9634239667428,-11.9254912553844,-11.8705946330984,-11.9021023113416,-11.9220909175614,-11.9357734457897,-11.9065934615054,-11.8777237094394,-11.8360179794032,-11.9286179387909,-8.28425179762192,-11.9397385125903,-11.9333393869401,-8.30992298925832,-11.8693834965524,-8.17554759602103,-7.38585107812521,-11.8765665807288,-11.9338413763559,-11.9236967627558,-11.8892631702049,-11.8894778691859,-8.06085575293432,-6.681481834659,-11.9081783862518,-6.00361268104363,-6.37757692670033,-5.84788281862996,-5.93304062697027,-5.38449506278909,-7.42476176182321,-6.30314212511598,-6.72323129863298,-6.5875500148248,-7.4713630881871,-6.15856670753857,-7.5880704807267,-11.8889435815973,-11.9163242547648,-8.27868216297091,-11.8731249304556,-8.06746266701006,-8.24722005274523,-11.8672830350464,-8.23536064375335,-11.8472208985361,-11.9319105897382,-11.9399091871659,-11.8595889960148,-11.8578255774469,-11.9250655163615,-11.9366184654783,-11.9367371099169,-11.9145010528398,-11.8890203744697,-11.867089249462,-11.7996730897844,-8.23057721714645,-7.12689080889881,-6.34061122462592,-7.62241930300433,-6.71586811731848,-7.50356522665312,-7.51588908521513,-6.48869821735451,-11.9145354573428,-7.15721613861372,-7.19693622755765,-8.30943074214033,-7.63940175869269,-11.9538706515399,-8.31825432879885,-7.23513871828547
