"ID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,5,21,23,45,46,19,4,2,6,0,1,2,4,2,4,0,1,1,3,4,6,2,1,2,2,1,2,0,2,3,2,1,1,0,1,2,3,0,0,5,5,0,3,11,10,40,12,61,53,16,8,11,3,12,1,10,5,2
"OTU_138",10,10,6,2,4,15,10,19,14,9,8,14,35,37,72,30,34,57,37,12,32,8,7,8,7,5,10,5,9,8,7,5,4,0,3,2,12,3,0,0,0,4,7,1,12,5,9,13,4,9,8,1,1,3,1,22,17,5,2,15,6,15,2,19,22,10,0,1,4,4,8,1,9,1,3,0,5,11,11,6,3,2,9,9,8,12,10,11,19,20
"OTU_1186",0,1,0,0,0,0,0,1,0,0,0,0,3,3,6,0,3,0,0,1,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,3,4,2,2,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,2,0,4,5,2,3,2,5
"OTU_539",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_286",1,1,3,2,2,0,1,5,1,14,0,2,1,0,0,1,2,0,3,7,11,5,1,1,2,3,0,2,3,0,0,2,0,3,1,0,0,0,1,1,0,1,1,2,1,0,0,1,2,2,0,2,0,1,0,0,2,1,0,2,0,1,1,1,0,1,1,0,0,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_1436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,0,1,2,1,0,1,0,0,1,0,3,0,0,3,1,0,1,0,1,3,7,2,1,0,1,3,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"OTU_366",0,2,0,0,0,0,1,0,0,0,0,4,1,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,4,1,3,0,4,0,0,4,0,2,2,7,0,1,3,5,3,0,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1220",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,4,10,8,5,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,4,1,0,0,1,1,0,0,0,1,0
"OTU_462",5,1,0,1,1,2,3,1,4,0,0,3,9,17,7,8,13,13,6,13,2,2,2,2,0,1,0,0,0,0,0,1,2,2,1,1,2,2,1,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,1,2,0,0,0,2,1,1,5,0,4,1,0,0,0,0,0,1,0,0,1,1,1,0,0
"OTU_511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,4,0,9,6,10,10,18,2,7,4,5,2,8,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,2,5,2,2,6,0,3,3,1,2,0,1,3
"OTU_178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,5,2,1,2,1,1,2,0,3,3,5,4,5,0,2,1,1,0,0,2,2,0,5,3,6,0,2,3,0,0,0,0,0,0,1,0,0,0,2,2,0,3,2,1,5,3,5,0,4,5,7,9,13,13,2,12
"OTU_253",7,1,5,12,12,1,14,2,5,4,0,6,2,2,0,3,3,1,4,2,2,3,3,4,12,5,2,2,0,6,2,3,4,4,4,7,6,9,6,7,4,1,2,3,3,5,2,0,2,6,4,7,5,0,4,4,5,3,9,0,4,9,0,1,0,0,2,2,2,0,6,5,1,1,0,3,3,5,2,4,3,8,2,3,1,3,0,4,0,1
"OTU_335",1,1,0,0,3,1,7,0,1,6,1,3,1,1,0,3,3,0,1,2,1,6,4,3,2,3,3,3,3,1,0,4,3,7,4,4,2,6,2,4,5,5,1,7,3,6,1,2,3,4,0,1,3,0,0,2,2,3,5,3,4,5,7,4,3,0,2,2,5,3,3,4,10,5,8,3,0,0,0,1,2,0,6,2,1,2,0,4,0,0
"OTU_74",0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,6,11,4,3,0,0,2,0,1,1,3,3,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_505",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,1,1,0,1,0,1,0,0,0,1,5,0,3,6,8,0,0,2,2,5,1,4,2,1,0,4,4,3,2,2,4,1,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"OTU_1946",12,4,4,3,3,3,6,4,4,1,1,1,0,0,1,1,3,6,4,8,4,2,11,3,6,1,5,7,3,4,3,1,1,0,0,2,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,3,4,1,0,0,14,4,22,26,32,29,22,10
"OTU_1908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,1,0,0,0,0,0,0,1,0,1,3,8,2,5,6,4,1,0,2,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"OTU_373",0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,2,5,7,2,1,3,1,0,0,1,6,0,6,0,2,1,1,4,2,2,4,1,1,1,4,0,1,0,1,0,2,5,0,0,0,2,1,2,20,5,9,13,0,14,5,4,22,7,7,7,7,1,2,16,9,6,0,0,0,0,4,6,1,4,0,0,1,0,1,0,0
