"SampleID","Day","AirTemp_.C.","Ammonium_.uM.","AtmPressure_.24hrAVG_hPa.","ChlorophyllConc_.24hrAVG_ug.L.","DomWavePd_.24hrAVG_sec.","Macroalgae","Nitrite.Nitrate_.uM.","Phosphate_.uM.","Salinity_.PPT.","Silicate_.uM.","TidalDirection","WaterLevel_.m.","WaterTemp_.C.","WaveHeight_.24hrAVG_m.","WindSpeed_.24hrAVG_m.s."
"nahant_unf_d0_1080",0,26,0.6,1013.7,3.2,5.87,0,0,0.1,33.83,4,0,3.595,18,0.36,3.7
"nahant_unf_d1_1083",1,27,0.1,1012,4,6.25,3,0,0.1,33.54,3.9,0,3.876,17.5,0.36,2.7
"nahant_unf_d2_1086",2,26,0.4,1008.3,4,5.77,0,0.6,0.2,33.24,4.2,1,4.019,18,0.43,4.4
"nahant_unf_d3_1089",3,21,0.3,1009,3.7,5.97,0,0.6,0.1,32.94,3.9,1,3.645,20,0.48,5.5
"nahant_unf_d4_1092",4,26,0.3,1013.6,3.9,6.12,0,0,0.1,33.83,3.5,1,3.34,17,0.37,4.6
"nahant_unf_d5_1095",5,29,0.6,1016.1,3.4,4.685,0,0,0,33.83,3.1,1,3.018,20,0.2,3.2
"nahant_unf_d6_1098",6,23,0.3,1011.1,4.6,3.39,0,0.2,0.1,33.83,3.3,1,2.845,15,0.6,6.5
"nahant_unf_d7_1101",7,24,0.4,1010.5,4.1,3.51,0,0.3,0,33.54,3.2,1,2.434,17,0.37,4.4
"nahant_unf_d8_1104",8,23,0.8,1013.4,4,3.6,0,0.3,0.1,33.83,3.5,1,2.134,17.5,0.43,5
"nahant_unf_d9_1107",9,23.75,0.5,1016.8,4,4.26,3,6.2,0.2,33.24,5.7,1,1.898,19,0.36,3.6
"nahant_unf_d10_1110",10,23.5,0,1020.4,4,5.94,0,0.8,0,33.83,2.9,1,1.704,18.3,0.49,4.4
"nahant_unf_d11_1113",11,26.5,0.5,1019.6,4.7,7.43,0,0.6,0.1,33.83,2.4,1,1.614,13.5,0.61,5.5
"nahant_unf_d12_1116",12,27,0.2,1014.4,5.2,4.86,0,1.2,0,34.42,6.2,0,1.712,10.9,0.71,6.2
"nahant_unf_d13_1119",13,24.5,0.8,1007.2,4.7,7.2,0,2.4,0.3,34.125,6.3,0,2.114,10.7,0.47,4.1
"nahant_unf_d14_1122",14,28.7,0.7,1001.6,5.8,8.44,0,3,0.2,33.83,4.5,0,2.422,13.5,0.34,4.8
"nahant_unf_d15_1125",15,24.2,0.8,1008.5,6.5,6.48,0,1.8,0.2,34.42,4.7,0,3.093,11.2,0.51,3.7
"nahant_unf_d16_1128",16,26.3,0.5,1015.9,5.5,8.51,0,1.7,0.3,34.42,4.2,0,3.612,11,0.46,3.1
"nahant_unf_d17_1131",17,26.4,0,1016.4,5.6,7.5,0,0,0,33.83,4,0,4.039,12.8,0.6,4.4
"nahant_unf_d18_1134",18,25.6,0.2,1012.8,5.1,8.01,3,0.3,0.1,34.125,3.7,1,4.245,13.8,0.56,3.7
"nahant_unf_d19_1137",19,20.6,0.3,1011.1,5,8.35,3,1.4,0,34.125,3.5,1,4.084,15.7,0.47,3.1
"nahant_unf_d20_1140",20,25,1,1013.1,5,6.81,1,0.9,0,33.83,2.7,1,3.472,18.2,0.41,2.5
"nahant_unf_d21_1143",21,22,0.7,1016.8,5.2,5.26,0,0.3,0.1,34.42,1.4,1,3.311,19.5,0.43,3.6
"nahant_unf_d22_1146",22,23.2,1.4,1020.8,5.3,6.08,0,0.6,0,33.83,0.8,1,2.121,18.7,0.53,2.3
"nahant_unf_d23_1149",23,26.5,0.6,1020.6,6.2,7.71,0,0,0,33.24,3.9,1,2.023,18.3,0.65,3.7
"nahant_unf_d24_1152",24,21.4,0.2,1017.7,6,9.12,0,1.5,0,33.83,4.4,1,1.545,17.7,0.95,5.1
"nahant_unf_d25_1155",25,30.2,0.1,1014.6,6.1,9.68,3,2.4,0.2,34.42,3.2,1,1.41,14.8,1.03,3.8
"nahant_unf_d26_1158",26,22,0.5,1016.3,5.5,9.8,0,5.1,0,33.83,2.5,0,1.655,16.8,0.75,2.6
"nahant_unf_d27_1161",27,25.7,0.1,1015.3,5.5,8.86,3,0,0,34.42,2.6,0,2.307,18.7,0.48,2.4
"nahant_unf_d28_1164",28,25.7,0.7,1010.4,5.9,7.09,3,6.7,0,33.83,1,0,3.011,20.7,0.43,4.3
"nahant_unf_d29_1167",29,20.3,0.7,1015.9,5.2,7.04,1,6.7,0.1,34.42,3.1,0,3.03,19.3,0.39,2.7
"nahant_unf_d30_1170",30,20.1,0.1,1018.3,5.6,6.58,2,7.4,0,33.83,2.8,0,3.662,18.7,0.45,4.2
"nahant_unf_d31_1173",31,17.4,0,1015.8,8,6.06,4,1.3,0,33.83,2.4,0,4.113,18.7,1.35,8.2
"nahant_unf_d32_1176",32,17.7,0.3,1015.8,10.3,9.01,4,0,0.1,34.42,3.9,1,4.178,17.6,3.18,10.7
"nahant_unf_d33_1180",33,20.7,0.5,1014.4,9.9,8.98,4,1.7,0.3,32.06,2.8,1,4.255,17.5,2.69,9.6
"nahant_unf_d34_1182",34,23,0.2,1008.1,9.4,8.74,4,3.9,0.3,34.42,5.3,1,3.6,17.8,1.85,5.4
"nahant_unf_d35_1185",35,21.3,0,1013.7,6.4,9.1,2,1.2,0,33.83,7.6,1,3.353,17.8,0.81,4.9
"nahant_unf_d36_1188",36,23,0,1018.6,6.6,9.72,2,0.9,0.1,33.83,6.7,1,3.273,18,0.43,3.3
"nahant_unf_d37_1191",37,28.9,0.3,1019.9,6.8,12.85,2,5.3,0.2,33.83,8,1,3.03,18.6,0.51,4.1
"nahant_unf_d38_1194",38,28.3,0,1019,5.7,12.47,2,2.4,0.1,33.83,8.1,1,2.522,20,0.63,3.5
"nahant_unf_d39_1197",39,31.8,0.4,1018.4,5.6,13.55,4,1.6,0.2,33.83,7.7,1,2.343,20,0.72,3.1
"nahant_unf_d40_1200",40,27.5,0.7,1016.1,5.4,11.75,3,1.3,0,33.83,4.9,1,1.839,20,0.92,2.9
"nahant_unf_d41_1203",41,31,0.5,1014.5,5.5,11.38,1,2.2,0.2,34.42,4.1,1,1.749,20.8,0.58,3.5
"nahant_unf_d42_1206",42,25.3,0.6,1012.4,5.3,12.55,0,0.8,0.1,33.83,7.1,0,2.116,17.1,0.58,4.1
"nahant_unf_d43_1209",43,24.8,0.7,998.9,6.6,9.99,2,0.4,0.2,33.83,5.2,0,2.046,19.6,0.94,6.9
"nahant_unf_d44_1212",44,22.4,1.3,1004.8,6.6,9.6,0,2.9,0.2,34.42,8.9,0,2.831,16.2,0.97,8.7
"nahant_unf_d45_1215",45,25.7,0,1017.1,6.2,8.19,0,0,0,34.42,8.8,0,3.672,15.3,0.45,4.8
"nahant_unf_d46_1218",46,22.1,0.2,1021.2,6.8,4.44,0,2.1,0.2,34.42,7.3,0,4.289,15.2,0.46,5.5
"nahant_unf_d47_1221",47,24.6,0.4,1013,6.8,3.13,1,6.3,0.5,35.01,7.9,0,4.509,13.8,0.52,5.3
"nahant_unf_d48_1224",48,21.8,0,1004.1,6.3,3.15,0,0,0,34.42,3.4,1,4.808,16.1,0.46,6
"nahant_unf_d49_1227",49,18.4,0.1,1004.8,6.7,3.4,1,12,0.2,33.83,8.6,1,4.353,14.6,0.5,7.3
"nahant_unf_d50_1230",50,20.1,0,1011,7.2,4.4,2,6,0,33.83,3.5,1,4.175,15.6,0.56,4.7
"nahant_unf_d51_1233",51,16.5,0.7,1017.9,7.7,5.72,0,2.2,0,34.42,2.4,1,2.777,15.2,0.68,5
