"ASVID","NWSwk16S002","NWSwk16S010","NWSwk16S018","NWSwk16S026","NWSwk16S034","NWSwk16S042","NWSwk16S050","NWSwk16S058","NWSwk16S066","NWSwk16S074","NWSwk16S082","NWSwk16S090","NWSwk16S098","NWSwk16S106","NWSwk16S114","NWSwk16S122","NWSwk16S130","NWSwk16S138","NWSwk16S146","NWSwk16S154","NWSwk16S162","NWSwk16S170","NWSwk16S178","NWSwk16S186","NWSwk16S194","NWSwk16S202","NWSwk16S210","NWSwk16S218","NWSwk16S226","NWSwk16S234","NWSwk16S242","NWSwk16S250","NWSwk16S258","NWSwk16S266","NWSwk16S274","NWSwk16S282","NWSwk16S290","NWSwk16S298","NWSwk16S306","NWSwk16S314","NWSwk16S322","NWSwk16S330","NWSwk16S338","NWSwk16S346","NWSwk16S354","NWSwk16S362","NWSwk16S370","NWSwk16S378","NWSwk16S386","NWSwk16S394","NWSwk16S402","NWSwk16S410","NWSwk16S418","NWSwk16S426","NWSwk16S434","NWSwk16S442","NWSwk16S450","NWSwk16S458","NWSwk16S466","NWSwk16S474"
"ad4cba5280fb47cbebea01e7031af61c",-3.26048096092891,-2.99371682107464,-3.12008591360414,-2.68479333893794,-2.48520351783234,-2.69361266530924,-2.96111207290739,-3.23530266255373,-2.74402739133905,-2.55096531309821,-2.79656984422739,-2.67907827544718,-2.57110666770675,-2.96572630294366,-3.03734814173513,-3.40930396919514,-3.4920694912659,-3.01959068380193,-2.86525537427052,-2.94633951822441,-3.12527608122481,-2.66131272325052,-2.72961530173965,-2.8031556097376,-1.89058156189244,-3.30927523835833,-2.29572934784949,-2.88773948472584,-2.55229858633336,-2.72566399059285,-2.10626151574043,-3.18506047637347,-2.70041486196485,-2.6413202257556,-2.89066643890611,-2.60695052923776,-2.94593025547801,-2.75103894273952,-2.38906255841508,-2.06700391933676,-2.30371150753125,-1.65242191220116,-2.42826050479794,-2.19163904663601,-2.90015129896532,-2.31016836311587,-2.43581911732575,-3.00753154641489,-2.8303990377686,-2.35868114723867,-2.90613618983798,-2.98840887207369,-3.01371678645572,-2.96249363207826,-2.76559405627725,-2.31232433395092,-2.95873550070555,-2.5807061548651,-2.77532619999637,-2.96534440801124
"8abdf967e5b46a4af2dc34923219a392",-3.07447235803427,-3.23149252770438,-3.07602195143359,-3.3122246383859,-3.33922741082498,-3.22813736049195,-3.0153735801712,-3.36454563726755,-3.23571438923103,-3.17431436706717,-3.26440140682384,-3.00630524938009,-3.27436881896429,-3.34208543915681,-3.3228340839383,-2.96101557975391,-2.82740327184616,-3.02859161565123,-3.23140446255137,-3.12986157352069,-2.98243847246093,-3.05687732213211,-3.26560540722467,-3.23567273905089,-3.63547867738682,-2.91493439626457,-3.32127543964301,-2.86793408296198,-2.9295411244858,-2.77633404496994,-3.34805565791282,-2.65297618387475,-2.90726648037471,-3.31309321376893,-3.17297730918389,-2.6424748732362,-2.65483936058539,-2.5920244145487,-3.19604739539596,-3.11033565629299,-2.94316640300723,-3.23531144561648,-3.44335586869652,-3.24206897551818,-2.91935929476942,-3.05065439245303,-3.31865917316503,-3.14972998970982,-2.37892464876018,-3.25234310859374,-3.32011777914053,-3.45467306195097,-2.71020660455088,-3.11954907881226,-3.29424015033663,-3.28082062376875,-2.99402349735399,-3.00156076632385,-3.35722738607366,-3.14473626162948
"5cd37e05111717fc8bbb6b94769a58f0",-3.22294734757543,-3.51369106725025,-3.49911648546128,-3.59279594905491,-3.39884055756862,-3.40375093674528,-3.1828705375465,-3.0594969805231,-3.56605124541572,-3.20522373569987,-3.37869632780369,-3.75775273698558,-3.27929874567208,-3.02013199298551,-3.7224640541573,-3.23250797365826,-3.32060840830783,-3.74123977559207,-3.49314734325102,-3.73787485173714,-3.48069695543984,-3.51739550939711,-3.49117131139568,-3.66336362632702,-3.78782704579702,-3.29858711668282,-3.79587656086017,-3.68913539405476,-3.47945407288333,-3.76446864494889,-3.73858495015506,-3.75033044345666,-3.1127213433092,-3.65557225609617,-4.08967264886136,-3.51376401364172,-3.44998754583159,-3.42570930945666,-3.69860473714349,-3.71374321166451,-3.73738386317355,-3.58590386684626,-3.68147664186152,-3.51985281277031,-3.42778683585139,-4.00026399262934,-3.39716627916919,-3.32901877954207,-8.15160681341411,-3.21798111579229,-3.31379908263249,-3.51018766537056,-3.76278172074374,-3.24167611248874,-3.35327003733901,-3.07428405581709,-3.96508972636484,-3.63111233578122,-3.38284824299396,-3.41318201576678
"d829bee4984f82ffc2453212157caf96",-4.05295233881726,-3.61322244041311,-3.76878417365423,-3.56280535323273,-3.67761251617317,-3.69583633090767,-3.84944976497553,-4.03078484626752,-3.94833673979012,-3.71176931702356,-3.70323174775328,-3.51682416730484,-3.22626924056808,-3.70794651683116,-3.703404785265,-3.91079001812346,-3.74803240531892,-3.69398932726621,-3.31819946360838,-3.12487906786069,-3.69501998270954,-3.30266071382347,-3.08927136589071,-3.29004553678741,-3.46679629717296,-3.837262139533,-3.67528167480311,-3.71750100923707,-3.41976166663067,-3.52161636119418,-3.43601859945886,-3.92450883459706,-3.66659918372227,-2.85376973396338,-3.05318304231489,-3.84182917889124,-3.69052538564687,-4.00271054387785,-3.23151240887271,-3.73187052306189,-3.86344096439597,-4.11457130771224,-3.50468517713171,-3.5167467777926,-3.63536661719879,-3.74608888706055,-3.34743006325168,-3.92949504723055,-4.08662969382279,-4.02185351575742,-3.9914863597886,-3.75150207859304,-3.52416137895283,-3.61917820370705,-3.72467951400835,-3.61568132433834,-3.78430861779609,-3.95578803339491,-3.68005401334717,-3.96271611974366
"6c5f4f9666d82b1bedf94e99acfe6741",-4.01811402343492,-3.82526614150186,-4.90090196422999,-3.81807255650835,-4.07466214627948,-4.14862847827862,-4.23532072851053,-3.82419342654877,-3.91056740109545,-3.88257546972352,-3.97196024894075,-4.04669957542003,-3.97664955086048,-3.77129250904957,-3.24950000390756,-4.09548028068603,-4.21496594322356,-4.11817835033876,-4.16098636636231,-4.35114116539709,-4.06017497391314,-4.22527199276555,-3.84809343589774,-4.05212878453337,-4.02954456899519,-3.94428539389673,-3.40619959894863,-3.73562671665357,-3.54957881471817,-3.73508316758649,-2.61349017616153,-3.44506693648482,-3.72374827976476,-3.66572794197523,-3.71715245004932,-3.72322798617097,-4.11020256230202,-3.49075318486139,-3.79106328766469,-3.51456047320357,-3.55716807252871,-3.35877768748905,-3.26466551110139,-3.87093501808813,-3.59118925131804,-3.26979372746831,-3.51834412176859,-3.51572308544823,-2.76762689856574,-3.28558119409086,-3.44427889052169,-3.27381654734545,-3.69535354989598,-3.48003454368034,-3.86805988200703,-3.78624550056416,-4.13794787048607,-3.38326649554094,-4.11538239081423,-3.45235254496309
"8562afaf3955423d4eda6d71b8b277d8",-3.14082566626874,-3.50235198456415,-3.38789986596339,-4.00071597428527,-3.78549816761278,-3.93846458365993,-3.89653893671557,-3.53814787885124,-3.39668768739644,-3.85691505366041,-4.0564562943026,-3.90536879081469,-4.72269174955513,-3.93174426906943,-3.68933389629399,-3.85433688709046,-3.87171954864313,-3.6327992686791,-4.29955041284964,-4.26695730488909,-3.87704608847274,-4.27545765965449,-4.38643500695479,-4.2339106373946,-3.78352096120863,-3.62213968158989,-3.78709915008189,-3.80751355365148,-3.957760897102,-3.36083065689709,-4.23956056774915,-4.02030881570129,-4.14270563391552,-4.39709116413528,-4.1610114984945,-4.37093082041883,-4.32045732217337,-4.1578171745716,-5.47492085190103,-4.6269991564295,-4.57161340245925,-4.04833206828393,-3.93837230095064,-4.44917570213526,-3.54532677893419,-4.01638302075239,-3.90303108611961,-3.36112241047101,-4.91951883996435,-3.37713450755372,-2.86774106130508,-3.73122969203984,-3.54573786648809,-3.67367351855127,-3.73913548086755,-3.80657323991529,-3.15065157737993,-3.43756502583303,-3.20684608486434,-3.15118081209685
"25b7d72340d612b530455f3f2695d11a",-2.95992641280485,-3.13382485935651,-3.19504659267106,-4.26679805654096,-3.60074279568523,-4.21654364224276,-3.87059064336049,-3.15511337381834,-3.67127943526503,-4.29672765061283,-3.94966071470993,-4.43123079181135,-4.38834466200844,-3.74620125329858,-4.67956211093872,-3.9059669687511,-3.56540718851306,-3.52370176448566,-4.14668043647746,-4.31201863773178,-3.4990447139692,-4.44265125649032,-3.980599605315,-4.34988685305357,-4.11458409056714,-3.94428539389673,-4.57241739951628,-4.01481684971964,-3.96286896359486,-3.39881359030688,-4.55009105690035,-2.68160540834552,-3.98984500227824,-4.58974315696924,-4.7742094783091,-4.0144569126451,-4.50353834236858,-3.88985776402845,-5.50169937080334,-5.01425741826022,-4.42630720833734,-5.17219485944178,-4.35280758952317,-4.2683331029443,-4.02200384696546,-4.00026399262934,-5.21149313782048,-3.4726563456443,-8.51264148502687,-3.85118689508418,-3.67378769598751,-3.61268667673958,-2.96679827608129,-3.39646397452291,-3.79903998901398,-4.01994459516987,-2.85460187390062,-3.48788463205436,-3.66726319971885,-3.53222564406856
"9d127ac8ec1a7b03befe92229847b811",-4.24728969639401,-3.89389170795458,-4.09465315657727,-3.65546006252474,-4.23031459253928,-3.87690916284072,-4.08836819001018,-3.97210159584362,-4.23446875781622,-4.14746794198767,-3.8448142557347,-3.84879082020463,-3.70090364708074,-3.53220921709876,-2.95899835340673,-4.20507040556849,-3.9508987125404,-4.42469566187439,-3.57205462457006,-3.64501806841748,-3.95025933441316,-3.57203915575925,-3.51356624838843,-3.45228101046554,-3.81404259706794,-4.16763954359486,-4.21979601424542,-4.27422205728787,-3.75469789351148,-4.5723803631651,-3.9615875336329,-4.43888949656843,-4.00896907177405,-3.37334748046454,-4.06414092401936,-4.11833756831258,-4.0637125586076,-4.32675156269446,-4.07597511795463,-4.1113833750539,-4.42630720833734,-4.36811863689933,-3.81535819673787,-3.93359852566277,-4.3087502860744,-4.21912566123641,-4.0022292733143,-3.84030676366052,-4.70224133756219,-4.13655862219536,-4.04685789595611,-3.53907230849919,-3.89388328045747,-3.65153598140045,-3.83563679904286,-3.60207738536135,-4.29187553767958,-4.06902675423781,-3.76489307689402,-4.28002486135458
"d326d182c4d5d5cac0f8ea5d778af5b1",-3.96098631478025,-4.69339651090401,-3.90063184115449,-4.122400331275,-3.8284547770988,-3.71930005081465,-3.66566691006511,-4.86984693516817,-4.05989839766194,-3.84969799510825,-3.79039927038582,-3.56921732197153,-3.76137695035362,-4.01083296498181,-5.27389102285278,-3.5817036224271,-3.92383074810233,-3.68562212224363,-3.63101341841246,-4.25236529474598,-3.71753889484149,-4.43404000872488,-4.10560984600189,-4.29026372728144,-3.90168675105947,-3.59721842995267,-4.16177242371128,-3.57644333671052,-4.39520860031365,-4.23332582090178,-4.07481462501533,-3.6058294905215,-4.13178115358188,-3.91189641513745,-4.0392239189141,-4.02438834170938,-3.19739679319108,-3.67329934817673,-3.25274984420814,-3.90658451479721,-3.9501062777005,-4.23905642631276,-4.30158772176085,-4.57875600688203,-4.15544730979472,-4.11875018959024,-4.26925270875423,-4.1461791413504,-3.4726668586252,-4.99461619788527,-4.74245993921786,-4.33259467167528,-4.21110328543391,-4.19460116596175,-4.33073334028633,-4.13720891415432,-3.44025002153509,-4.23060212053531,-4.22526839143954,-3.62529907947186
"26005dfb7ad2e8cdbb139846af329663",-4.4344334393135,-4.35325533739494,-4.88719439095922,-4.22255184755733,-4.66667100975595,-3.95816157359837,-4.47354174350965,-4.71581670607516,-3.796493526166,-4.20156901131799,-4.63077185198597,-4.25390290913744,-4.30616888079637,-4.20623263995876,-3.27444567602301,-4.544517908922,-4.67650892762202,-4.8008171973792,-4.41268809443149,-4.64469449677564,-4.51691635232461,-3.89303795427325,-4.02265873925044,-4.55290175744233,-4.00799931267776,-4.29018172765436,-3.49514250665233,-4.26809535820673,-4.12913657859187,-4.0096873144515,-3.73858495015506,-4.46064692651122,-4.52384056135319,-4.27089373506221,-4.84376517519433,-3.63027882430974,-4.31319318925343,-4.10714516667143,-3.76593038693065,-3.44822232030702,-3.72516945551914,-3.25241493189227,-3.96379093463352,-4.33417143597255,-4.37556641840039,-3.50117365333871,-3.92380517412641,-3.94355756044532,-1.640257506949,-3.82465192339277,-4.49003987873446,-4.77416127647839,-4.47278099794235,-4.39053810325475,-4.28046712974105,-4.0663217127888,-4.31843162109539,-3.82965200799502,-4.47879529999563,-4.52016109799694
