"ASVID","NWSwk16S001","NWSwk16S009","NWSwk16S017","NWSwk16S025","NWSwk16S033","NWSwk16S041","NWSwk16S049","NWSwk16S057","NWSwk16S065","NWSwk16S073","NWSwk16S081","NWSwk16S089","NWSwk16S097","NWSwk16S105","NWSwk16S113","NWSwk16S121","NWSwk16S129","NWSwk16S137","NWSwk16S145","NWSwk16S153","NWSwk16S161","NWSwk16S169","NWSwk16S177","NWSwk16S185","NWSwk16S193","NWSwk16S201","NWSwk16S209","NWSwk16S217","NWSwk16S225","NWSwk16S233","NWSwk16S241","NWSwk16S249","NWSwk16S257","NWSwk16S265","NWSwk16S273","NWSwk16S281","NWSwk16S289","NWSwk16S297","NWSwk16S305","NWSwk16S313","NWSwk16S321","NWSwk16S329","NWSwk16S337","NWSwk16S345","NWSwk16S353","NWSwk16S361","NWSwk16S369","NWSwk16S377","NWSwk16S385","NWSwk16S393","NWSwk16S401","NWSwk16S409","NWSwk16S417","NWSwk16S425","NWSwk16S433","NWSwk16S441","NWSwk16S449","NWSwk16S457","NWSwk16S465","NWSwk16S473"
"0001d123420b59585627edf5a1292ae8",-13.232587104291,-13.2319802287256,-13.2117422087745,-13.2020914576951,-13.2173266229401,-13.2073533002398,-13.2350883596497,-7.33689040965013,-13.1889734162395,-13.1958002444604,-13.1800376525049,-13.1560387788227,-13.2161824846089,-13.1432501953195,-7.83503540565589,-13.180094358337,-13.1880047732101,-13.2090627122886,-13.238728301436,-13.2395297814572,-6.65012222889055,-13.2004085571614,-13.1944967155458,-13.1929939335438,-7.57418507120337,-13.1897844058808,-7.2730463307609,-13.2363017085675,-13.1008609197635,-13.1789848728973,-13.1979413532565,-6.51591567070576,-6.55673396596827,-7.3817687153381,-6.2204546105776,-13.2116349229116,-13.1947323425089,-13.1756203674744,-13.1859531987363,-7.5651955656886,-13.2068971068392,-13.2233831550518,-6.31790997479637,-13.2408423038146,-7.24652645830995,-13.2399773972169,-7.71028668738344,-7.26390655641973,-13.2195572803483,-13.2265381773169,-13.2536479751725,-13.2250650505467,-13.2223774119251,-13.1979894536392,-8.24275634571448,-13.2120951934354,-7.41004457172584,-7.00620103359743,-7.05222661164499,-7.02096220362986
"0037cbd3eb6eaf9cba6a4c2b7d866d1f",-12.5730766101172,-12.5724697335364,-12.5522316793662,-6.72447612097732,-12.5578161030434,-12.5478427633188,-12.5755778696547,-5.7248448123856,-12.529462847496,-12.5362896876051,-12.5205270680777,-12.4965281515733,-12.5566719627678,-6.89259329579269,-12.4741835752497,-12.5205837740097,-12.5284942027733,-12.5495521782976,-12.5792178175036,-12.5800192988567,-12.585159758307,-12.5408980082852,-12.5349861564268,-12.5334833718114,-12.5014607109965,-12.5302738385538,-6.98513290000348,-12.5767912205958,-12.4413501900714,-12.5194742866131,-12.538430800113,-12.5067377418306,-12.5252868530646,-12.524672951068,-12.5175947040338,-12.5521243933201,-12.5352217837992,-12.5161097752422,-12.5264426247075,-12.5771027331489,-12.5473865691354,-5.39783356467614,-12.5855845173018,-5.39891656510415,-12.5804592835227,-12.5804669153598,-6.01183890635913,-6.69538680083589,-6.20195698086863,-12.5670276729941,-12.5941375158602,-6.27582589465952,-12.5628669005855,-5.67710054290976,-6.12056112044239,-12.5525846646299,-6.68115749279984,-12.5618636560657,-6.38235237636687,-7.54742053703653
"007d0ecc16bbcf32464abb1f4b95d60d",-13.0263796522936,-13.0257727764792,-13.0055347481365,-7.65951436201001,-13.0111191646347,-13.0011458377595,-13.0288809086771,-7.77895566059335,-12.9827659459553,-7.00111550691738,-12.9738301783746,-12.9498312941911,-13.0099750258267,-12.9370427049881,-12.9274867486657,-12.9738868842312,-12.9817973025107,-13.0028552505268,-13.0325208519502,-13.033322332298,-13.0384627853197,-12.9942010917493,-12.9882892476219,-12.986786464979,-12.9547638469078,-12.983576935944,-12.9593629671539,-13.0300942580911,-12.8946534100097,-12.9727773983116,-12.991733886798,-12.9600408706036,-12.9785899570428,-12.9779760558595,-12.9708978182384,-13.0054274622288,-12.9885248746853,-12.9694128914301,-12.979745727156,-13.0304057702523,-13.0006896441669,-13.0171756992614,-13.0388875437847,-13.0346348551897,-5.72764190264799,-6.2043200634946,-6.02868685016696,-7.26390655641973,-13.013349822971,-6.7415785522746,-13.0474405317243,-5.91399428543199,-6.88141130364254,-7.41030388541041,-6.59943151764301,-6.94236672355176,-6.95771359176906,-13.0151667124787,-6.96117240340172,-13.0222625847741
"00d2b2c94bce86bc92a8ec8ac8036e43",-12.8313710120928,-9.42750609160386,-8.28715089841087,-7.75486740783659,-12.8161105171446,-7.76645927000331,-8.74153602330593,-7.67354864952694,-7.19840353619044,-8.43689378413151,-12.7788215125979,-8.16961956172385,-8.47795327807863,-12.74203402049,-7.83503540565589,-7.61534314369688,-7.08409406234391,-8.12702477579116,-6.60768303894963,-12.8383136953768,-12.8434541508121,-8.10974039487792,-7.20807771262711,-12.7917778056335,-7.89277884853738,-8.93388394443155,-12.7643542940968,-12.8350856196478,-12.699644703068,-7.30096785264338,-12.7967252298864,-7.34342622914737,-7.07860780842733,-6.43632841519621,-7.06133436691044,-12.8104188119913,-8.25131609751513,-8.39298958795693,-7.02935325072963,-6.10307779505657,-8.45850419506756,-7.01088603785165,-7.95077655225031,-12.839626218886,-8.52797485978091,-12.8387613115295,-7.16341696935756,-8.15162164696975,-8.30379367905142,-7.62465967543574,-12.8524319014025,-12.8238489516722,-8.30930764249101,-7.8523526810718,-7.83715965000168,-8.46917872631448,-6.95771359176906,-8.01837848031638,-6.48517150609341,-6.81596482360001
"00f22fe0aa7d9b976a6a884f493a1b75",-12.3907543605161,-7.72239577530577,-12.369909415172,-6.65539744940451,-12.3754938427886,-7.23553437734557,-12.3932556217843,-6.10316430226167,-6.15905134241973,-12.3539674120431,-12.3382047810964,-7.07044086125923,-12.3743497017077,-12.3014172304843,-7.71720291523824,-12.3382614870698,-6.62685019080938,-12.3672299122054,-6.39605625804284,-12.3976970540489,-12.4028375170269,-12.3585757360279,-7.26874589698847,-7.14934978196324,-6.41561120616173,-6.50477238175564,-12.3237375398441,-12.3944689735635,-7.20685407478327,-12.3371519988626,-6.33462170683108,-6.08904487544685,-5.7867195403561,-6.12744828741121,-5.99681385040283,-12.36980212905,-12.3528995074693,-8.05642676752298,-12.3441203420329,-7.35743661467857,-6.84821756626594,-6.36343852833588,-12.4032622763123,-12.3990095794876,-12.3981370390176,-12.3981446708599,-12.3842028949341,-6.51281789276063,-12.3777245055488,-6.64301632216332,-7.27555697922595,-12.3832322889108,-12.3805446438748,-7.10470614579205,-7.03816931770407,-12.3702624006854,-6.61437960936907,-7.26423608643054,-12.3790771936425,-7.3396594412431
"011e10f8a25fbb7772784b8ada133bb3",-5.92954884599512,-5.89848620527857,-5.85679805672217,-5.67242079821319,-5.88382116234624,-6.28341307346983,-5.76816072654109,-6.14581706991761,-6.3169885683953,-6.67799505812402,-6.71556294372619,-6.40466159137104,-5.85061868416979,-6.2473172728319,-6.51219099555123,-11.0858009034155,-6.39010819626393,-5.95977930526757,-5.89854643157157,-5.97579555206997,-5.81420908333526,-5.81887805908478,-6.16873866476374,-5.97753172769846,-6.63908186792536,-6.26953663775803,-6.0877019407015,-6.76217124868307,-6.31849105243501,-5.98181997307786,-6.4931052612969,-5.95518949124327,-5.9960522219026,-5.975860986117,-5.87669611618706,-5.73140606384112,-5.79179335197891,-6.21647000037013,-6.36068229504226,-6.46554638759558,-5.98811147420982,-6.02287288030154,-5.80152966679043,-5.74197385164037,-5.71548084933775,-5.83116889945344,-6.17472520529182,-6.10661036350061,-6.43062890722835,-6.01326680779098,-7.45799390510496,-6.00955001465437,-5.98793373094243,-6.13578131787622,-6.39552516060325,-6.06918287718602,-5.88805525158142,-5.9366288014318,-5.9052379860367,-6.52791730601169
"01a6d37cc9b1af453c4ac256abc99dea",-13.6651337999963,-7.34750103356713,-13.6442889177287,-13.6346381728775,-13.6498733283178,-13.639900012019,-13.6676350537837,-13.5955348517597,-6.98691847912317,-6.95455211580264,-13.6125843821474,-8.01542169316525,-13.6487291907178,-13.5757969498037,-7.71720291523824,-13.6126410879419,-13.6205514975919,-13.641609422966,-13.6712749932904,-13.6720764728107,-7.25684597956256,-13.6329552734361,-13.6270434356719,-13.6255406546525,-13.5935180717639,-13.6223311290933,-13.5981171868875,-13.6688484019406,-13.5334077040286,-13.6115316032381,-13.6304880711357,-13.5987950895842,-13.6173441556147,-13.6167302551008,-13.6096520252277,-13.6441816319348,-13.627279062481,-13.6081671000517,-13.6184999244688,-13.6691599137794,-7.50265334992656,-13.655929856573,-13.67764167857,-6.91976289810641,-7.83462980439594,-13.6725240882909,-6.92959830690459,-7.90022485315054,-7.15057761091456,-7.47042761540011,-13.6861946577692,-13.6576117510012,-13.6549241140851,-7.41030388541041,-13.6238170681999,-8.98008828142468,-13.6307315340856,-8.48850560955198,-7.53212934412678,-7.54742053703653
"01f65e98eaa4cd42634275650c5abf71",-12.7670452830613,-12.7664384068512,-12.7462003651752,-12.7365496035802,-12.7517847853795,-12.7418114518708,-12.769546541073,-5.89631537129097,-12.7234315476672,-12.7302583834356,-6.6100677630474,-12.6904968731064,-6.58971812774882,-12.677708274847,-12.6681523116815,-12.7145524798709,-12.7224629035628,-12.7435208657798,-12.7731864867083,-12.7739879675751,-12.7791284239156,-12.7348667012024,-7.20807771262711,-12.7274520694227,-5.63830784298924,-12.7242425382078,-12.7000285527442,-12.7707598912754,-7.54353814215251,-12.7134429931888,-12.7323994945883,-6.98647403369353,-7.53845064859851,-6.08735388180787,-6.39404260882254,-12.746093079196,-12.7291904803069,-12.7100784839897,-12.7204113268085,-12.7710714036389,-12.7413552579733,-12.7578413240024,-12.779553182654,-6.58289535768909,-12.7744279519743,-12.7744355838068,-12.7604938260476,-12.7557026268965,-12.7540154451904,-12.7609963496438,-12.7881061760756,-12.7595232212985,-12.7568355797972,-7.34126779964546,-6.14080777124859,-6.49379586283827,-12.7326429579643,-6.76479178854544,-5.73768829982702,-6.42239432741536
"02026822bbf289288479cd7bd308df0e",-13.0388798424055,-7.22963746964529,-6.85923707782741,-13.008384183954,-13.0236193551671,-13.0136460285702,-13.0413810987206,-7.67354864952694,-12.9952661372863,-13.0020929682282,-12.986330369962,-7.32194412912148,-7.44795938360099,-12.9495428976555,-7.71720291523824,-12.9863870758169,-6.50151045521,-13.0153554412896,-6.83848459113001,-13.0458225222206,-7.43928508430642,-13.0067012827555,-7.20807771262711,-12.9992866561953,-12.96726403905,-7.25933601947165,-7.58338630717778,-13.0425944481015,-6.90120757367984,-7.23638433814232,-13.0042340778739,-6.72383244082121,-12.9910901484933,-12.9904762473276,-12.9833980099104,-13.0179276529197,-13.0010250658522,-8.90390578733097,-12.9922459185734,-13.0429059602543,-13.0131898349904,-6.84366793809873,-13.0513877335566,-7.04771483028986,-13.0462625063232,-13.0462701381505,-13.0323283898557,-13.0275371939877,-13.0258500134415,-13.0328309131085,-13.0599407212662,-6.92731277819767,-13.0286701461106,-6.91347800334896,-7.14361760270412,-7.37014667522573,-7.21575887522189,-7.26423608643054,-7.32436637250056,-6.89300705663323
"020a94d69ebfddc17d8e0b45d9d140ee",-12.7912987633588,-12.7906918871903,-6.01628330817528,-12.7608030859948,-12.7760382667284,-12.7660649339156,-12.7938000211998,-6.41962259266858,-12.7476850310126,-12.7545118662951,-12.7387492579618,-6.91614852834016,-12.7748941272422,-12.7019617615336,-12.6924057990859,-12.7388059638532,-12.7467163869773,-12.7677743477048,-12.7974399665873,-12.7982414473996,-12.803381903392,-12.7591201837358,-12.7532083360359,-12.7517055524815,-7.19925816780969,-12.7484960214953,-12.7242820377806,-6.91075078796194,-12.6595724389323,-7.70665789720795,-7.10470614579205,-7.78548996565121,-12.7435090395498,-5.9078601763672,-6.39404260882254,-12.7703465609412,-6.19114345497326,-7.51720377135321,-6.93395451657501,-7.08530355702343,-12.76560874005,-12.7820948049321,-6.12080749292273,-12.7995539710513,-12.798681431769,-12.798689063601,-7.46900238864964,-12.779956107974,-12.7782689263846,-7.47042761540011,-6.79820977324592,-12.7837767021123,-12.7810890607963,-12.7567010777283,-12.7499819631166,-12.7708068319319,-6.09621429936473,-12.7800858169653,-6.12513743915495,-12.7871816934324
