"SampleID","Week","SoilTemperature","SoilMoisture","SoilMoisturePercentage","pH","TC","TN","NO3","NH4","AvailableP","CNR"
"NWSwk16S001",1,22.1625,17.1,9.090909091,6.55,0.69055,0.09232,3.0525,2.809,16.6535,7.479961005
"NWSwk16S009",2,21.1,18.6,8.064516129,6.59,0.84193,0.14007,4.516,227.4,20.609,6.010780324
"NWSwk16S017",3,13.8375,29.36666667,23.03664921,6.96,1.0238,0.11947,2.5085,67.3,23.272,8.56951536
"NWSwk16S025",4,17.38333333,26.45833333,18.71345029,6.86,0.79561,0.11004,2.972,58.95,13.073,7.230189022
"NWSwk16S033",5,19.61666667,24.42083333,18.03278689,6.76,0.79023,0.09989,2.668,3.2375,15.854,7.911002102
"NWSwk16S041",6,17.74166667,19.3375,12.92134831,6.85,0.72756,0.10259,2.58,2.718,18.06,7.09191929
"NWSwk16S049",7,15.99166667,28.09166667,19.42857143,6.63,0.72293,0.0866,1.9395,3.0475,11.656,8.347921478
"NWSwk16S057",8,12.525,20.32916667,18.08510638,6.43,0.99535,0.11052,2.7535,3.5515,11.977,9.006062251
"NWSwk16S065",9,14.6125,19.42083333,16.11111111,6.62,0.85747,0.10056,2.9545,2.98,16.795,8.526949085
"NWSwk16S073",10,10.95,22.76666667,18.93491124,6.65,0.74859,0.09504,3.429,4.565,17.752,7.876578283
"NWSwk16S081",11,13.80833333,18.9,15.76086957,6.51,0.81324,0.09273,3.4215,3.8575,18.371,8.769977354
"NWSwk16S089",12,13.09166667,14.63333333,14.79591837,6.65,0.82521,0.10452,3.771,3.653,14.8545,7.895235362
"NWSwk16S097",13,11.54166667,24.92916667,19.79166667,6.87,0.78747,0.09356,2.3135,2.7755,13.714,8.416737922
"NWSwk16S105",14,10.65416667,21.12083333,17.87709497,7.16,0.814,0.09754,2.406,2.5445,14.286,8.345294238
"NWSwk16S113",15,11.8625,16.86666667,15.42857143,7.11,0.85629,0.10306,2.6115,3.355,15.304,8.308655152
"NWSwk16S121",16,11.58333333,25.5625,20.46783626,7.25,1.5087,0.16144,2.4015,3.693,17.954,9.345267592
"NWSwk16S129",17,12.80833333,20.09166667,16.21621622,7.05,0.93194,0.10003,1.089,2.905,147.183,9.316605018
