"ASVID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"99fee0a19b008f861969600865c985de",256,81,364,516,884,1335,1569,2111,1535,576,137,304,320,414,420,371,138,243,242,301,316,279,251,286,268,379,437,608,719,630,895,671,530,602,554,1550,1209,948,2415,3645,3694,5264,4686,6189,7540,5319,5494,2762,6729,1590,1154,704
"c834e02be94ea60ec2900976677cc474",1426,317,1672,3520,4598,2804,2990,2648,1280,602,411,431,325,436,407,537,334,846,510,430,536,533,532,643,851,1136,989,1556,1257,1052,1621,1712,1286,727,655,2153,1270,1747,4140,3411,4469,4004,2641,1738,758,494,558,533,567,1527,1182,2425
"dfcfd742612d616e7c1097c359c7e63b",1828,528,990,1757,1435,1476,1025,728,1319,1451,1520,1508,1511,910,328,958,231,727,1394,1400,1171,1410,1604,811,2019,1480,2298,1658,2009,2684,2083,1759,2001,3185,2434,1682,1234,1391,2495,2574,2176,791,658,296,106,21,0,0,38,0,0,0
"123e950130b49f3692b2898d9a43ef9c",104,27,66,100,101,122,184,280,263,411,647,622,831,1558,1486,1836,988,2125,2478,2825,2174,2324,2094,2190,2697,2744,2159,2530,2408,2449,2603,2557,3015,3117,1680,1454,365,243,283,262,471,753,1038,1012,663,481,395,303,497,583,690,778
"091126efa2a5f6896c1a128c49160228",498,143,329,321,207,340,348,557,560,746,885,1084,1312,966,961,600,214,314,338,522,557,466,552,537,1035,1396,1236,1480,1299,1585,1330,1342,1474,1653,1331,1416,754,645,739,722,629,338,259,190,157,130,63,66,167,21,120,151
"1c7d2ad94334dd47c5d0181ab8aea2b9",364,119,2193,300,1199,762,476,265,585,572,227,592,514,251,376,280,236,216,403,398,379,357,259,217,146,254,239,170,151,398,144,163,179,174,1910,297,3263,193,405,285,1140,855,478,250,266,868,744,395,487,113,346,514
"b7cc218ca1bf93e7cf985ec718297e8f",190,51,125,204,333,399,758,1495,2327,3109,2264,1404,1244,1282,588,1087,281,1254,969,1125,1169,191,69,24,47,103,207,211,108,72,111,120,70,27,28,88,66,34,72,90,42,10,27,49,74,116,90,67,99,47,15,23
"2f23ae1dded4bbb8bd07cfc7f6427336",397,78,142,149,426,376,265,338,439,450,292,271,213,598,836,730,384,716,391,349,563,439,294,351,332,253,294,323,399,546,609,772,546,625,427,642,261,240,494,769,529,480,429,578,706,379,174,301,607,223,524,585
"c810fd2451d1d96abe0584945a56bf8f",307,95,251,355,295,280,271,362,246,292,291,255,221,236,200,329,150,510,579,581,385,410,441,286,464,482,325,351,384,265,365,408,544,535,416,527,241,257,429,317,329,345,383,335,322,482,661,829,370,1153,921,1232
"feb89dc9caf19ef8293e6bb151ee1866",184,71,235,427,344,302,324,352,268,318,447,431,267,254,296,350,169,543,673,787,543,771,902,735,906,655,632,589,530,507,379,315,256,233,138,112,41,61,73,60,79,63,90,66,110,229,317,507,145,1528,1184,806
