"ASVID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"008a4f0fdbff8e989b828d5cb2751cb9",-13.3532683400023,-13.0993459691109,-13.3563294056539,-13.3640310718196,-13.3660273918444,-13.3700913408846,-13.3692962830372,-13.3709720539538,-13.369741126336,-13.3697339078106,-13.3677192563711,-13.3660150461047,-13.3648809248723,-13.36529517259,-13.3699098555548,-13.3696895524735,-13.2443486992019,-13.3666612894835,-13.3675869891576,-13.3699617408677,-13.3696965084991,-13.3670544480781,-13.3627798811958,-13.3645231339131,-13.3681668315396,-13.3695830836796,-13.3653014742981,-13.3682958187783,-13.3698392369885,-13.3641396429024,-13.3701822580768,-13.3713181116677,-13.3656840053346,-13.3676362045143,-13.3549941273377,-13.3690865519532,-13.3687076415891,-6.38972427149488,-5.88694347230273,-6.0414123421225,-6.8207866818261,-7.16678064218411,-8.55294636112206,-8.26738477139254,-9.65598726971718,-8.26513562993738,-8.04269949689764,-13.3677608437747,-13.3720599471126,-13.3655992294095,-13.3524882197488,-13.369342259204
"0093efa2968345efef497cc1f61f701a",-14.3340985852822,-14.0801765012272,-14.337159647901,-14.3448613064772,-14.3468576245443,-14.3509215696112,-14.3501265125398,-14.3518022818214,-14.3505713554043,-14.3505641368859,-14.3485494874149,-6.86654258314806,-8.25120737704622,-14.3461254060075,-14.3507400844585,-9.64749792681684,-14.2251790586647,-7.33843318956171,-8.54461378699223,-14.3507919697207,-6.5550982265221,-14.3478846797723,-14.3436101170824,-9.63658801926688,-14.3489970621457,-14.3504133129022,-14.3461317077094,-14.3491260492584,-14.3506694659611,-14.3449698774534,-14.3510124867147,-14.3521483391981,-14.346514238371,-14.3484664356393,-14.3358243709066,-14.3499167816607,-14.3495378716667,-14.3505377549914,-14.3515699261785,-14.3531684364394,-14.3531596132421,-14.3516870166798,-14.3515675250207,-14.3525242102836,-14.3538260211586,-14.3514642684304,-14.3512400531442,-14.3485910747779,-14.3528901739203,-14.3464294625289,-14.333318465803,-14.3501724886618
"0117e9c502bd1cee660d22cb0e8b4a3c",-5.18994025735079,-6.68801502079963,-5.57375371258288,-5.52152648948287,-5.37332031032855,-4.81289954671658,-4.44848370527933,-3.99082107634214,-4.30190844105957,-5.00687418467585,-8.25699657589932,-6.2709884318583,-5.76342622341704,-4.06469437871404,-4.14799675962255,-4.51268933319393,-5.7995975774705,-5.33278407380853,-5.48037847276102,-5.67474869180056,-5.3802867111054,-5.72691289204506,-6.298817935714,-8.02688889087099,-8.03456622200892,-7.56753955587296,-7.07235665406881,-7.07886031903241,-6.65157187358973,-7.33269616359096,-6.55716567783353,-6.43139549209743,-5.64753867510879,-5.16166422320933,-5.12322802111894,-4.59414185494661,-5.71165986313333,-6.60362115027287,-7.85876944691468,-7.86256134708463,-10.348669919357,-10.3471972764456,-10.3470777810225,-10.3480344964079,-7.86390754428142,-7.08590146436561,-7.34923082461333,-10.3441012368778,-7.25565547352824,-7.84938881852809,-5.2262841636482,-4.98848706087325
"0120eae8d0288b26275c226dadf50e68",-14.1004835774268,-13.8465614480819,-14.1035446405245,-14.1112463002991,-14.1132426186753,-14.1173065643695,-9.64743333776466,-8.95776800997116,-8.95480275285097,-7.56831469963634,-7.07775767582032,-7.44236253141293,-7.33452515358413,-8.94526744238526,-8.95519002452689,-14.1169047762885,-13.9915640327805,-7.56170674607631,-8.03365842788615,-8.54966038155374,-14.1169117323084,-14.1142696740621,-14.1099951107102,-8.5378451311471,-14.1153820566073,-14.1167983075822,-14.1125167017281,-14.1155110437398,-14.1170544606806,-14.1113548712921,-14.117397481487,-14.1185333341453,-14.1128992324488,-8.54591021551373,-14.1022093633214,-14.1163017762641,-14.1159228662117,-14.1169227496906,-9.65085082182715,-14.1195534315435,-14.1195446083448,-14.118072011556,-14.1179525198785,-14.1189092052886,-14.1202110163638,-14.1178492632723,-14.1176250479516,-14.1149760691767,-14.1192751689816,-14.1128144565936,-14.0997034578254,-14.1165574833047
"01923d322482dd6c7151c3df36abc1a5",-11.2721722782182,-11.0182466886748,-11.2752333779009,-8.94311430809178,-8.03086503925063,-7.70294318507523,-6.65047307892144,-6.94202787292423,-7.34484824477061,-6.81396159577419,-7.4457420108105,-6.86654258314806,-6.26857368113362,-6.10996627868893,-6.70280056640744,-7.34433138211535,-7.77628331865671,-8.54286093816481,-8.54461378699223,-9.64840173578733,-11.2886006281388,-8.94891067066847,-11.2816839248151,-11.2834271967421,-11.287070934412,-11.288487202077,-11.2842055456931,-11.2871999230656,-11.2887433581915,-11.2830437015084,-11.2890863830357,-11.2902222490545,-11.2845880809371,-11.2865403015643,-11.2738980847527,-11.2879906649101,-7.24818073030422,-11.2886116456507,-11.2896438291442,-11.2912423584388,-8.96181490805892,-8.95918307420677,-7.08596583306957,-5.88997250822808,-5.12835391543976,-4.18554956570117,-3.62473689417734,-5.46786538020356,-4.85903690994514,-7.07574383813059,-8.00389785374932,-7.56928278516162
"022401fcfd824c74a2ffd3ff41c78189",-14.4853296385655,-5.68255883820457,-14.4883907009289,-14.496092358866,-14.4980886767682,-14.5021526215005,-14.5013575644945,-14.5030333336384,-14.5018024073225,-14.5017951888047,-14.4997805394993,-14.4980763310416,-14.4969422110146,-14.4973564582919,-14.5019711363627,-14.5017508335145,-6.44010676900144,-14.4987225737342,-14.4996482724261,-14.5020230216207,-14.5017577895328,-14.4991157319116,-14.4948411695747,-14.496584420436,-14.5002281141933,-14.5016443648333,-14.4973627599933,-14.5003571012954,-14.5019005178712,-14.4962009298333,-14.5022435385966,-14.5033793909867,-14.4977452906232,-14.4996974877306,-14.4870554240458,-14.5011478336326,-14.5007689236699,-14.5017688069123,-14.5028009780146,-14.5043994881443,-14.5043906649478,-14.5029180685063,-14.5027985768569,-14.5037552620414,-14.5050570728097,-14.5026953202752,-14.5024711050074,-14.4998221268589,-14.5041212256481,-14.4976605147882,-14.4845495191515,-14.5014035406127
"022edc60492d19d4c19eeecbef2f4006",-13.8998127148459,-13.6458905371917,-13.9028737784543,-13.9105754395071,-13.912571758213,-13.9166357045765,-13.9158406472518,-13.917516417067,-13.9162854902581,-13.9162782717374,-13.914263621624,-13.9125594124815,-13.9114252919981,-13.9118395394421,-13.916454219366,-13.9162339164295,-13.7908931509687,-13.9132056554339,-13.9141313544977,-13.9165061046447,-13.9162408724505,-13.9135988137692,-13.9093242497112,-13.9110675012753,-13.9147111964977,-13.9161274477057,-13.911845841146,-13.9148401836515,-13.9163836008461,-13.9106840105181,-13.9167266217089,-13.9178624745537,-13.9122283719299,-13.914180569822,-13.9015385010286,-13.9156309163059,-13.9152520061912,-13.9162518898344,-8.95763926841965,-13.9188825721193,-13.9188737489192,-13.9174011518887,-13.9172816601915,-13.9182383457587,-13.9195401570473,-7.34845882251632,-7.34923082461333,-6.87284028291064,-8.04449794301151,-6.59565039880922,-6.72209482092267,-7.85709386490249
"028cb7dec44769395943fa5e62a0f12a",-6.02841238007964,-7.70040837039811,-6.91154807722083,-5.92013881724887,-5.26602952741479,-4.78114086925533,-4.37752432698037,-4.48072709025127,-5.10945835807516,-6.38849676221518,-8.25699657589932,-7.07437731766416,-6.16993756192209,-6.54606779321986,-7.56850839173108,-8.26100978602383,-11.3564719966225,-8.25511388634396,-11.4797114371457,-8.95519002452689,-8.26100978602383,-7.56222659793024,-7.43504462877879,-6.37685776090163,-7.34109492385628,-7.08170858610558,-8.02838995168474,-8.9513753236219,-11.4819637047126,-11.476264060596,-11.4823067288028,-11.4834425923267,-11.4778084366127,-11.4797606529342,-11.4671184641547,-11.4812110130867,-11.4808320994029,-11.4818319924614,-11.4828641736865,-11.4844626994727,-11.4844538761898,-11.4829812653259,-11.4828617725054,-11.483818467063,-11.4851202905715,-11.4827585149114,-11.4825342974453,-11.4798852932879,-11.4841844342529,-11.4777236599424,-7.31041645975757,-5.98316093658942
"02b4cbe5c2955ab2f66dc82cdf6dad64",-4.81043586804061,-5.34472373936219,-5.06039407839185,-4.89272067083524,-4.43589646804339,-5.13256114060047,-5.10887373367967,-4.8227499007329,-4.29702372886547,-4.89589111469638,-5.33467535816267,-4.65396035015752,-4.36240533808655,-4.42260684172414,-3.51204393504446,-4.63394677060289,-4.93633424146358,-5.57745006600193,-6.17560736107246,-7.08267773494577,-6.5550982265221,-6.86855956551636,-7.23424276857354,-6.63961436173719,-7.00436331750206,-10.4810139811315,-7.55819065963062,-10.4797266820927,-10.4812701412281,-8.24937910360192,-10.4816131714034,-10.4827490550619,-10.4771147992503,-10.4790670503192,-10.4664246353149,-10.4805174362426,-10.4801385158296,-10.4811384266399,-10.4821706261714,-10.4837691802711,-10.4837603568321,-10.4822877198862,-10.4821682249476,-10.483124936456,-7.45825023320633,-10.4820649655232,-10.4818407440817,-6.38668505029938,-10.4834909101258,-7.07574383813059,-6.72209482092267,-7.70287868351105
"041323e511ac47609f702b91685cca22",-14.5270023558559,-14.2730803019942,-14.5300634181555,-14.5377650759328,-14.5397613937938,-14.5438253384425,-14.5430302814528,-14.5447060505622,-14.5434751242716,-14.5434679057539,-8.95027346655738,-14.5397490480675,-8.94448502075051,-9.63847979712322,-8.54966038155374,-14.5434235504647,-14.4180828412576,-8.54286093816481,-14.5413209894195,-8.95519002452689,-8.26100978602383,-8.03242510196954,-9.6327936931132,-8.94337554111312,-8.95105137402562,-7.56753955587296,-8.94487630809084,-8.5458454339894,-14.5435732348183,-8.53712652912369,-8.95635094049087,-14.5450521079034,-14.5394180076559,-14.541370204723,-14.5287281413002,-14.5428205505952,-14.5424416406402,-14.5434415238621,-14.5444736949432,-14.5460722050402,-14.5460633818438,-14.5445907854325,-14.5444712937856,-14.5454279789504,-14.546729789692,-14.5443680372059,-14.5441438219428,-14.5414948438488,-14.5457939425496,-14.5393332318226,-14.5262222364582,-8.95596411823087
