"ID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"008a4f0fdbff8e989b828d5cb2751cb9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,37,17,12,3,4,1,4,5,0,0,0,0,0
"0093efa2968345efef497cc1f61f701a",0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,1,0,10,3,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0117e9c502bd1cee660d22cb0e8b4a3c",83,11,57,61,71,125,179,282,207,103,4,29,48,259,241,168,36,74,64,53,71,50,28,5,5,8,13,13,20,10,22,25,54,88,89,155,51,21,6,6,0,0,0,0,6,13,10,0,11,6,80,105
"0120eae8d0288b26275c226dadf50e68",0,0,0,0,0,0,1,2,2,8,13,9,10,2,2,0,0,8,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"01923d322482dd6c7151c3df36abc1a5",0,0,0,2,5,7,20,15,10,17,9,16,29,34,19,10,5,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,2,13,43,92,233,404,65,120,13,5,8
"022401fcfd824c74a2ffd3ff41c78189",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"022edc60492d19d4c19eeecbef2f4006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,10,16,5,21,18,6
"028cb7dec44769395943fa5e62a0f12a",36,4,15,41,79,129,192,174,93,26,4,13,32,22,8,4,0,4,0,2,4,8,9,26,10,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39
"02b4cbe5c2955ab2f66dc82cdf6dad64",121,42,95,114,180,91,93,124,208,115,74,145,193,182,449,149,85,58,32,13,22,16,11,20,14,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,26,0,13,18,7
"041323e511ac47609f702b91685cca22",0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,3,0,2,4,5,1,2,2,8,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"048d2fe48e627d31cf210062b56fb6c4",40,12,15,48,21,18,16,11,9,10,9,5,6,4,2,6,3,0,15,3,7,9,7,8,13,9,9,0,9,3,8,15,12,21,11,23,14,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"04b4ed8ceabf387ba2caa3e54509965d",195,59,130,154,139,182,167,164,135,157,22,61,295,687,782,716,267,322,213,119,114,117,80,125,111,119,113,117,148,131,129,113,88,86,70,122,104,130,124,75,90,78,66,63,71,59,95,0,56,61,253,240
"04cc63effc9cdb8b6bc046f9d53c374f",0,0,0,0,0,0,0,0,0,0,5,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
