"ASVID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"99fee0a19b008f861969600865c985de",-4.01351240159843,-4.01129335236094,-3.48637426287035,-3.3763503331071,-2.99886588679409,-2.8110050597125,-2.55338793835956,-2.40348431439506,-2.34226612506011,-3.56835173346572,-4.83092667281235,-3.94304672591008,-4.20518454364455,-3.88114169162668,-3.97410063588804,-4.08284277206785,-4.30280083578691,-4.0923319562782,-4.14478680011935,-4.00634849960446,-4.08079755701596,-3.87787911311355,-4.20328135254495,-4.1304094971429,-4.16587274102505,-3.91939905031908,-3.65016494193325,-3.41514646203969,-3.25326332953509,-3.50937161466004,-3.13393836041355,-3.4423782861255,-3.44905964375146,-3.46645758951593,-3.15088336272302,-2.65077907554836,-2.47919561199249,-2.60227864911326,-1.99361429745142,-1.59626794883257,-1.62968546424787,-1.27119653160002,-1.27575248672007,-0.846087043610726,-0.585450042475177,-0.925832490487041,-0.918153371882375,-1.59802601976275,-0.574434584353071,-2.34005602442354,-2.6675109474301,-3.29268090198071
"c834e02be94ea60ec2900976677cc474",-2.45433981355229,-2.10951502936377,-1.80870240026329,-1.49115189830885,-1.29301623602811,-1.52498218953571,-1.77339291615805,-1.72680678366129,-2.45410607336815,-3.36034367684715,-3.68034108144408,-3.71679662056297,-4.07606013671285,-3.93001960008605,-3.64334617565171,-3.61060359549564,-3.23473789313601,-3.1225663820608,-3.41965840218323,-3.54871670282817,-3.7149782070813,-3.67764997216239,-3.48900752630993,-3.23659033280052,-3.10819916091091,-2.55227783668464,-2.73073134837671,-2.50028487247542,-2.76209842162196,-2.83991677198724,-2.55089386333185,-2.49794760731047,-3.06980299952492,-3.14786983271248,-3.09646905696761,-2.35965278700336,-1.79608179766161,-1.8585347561832,-1.77272276959731,-1.65580921625331,-1.08717337931012,-1.51535147334949,-1.99873800730419,-2.52623742071201,-3.04881493246011,-3.42945048668018,-3.71925055199024,-3.64186237306647,-3.46311466931985,-2.49696257628546,-2.16493942824141,-2.41033208561387
"dfcfd742612d616e7c1097c359c7e63b",-2.13984076058762,-2.54055865744385,-2.42732539018984,-2.55736997489594,-2.53976876161783,-2.913592129703,-2.84934189748534,-3.13378293327219,-3.56437507757721,-2.59413550037936,-2.9951573956997,-2.65331157259824,-2.77407707330736,-2.90784878537721,-3.25326379489924,-2.98948275397487,-2.72455059003822,-3.37579868389016,-2.58863793198873,-2.73026419557309,-3.34251469746848,-2.42602014208178,-2.40195001732986,-2.24676523061948,-2.21299944696194,-2.5514760997578,-2.24404859054147,-2.22835922411772,-1.86384482066163,-1.70762743103101,-1.90086201834864,-1.89921622195649,-1.77074366376954,-1.89855738631204,-1.74861670177645,-2.1217338444128,-2.52706108954203,-1.89510403991651,-1.82162743316528,-2.20953303586785,-2.61534455991772,-3.39549006898286,-3.44192413355174,-4.33714760764682,-5.50700397689082,-6.90324512350425,-7.6031149144857,-7.54753823700305,-6.08136902187315,-7.57723976226439,-7.6155734567198,-7.62387001872761
"123e950130b49f3692b2898d9a43ef9c",-5.40030682194628,-5.16542716773173,-5.1583296705371,-5.30042625239539,-5.25589549554791,-5.13802038587208,-4.92299341535186,-4.42631879168579,-4.18209971016458,-3.82265693817385,-3.10223796657917,-3.14629100225132,-2.91606947274234,-2.6564091301102,-2.36312466512724,-2.20188129538841,-2.09962435819784,-1.97537632450794,-1.87020939716481,-1.87810391453212,-1.97283180662158,-1.89968511318208,-1.93219866199262,-2.02087355125501,-1.82767411225868,-1.77151649342037,-2.01678175204241,-1.93609307833305,-2.03009117443658,-1.92781505334848,-1.87343872100133,-2.09807369814596,-1.82299779394772,-1.70350845924712,-2.06860212106478,-2.76779724497729,-3.44808096756101,-4.11726397396407,-4.38500297022039,-4.48048840864055,-3.82608057562742,-3.33776182507936,-3.07471341000257,-2.84544775257512,-3.29317728996857,-3.54968621227342,-3.93108142686391,-4.15769416394724,-3.61994102365376,-3.38998612103594,-3.43687730397192,-3.36755428802725
"091126efa2a5f6896c1a128c49160228",-3.51151576568077,-3.3878103008797,-3.63060086852378,-3.9018882564568,-4.46206934234742,-4.32256881783075,-4.01215033965182,-3.7070115259941,-3.50585413214742,-3.18488562463965,-3.06420417602682,-2.89938833010894,-2.42696726047003,-2.9851109559688,-3.0773664743113,-3.59676206866239,-3.62139214512734,-4.06054910571388,-3.92906792318336,-3.65508239018716,-4.09016919081162,-3.71475154393953,-3.64751031602622,-3.39000560070403,-2.80931992711944,-2.6501148423431,-2.71962228257553,-2.54202116391515,-2.5602817026909,-2.47889507099001,-2.65872798052225,-2.68970588495325,-2.39980377744727,-2.42479728651633,-2.3020674202092,-2.3764071466326,-2.71049542003898,-2.81168771425604,-3.2053707020557,-3.56683979907823,-4.01117283889616,-4.22742412678986,-4.33227738083171,-4.63055262603003,-5.14386609509956,-4.88928246145395,-5.55337852083055,-5.79107693123314,-4.62561548682824,-7.50351011353343,-5.67879628663847,-4.70786794176827
"b7cc218ca1bf93e7cf985ec718297e8f",-4.72884227980011,-4.71017349499808,-4.50973754970669,-4.61925137009724,-4.09131915696208,-3.94805010309262,-3.33645313576488,-2.42967195186549,-1.99890003941619,-1.68913778485678,-2.00489787834358,-2.35253312859099,-2.5350109433615,-2.85150692176708,-2.97519191422178,-2.74353137652637,-2.72549063849237,-2.69703461823606,-2.83700492669932,-2.86265856532369,-3.16401463769675,-4.64322974781244,-5.70909000220694,-5.98066172532808,-6.2088694415613,-5.18070258596674,-4.56397031351792,-4.75735464836181,-5.31790449982334,-5.52792645762689,-5.51028761726412,-5.03600310083059,-5.94115116460678,-6.68396151632634,-6.63830597479142,-5.58447229948966,-4.97372302554441,-6.05338484777737,-5.82799640064288,-5.24523835740025,-6.1608032540756,-7.02992633400312,-6.72438702074114,-6.43530159197104,-5.82361835995815,-4.95128961598731,-5.45030543086153,-5.64750602471291,-5.2546746458168,-5.81468317068964,-6.70762610353822,-7.19543735143392
"2f23ae1dded4bbb8bd07cfc7f6427336",-4.24191147951993,-4.32237291858829,-4.9797569224188,-4.75320079383279,-3.80929199430934,-3.86925066897993,-4.00390600929535,-4.15602947160682,-3.70664334472027,-3.60934533801601,-4.17216538340866,-4.21364097781925,-4.0892663303243,-3.50420695788853,-3.1764894335353,-3.00412032144465,-3.37784570076125,-3.36121743790902,-3.9262076404201,-3.88596490402009,-3.53994039539173,-4.05488373449871,-4.37699061067917,-3.95936581350019,-4.14387141642003,-4.42517319801657,-3.9146425223157,-3.92998231423004,-3.65321927371505,-3.2363738878314,-3.62874149270527,-3.35052127599964,-3.56160670077959,-3.41173116870941,-3.3908173169671,-3.25291139715367,-4.03146571805284,-3.97043816583757,-3.77849161280362,-3.28748014351202,-3.59920153147734,-3.72488353700397,-3.70951450039193,-3.70253336755338,-3.27813209484174,-3.7578397252325,-4.43340603646519,-4.04788955341295,-3.518530142029,-3.926336037939,-4.21272104673674,-3.32052171344392
"c810fd2451d1d96abe0584945a56bf8f",-3.98097394731489,-4.00139181653886,-3.79514864770798,-3.85738376873639,-4.23056796731497,-4.49580164893273,-4.41543411270237,-4.23959198187393,-4.40174031114498,-4.18691026162526,-3.96472706891871,-4.06298178336541,-4.46139785425017,-4.34824480763169,-4.2895142614939,-3.98158024873228,-3.92713299154613,-3.52057892392869,-3.41086798440922,-3.62847933957417,-4.04413746547412,-3.80336280276311,-3.67120073794514,-3.91087480551524,-3.70634236510323,-3.83293584783937,-3.80622559390842,-4.06516371168136,-4.1307364191749,-4.22298748250215,-4.09931187944579,-3.82226582462233,-3.55207439047348,-3.54960710564272,-3.51938437612024,-3.67252088922031,-4.0111064355991,-3.96518601610195,-3.8737172224358,-4.12745059058132,-4.15688253708911,-4.26419116475694,-3.97104446520798,-4.20220992534897,-4.19250670770574,-3.54763483941802,-3.60600153444141,-3.05283657337569,-3.94800642213164,-2.72856313283185,-2.78562671657791,-2.77924387790943
"feb89dc9caf19ef8293e6bb151ee1866",-4.27970883640158,-4.1494520905749,-3.83729945923221,-3.70087811957302,-4.08183109381542,-4.20439406736606,-4.22593008293214,-4.13464260998241,-4.37753823038415,-4.15955768964872,-3.97293298370429,-3.81735241952869,-4.5304792933865,-4.00793505103457,-4.06684159402281,-4.10178805493476,-3.85520330847031,-3.67739729521992,-3.34632186022663,-3.20828256129682,-3.53994039539173,-3.09822701166425,-2.89595476574133,-3.1420619231656,-2.88017655621114,-3.36540610065577,-3.39382377206922,-3.3401158125374,-3.51461441009391,-3.71149181194416,-3.87700521232549,-4.09131884130556,-4.30536863641871,-4.61099077688655,-4.61755309339776,-5.02016994144974,-4.89908280819051,-5.45464865267805,-5.57224908469435,-5.8594498608455,-5.98519493409439,-5.68138744890108,-5.33448238030064,-5.29482069427104,-5.41667371453201,-4.51588819186025,-4.03564813529756,-3.50104271663187,-5.00186680427631,-2.41740276726464,-2.56347213109524,-3.07106352682858
"767f3283ab767c0a7adbf5a18db0742a",-3.77790233759506,-4.07630080387532,-4.25527492903474,-4.13687737316278,-4.8850824252851,-4.31500672268492,-3.75012048475221,-3.8280187165504,-3.72559343723557,-3.16630579874003,-3.35429334324344,-2.93387969854072,-2.84749889149206,-2.68768340727287,-2.84712699607537,-3.07190361910873,-3.35263191134829,-3.95924674907843,-3.73136672795325,-3.7169683653944,-4.05318148771528,-3.61571246169403,-3.62205175206796,-3.78996506868968,-3.83280890173591,-3.87527119968517,-3.66982815740146,-3.63078063461685,-3.78041284298152,-3.5208133457618,-3.65472281991768,-3.5836721129988,-3.61865551020757,-3.66212758698503,-3.90093271107925,-4.02827400391715,-3.67026760691934,-3.763405512456,-3.72566918510625,-3.91930238243105,-4.58682516253776,-4.69313410062265,-4.89482236619197,-5.18700698208398,-5.48365162198393,-5.98544647478242,-8.77461091028174,-8.71905389876169,-5.49695530077414,-6.47289814043952,-5.17171174227647,-4.47234650747662
