"ASVID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"99fee0a19b008f861969600865c985de",308,307,535,599,924,1157,1499,1768,1796,537,159,351,273,171,356,325,246,315,288,351,109,370,254,295,274,362,474,598,694,543,839,624,599,606,785,1357,439,1442,2532,3791,3657,4707,4730,6375,7522,5090,5471,2873,6794,1595,1277,717
"c834e02be94ea60ec2900976677cc474",1373,1867,2536,3331,4191,3645,3013,3220,1621,657,494,438,310,163,492,516,698,809,585,549,156,450,511,705,767,1344,1145,1425,1108,1032,1455,1530,863,824,827,1776,808,2819,3067,3607,5627,3871,2586,1572,952,563,454,436,573,1381,2025,1649
"dfcfd742612d616e7c1097c359c7e63b",1827,1261,1461,1304,1423,1050,1136,890,564,1361,957,1214,1091,438,718,939,1134,634,1290,1202,224,1482,1432,1783,1768,1345,1794,1827,2504,2869,2614,2621,2829,2607,2834,2202,420,2731,2941,2225,1521,697,672,274,85,18,0,0,43,0,0,0
"123e950130b49f3692b2898d9a43ef9c",78,98,103,90,101,119,150,252,308,419,864,761,954,555,1660,1952,2011,2336,2465,2604,801,2375,2182,2182,2484,2703,2198,2369,2165,2374,2677,2200,2705,3082,2145,1216,175,335,260,252,476,737,957,1166,753,501,369,263,492,592,613,667
"091126efa2a5f6896c1a128c49160228",503,564,465,359,222,267,369,511,597,778,896,963,1507,407,850,523,480,325,356,495,108,434,438,608,1019,1227,1157,1371,1338,1446,1316,1280,1618,1627,1739,1749,354,1185,823,618,397,309,281,205,122,134,74,52,183,10,67,179
"b7cc218ca1bf93e7cf985ec718297e8f",152,154,196,177,320,386,713,1726,2444,3052,2384,1603,1364,462,937,1185,1133,1211,1022,1061,266,174,57,47,36,104,193,160,91,74,81,130,51,25,25,77,39,49,62,118,47,19,26,34,62,126,82,60,98,54,24,15
"2f23ae1dded4bbb8bd07cfc7f6427336",246,226,123,155,422,417,372,329,491,516,305,269,306,247,773,926,608,643,357,395,185,311,214,349,280,220,366,362,471,707,520,682,537,639,623,766,99,387,472,810,594,506,518,511,764,409,225,293,543,351,287,698
"c810fd2451d1d96abe0584945a56bf8f",318,310,396,375,279,225,248,303,248,293,374,312,212,108,261,359,356,551,590,508,113,398,428,366,430,394,407,317,295,270,328,431,542,559,550,510,101,389,430,357,344,298,401,313,313,502,507,770,357,1113,1143,1170
"feb89dc9caf19ef8293e6bb151ee1866",237,268,380,437,323,300,299,336,254,301,371,397,198,151,325,319,382,473,628,763,185,788,903,772,953,621,608,643,539,446,408,331,259,197,187,135,42,89,80,64,56,73,104,106,93,194,333,500,126,1486,1407,887
"767f3283ab767c0a7adbf5a18db0742a",388,288,252,285,146,269,477,454,482,792,678,932,1018,539,1058,868,623,359,432,466,112,478,449,412,380,378,465,485,416,537,507,544,508,501,379,360,141,474,497,438,225,195,161,118,87,45,0,0,77,28,111,226
"1c7d2ad94334dd47c5d0181ab8aea2b9",370,279,236,274,1475,756,431,240,634,506,341,818,492,95,413,203,347,298,405,361,145,331,285,263,151,274,335,185,118,188,134,199,179,161,155,222,47,253,438,332,1268,929,575,209,357,889,765,432,455,157,258,542
"08bd45c0807b6fb44faaa54fb53e4213",412,363,586,778,647,1045,1042,1204,911,1060,1107,1014,1234,345,589,452,463,274,357,383,83,225,127,103,106,56,60,46,0,32,0,28,0,0,0,0,0,0,0,0,0,0,0,24,0,105,92,211,74,459,1924,1787
"37f0f50bbe241beb5ca3703a962a8e8d",251,371,353,301,210,183,186,242,211,175,301,211,181,68,171,140,143,205,147,197,51,165,170,150,143,237,212,205,140,146,182,202,293,561,753,1410,446,1345,1402,1289,1299,931,663,512,308,153,110,131,160,309,356,311
