"ID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"008a4f0fdbff8e989b828d5cb2751cb9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,61,63,39,28,8,0,0,11,7,0,0,0,0,0
"0093efa2968345efef497cc1f61f701a",0,0,0,0,0,0,0,0,0,0,0,25,11,0,7,7,5,18,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0117e9c502bd1cee660d22cb0e8b4a3c",139,80,87,129,134,202,279,447,493,162,6,59,116,179,389,284,80,116,90,96,47,86,45,19,12,14,15,33,29,26,47,46,93,150,178,222,51,26,5,7,0,0,0,2,11,17,22,0,19,13,168,219
"0120eae8d0288b26275c226dadf50e68",0,0,0,0,0,0,5,6,5,9,25,23,15,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01923d322482dd6c7151c3df36abc1a5",0,0,4,3,5,16,18,15,23,14,24,43,60,19,23,13,10,12,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,67,132,413,642,119,239,17,9,5
"022401fcfd824c74a2ffd3ff41c78189",0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"022edc60492d19d4c19eeecbef2f4006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,6,11,21,17,43,25,12
"028cb7dec44769395943fa5e62a0f12a",63,43,64,64,129,244,303,245,233,61,5,34,54,12,17,4,0,7,5,8,5,23,19,21,21,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,69
"02b4cbe5c2955ab2f66dc82cdf6dad64",203,219,222,222,305,187,113,220,394,255,216,256,306,161,420,222,166,97,34,33,17,31,26,35,17,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,33,25,10
"02ebbca8dde221104efc62afa66a8540",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03cd5e5027dea3cd1328bded7827014a",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"041323e511ac47609f702b91685cca22",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,8,0,0,10,6,9,6,0,7,10,0,0,5,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"048d2fe48e627d31cf210062b56fb6c4",83,64,61,74,35,25,25,21,11,10,11,10,7,5,8,4,10,6,14,12,6,0,2,12,10,24,17,14,17,13,13,16,33,35,37,42,7,16,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"04b4ed8ceabf387ba2caa3e54509965d",366,365,348,288,265,254,293,238,290,210,52,104,629,421,1103,1194,621,569,329,255,81,223,155,192,177,177,188,199,202,268,255,172,174,132,165,198,76,215,185,165,138,134,106,114,124,90,141,0,97,130,383,409
