"SampleID","Days","Season","Flowrate","COD.rm","BOD.rm","NH4.rm","TN.rm","TP.rm","COD.rmr","BOD.rmr","NH4.rmr","TN.rmr","TP.rmr","FM","pH","DO","Temp.AS","MLSS","MLVSS","SVI","SRT","Temp.Avg.SamplingDate","Precipitation.SamplingDate","Temp.Avg.WeekMean","Precipitation.WeekMean","Precipitation.WeekAccum","Precipitation.MonthAccum"
"N01C",0,4,33202,1,0.932862191,0.390909091,-4.5,-6.846153846,-0.045226565,0.17056876,0.002778203,-0.02907422,-0.011500469,0.240897684,6.9,6.7,16.5,5270,4000,165,3.5,15,0,8.65,0.115714286,0.81,1.23
"N02C",7,4,34701,0.828571429,0.970909091,0.824884793,-4.14084507,0.964285714,0.141467483,0.162809561,0.010914948,-0.03585469,0.034574165,0.204007861,7,7,15.1,5836,4797,150,8.7,5.56,0,6.35,0.088571429,0.62,1.44
"N03C",14,4,33429,0.903333333,0.988549618,0.93852459,0.891891892,0.933035714,0.232260106,0.221975526,0.019626408,0.028282596,0.089561554,0.288249899,7.1,7,15.9,4000,3116,206,11.5,12.78,0,9.21,0,0,1.43
"N04C",21,4,31888,0.947368421,0.987804878,0.923344948,0.758576271,0.870748299,0.504179094,0.226880592,0.018556592,0.006654156,0.035852736,0.288181895,7,6.1,14,4670,3722,178,11.9,2.78,0,5.56,0.018571429,0.13,1.56
"N05C",28,4,32316,0.914285714,0.935483871,0.837209302,0.768,0.843859649,0.07517258,0.153281589,0.012685373,0.022551774,0.014124223,0.213341248,7.1,6.8,15.4,5643,4334,142,10.1,-1.11,0,2.06,0.014285714,0.1,0.85
"N06C",35,1,33898,0.9088095235,0.96969697,0.844067797,0.7948333335,0.892704802,0.15984287,0.217645989,0.018817309,0.007415826,0.037429047,0.269430626,7.2,7,13.2,4600,3832,189,5.7,8.89,0,0.24,0.021428571,0.15,0.38
"N07C",42,1,34163,0.95952381,0.974074074,0.774834437,0.821666667,0.910833333,0.311677019,0.203402124,0.018097375,0.007625646,0.042265879,0.252788852,7.1,7.1,16.2,4530,3742,181,5.4,13.89,0,6.75,0.105714286,0.74,1.12
"N08C",49,1,31737,0.68,0.976588629,0.768456376,0.749152542,0.874576271,0.087425634,0.187707978,0.014720934,0.005682666,0.033170314,0.22427938,7.2,6.7,16.3,5063,4339,188,6.2,16.67,0.02,15.24,0.028571429,0.2,1.28
"N09C",56,1,37089,0.266666667,0.954918033,0.696356275,0.858252427,0.929126214,0.009781908,0.189932046,0.014020735,0.007206006,0.039005358,0.235967907,7.2,6.6,17.7,4666,3933,146,3.5,21.11,0,14.68,0.057142857,0.4,1.59
"N10C",63,1,39258,0.950406504,0.965779468,0.802158273,0.895652174,0.947826087,0.763275105,0.165844206,0.014560338,0.008070214,0.042701618,0.237512128,7.2,6.3,18.1,6166,4458,141,4.1,21.11,0.65,15.79,0.177142857,1.24,2.58
"N11C",70,1,36809,0.91125,0.966942149,0.756756757,0.885135135,0.942567568,0.618391444,0.198496019,0.019001328,0.011112384,0.059167083,0.247629662,7.1,6,19,4450,3689,160,4.1,24.44,0,18.17,0.018571429,0.13,2.66
"N12C",77,1,38301,0.988372093,0.897674419,0.875486381,0.402298851,0.701149425,0.966790722,0.146345576,0.017061013,0.002653935,0.023127151,0.195935549,7.3,6,18.2,5180,4310,174,4.8,12.78,0,17.3,0.201428571,1.41,3.2
"N13C",84,1,38028,0.915686275,0.894736842,0.422764228,0.9,0.95,0.378947054,0.151741112,0.008439078,0.005988499,0.03160597,0.197447673,7.3,6.2,19,4806,4128,194,5.4,17.22,0.01,16.83,0.045714286,0.32,3.1
"N14C",91,1,36037,-0.709677419,0.97979798,0.548543689,0.9,0.95,-0.016405216,0.144664176,0.008426315,0.008187694,0.04321283,0.19225913,7.4,6.1,18.7,4956,3806,111,4.4,13.33,0.02,16.19,0.355714286,2.49,5
"N15C",98,1,109224,-3,0.795918367,0.678571429,0.325925926,0.662962963,-0.084169987,0.168339975,0.028704124,0.00189922,0.019315933,0.287357625,6.9,5.1,17,5190,3820,96,3.4,19.44,1.99,19.52,0.284285714,1.99,6.22
"N16C",105,1,68334,-1.206896552,0.972222222,0.702702703,0.820408163,0.910204082,-0.042954702,0.17181881,0.009572762,0.009867309,0.054736564,0.235609717,7,6.8,18.6,5710,4283,103,4.7,16.67,0,19.29,1.31,9.17,15.16
"N17C",112,1,113415,0.778571429,0.977777778,0.845238095,0.922222222,0.961111111,0.207032825,0.250718651,0.013485624,0.007882442,0.041074173,0.3827345,7.1,5.3,18,12247,8205,26,3.9,19.44,1.03,22.22,0.388571429,2.72,16.38
