"ASVID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"0030f073f1f67fa8c7f01795583706e6",-11.7927511972765,-11.7924574483861,-11.79350797486,-11.7948114822986,-11.788746387297,-11.7852409300427,-11.7941636842463,-11.7888745351999,-11.7846609072759,-11.7869393501721,-6.89618864261067,-6.85540879860993,-11.7923351480527,-6.71378431235384,-11.791252304303,-6.39792915554923,-6.5904109322691,-6.6291430618699,-7.24257780392868,-11.7941895585893,-11.7920225641386,-11.7914626095655,-11.7730441360294,-11.7934081717612,-11.7952921617219,-11.7930933403864,-11.7781604731171,-11.796648199986,-8.0239345823574,-6.92171297116662,-6.87070904204616,-11.794130730532,-6.98171618149812,-11.7965952278307,-6.40880332778051,-6.47592786154407,-5.89451302103153,-6.11991272958287,-11.7940309157004,-5.93999961327727,-7.01795407128021,-5.89885571537532,-5.98382675765986,-6.04025471127741,-5.65100782043887,-6.0081428692517,-5.79118266493703,-5.89819727913754,-6.01914603666743,-6.02196068572891,-5.92714822350493,-6.17006296539911
"00a96fbd0ac34bfd245f9c24f8737f7d",-14.0189700547091,-14.0186763077998,-14.0197268271914,-14.0210303258526,-14.014965271789,-7.99721469651931,-14.0203825321609,-14.0150934188244,-7.84132444665656,-14.0131582469093,-8.40105255628142,-14.0170655271584,-14.0185540082914,-7.40753833926237,-7.60417487711612,-14.0169610224981,-14.0214430732444,-14.0204656839591,-14.0201043733657,-7.61063274418466,-14.0182414264863,-14.0176814756929,-8.66538328504942,-14.0196270247652,-14.0215110020421,-7.86051569063768,-7.06811521285857,-14.0228670311915,-14.0234312740122,-14.0220719607371,-14.0236892300634,-14.0203495786686,-14.0232664999412,-14.0228140593919,-14.0216759951227,-8.71089420039712,-14.0206553294644,-14.0215472829822,-14.0202497645091,-9.77121251322631,-14.0125298860247,-14.0226314131106,-14.023261151939,-7.58256875285358,-14.0226928928496,-7.2291138777933,-14.0172808477457,-14.0224122118477,-14.0193826510024,-14.0203611579,-14.0172052842404,-8.17334985486424
"0117e9c502bd1cee660d22cb0e8b4a3c",-6.24771123621222,-7.72488843932307,-8.19726337141434,-7.10068701488811,-8.69790233786391,-8.40279193110626,-8.19902441969292,-12.2055155296194,-9.78757152293879,-7.71261153040999,-7.14772785313473,-6.75521441381878,-6.21854478394205,-6.71378431235384,-6.66512970114774,-6.70852798575804,-7.32509405965466,-7.24285294494018,-6.30991827822652,-7.09947696028801,-7.8577570681986,-7.85648554191954,-7.81785546030568,-7.86156197504713,-12.2119331396004,-12.2097343239203,-7.57928151343912,-7.17548971362422,-7.73614332768038,-7.73319089251221,-7.51305436896889,-12.2107717113961,-12.2136886447907,-7.1060595402827,-12.2120981333669,-12.2113271638061,-8.01719759946184,-7.50785471849201,-6.67148243622613,-6.82574572605527,-7.30586003268401,-6.41077777036787,-6.72273918609332,-7.70040837039811,-7.41490141445325,-7.2291138777933,-7.72168100417826,-6.67620694097627,-6.86027741126967,-7.09969707915308,-7.40250695165443,-7.99097188217227
"0120eae8d0288b26275c226dadf50e68",-7.60727102599296,-6.66800724173105,-6.7147220106492,-9.11630438004959,-8.69790233786391,-7.59158137511629,-8.19902441969292,-12.9564849229855,-7.84132444665656,-8.40598226208024,-9.09431204591606,-8.19118600464279,-8.0119629951185,-8.41952523423808,-7.85560004736835,-7.72090525193678,-6.97651282866544,-7.50538225768467,-8.42172799959817,-8.42183801059938,-12.9596329354934,-12.9590729838392,-12.9406546072287,-12.9610185359003,-12.9629025160661,-12.9607037061642,-12.9457709172128,-12.9642585472914,-12.9648227909751,-12.9634634756202,-12.9650807474207,-7.61156760636058,-8.20614695692612,-6.92357394597847,-8.01955796833594,-7.86337660808199,-8.42277261579675,-12.9629387970618,-7.09936688268318,-12.9446446832705,-9.09817900508785,-12.96402292885,-8.02289686960146,-7.83399634170946,-12.9640844086831,-8.6960086088809,-7.09268454385909,-8.20324927577553,-7.40726254566455,-7.50543726772402,-7.31544014382861,-7.7031769683753
"01a3e936fa63f11bb1e215da327e5c44",-14.1895956997247,-14.189301952853,-14.1903524721102,-14.1916559706048,-14.1855909173182,-7.22363226657323,-14.1910081769959,-14.1857190643371,-7.48448099652483,-14.1837838926709,-14.1815164274166,-14.1876911724179,-14.1891796533602,-14.1900032384921,-14.1880968170581,-14.187586667771,-14.1920687179438,-14.1910913287834,-14.1907300182361,-14.1910340511613,-7.03058113378148,-14.1883071208735,-7.46100800838802,-14.1902526696967,-7.50889681374606,-14.1899378404841,-14.1750050765558,-14.1934926757093,-14.1940569184581,-7.73319089251221,-14.1943148744764,-14.1909752235077,-14.1938921444081,-14.1934397039165,-14.1923016397925,-14.1915306735357,-14.1912809742645,-14.1921729276684,-14.190875409361,-14.1738788445159,-14.1831555318672,-7.41512037657368,-14.1938867964066,-7.70040837039811,-14.1933185373896,-14.1848361980007,-14.1879064929776,-14.1930378564235,-14.1900082959652,-14.1909868027377,-14.1878309294821,-14.1794504389841
"01b2114f5d1b80bb3219d17802bddb96",-13.6399961860925,-13.6397024390727,-13.6407529588592,-13.6420564580097,-13.6359914016637,-13.6324859668583,-13.6414086640749,-13.6361195487474,-13.6319059478136,-8.69372021450186,-13.6319169096964,-13.638091657825,-13.6395801395183,-8.41952523423808,-9.10863981714984,-8.4142741374084,-8.01857058482182,-7.50538225768467,-8.01615286838504,-7.24268786941776,-7.40555092555753,-7.60506046969075,-13.6202892515696,-8.19814428321496,-7.86573619981523,-8.42029675417054,-13.6254055555168,-9.12205545710861,-8.0239345823574,-8.20335877481752,-9.81613066131788,-7.86299196099095,-8.20614695692612,-8.02284222329963,-9.11838954322827,-13.6419311608776,-8.01719759946184,-8.7122115790046,-8.19852943824461,-8.38474692411593,-13.633556014979,-13.6436575458679,-13.6442872849321,-9.08704215563169,-13.6437190256299,-13.6352366819643,-8.19185078778178,-13.6434383445229,-9.11250701162742,-9.8085173149449,-13.6382314149597,-8.6842883008789
"0243b68c76049aa1b8c51a20333da950",-14.048823041856,-14.0485292949537,-14.0495798143201,-14.05088331295,-14.0448182590322,-9.09605122557405,-14.0502355192739,-14.0449464060644,-9.09436819572376,-14.043011234196,-8.17785284569952,-8.00880902930023,-14.0484069954482,-14.0492305806657,-8.70311935491363,-9.8007347449613,-14.0512960603319,-14.05031867107,-14.0499573604853,-8.01626289149001,-14.0480944136506,-8.19306841024791,-8.15444268571561,-14.0494800118962,-14.051363989128,-8.70803391241846,-7.29142911708764,-14.052720018245,-9.12276519972023,-14.0519249478096,-14.0535422170973,-14.0502025657823,-14.0531194869852,-14.0526670464467,-14.0515289822047,-8.19995871670243,-9.11602969250494,-14.0514002700673,-14.0501027516253,-7.69137139395175,-8.40491994893345,-14.0524844001697,-14.0531141389831,-14.0364556286118,-8.20368720002164,-7.84848772089311,-8.19185078778178,-14.052265198912,-14.0492356381393,-14.0502141450135,-8.4144957931779,-7.83676478326407
"026b68ad384fbb3f5bb0f6769b1b4fce",-6.7127352550288,-6.66800724173105,-7.50384074669895,-7.03609352302244,-7.23100866213192,-7.30373106106919,-7.61101779328318,-7.39806274679509,-13.1427900523993,-8.18278282767344,-13.1428010142904,-13.1489757670851,-13.1504642498989,-13.151287836065,-13.1493814122355,-13.1488712623067,-13.153353318107,-13.1523759277215,-13.1520146167211,-13.1523186500276,-13.150151667741,-13.1495917163155,-7.36564031931031,-6.37216311516202,-13.1534212469811,-13.151222437975,-13.136289655159,-13.1547772776551,-13.1553415211095,-13.1539822063071,-13.1555994774503,-13.1522598223003,-13.1551767468535,-13.154724305796,-13.1535862402474,-13.1528152730246,-13.1525655734404,-13.1534575279621,-13.1521600080284,-9.07800825992714,-13.1444401208144,-6.86813869800984,-13.1551713988453,-13.1385128692077,-13.1546031391175,-7.2291138777933,-7.85526778465624,-13.1543224578001,-7.09688692770464,-13.1522714015447,-7.31544014382861,-7.29748613937007
"028cb7dec44769395943fa5e62a0f12a",-6.97084053876443,-12.3898169649172,-12.3908674878205,-7.41106179589152,-12.3861059164714,-9.09605122557405,-12.3915231949801,-8.18685410849847,-12.3820204504236,-8.40598226208024,-9.78751537628371,-8.41438497143456,-7.23838631312415,-7.03256909622314,-6.66512970114774,-6.30245246171571,-6.5904109322691,-7.03504850463951,-7.03477331819896,-6.86286801489572,-8.19433979595301,-7.49964462746786,-7.81785546030568,-8.01576769216216,-7.614312146452,-8.70803391241846,-12.3755200386158,-7.61759568248374,-8.20631072579402,-9.11981373277662,-7.73630709654828,-8.19957411187914,-12.3944071723758,-7.73505084928473,-7.731766234737,-7.72979027493057,-6.97513901336487,-7.03752178079105,-6.37254882197453,-7.20557806781836,-7.30586003268401,-7.61590053511952,-8.20527306971118,-8.393781846501,-6.63403089871484,-6.61539561697924,-7.49842666795285,-6.2000156582813,-8.01367414283268,-8.4220579963012,-8.00891986332639,-8.39654981889389
"02b4cbe5c2955ab2f66dc82cdf6dad64",-13.3160658673021,-13.3157721201484,-13.3168226404138,-13.3181261401578,-13.3120610810437,-13.3085556446309,-13.3174783459281,-13.3121892281861,-13.3079756253196,-13.3102540546533,-13.3079865872074,-13.3141613381655,-13.3156498205382,-13.3164734064606,-13.3145669831957,-13.3140568334181,-13.3185388878921,-13.3175614977954,-13.3172001869018,-6.43946053358988,-13.3153372384729,-13.3147772872133,-13.2963589237048,-13.3167228379045,-13.3186068167462,-13.3164080083899,-13.3014752300252,-13.3199628470201,-6.98188005771732,-7.17324651749825,-6.9820439070855,-13.3174453924084,-7.1069885782488,-6.76925920172821,-13.3187718099638,-13.3180008429687,-13.3177511434582,-13.3186430977165,-13.317345578166,-6.8798700754926,-7.30586003268401,-13.3197272287439,-13.3203569680941,-13.3036984434069,-13.3197887085338,-13.3113063609987,-13.3143766589322,-13.3195080272993,-13.3164784639386,-6.06859091849166,-13.314301095364,-6.73736229305346
