"ID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"0030f073f1f67fa8c7f01795583706e6",0,0,0,0,0,0,0,0,0,0,18,19,0,22,0,30,25,24,13,0,0,0,0,0,0,0,0,0,6,18,19,0,17,0,30,28,50,40,0,46,16,50,46,42,64,44,55,50,44,44,48,37
"00a96fbd0ac34bfd245f9c24f8737f7d",0,0,0,0,0,6,0,0,7,0,4,0,0,11,9,0,0,0,0,9,0,0,3,0,0,7,15,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,9,0,13,0,0,0,0,0,5
"0117e9c502bd1cee660d22cb0e8b4a3c",35,8,5,15,3,4,5,0,1,8,14,21,36,22,23,22,12,13,33,15,7,7,7,7,0,0,9,14,8,8,10,0,0,15,0,0,6,10,23,19,12,30,22,8,11,13,8,23,19,15,11,6
"0120eae8d0288b26275c226dadf50e68",9,23,22,2,3,9,5,0,7,4,2,5,6,4,7,8,17,10,4,4,0,0,0,0,0,0,0,0,0,0,0,9,5,18,6,7,4,0,15,0,2,0,6,7,0,3,15,5,11,10,12,8
"01a3e936fa63f11bb1e215da327e5c44",0,0,0,0,0,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0
"01b2114f5d1b80bb3219d17802bddb96",0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,4,6,10,6,13,11,9,0,5,7,4,0,2,6,5,1,7,5,6,2,0,6,3,5,4,0,0,0,2,0,0,5,0,2,1,0,3
"0243b68c76049aa1b8c51a20333da950",0,0,0,0,0,2,0,0,2,0,5,6,0,0,3,1,0,0,0,6,0,5,5,0,0,3,12,0,2,0,0,0,0,0,0,5,2,0,0,8,4,0,0,0,5,7,5,0,0,0,4,7
"026b68ad384fbb3f5bb0f6769b1b4fce",22,23,10,16,13,12,9,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,13,7,0,15,0,12,12
"028cb7dec44769395943fa5e62a0f12a",17,0,0,11,0,2,0,5,0,4,1,4,13,16,23,33,25,16,16,19,5,10,7,6,9,3,0,9,5,2,8,5,0,8,8,8,17,16,31,13,12,9,5,4,24,24,10,37,6,4,6,4
"02b4cbe5c2955ab2f66dc82cdf6dad64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,17,14,17,0,15,21,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,42,0,21
