SampleID,Days,Season,Flowrate,COD.rm,BOD.rm,NH4.rm,TN.rm,TP.rm,COD.rmr,BOD.rmr,NH4.rmr,TN.rmr,TP.rmr,FM,pH,DO,Temp.AS,MLSS,SVI,SRT,Temp.Avg.SamplingDate,Precipitation.SamplingDate,Temp.Avg.WeekMean,Precipitation.WeekMean,Precipitation.WeekAccum,Precipitation.MonthAccum
SE1A,0,1,18310,0.770728432,0.945454545,0.908,0.737142857,0.718181818,0.234671707,0.15185327,0.033144896,0.037671292,0.003460502,0.229448622,6.7,0.87,10.7,3300,0,14.01,4.44,0,3.49,0,0,0
SE2A,7,1,16445,0.814365467,0.955833333,0.757692308,0.694444444,0.779487179,0.254519691,0.157580744,0.027064871,0.034346282,0.004176508,0.235517365,6.9,0.92,11.1,3150,0,16.17,6.67,0,4.13,0,0,0
SE3A,14,1,18365,0.815058377,0.956,0.912903226,0.765,0.961111111,0.407316368,0.252013493,0.04973488,0.053776938,0.00912099,0.3765892,6.6,0.97,11.1,2750,204,8.64,1.67,0,1.27,0,0,0
SE4A,21,1,23084,0.690510695,0.926373626,0.835714286,0.6,0.6,0.249525053,0.176586316,0.049016842,0.037705263,0.003770526,0.272315789,6.7,0.9,10.3,2900,193,31.58,3.33,0,2.46,0,0,0
SE5A,28,1,18256,0.735795026,0.937142857,0.975517241,0.72972973,0.567567568,0.312722077,0.21010414,0.045303705,0.043237895,0.003362947,0.320280702,6.6,0.75,11.5,3000,173,9.81,7.22,0,3.25,0,0,0
SE6A,35,1,27627,-0.935591338,0.539473684,0.786666667,0.322580645,0.38,-0.350011241,0.106457425,0.030638966,0.025965226,0.004933393,0.281908163,6.6,1.15,11.4,2800,193,10.24,5.56,0,5.24,0,0,0
SE7A,42,1,17736,0.808095866,0.954347826,0.975,0.71875,0.763636364,0.202405817,0.126090753,0.030804632,0.033030607,0.003619006,0.188746327,6.7,1.78,12.2,3250,178,9.44,8.89,0,7.38,0,0,0
SE8A,49,1,16865,0.815702982,0.956153846,0.994074074,0.751282051,0.731707317,0.292525535,0.180873123,0.039055789,0.042635418,0.004365401,0.270239122,6.7,1.21,12.8,3050,177,8.89,4.44,0,6.43,0,0,0
SE9A,56,1,19285,0.809466873,0.954666667,0.996538462,0.770588235,0.732258065,0.389387833,0.242246667,0.043831083,0.044321667,0.003840083,0.3625,6.8,3.62,13.3,3000,187,11.12,10,0,7.22,0,0,0
SE10A,63,1,16344,0.65532521,0.918,0.994827586,0.756097561,0.641509434,0.184248196,0.136150563,0.042788058,0.04597677,0.005042613,0.211874514,6.8,1.53,13.5,2900,169,9.06,7.78,0,7.38,0,0,0
SE11A,70,1,11897,0.842828311,0.962608696,0.932142857,0.752631579,0.819047619,0.390011466,0.234968403,0.027699527,0.030352739,0.003650819,0.348707786,6.8,1.21,13.9,2950,190,12.72,8.33,0,7.94,0,0,0
SE12A,77,1,14731,0.873899886,0.97,0.9971875,0.733333333,0.716981132,0.443720275,0.259801273,0.044982412,0.046518947,0.005356727,0.382623377,6.8,0.54,14.6,2750,175,33.92,9.44,0,8.41,0,0,0
SE13A,84,2,19302,0.883586934,0.972307692,0.990769231,0.730555556,0.433333333,0.362657767,0.210506713,0.042900735,0.043800052,0.002165022,0.309288796,6.8,1.21,14.2,3050,193,21.51,9.44,0,8.49,0,0,0
SE14A,91,2,15098,0.915943558,0.98,0.99625,0.802325581,0.622222222,0.492785098,0.278121053,0.045237241,0.048954981,0.003973158,0.405424275,6.8,0.83,15.5,2800,175,10.47,10,0,11.19,0,0,0
SE15A,98,2,20562,0.923237466,0.98173913,0.997058824,0.788636364,0.5,0.751110082,0.421315753,0.063253339,0.064746044,0.003545172,0.613074929,6.8,0.92,15.9,2900,214,10.64,8.33,0,11.43,0,0,0
SE16A,105,2,16887,0.893691625,0.974705882,0.996875,0.823809524,0.755102041,0.422409664,0.243023788,0.046786113,0.050746066,0.005426602,0.356186258,6.7,1.05,16.1,3030,264,12.37,10.56,0,12.46,0,0,0
SE17A,112,2,16098,0.929204031,0.983157895,0.995714286,0.808510638,0.711111111,0.450111915,0.251220251,0.046868446,0.051104762,0.004303559,0.365034014,6.8,0.95,16.8,3150,292,10.81,15.56,0,13.17,0,0,0
SE18A,119,2,21677,0.898625376,0.975882353,0.992105263,0.817647059,0.644444444,0.552513572,0.316512436,0.071925973,0.079557375,0.005532767,0.463335177,6.9,0.9,17.6,2990,241,6.39,13.89,0,17.7,0,0,0
SE19A,126,2,15657,0.906932931,0.977857143,0.992272727,0.827586207,0.654545455,0.341981842,0.194504837,0.062031272,0.068197459,0.005114809,0.28415608,6.8,1.2,17.9,2900,234,6.77,14.44,0,13.89,0,0,0
