"ASVID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"08bd45c0807b6fb44faaa54fb53e4213",1350,981,999,925,884,918,953,640,576,626,795,620,1350,1180,1136,936,954,1058,902,1052,178,444,460,469,1274,1003,1425,1386,2210,1240,398,359,289,1609,1430,1763,1312,1732,1409,1620,2173,1312,1301,1698,1359,953,611,931,1052,1315,915
"b73cb42e006377b6fde3161fcec1d0f9",1375,1347,1212,1510,1619,1510,1028,1173,972,1088,925,346,1260,1117,1194,1390,971,968,1636,892,456,617,345,979,583,890,1034,1378,1148,1925,943,813,545,1145,1842,1313,1215,887,391,318,293,386,413,773,259,238,188,167,434,200,405
"30dbf1c75521f969f69ff64101abcee2",592,446,493,372,483,371,330,353,496,570,1133,1907,526,426,498,457,505,519,283,328,442,438,458,412,733,1085,834,688,389,303,304,302,335,113,92,143,194,244,419,446,318,211,262,160,510,481,604,552,340,557,274
"583e7caf625474a3918b14c9f2246d0a",90,66,63,60,129,183,280,608,745,896,1433,2720,737,476,312,222,192,226,310,318,638,443,268,392,887,1269,642,311,60,19,15,15,24,12,17,15,12,7,83,308,306,344,116,40,133,446,595,1235,283,751,197
"7a3ba492a5e6828062d29151d0ac288f",330,359,469,483,377,334,297,291,298,343,274,216,332,381,349,432,400,302,416,396,273,395,454,440,224,208,284,228,356,446,403,314,434,309,264,288,375,413,518,552,667,462,443,412,390,273,253,362,352,333,304
"0234344c5194a16654cbdac94efd8de1",370,341,331,418,373,359,391,307,303,296,287,35,333,226,335,353,309,337,359,224,79,72,32,109,81,122,171,165,234,504,69,12,10,544,811,751,615,655,218,172,149,236,312,775,183,372,307,392,951,442,749
"d91d91ddd239d382e64507aae73eba4b",314,330,277,384,361,412,549,469,398,518,289,146,549,496,506,505,390,362,451,334,84,203,94,335,182,275,225,260,257,334,56,89,54,396,540,437,422,342,168,208,140,135,306,436,240,200,178,211,391,210,507
"78685ceba064e4c0ed07ada1dc4dcd8d",329,342,316,399,498,522,585,479,437,489,517,372,934,714,568,477,412,537,484,628,78,200,98,234,293,142,211,283,275,279,84,117,38,224,254,302,231,252,146,137,81,70,91,140,55,97,121,123,206,180,224
"f34cdcd73e535507d29c29b19d01f658",641,634,624,572,464,521,436,412,424,223,146,61,292,367,379,325,438,352,266,224,62,38,39,45,65,229,339,153,23,21,42,44,53,146,194,254,329,275,109,107,72,107,136,207,242,358,405,135,200,124,237
"0fb538dc7ae93db1aad8af6b841e0274",135,109,86,84,121,140,144,110,77,65,123,200,106,195,170,88,117,124,97,148,249,425,452,452,524,457,292,252,158,80,100,96,101,62,106,144,267,426,681,324,174,235,427,315,691,713,589,272,108,267,71
"f0251ae1f45621e16745ce99443f242c",184,135,126,100,77,75,83,105,127,100,165,108,147,211,236,246,425,487,581,645,258,530,747,518,395,256,170,133,154,226,140,163,188,171,200,278,210,85,98,80,116,121,143,99,146,134,107,183,206,260,142
"b66772dfb431b48b579915617caf0ad6",92,72,83,74,80,104,167,255,363,489,802,138,840,955,999,1038,929,630,390,268,27,16,87,89,124,36,58,47,176,223,18,10,16,527,450,208,107,0,0,0,0,0,0,8,0,0,0,0,1,4,7
"868e0165fe32a8925b7f20afa5e1dbfc",201,157,153,113,123,112,88,104,112,110,161,250,111,128,148,91,137,118,70,124,314,256,297,183,146,198,134,134,100,116,225,268,345,101,88,122,126,142,260,259,363,454,544,172,565,570,556,320,145,413,146
"83ce8edb4ac8c161373501ee646e0000",326,244,292,232,218,298,230,130,149,150,170,356,146,129,141,91,169,207,252,331,743,682,501,253,296,221,271,188,140,38,83,110,95,50,22,28,9,19,44,78,75,145,68,44,119,130,204,183,28,102,35
"9597fc3785cf1fa55fae3a6a76e3e1d7",289,331,458,438,556,542,717,596,668,575,441,199,204,155,149,210,182,176,212,201,183,155,170,48,37,31,31,17,26,32,25,18,27,34,47,28,15,8,17,17,36,39,38,71,51,36,26,137,141,124,119
"a738568b261166a672bdd2c51055fff7",338,315,331,306,359,363,293,267,290,328,236,260,218,182,175,156,178,191,179,187,440,185,142,146,39,25,52,54,23,25,108,56,24,296,254,287,229,184,24,41,55,64,80,190,52,75,131,32,157,43,204
"750ba0e2bb9fe55d1cbb3b4eaadc1981",162,151,163,177,191,221,144,152,144,114,251,363,116,101,79,82,96,91,75,94,204,169,156,137,121,71,67,52,54,51,63,58,70,43,47,57,119,122,314,366,386,387,311,111,298,295,375,407,223,456,224
"cc4fa36d40bc7a4d412d0e7cb87ef853",76,79,62,59,67,60,80,82,104,89,179,296,109,147,164,115,186,146,147,165,304,255,140,143,213,335,275,227,96,81,169,207,247,90,92,150,195,211,179,180,158,265,240,166,415,388,249,176,94,131,47
"0a4893b9a6062b1e61e27c920e0e38ca",212,185,210,216,167,211,129,116,99,64,127,71,95,102,107,109,169,192,129,229,278,128,162,208,144,150,200,198,169,146,229,176,104,177,181,211,176,225,142,133,178,254,239,160,269,177,234,121,119,118,104
"8375b47f50ee3b002fe82bfe00409092",21,18,16,15,20,22,15,21,19,22,41,42,21,20,16,19,18,10,14,7,25,23,25,23,39,57,137,193,296,436,697,869,748,365,319,376,286,233,374,286,240,207,196,84,154,187,148,188,121,217,128
"09e001b592afa7c54186b4bd0f7fd237",92,85,114,166,159,194,222,284,223,152,173,64,89,193,207,255,250,223,153,123,42,59,26,56,111,58,95,106,86,139,87,131,139,240,287,297,328,230,132,94,58,61,114,212,129,139,67,107,300,208,308
"9318d8cb603c43732005170b52f5de79",63,85,89,82,108,81,80,73,60,67,130,211,69,82,44,52,76,88,120,107,214,238,232,263,146,99,65,55,47,58,53,72,114,37,65,90,137,149,376,411,456,432,332,114,295,328,290,304,168,303,135
"552b2e6b06aff5e457765df86c108618",149,94,51,47,44,49,26,40,49,51,72,85,45,41,31,23,37,53,30,61,104,91,86,125,110,110,130,205,267,366,589,548,434,145,155,129,172,232,343,293,244,219,235,78,120,109,86,52,25,46,15
"05810500448cc3ad7c9d8b11a497f1ca",211,215,258,244,336,273,195,187,169,172,297,365,129,75,57,61,75,72,65,65,106,86,83,86,59,25,29,19,20,12,20,29,37,0,28,21,28,31,82,124,144,128,140,53,200,202,227,266,131,278,137
"92886da043b3cfb88c385fc9b72752d5",178,220,216,187,181,145,92,123,94,103,167,145,64,65,66,54,61,74,51,88,55,102,90,78,77,75,108,139,218,299,234,217,132,101,100,97,75,48,65,61,77,66,79,68,78,110,119,124,97,172,83
"e8724520788bb38a7f9d22c91318f016",147,104,145,137,119,130,113,112,79,76,127,135,93,96,96,71,111,89,68,115,152,97,110,88,44,59,75,77,66,59,97,142,151,99,63,93,131,91,148,151,190,164,162,79,184,172,177,141,85,144,88
"5e881daab846993e2a1262bd76e598f2",80,58,68,77,54,64,43,51,56,57,34,30,56,46,50,45,61,49,79,90,86,75,127,129,150,208,215,203,359,378,451,289,223,74,38,47,42,36,38,53,118,126,142,94,109,127,106,115,108,107,85
"e25ef47f374d93454b340499c284a37e",127,127,130,109,114,86,87,84,80,78,0,17,100,128,127,124,131,151,170,166,463,174,143,139,40,32,55,55,48,3,204,156,82,129,137,113,117,102,107,111,71,87,81,78,33,64,48,9,75,5,77
"4da1ab0190b065b4136bce78f2a475b7",60,55,57,74,84,66,87,141,131,187,141,22,409,333,496,505,351,345,469,316,40,27,0,32,21,23,0,35,9,76,0,0,0,43,62,62,54,55,0,0,0,0,0,71,0,0,0,0,89,0,68
"e9311af1b908303f03c070ba934c0d8a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,18,28,56,103,232,465,1044,1157,461,330,224,161,112,160,169,138,83,45,10,26,19,9,0,0,0,0
"54836838deb0d4769d6d07eb48fa827f",355,347,241,166,141,103,160,271,244,122,93,41,77,117,82,51,68,76,63,79,17,34,21,49,103,68,75,82,27,9,4,10,0,33,51,58,117,94,45,38,17,44,106,211,132,60,34,70,131,202,191
"1d1d68c0261030f6885f385754f10174",160,152,147,116,88,89,114,77,144,95,86,9,195,226,269,428,348,283,346,374,80,70,163,57,48,34,55,27,55,30,16,9,0,15,21,27,9,0,7,9,30,32,52,68,44,24,11,51,63,33,60
"919f52074a986016c7e460883cbe1484",142,167,123,102,107,116,121,117,132,87,97,68,73,74,52,49,42,35,20,36,32,38,33,53,59,105,102,97,39,12,0,0,0,0,0,0,0,32,61,97,97,148,255,141,317,353,341,228,164,197,79
"1225347ee9208076df507676ba6503e7",56,64,73,82,100,81,71,90,91,68,96,41,85,95,115,92,136,85,88,82,48,34,37,35,33,16,34,27,43,62,40,52,62,89,119,146,128,64,38,45,91,78,123,118,171,140,113,201,288,268,238
"ba0a5157f621548f0a487dc25bf3fada",0,27,63,75,126,159,123,106,139,133,202,250,119,150,148,159,202,193,108,172,397,221,232,203,134,92,122,127,87,51,55,23,14,5,0,0,0,0,0,0,0,0,0,0,0,0,8,37,44,54,48
"5b824059f35b2d1a22e2ce26ab79ede0",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75,108,163,223,164,121,108,93,122,201,186,236,232,252,274,187,179,117,174,154,156,130,137,62,82,82,48,38,0,0,0
"e38bafa6321bd4ed4b15f934c3eb652c",129,101,78,61,42,67,37,19,15,15,13,24,0,4,11,17,9,14,9,22,20,29,53,14,29,33,147,115,160,126,123,118,144,151,70,176,89,156,178,276,207,209,95,94,148,60,155,135,22,25,18
"66710dc67a16ee15b84b22764079988c",108,81,89,71,73,55,45,42,67,66,176,322,91,72,79,74,86,94,59,72,118,108,93,105,183,264,207,159,88,54,51,45,78,21,10,0,29,38,46,50,30,22,23,0,48,33,61,35,27,42,14
"f672aa3aea2d03f0b297739022e9b716",130,93,130,145,144,143,126,100,123,78,120,60,91,58,83,66,81,77,55,83,31,44,39,52,37,66,31,53,55,62,44,42,38,42,47,55,50,68,56,52,64,71,68,61,60,72,47,48,68,101,68
"19bf0c1b9f4d2805e5df22736695b103",144,95,110,77,61,62,77,91,92,71,27,16,39,44,33,29,24,23,63,98,131,43,6,16,15,32,98,54,14,32,42,11,33,29,53,33,34,45,108,48,50,124,187,173,175,144,132,148,121,108,130
"57f295f1e37d390a0d93e4b898f5a1ac",90,60,59,39,27,37,25,20,30,16,33,70,39,32,37,16,23,26,27,35,59,55,46,27,63,56,49,74,69,46,98,102,152,27,19,16,19,30,90,128,162,128,82,52,145,226,305,217,61,201,65
"07eb166d091e1aebe641105881f4f2d3",174,130,117,125,117,126,114,91,82,67,87,59,103,88,105,92,89,82,53,46,20,30,16,22,52,36,64,49,62,39,15,26,30,47,37,56,45,32,60,68,86,51,65,58,58,63,62,84,63,92,46
"38eb18bdb8fc24ba2666bc99f04719ba",0,33,16,26,34,37,17,19,14,16,20,23,23,27,20,23,24,65,41,53,132,106,108,118,78,83,105,158,139,65,126,82,58,94,113,120,78,112,90,97,50,90,123,113,84,71,85,39,67,30,98
"47a9d10e32ffbceb163e240b65825d7e",116,74,97,94,77,84,73,74,67,60,102,60,95,92,103,98,105,122,125,145,50,77,26,74,96,104,44,42,81,60,22,19,30,61,66,80,72,85,26,67,48,36,35,38,27,26,0,0,25,23,23
"5ec7485582e96e450b0c65c431780a11",26,48,95,277,245,329,399,344,233,156,26,4,38,26,33,14,6,16,28,17,3,3,3,3,0,0,0,1,0,2,0,0,1,28,24,20,11,14,2,7,10,7,24,200,15,15,14,8,170,20,151
"c1ba9460c7bf03aa48206243533697a9",54,36,47,35,55,80,67,39,59,59,93,117,56,56,82,71,109,114,67,115,324,255,228,230,123,72,92,121,70,35,52,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422a3c019dbe1b529c87ac238b5bafd5",121,127,106,108,113,97,88,105,89,89,119,214,101,109,99,121,165,179,173,133,136,93,64,31,25,25,21,18,14,13,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"095dcca0a1cacb655451100eb59c8ef1",27,85,36,141,98,107,75,79,127,149,9,0,70,126,90,108,17,15,35,10,0,4,3,7,1,4,11,10,3,14,2,0,0,71,57,63,31,17,3,4,0,8,22,193,5,4,0,8,374,11,578
"554345c10941538d3c323777253ee02d",56,43,57,52,77,66,41,22,39,36,38,66,19,34,18,31,28,34,19,31,104,72,67,37,26,33,46,48,43,20,65,57,83,19,15,32,19,21,55,57,117,118,109,38,122,135,225,122,29,85,84
"5ad4ffad545af8e279101d52bd189173",0,16,30,59,83,15,339,318,267,209,43,5,2,8,29,91,16,49,2,0,17,18,4,0,6,27,17,5,0,0,0,0,0,35,11,101,56,67,0,0,0,0,0,54,0,0,0,27,427,104,304
"a6fb5086a3f1107b90bc46aaf31c1d78",44,53,55,61,36,37,42,27,18,29,36,25,37,31,35,44,42,36,44,49,43,76,85,123,82,74,104,79,112,120,110,74,107,76,51,49,59,53,75,84,55,61,63,43,36,32,26,35,25,24,13
"838f9b15d03dbd6dc65050aac63dd8d0",17,23,23,23,13,35,24,21,33,20,49,51,29,37,39,29,33,49,37,49,104,70,90,74,57,56,51,45,48,118,179,121,122,33,55,77,63,26,42,37,52,85,75,45,82,65,62,72,22,79,33
"495619e6c51e1e0955975577268afaf7",21,39,23,18,29,38,58,100,176,172,99,26,116,107,67,89,130,141,140,140,16,8,5,7,11,6,11,14,7,8,5,0,6,44,50,30,41,50,8,6,22,38,60,129,66,63,26,94,86,54,49
