"ASVID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"004da66cfb7833499378d4494b177e6f",-13.0667078389195,-13.06407856803,-13.0672328584661,-13.0669337996775,-13.0680822936718,-13.066850496446,-13.0657855035639,-13.0673386971864,-13.0667884588945,-13.0666307254668,-13.0681113218008,-13.067101099942,-13.0672454344025,-13.0676596187948,-13.0658957588104,-13.0654545389072,-13.0674874244914,-13.0677260996213,-13.0677330969557,-13.0677843689238,-13.0655133260255,-8.52918763626461,-8.0124821686501,-6.06531228132112,-5.40227984658579,-6.01615715969835,-6.53892888219893,-6.85263889642347,-8.01605383723967,-9.62793165988219,-8.23728085622882,-8.52727552675775,-9.62535969288916,-13.0612096129855,-13.0620154634324,-13.062308970163,-13.0596555496916,-13.0605548567702,-13.0630393107845,-13.0587370507086,-13.0623155468141,-13.0621653990936,-13.0612446720487,-13.0650377121668,-13.0659440543525,-13.065701874458,-13.0648105636649,-13.0625260652791,-13.062341396362,-13.0641062308508,-13.0574738374481
"006e11b2ea1993fe60f255c75ff4ea39",-13.982999839473,-13.9803705719236,-13.9835248583537,-13.9832257999443,-13.9843742924827,-6.79990801379336,-6.85869632869295,-7.0695470210663,-6.99419506407281,-7.43602781635185,-13.984403320575,-13.9833930999966,-7.23660110572947,-13.9839516181413,-13.9821877603946,-13.9817465410517,-13.9837794240563,-13.9840180988836,-13.9840250962092,-13.9840763681122,-13.9818053280954,-13.9801958812254,-13.9775203514932,-13.9780499826721,-13.9796164497845,-13.9809912286822,-13.9818199987386,-13.9796151131565,-13.9793195165322,-13.9802744708149,-13.9781291230323,-13.9790411981858,-13.9785103740224,-13.9775016205336,-13.978307469953,-13.9786009763095,-13.9759475592238,-13.9768468651539,-13.9793313160008,-13.9750290614148,-13.9786075529523,-13.9784574054231,-13.9775366795521,-13.9813297148409,-13.9822360558754,-13.9819938762884,-13.9811025666277,-13.978818071149,-13.9786334024672,-13.9803982347092,-13.9737658497708
"0074fee2950103e089730df0b1e1e092",-14.3396750371474,-14.337045770266,-14.3402000558949,-14.3399009975614,-14.3410494898086,-14.3398176944567,-14.3387527031966,-14.3403058944541,-14.3397556569996,-14.3395979238121,-14.3410785178935,-8.53653819768001,-14.3402126318121,-14.3406268155744,-14.3388629582751,-14.3384217390443,-14.3404546215329,-14.3406932962998,-14.3407002936235,-14.3407515655136,-14.338480526073,-8.24143968982973,-14.3341955505617,-14.3347251816055,-14.3362916483189,-14.3376664268668,-14.3384951967126,-8.01651589870206,-14.3359947151422,-8.24143968982973,-14.3348043219456,-14.3357163968666,-9.62535969288916,-14.334176819607,-14.3349826688208,-14.3352761751025,-14.332622758694,-14.3335220643944,-14.3360065146077,-8.23104327794253,-14.3352827517436,-8.0147985931281,-14.3342118786165,-9.63016850292011,-14.3389112537437,-14.3386690742182,-6.26109676560334,-14.3354932698867,-14.3353086012519,-14.3370734330446,-14.3304410497991
"00a96fbd0ac34bfd245f9c24f8737f7d",-13.046905169334,-13.0442758983332,-13.0474301889028,-13.0471311301015,-8.02728068923045,-13.0470478268665,-7.43451986654963,-13.0475360276275,-13.0469857893124,-13.046828055878,-13.0483086522746,-7.55538194424027,-13.0474427648397,-13.0478569492495,-13.0460930891906,-13.0456518692687,-13.0476847549389,-8.53719187792293,-13.0479304274135,-13.0479816993838,-13.0457106563895,-7.54802896993501,-7.13654950180516,-13.0419553060279,-8.01651589870206,-13.0448965559073,-13.045725327052,-7.0604763659998,-7.83366625423328,-7.68162625390473,-7.05803032637081,-7.67971363996637,-7.2268038744561,-13.0414069431668,-13.042212793648,-13.042506300391,-13.0398528798068,-13.0407521869237,-8.01677983799756,-8.00783315981186,-7.32171751734425,-7.2259445123143,-7.83035937291288,-7.83808039982009,-7.55249972031392,-7.68583429483054,-7.14460447735246,-7.05968371122549,-13.0425387265914,-7.32560998473622,-8.22804337568942
"00aba2e64400d4a5728c6ee86f8fed3f",-13.5052135517413,-8.0179667034936,-8.02525474336873,-7.68799716639302,-8.02728068923045,-8.24767842291991,-13.5042912170784,-13.5058444095348,-13.5052941716558,-13.5051364383465,-13.5066170335699,-13.5056068124687,-13.5057511468209,-13.5061653309025,-13.5044014722421,-13.5039602526704,-8.53673434662307,-8.02623555228771,-8.24950980547115,-8.24964049025962,-6.8577769091759,-6.44836182884842,-7.54227973883382,-7.83082299513532,-13.5018301602972,-13.503204939909,-13.5040337103954,-13.5018288236684,-13.5015332268905,-13.5024881816694,-13.5003428327712,-13.5012549083993,-13.5007240839598,-13.4997153299458,-13.5005211797847,-13.500814686294,-13.4981612678259,-13.4990605742249,-9.62648162008158,-8.51879191277993,-8.93168411073171,-13.5006711153329,-8.92923661488453,-13.5035434262433,-8.93918760147561,-8.93892527198827,-8.53149049611706,-7.67911932555657,-8.01539337885756,-8.24229571332388,-8.92132407651127
"0117e9c502bd1cee660d22cb0e8b4a3c",-6.45552607783557,-5.98764145893687,-5.73998975611544,-4.93585902057965,-5.34180976496662,-5.75988709270761,-6.58643434612827,-6.26615308527047,-6.58827125538978,-6.68815806355774,-7.43936344193066,-8.53653819768001,-6.2660220751825,-5.76152713637236,-5.60337001461574,-6.07350525744419,-6.92651160746458,-5.9698872691273,-5.16445751276109,-5.6436785505865,-7.68504663479638,-8.52918763626461,-8.92897166158099,-8.92970011431345,-6.73472376909528,-7.83735702491596,-8.0216501911814,-7.54631426925768,-7.83366625423328,-7.8358428207358,-9.62377364973352,-7.83393033293027,-8.93214647739671,-6.21906481913913,-5.93237780464866,-5.43107194237699,-6.7845901386908,-5.39703083948407,-7.06074044469679,-11.0365134836366,-7.67859074939626,-11.0399418798386,-8.01274717461429,-5.69505166132707,-7.68609671036704,-8.53339457075425,-11.0425870811915,-7.05968371122549,-4.36550939405344,-6.36904445172661,-5.03339829494649
"01d175c31175762ee06b309aab2db991",-13.4523709963606,-7.06192793658986,-7.555054836848,-8.02460033591131,-13.4537454501836,-8.94095652780578,-13.4514486616294,-13.4530018542008,-13.4524516162811,-8.02407650143102,-13.453774478293,-8.02558178657405,-13.45290859148,-13.4533227755922,-13.4515589168013,-13.4511176971969,-8.53673434662307,-7.23738598378663,-8.24950980547115,-7.07039727782965,-6.8577769091759,-7.54802896993501,-7.54227973883382,-7.67660609672048,-13.4489876046657,-6.68382194218525,-13.4511911549274,-7.8341283461978,-13.4486906712369,-13.4496456260868,-13.4475002770292,-13.4484123527251,-13.4478815282461,-13.4468727741571,-13.447678624056,-13.4479721305871,-13.4453187119214,-13.4462180183875,-13.4487024707125,-13.4444002135646,-13.4479787072338,-13.4478285596153,-13.4469078331965,-13.4507008707389,-13.4516072123107,-13.4513650325802,-8.53149049611706,-13.4481892255557,-13.448004556764,-13.4497693900546,-13.4431370011662
"01ebcf92b3da0a28dc50e8152d27b887",-14.1753718801329,-14.1727426129732,-14.1758968989359,-14.1755978405708,-14.1767463329394,-14.1755145374573,-14.1744495460846,-14.1760027375063,-14.1754524999937,-14.1752947667895,-14.1767753610273,-14.1757651405984,-14.1759094748545,-14.1763236586605,-14.1745598011748,-14.1741185818973,-14.1761514646009,-14.1763901393929,-14.1763971367174,-14.1764484086129,-14.1741773689322,-14.1725679223009,-14.1698923929664,-8.92970011431345,-8.52747350082379,-14.1733632696397,-14.1741920395733,-8.52747350082379,-9.62575581093752,-8.24143968982973,-6.85019237158099,-7.32284063046729,-7.2268038744561,-8.23569197803954,-14.1706795113091,-14.1709730176219,-8.9256538085042,-14.1692189067274,-8.93326847863642,-8.00783315981186,-14.1709795942637,-8.52575642207673,-14.1699087210229,-14.1737017557482,-14.1746080966484,-14.1743659170973,-14.1734746075687,-14.1711901124292,-14.1710054437748,-14.1727702757547,-14.1661378918038
"01f829adefff12a3fa5d6e1295ade58d",-13.3543904399878,-13.3517611704901,-13.354915459257,-13.3546164006264,-13.3557648940141,-13.3545330974389,-13.3534681051201,-13.3550212979213,-13.3544710599202,-13.3543133265759,-13.3557939221278,-13.3547837008025,-13.3549280351867,-13.3553422193603,-13.3535783603082,-13.3531371406385,-13.3551700251479,-13.3554087001517,-13.3554156974824,-13.3554669694234,-13.3531959277257,-13.3515864796622,-8.92897166158099,-6.98299526322956,-6.9863023632739,-6.85586970396788,-6.92238113117746,-7.22766249872865,-7.83366625423328,-8.24143968982973,-13.3495197199337,-13.3504317957652,-8.23886721388848,-8.92897166158099,-7.0580965142783,-8.01532730902172,-7.05312022427588,-8.01128877196932,-7.22792654256147,-7.82544503177,-7.42714413340862,-13.3498480025687,-13.3489272760128,-13.3527203141187,-13.3536266558248,-13.3533844760584,-13.3524931657372,-13.3502086685627,-13.3500239997436,-13.3517888332962,-13.3451564434203
"0234344c5194a16654cbdac94efd8de1",-3.6971559202932,-3.73773706508473,-3.81410943975371,-3.53726221365195,-3.66906501572438,-3.72428681593269,-3.78084179014858,-3.8458832029236,-3.81634193618414,-3.91704393647825,-3.94467979645634,-6.10676083323342,-3.71679203326181,-4.14366589963289,-3.68606047110747,-3.71263095343237,-3.89844438977689,-3.7845906230301,-3.80286286516102,-4.25141456471715,-5.20711320333956,-5.41888259795774,-5.93071882420911,-4.81914789204825,-5.17800908632021,-4.82573189481684,-4.65914170889952,-4.41019751164058,-4.17244558671723,-3.28685904606197,-5.49259671304173,-7.06027826120172,-7.42760671395544,-3.16413662769112,-2.87573954926227,-2.96691341341218,-3.12713521592564,-3.0329807912374,-4.24162786165815,-4.446901844815,-4.4144376653935,-4.12371534909955,-3.89527219500333,-2.96524542687137,-4.4561397088554,-3.70807754738667,-3.93417313036496,-3.62018039117893,-2.68386193789033,-3.43813870600698,-2.93617909740214
