"ID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"004da66cfb7833499378d4494b177e6f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,35,68,37,22,16,5,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"006e11b2ea1993fe60f255c75ff4ea39",0,0,0,0,0,17,16,13,14,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0074fee2950103e089730df0b1e1e092",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,4,0,5,0,1,0,0,29,0,0,0,0
"00a96fbd0ac34bfd245f9c24f8737f7d",0,0,0,0,5,0,9,0,0,0,0,8,0,0,0,0,0,3,0,0,0,8,12,0,5,0,0,13,6,7,13,7,11,0,0,0,0,0,5,5,10,11,6,6,8,7,12,13,0,10,4
"00aba2e64400d4a5728c6ee86f8fed3f",0,5,5,7,5,4,0,0,0,0,0,0,0,0,0,0,3,5,4,4,16,24,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,0,2,2,3,7,5,4,2
"0117e9c502bd1cee660d22cb0e8b4a3c",24,38,49,109,73,48,21,29,21,19,9,3,29,48,56,35,15,39,87,54,7,3,2,2,18,6,5,8,6,6,1,6,2,30,40,66,17,68,13,0,7,0,5,51,7,3,0,13,190,26,97
"01d175c31175762ee06b309aab2db991",0,13,8,5,0,2,0,0,0,5,0,5,0,0,0,0,3,11,4,13,16,8,8,7,0,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"01ebcf92b3da0a28dc50e8152d27b887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,1,4,16,10,11,4,0,0,2,0,2,5,0,3,0,0,0,0,0,0,0,0,0
"01f829adefff12a3fa5d6e1295ade58d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,14,16,15,11,6,4,0,0,4,2,13,5,13,5,11,6,9,0,0,0,0,0,0,0,0,0,0
"0234344c5194a16654cbdac94efd8de1",370,353,330,432,381,360,340,320,329,298,291,34,363,239,373,363,304,340,334,215,83,67,40,121,85,121,143,182,230,547,62,13,9,612,807,741,632,693,215,174,181,241,301,746,175,365,292,395,968,473,755
"0243b68c76049aa1b8c51a20333da950",0,2,2,0,1,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,7,0,2,5,8,4,0,0,0
"026b68ad384fbb3f5bb0f6769b1b4fce",0,7,10,12,9,13,8,0,9,15,7,0,7,8,10,5,3,4,2,4,0,0,0,2,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,11,0,9,10,0,0,10,11,15,6,17
"028cb7dec44769395943fa5e62a0f12a",8,11,3,9,13,19,10,8,4,12,3,2,12,15,12,13,8,5,2,1,0,0,6,4,21,22,24,13,5,2,1,0,0,28,35,29,44,84,56,28,40,24,25,21,18,6,3,11,22,8,42
"028e4286e12c8eeca9ecb2309904561b",13,8,10,1,3,7,6,0,1,0,2,15,6,15,6,3,9,10,11,11,56,46,44,26,22,28,37,43,29,23,113,82,84,27,15,23,16,25,76,68,69,66,30,14,21,17,23,11,3,5,2
"02a021a4a33ccd51f4b020422088397b",18,14,9,4,0,0,0,0,0,0,9,3,6,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0303bb3e44db210e6aa8839332125997",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,3,1,0,0,4,1,1,0,0,1,2,4,3,8,8,7,5,5,0,2,4,3,3,4,10,3,0,5,3,3,5,0,0,0
"04b4ed8ceabf387ba2caa3e54509965d",99,81,101,32,14,13,0,0,0,0,0,0,12,7,7,16,25,32,50,50,7,0,1,2,6,0,6,9,4,2,2,0,4,264,120,42,49,74,21,11,9,13,20,88,19,16,17,26,38,11,29
