"SampleID","Days","Season","Flowrate","COD.rm","BOD.rm","NH4.rm","TN.rm","TP.rm","COD.rmr","BOD.rmr","NH4.rmr","TN.rmr","TP.rmr","FM","pH","DO","Temp.AS","MLSS","MLVSS","SVI","SRT","Temp.Avg.SamplingDate","Temp.Avg.WeekMean"
"UK01A",0,4,17254,0.528138528,0.887730817,0.919642857,1,0.688715953,0.209576663,0.185818915,0.035387535,0.058921963,0.006081159,0.266666654,6.4,1.85,9.7,2790,2190,257,10.68,3.33,5.4
"UK02A",7,4,7007,0.634868421,0.913132951,0.806584362,1,0.774250441,0.138617364,0.10516964,0.014077204,0.02765165,0.003153006,0.136896019,6.48,2.72,8.5,2710,2280,260,9.79,3.33,2.46
"UK03A",14,4,7197,0.387434555,0.854292804,0.945454545,1,0.829951691,0.04179049,0.048606857,0.011746516,0.038910334,0.004851085,0.078372001,6.65,2.9,9.3,3540,2570,340,12.76,4.44,5.24
"UK04A",21,4,6126,0.467592593,0.873354397,0.93902439,1,0.838427948,0.05054951,0.049803779,0.011561324,0.032081422,0.003843765,0.07755516,6.49,2.49,9.5,3400,2500,326,10.235,10,6.67
"UK05A",28,4,6898,0.466346154,0.873040467,0.956081081,1,1,0.059381079,0.058640346,0.017324583,0.021058857,0.004842313,0.090618841,7.06,3.02,9.1,3130,2320,282,7.65,7.78,5.08
"UK06A",35,1,6049,0.546255507,0.892016035,0.964169381,1,1,0.063522696,0.054716607,0.015163482,0.025511535,0.004241677,0.091452937,6.02,3.33,9.1,3280,2200,295,9.74,5.56,4.68
"UK08A",49,1,4752,0.320652174,0.838347414,0.942748092,1,1,0.025618421,0.035331711,0.010725,0.021146053,0.002457632,0.056941867,6.7,2.63,9.9,3040,2250,261,9.74,5.56,5.48
"UK09A",56,1,6982,0.394594595,0.855927861,0.922374429,1,1,0.067099263,0.076778102,0.018567193,0.049359321,0.005257641,0.114018303,6.2,2.6,10.2,2110,1660,184,9.74,4.44,6.98
"UK10A",63,1,6860,0.393442623,0.855692531,0.941798942,1,1,0.049530686,0.056822704,0.012245086,0.043614521,0.004148195,0.093372222,6.37,3.09,9.3,2770,1970,238,11.72,5.56,7.22
"UK11A",70,1,6159,0.715083799,0.93221775,0.982843137,-0.498795181,1,0.071798907,0.049372967,0.022493251,-0.01161123,0.002714896,0.071476497,5.91,2.75,11.4,3050,2260,244,9.69,9.44,9.68
"UK12A",77,1,5754,0.797979798,0.951938727,0.966850829,1,1,0.08560565,0.05387196,0.018963277,0.021780678,0.002779475,0.076231012,6.05,3.18,11.4,2950,2190,251,9.2,10,9.21
"UK13A",84,1,6808,0.691056911,0.92648532,0.966019417,1,1,0.111628086,0.078947323,0.026134105,0.031518519,0.00382162,0.114677331,6.48,2.34,12.5,2880,2140,233,10.06,9.44,8.65
"UK14A",91,1,6488,0.759825328,0.942880795,0.940438871,1,1,0.11614321,0.076027078,0.020024691,0.055735391,0.005012848,0.107245539,6.53,2.02,12.2,2700,2030,208,11.27,5.56,6.9
"UK15A",98,1,7799,0.606060606,0.906375646,0.992753623,1,1,0.034662222,0.027348493,0.011871811,0.033968978,0.005407307,0.030173464,5.26,2.11,11.7,2500,2500,195,17.19,8.89,8.49
"UK16A",105,1,3844,0.710059172,0.931015143,0.96,0.4,1,0.047633209,0.032946303,0.009526642,0.005477819,0.002723032,0.049322481,5.71,1.87,12.7,2690,1930,204,12.21,8.33,10.4
