"ASVID","AS_1","AS_2","AS_3","AS_4","AS_5","AS_6","AS_7","AS_8","AS_9","AS_10","AS_11","AS_12","AS_13","AS_14","AS_15","AS_16","AS_17","AS_18","AS_19","AS_20","AS_21","AS_22","AS_23","AS_24","AS_25","AS_26","AS_27","AS_28","AS_29","AS_30","AS_31","AS_32","AS_33","AS_34","AS_35","AS_36","AS_37","AS_38","AS_39","AS_40","AS_41","AS_42","AS_43","AS_44","AS_45","AS_46","AS_47","AS_48","AS_49","AS_50","AS_51","AS_52","AS_53","AS_54","AS_55","AS_56","AS_57","AS_58","AS_59","AS_60","AS_61","AS_62","AS_63","AS_64","AS_65","AS_66","AS_67","AS_68","AS_69","AS_70","AS_71","AS_72","AS_73","AS_74","AS_75","AS_76","AS_77","AS_78","AS_79","AS_80","AS_81","AS_82","AS_83","AS_84","AS_85","AS_86","AS_87","AS_88","AS_89","AS_90","AS_91","AS_92","AS_93","AS_94","AS_95","AS_96","AS_97","AS_98","AS_99","AS_100","AS_101","AS_102"
"OTU_773",-7.35382902551843,-13.8295442628425,-8.75526476331468,-7.65470648828551,-7.27942493058208,-7.02339222257978,-7.77111980504689,-7.91278922069068,-9.1689974084418,-9.8592743978598,-9.14473461487819,-13.8102220896105,-13.8260636033079,-13.8268943097076,-9.84992853544157,-13.8272753992699,-13.8274720922326,-13.8271177389197,-13.8302396052645,-13.8343208521996,-13.8325649223622,-13.8294940424408,-13.8316306010677,-13.8316185440707,-13.8280514476017,-13.8315834759145,-9.8581240107846,-9.8253097714721,-8.46579462833024,-7.91336424880449,-13.8350574283577,-13.8337091236478,-13.8370993217651,-13.8326656734625,-9.87919485996708,-13.8386676229171,-13.8383336540859,-9.87220326249636,-9.87060272520035,-6.90796578314037,-13.8374854770139,-13.8355856237821,-9.8725127482367,-13.8370845109524,-13.8208831261714,-13.8329549880513,-13.8359157172455,-9.85702467812579,-13.8135486274066,-13.834840206628,-9.85398213263229,-9.85198370966901,-9.85319375848166,-13.8232189746483,-9.83531577243279,-8.74888675365916,-7.89766815072691,-8.04152018826458,-9.15878388506178,-13.8279712602799,-8.7516327024723,-9.83980200084999,-8.03344216490953,-9.14889040965996,-9.84691720104773,-8.75052466911794,-13.8262004790001,-8.0543637659185,-9.84897856703573,-9.15101490589137,-13.8241381055962,-13.8086418847767,-9.81749383936915,-9.83097062169695,-8.02964997227247,-8.73337926216295,-8.04393092524225,-8.72583205652757,-7.51952970107634,-6.93109195916137,-7.75340893125685,-13.8205429182802,-8.45542416501861,-13.816407152903,-9.1433989662223,-9.83290413108067,-9.14350588378896,-13.8237430570104,-8.7426806602749,-13.8226920093595,-13.8201397201934,-13.8181500027277,-8.75321348054413,-13.8204834831667,-13.8252668646586,-8.75268683212243,-9.1761629201746,-9.83408388239725,-13.8273039879406,-9.86214458900175,-13.8312872884041,-6.58558793014389
"OTU_60",-5.11488805356154,-4.9391182311134,-4.93420940385899,-5.0419433215592,-4.70021295036095,-4.88011523586556,-4.90193587717291,-4.92457208405503,-4.79778886346829,-4.93216069935642,-5.22746562557609,-4.9140257630379,-4.81985702728408,-4.99472819437042,-4.77901711579107,-4.9419598325469,-4.51612673691166,-4.56053381939237,-4.90443386810349,-5.0920850947919,-4.89512240697441,-4.91708854654052,-4.8053862326586,-4.54946812993255,-4.66497490799795,-4.73059589950945,-4.83296515432548,-5.00650754545899,-5.00140648765863,-5.03285961249435,-5.41174986706406,-5.23758857263921,-5.41599703768937,-5.16850121327716,-5.08558814733266,-5.27806312213668,-5.17131010000046,-5.18453672727337,-5.03586109784829,-5.0429490649677,-4.97090101625538,-5.19337213328821,-5.49903409087029,-5.33758977398136,-4.99021830489009,-5.43122356377864,-5.24231745093997,-4.85208304968859,-4.75511674248776,-4.8586671673807,-5.05186712197872,-5.27220622254435,-5.38275359159777,-5.24590702105893,-4.98436137941304,-5.09662682755071,-4.72311385131312,-4.55009105690035,-4.42852889446932,-4.74731528850084,-4.90135174949786,-4.94239401978862,-4.97445038816114,-4.95229971708329,-5.02825689544608,-4.97487525257196,-5.14596053136444,-4.85507570746168,-5.03033164017223,-5.56377513180244,-5.26823007416471,-4.80391101557542,-4.66652381617914,-4.7346811618782,-4.41150855481409,-4.98112268501351,-4.94612370862285,-4.49044345069374,-4.35456978844084,-3.94534724763564,-4.01632841920715,-4.33847838942815,-4.40930601309554,-3.97858798069184,-4.38620268543196,-4.3478352699256,-4.25819083518615,-4.75727796418555,-4.29051337130885,-4.68245230595183,-4.21556761102203,-4.55225614570281,-4.46996297135327,-4.99769478282052,-4.62577172680443,-4.98482707236525,-5.19103392329095,-5.44781437769395,-5.49416877557424,-5.10254366504629,-5.68525288286021,-5.79898632238536
"OTU_134",-6.28215993211274,-7.91263233743765,-7.14519613499717,-7.0182964693872,-6.79942740209651,-6.32935384644828,-6.11109772205253,-6.02801656869024,-6.14653814586225,-6.0958769390199,-8.22828369932641,-7.11031509801708,-8.46526811855132,-9.1602568718082,-8.2402795968922,-7.36881276051401,-7.21508240329053,-7.21434672275288,-7.3750469007244,-7.03480245917166,-6.60597428215085,-7.29322697236459,-6.39599171548817,-6.91786192903944,-6.91069831242864,-5.87154381153172,-6.42256596086177,-4.71659156573883,-5.51755857678185,-4.84113782275319,-6.15485809401642,-6.05886355647869,-6.4073955297215,-6.05652376599228,-6.26643098228221,-6.83267247285778,-5.86729182261856,-4.84050231180909,-4.88640045576634,-4.51463982675506,-5.405262832405,-5.61962416664898,-5.88079159148632,-5.54033432099369,-6.22829774987176,-6.39901082141997,-6.57533408505526,-6.91164245097242,-7.05282917487442,-6.73366065752647,-6.09057300115589,-6.48321279775877,-6.59378188078142,-6.23340332922269,-6.6560300520493,-6.26223356342878,-6.03489646614364,-6.36614823087671,-6.85525072499999,-6.11594468375703,-6.90496190746592,-7.13100549127453,-6.93418080655182,-6.70542620433815,-6.75476301883673,-9.84924253768373,-7.14340694333953,-6.51275310017052,-5.65588585055485,-6.28706164153812,-7.54496682721178,-7.86972931290762,-11.1730166766873,-8.44451496591825,-11.1750924397426,-9.13889807452182,-7.75614183224242,-7.05115191220609,-7.04920058631184,-6.60220790141311,-6.27605255215181,-6.03132608053311,-7.27629038159506,-7.19212831116546,-7.43816960342032,-6.57346527494306,-7.0026375597641,-7.28159740461178,-7.27581136516629,-6.75274817191969,-6.79405319063556,-7.27009874185207,-6.13625096124613,-7.64300363556072,-6.71374832175458,-6.67213842512996,-7.09599677828708,-5.00718850050718,-5.74089925267614,-5.55426817732485,-5.79956276337775,-4.97061426077221
"OTU_6685",-9.14612179964953,-13.6748503824641,-8.75526476331468,-9.15915233520675,-8.74629230643572,-8.75872660784204,-9.15773042170389,-8.47256186727064,-9.1689974084418,-7.55621885191544,-9.14473461487819,-13.6555282060136,-8.46526811855132,-9.85345661893056,-9.84992853544157,-13.6725815185168,-13.672778211512,-9.16088748825665,-13.6755457250008,-9.1756454021793,-9.865370230423,-8.76008708107788,-9.8633424122317,-9.86323831062844,-9.85608143013886,-9.86329036278472,-8.75940707582087,-7.42687369502635,-8.24259843851095,-13.6751523625625,-9.87049937670915,-13.6790152439551,-13.6824054426284,-9.86547411033791,-13.6845318028438,-13.6839737440369,-13.6836397751511,-13.681146264631,-8.48415333733804,-13.6719268584541,-8.77688722732785,-9.87168723998633,-9.8725127482367,-9.87493374511807,-7.76131918094799,-13.6782611082346,-9.17931399337106,-13.6736912407083,-8.21657446682262,-13.680146327121,-9.16078241312784,-8.75326613013479,-8.75447630628417,-13.6685250932231,-13.6633626195746,-9.15440473964588,-8.45744318701046,-13.6624618872579,-9.85198370966901,-9.1625671905045,-13.6706484177403,-7.75998737455557,-8.72675154708644,-9.14889040965996,-8.74819908667446,-8.75052466911794,-9.15899444462459,-8.45993477257596,-13.6698869546859,-8.23456499326713,-9.15482766204592,-7.33045981935295,-7.41905351832052,-7.63331586744384,-8.02964997227247,-7.19234328402597,-7.63830528201668,-6.99047313827636,-8.43614581256291,-8.72366520844247,-8.73450644620114,-7.44190672805162,-7.27629038159506,-7.88565166390923,-8.45014485666311,-7.7530869219158,-8.22705477127775,-8.46072865443511,-8.45494537793671,-13.6679981278469,-9.83964212448737,-8.73697108525415,-8.75321348054413,-9.14745381892099,-9.15720327356305,-9.15820461755565,-13.6796352506856,-13.6625649766109,-13.6726101071922,-13.6761395379664,-8.47652743469022,-13.6678866128037
"OTU_45",-5.64619616179389,-6.27350573966968,-7.14519613499717,-7.28677110425271,-7.13621799177395,-6.96618140745075,-6.1853641184138,-6.05004787120688,-6.42664503774455,-6.00671993019084,-5.37903962860313,-4.7227337188175,-4.57364760111692,-4.38149457826335,-5.64174827776589,-6.29716193628185,-6.90943807281635,-6.45136522968868,-5.98687067809775,-5.61677109766657,-4.89512240697441,-5.44784063164845,-5.47719550156423,-4.87205530134519,-4.99737062271275,-5.40450893213703,-5.34254454585129,-5.43900279542172,-4.80720948403768,-4.44986499381401,-3.6034086229946,-3.87868571819585,-4.00743797408303,-4.22701818634637,-4.54567906785502,-4.56964662991904,-4.78775050847116,-5.53759324715621,-5.66249395341883,-6.48458258881642,-5.44050906688442,-4.91567493489426,-4.67590455694396,-4.55627110499635,-4.97448582882146,-4.46129981556839,-4.43583878052161,-4.58947473767318,-5.55976029664149,-4.77433979014551,-4.7455152033049,-4.44217203601311,-4.71442252694384,-4.83441588663021,-4.90802848553205,-4.36272388241935,-4.03648433714056,-3.85420774116226,-4.26980420746669,-4.45982617907782,-4.62571848575557,-5.02109530212021,-5.2771371951288,-5.37159987494757,-5.09593506219121,-5.52784052482629,-5.47863269279737,-6.31827895211076,-7.14018887720344,-7.35872473559476,-6.66875754499463,-5.23600317388039,-4.22711019455532,-3.72966475071312,-3.43387519104342,-4.16781098053563,-3.80770190560284,-4.65030742785002,-4.78389049482387,-5.04533690228919,-4.93577130073793,-4.43958451209662,-4.76453635200386,-4.91938599355173,-4.05426245414127,-4.50880033162646,-4.26991426362027,-4.00916587224823,-4.18803583281742,-3.93675615499838,-4.53066213381303,-4.56792252508642,-4.27752045482197,-4.62143070685987,-4.894234281729,-4.74291524959453,-4.46894763467248,-6.09421451539307,-5.56068163101553,-5.35768629835487,-6.0540219404405,-6.79942740209651
"OTU_1",-7.27373297170848,-7.08548296676586,-6.45125999976119,-6.21281702171729,-6.51137378960702,-7.3719608821129,-5.43993336851934,-6.16809284468072,-5.98854361868032,-6.91389429136258,-6.28077030067586,-5.52474319652017,-6.04273839686204,-5.93885459683568,-5.87688980277291,-6.80872389837596,-5.90089790660311,-5.57368433510694,-6.09713315483546,-6.64872544910352,-5.70320939381007,-6.21928137217452,-6.42779254465119,-6.07680786699691,-5.26601551988341,-5.50256557117021,-5.63510467957788,-6.10957273314928,-5.72189698169498,-5.84942956879742,-4.34831702325302,-3.9131863496448,-3.90950675331418,-3.77915584398049,-4.20849500436654,-4.33583725220451,-4.29557027365521,-4.87421018193382,-5.18292729879213,-5.69115094844237,-4.93400801020662,-4.83337281399079,-4.35035629296023,-4.78526358941313,-4.83606738372852,-3.96144788875567,-4.67590455694396,-4.92989485725935,-4.32418738629905,-4.68500426694622,-4.20080767264582,-4.15285945044432,-3.94238607569514,-4.27564672359017,-4.59961716204135,-3.98570438556924,-5.04171744800541,-4.70661285726593,-5.07512084772938,-5.38533832203585,-4.9231725876683,-4.75611931775381,-4.89078490554644,-5.49423653160737,-5.80089857198538,-5.58286071553996,-5.60006082696055,-5.42319698242331,-5.5275755188621,-5.23377884541047,-5.28917039712417,-5.60766599973406,-5.44378671109154,-5.36042837469313,-4.26653875724329,-4.98908192880307,-4.77133215308747,-5.14597190990703,-4.77732114957767,-4.7014109293979,-4.68240192905598,-4.88409058255852,-4.52286419294278,-4.50776915191988,-4.65099658670558,-4.28190173307,-5.38955509404085,-5.47359943625769,-5.35942315600721,-4.78035380164619,-4.91238649420488,-5.09342725554318,-4.488955824532,-5.10728541782343,-5.12603453839736,-4.95407820318483,-4.70131596224797,-5.71998923064182,-3.62202642861941,-4.24960573633339,-5.03627159974188,-6.01398088027576
"OTU_672",-9.14612179964953,-8.24920916562887,-9.16078241312784,-9.85235214042136,-13.4085237991205,-13.4145602222677,-13.4114756134943,-8.24936603247539,-13.4169071099309,-13.415450884897,-8.22828369932641,-13.3959236004739,-9.85172046171425,-9.1602568718082,-13.4108735222333,-9.16109760539773,-13.4131736119212,-9.854087202241,-9.86052785809599,-13.42002237535,-9.17217110585868,-9.16560447813479,-8.07132266867303,-9.86323831062844,-8.06405978960657,-8.25364422546699,-8.75940707582087,-13.398922141679,-9.15904707758863,-13.4155477637824,-13.4207589518791,-8.25816336153762,-8.77601271918292,-8.76675794175489,-8.26955200850163,-9.18502256399189,-8.49095188021101,-7.67456588845665,-7.56755247986053,-9.85335148304233,-7.92938366911003,-8.48523802017469,-8.48606365621932,-8.77621855461821,-9.14793291184757,-9.17315758084847,-9.17931399337106,-7.65938098929978,-8.72750814029158,-8.48384321173468,-8.46753014639714,-9.15878388506178,-13.4123460759961,-8.05420489706441,-9.83531577243279,-9.84760479528845,-9.15069651904867,-13.4028572841217,-13.4119209783588,-13.4136727802216,-8.46389789435801,-13.4059314125697,-9.82547195555139,-7.89586156150016,-7.64926925367979,-13.4104729252551,-13.4119019980433,-13.409048672201,-13.4102823541051,-8.74549674034852,-8.05600393453571,-7.86972931290762,-7.87125669701429,-8.44451496591825,-8.43522362854899,-9.83209895644847,-9.83595789574253,-8.72583205652757,-8.72388210465849,-9.12918454501517,-7.88699398202535,-7.35484206178112,-7.27629038159506,-7.88565166390923,-9.1433989662223,-7.52983601110822,-8.22705477127775,-7.90095414053972,-8.0493738415611,-7.89867629556065,-7.35414904258874,-7.06229873880409,-7.9057049940701,-7.53758985333032,-7.07702325732703,-7.01734800267051,-7.56631101477246,-9.83408388239725,-8.75621009188674,-7.7823382074565,-8.76426158098272,-8.23536064375335
"OTU_195",-7.89309221425441,-7.37337430991005,-7.14519613499717,-7.90612620188974,-7.54194831669841,-7.55438720580061,-6.90554230584655,-7.46059491380702,-7.2966218519733,-7.91305063809734,-6.46914338779653,-7.04572213288875,-7.77191025643576,-7.65581143170381,-6.71327312440675,-7.28871750009064,-6.6346859188982,-6.85735632139829,-7.4621105011258,-7.03480245917166,-6.53176228419864,-6.76666290652268,-7.02929595175135,-6.05428283950013,-6.11625997540442,-6.97203334953873,-7.08475017427037,-7.42687369502635,-7.65460119187602,-7.66194529454878,-6.82494286619827,-6.46510737974626,-6.78260425716679,-6.39812685495313,-6.18831545646727,-6.13844673745663,-6.26463302119888,-6.98095410783157,-7.03656229399438,-8.06132912572422,-6.69636529969083,-6.01916249902448,-5.91863534278087,-6.13515251994188,-5.61805369724385,-5.68864280500921,-5.88079159148632,-6.04805489839638,-5.37902953334172,-6.20476494131289,-6.11415615092887,-6.32388446652425,-6.21366028096405,-5.57983611850333,-5.12898382639493,-5.9131319776214,-5.59173297084758,-5.38638211012086,-5.89805160487127,-6.55856547884131,-6.35215414878587,-6.89440337987616,-6.38986172539077,-6.95081476844258,-6.95564556748541,-6.58982544906494,-7.01813845405938,-7.28080314442335,-6.35077994138145,-6.95294107160389,-6.51439518015388,-7.10715243656635,-6.82072572000903,-6.93968451655408,-6.987598871811,-7.43366654016617,-7.12715851068062,-6.9332605693905,-7.18284048588091,-7.42394829069725,-6.74105650309016,-6.70366812605042,-6.37449231009721,-6.00082279569825,-6.40100735160568,-6.19333069997491,-6.22386244188211,-6.15623718509586,-6.22856430991599,-6.1050589284072,-6.31152127082197,-6.07224043853053,-6.02091781402148,-6.22781776266221,-6.71374832175458,-6.67213842512996,-6.97811018544115,-8.73536440110389,-7.02087385818478,-7.29656971025209,-7.02893124494553,-8.45855721593128
"OTU_1628",-9.14612179964953,-9.85885622839053,-8.46753014639714,-8.75363459967442,-8.45855721593128,-9.85744361403472,-7.77111980504689,-8.06699218946668,-7.78239033558746,-7.77946696745832,-9.14473461487819,-9.81912720391806,-9.85172046171425,-8.46700454983295,-9.84992853544157,-9.16109760539773,-7.9085972212591,-9.854087202241,-9.86052785809599,-9.86884434659255,-9.865370230423,-13.8963166024274,-13.8984531609183,-9.86323831062844,-9.16288182081648,-8.76457396709449,-13.8959320940311,-8.72658934546947,-9.15904707758863,-13.8966688028552,-13.9018799879907,-13.9005316833663,-13.9039218812688,-9.17227499116939,-13.9060482410021,-9.87822102528824,-9.87740021777281,-9.87220326249636,-13.9018983255703,-13.8934432994855,-13.9043080364931,-13.9024081833816,-9.8725127482367,-13.903907070457,-8.74241458252541,-9.86635665419792,-9.8725127482367,-13.8952076813353,-8.72750814029158,-13.9016627662748,-8.06195994107395,-9.15878388506178,-8.75447630628417,-13.8900415350361,-9.14211506298062,-9.84760479528845,-13.8891355085728,-9.14034700015565,-13.8930420195017,-9.85576681632472,-9.850350454123,-9.14660153100918,-9.82547195555139,-8.05006542291597,-13.8904534584574,-8.23959345430597,-8.06017159639367,-9.84638796049556,-8.2393294279018,-9.84421514107106,-9.84802769533176,-9.81596695500663,-13.8761899994667,-13.8828464478955,-9.82168078983204,-8.73337926216295,-7.88972673657264,-13.8796919909171,-8.43614581256291,-9.82238595109909,-7.26763278155882,-9.14713429607239,-8.74315942188736,-8.22223135231155,-8.45014485666311,-8.44644878689048,-8.04467974855494,-9.1539816383068,-8.45494537793671,-8.74618626751934,-8.04761613784083,-7.88945914940452,-8.05990833457828,-8.45420014208832,-7.54734344244752,-8.24175584538089,-9.86936183780675,-13.8840814197998,-9.16172769205549,-9.86214458900175,-8.76426158098272,-13.8894030547637
"OTU_388",-6.94804379789625,-7.02480602043277,-5.90005540220911,-5.64418033987194,-6.10516518704081,-6.07100013321011,-7.4525079086453,-7.46059491380702,-7.78239033558746,-7.29369772060144,-12.4226268570274,-8.72040610724157,-8.24207190100931,-7.90723102904408,-9.15672860252753,-8.06227519958854,-8.46837052671867,-9.854087202241,-7.55747290161475,-7.30327364597428,-7.29979736675816,-6.49004306652367,-7.29776828253138,-6.86651653096554,-7.77627282938461,-8.0712706056768,-8.0661029052818,-6.93401847328126,-6.85551416713645,-6.72294366805325,-12.4383580992448,-8.76909263372825,-12.4403999987369,-9.86547411033791,-8.7804801070333,-12.4419683045538,-9.87740021777281,-9.17900449166633,-9.17740387172992,-9.1601517303929,-9.18240375328316,-9.178488442527,-12.4392219371141,-9.87493374511807,-7.89490380895276,-9.86635665419792,-9.8725127482367,-8.75830762805168,-8.43977204444765,-12.4381408768671,-8.24433404785609,-9.85198370966901,-12.4299452024134,-8.05420489706441,-9.14211506298062,-7.90137735379262,-6.84715565685321,-6.07009301729408,-6.80640786407403,-7.65812259987197,-7.07697048827079,-7.75998737455557,-8.03344216490953,-8.05006542291597,-7.90068954127377,-8.23959345430597,-7.45377253100796,-7.44796316690112,-8.46252579007393,-8.45776160764681,-8.23837835523156,-8.42950886077135,-7.17772788908158,-6.93968451655408,-6.60150182094492,-6.69542264377214,-6.94467634141744,-6.99047313827636,-6.87718754688937,-6.82562288944352,-6.74105650309016,-7.64268399355704,-8.04985267958999,-7.52881552064718,-7.35110473762321,-7.63525020795349,-6.79111444790453,-8.46072865443511,-7.35590730822007,-7.64725579461988,-7.27405300584818,-7.75587423075296,-7.9057049940701,-9.14745381892099,-7.54734344244752,-7.65375842121776,-12.4376297989904,-7.53101633207792,-8.75621009188674,-8.47569388423821,-12.4345879480238,-8.74629230643572
