"SampleID","Week","AS.Bacteria.per.mL","AS.AOB.per.mL","AS.Virus.mL","Eff.Virus.mL","AS.pH","AS.Temp..oC.","AS.DO..mg.L.","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","Eff.COD..mg.L.","AS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","AS.MLSS..g.L.","Eff.MLSS..g.L.","AS.MLVSS..g.L.","Eff.MLVSS..g.L.","AS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","AS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","AS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","AS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","AS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","AS.Chloride..mg.L.","Eff.Chloride..mg.L."
"AS_1",1,44321048.61,1692200,3406695410,1025241517,7.04,14.5,2.6,68.5,7.794232268,10.13,6,28,6,2.1,0.03,1.7,0.03,2.453,40.689,0.378,0.786,87.921,90.136,10.231,5.875,0.598,0.245,79.497,77.296
"AS_2",2,159838257.9,3430000,2872150083,1133648728,6.91,15.2,2.41,85.45,11.23469273,28.32,30,36,4,2.44,0.02,1.96,0.02,0.914,51.181,0.19,0.465,66.522,69.54,17.984,15.648,0.27,0.196,71.506,71.306
"AS_3",3,175335342.5,7088000,2079156747,589401743.6,6.48,14.9,2.38,79.97,12.14329083,10.13,18,13,11,2.71,0.02,2.02,0,8.514,32.083,0.534,1.098,64.722,84.095,4.949,3.184,0.275,0.213,68.533,47.622
"AS_4",4,266882237.9,8564666.667,2279284613,714176484.4,6.65,15.5,1.96,103.1,12.82709082,5.84,12,43,42,2.23,0.01,1.65,0.01,0.241,26.465,0,0.793,64.927,80.392,1.2,2.066,0.618,0.256,64.294,68.933
"AS_5",5,406453493.5,18953333.33,2224325016,947619604.1,6.7,17.4,2.18,66.96,10.56412423,9.91,8,63.9,59.9,2.9,0.01,2.05,0.01,0.369,61.663,0,0.523,92.388,111.742,0.756,1.9,0.695,0.273,76.767,78.65
"AS_6",6,230254666.6,5587800,1957120240,720709519.3,6.9,15.1,1.9,33.98,8.787346221,9.74,14,16.7,1,3.01,0.01,2.12,0.01,0.707,37.978,0,0.314,112.458,122.585,4.361,3.135,0.378,0.28,78.816,73.114
"AS_7",7,402381085.1,8858666.667,1320790096,412533694.6,6.66,16.4,2.06,80.57,11.90051172,9.73,5,10.9,0.7,2.5,0,1.81,0,5.525,80.863,0.519,0.615,137.509,128.622,1.863,3.357,0.309,0.4,80.596,80.404
"AS_8",8,592270446.1,18982666.67,1418632838,437007398.7,6.77,16.3,1.09,95.05,14.05283867,8.77,18,7.4,0.1,1.67,0,0.95,0,1.224,24.107,0.311,0,107.73,116.167,4.033,2.286,0.392,0.28,71.793,60.348
"AS_9",9,707611356.2,21913333.33,1553959175,568748330.9,6.66,16.6,1.92,74.57,13.22926313,9.18,19,12.7,0.3,2.72,0,2.03,0,1.301,69.439,0,0.368,147.635,160.625,8.181,5.071,0.391,0.343,80.893,79.47
"AS_10",10,768716317.9,31460000,2534371936,1270217692,6.81,17.5,2.2,77.42,13.00221038,9.455,21,12,1.2,3.26,0.02,2.44,0,0.486,42.491,0,0.441,64.058,85.929,26.101,14.292,0.285,0.274,61.161,67.873
