"ASVID","SS_7","SS_8","SS_9","SS_10","SS_11","SS_12","SS_13","SS_14","SS_15","SS_16","SS_17","SS_18","SS_19","SS_20","SS_21","SS_22","SS_23","SS_24","SS_25","SS_26","SS_27","SS_28","SS_29","SS_30","SS_31","SS_32","SS_33","SS_34","SS_35","SS_36","SS_37","SS_38","SS_39","SS_40","SS_41","SS_42","SS_43","SS_44","SS_45","SS_46","SS_47","SS_48","SS_50","SS_51","SS_52","SS_53","SS_54","SS_55","SS_56","SS_57","SS_58","SS_59","SS_60","SS_61","SS_62","SS_63","SS_64","SS_65","SS_66","SS_67","SS_68","SS_69","SS_70","SS_71","SS_72","SS_73","SS_74","SS_75","SS_76","SS_77","SS_78","SS_79","SS_80","SS_81","SS_82","SS_84","SS_85","SS_86","SS_87","SS_88","SS_89","SS_90","SS_91","SS_92","SS_93","SS_94","SS_95","SS_96","SS_97","SS_98","SS_99","SS_100","SS_101","SS_102"
"OTU_1",3.40364036955716,2.76075243668174,2.20961003574263,2.03768969247449,1.86400191657218,2.28521852466124,2.74970588692864,2.49185157176235,2.99433950469733,2.31486590553484,3.10640690415447,3.49604391782817,2.84844155842875,2.91108725809847,3.16176069363246,2.94798819015333,3.48381459413931,2.91368557788285,2.82002500586334,2.88133566624094,2.80786451297631,2.83701882488853,3.02819027224661,2.69688508696116,2.61233194121543,4.30863559038121,4.24471048502155,3.71757217174897,4.28751178308824,3.94383609462712,4.36544514681386,4.41133929422152,4.93235048276224,3.83061254626554,4.07825985171958,3.93330621597568,3.48467707952745,4.04150529175366,4.23664657445281,3.31193322783746,3.62086387244152,2.48324614736454,4.34866347995606,4.103781658426,4.43973833092134,4.47805639815418,2.45472082518174,2.35485600080793,3.10650871826227,3.55178930716586,2.14339459343635,3.18931525648946,3.71641770685715,3.16430955635518,3.79704550169828,3.32516727810052,3.50345315977505,3.14992483602091,2.78187287165602,2.81245350002398,3.21554750808128,1.48914093461377,2.89358287582305,3.25488381357856,3.05093807268914,3.7561998986882,3.52601003510383,3.89461695454474,3.54631910171581,4.21193260823116,2.3297296168291,3.47637313330051,4.32476422509876,3.85048598012702,4.33631450960539,4.14064542377069,4.3516224208046,2.79247959380223,4.14870611612879,4.26655641479551,4.04380075516002,3.47766006452354,3.90245313174639,4.6953109723905,3.35132623268033,4.01716108863847,4.37025572365192,4.29526053415,4.30371382349258,3.79148938055634,4.37319609758389,4.89567876345914,4.2396575372397,2.56495395505577
"OTU_2",3.01886651439607,2.79875966264442,3.3712614343217,3.33003164725052,2.50885508777317,2.67748212091087,3.09058948995373,2.63064459593529,3.21131683585719,3.39169084001804,2.90993159992243,4.02074344065737,3.48214447237287,3.34823455525977,3.53688184078365,2.94356666489545,3.37503451748563,3.18224024807049,3.16466055312371,3.07057766587947,3.12639681412042,2.66847940760917,3.4265703304741,1.93002033050464,2.76481233503553,3.22611319062055,3.57686671556714,2.97146253895029,3.77308092783729,3.85765424899987,3.98741151630668,3.75250328316955,3.33866690585121,2.23074408484759,3.62457614164091,3.96613692270882,4.02809089288659,3.72185880749641,3.61148255424957,3.58716667133802,3.37880374641295,3.20680654223588,3.80814861876065,3.75293813483694,4.0234991670077,4.26526084283593,3.07120812407177,3.21947031120659,3.29322106147371,3.22710434517179,3.6805501577331,3.6186544849423,4.06932266672993,3.9941972604806,3.86019779519103,3.5934312646952,3.1401536809207,3.03482925159233,3.62134554370513,3.60300334911995,3.90082682744061,3.13404015727724,3.13561000954155,3.84313952164125,2.94548000081447,3.37394990519174,3.66796450045746,3.61983120570368,4.00804598376166,4.06845488354583,2.20852883666206,3.88860958153185,3.84470723483469,3.59017968242942,3.47198351666195,3.62950087160142,3.36433458775346,2.8178893093276,3.52649687624946,3.9079748925862,3.91152071358895,3.31126046074017,3.68451040116977,3.97662212830677,3.07418119304169,3.9741182657058,4.12358167492752,3.52897047721656,3.8321528041174,2.35017564384525,3.82387788348129,3.90878888583573,2.61322204843703,1.59714007015611
"OTU_4",2.19377281131988,1.92242324627729,2.51805116756874,2.84183364900646,1.92652227355351,1.77712141554845,2.11113480760517,1.84565061888424,2.43668747710021,2.49694797005127,2.16445180390441,3.14512966015288,2.64150910174263,2.44347502098481,2.72076415714581,2.25777786926669,2.63320766388945,2.31479965217903,2.31736269273651,2.29966235214412,2.51353405644633,1.89802329932062,2.73798358345769,1.25313367081648,1.89314778687249,2.59420276436162,3.18617127820223,2.09366007825017,3.03136929126822,3.05617717542729,3.24248594646742,2.92697776060966,2.86903985352576,1.42996624009528,2.72727185646748,3.22697576984987,3.37653492090775,3.15565732526916,2.80883738956735,2.76334255757074,2.37190872577188,2.25549277557216,2.95282116649248,2.90820218874594,3.20565493532227,3.38830004509652,2.07233080118834,2.31324524308809,2.40607432426864,2.25945682886213,2.86394074818441,2.88959764052634,3.24682636374383,3.3113211105364,3.18524396059229,2.95404402401609,2.37887644169696,2.41164065963929,2.83856080795259,2.89808143201547,3.28808685246237,2.60867112194356,2.56579655515852,3.09991177846899,2.40996176445811,2.71224087082658,3.13943097842844,3.19231448739784,3.48198221380808,3.70297135228555,1.89531346220511,3.19505331935442,3.18112825505669,3.05910589783348,2.87385878751994,3.01553723941086,2.71278663738483,2.3224759645565,2.89812271090719,3.47469326129641,3.39887442477747,2.70977159956578,3.16306179001249,3.49681940055278,2.36756277149187,3.38420270508963,3.47163736872485,2.99318425211412,3.3011753649141,1.86466782806355,3.16307061089919,3.40603595979485,2.0428341635197,0.71475088995764
"OTU_7",1.61840866641632,1.09574467309282,1.59545126650132,2.46466100580362,1.05802220551571,1.22361770096995,1.86763902744206,1.10906803929253,1.68836273511427,1.77586940480215,1.53019463934869,2.7318008155845,2.03955215924728,1.74137064682085,2.06928967298643,1.43319178481392,1.96072712013806,1.58345072939342,1.62692187377431,1.60792065319291,1.88984367686438,0.978596129956332,1.75479225747325,-0.389094064440613,1.27170761692873,2.16362067164568,2.40367124143039,1.24947264027736,2.3448352666,3.0233873526043,2.86796052189408,2.47375232663008,0.801574502892636,0.331353951427173,2.02722016056099,2.88414776159699,2.91926326547706,2.41515435802693,2.26060458871515,2.4542993581196,1.86784164085917,1.82242240137211,2.5134934255434,2.42679045018624,2.45199962196693,2.84392587312971,1.60892785597396,1.78094640161536,1.75459984010926,1.97494433117163,2.48014046530349,2.32546072650781,3.17506201894944,3.15198907196714,2.75421446577833,2.84346899073549,2.07071881183068,1.0253462985194,2.6330388579882,2.75848868006453,2.9787929368951,1.85986309427806,2.38705602278227,2.70993821539094,0.888229432443113,2.34191451298479,2.67494569192115,2.70135706684858,3.18261928174355,2.59088098088779,1.17498014134101,2.95165695759374,3.28375948569247,3.09171241940035,3.39470596974695,2.89011211060259,2.72922536372799,1.95453329577142,2.92587015578769,3.02753197241066,3.31413836162498,2.787594550501,3.15248828768203,3.487937630418,2.30218001222902,3.52619860837189,3.49199238736701,3.0814768592598,3.43957191784895,1.406360238581,2.75131769489201,3.1344162653532,2.02828845251732,-0.0961793262586892
"OTU_10",2.59811115874545,2.46037753743154,2.47958488674094,2.40474535246778,1.85402677151536,1.92149302272584,2.62196043137116,2.10956247200211,2.52619262096824,2.52993093628385,2.41730558211407,3.23814271826904,2.89044773406291,2.56676304619457,2.85402955695057,2.3008261228352,2.71021167050282,2.50409334877004,2.30919938209735,2.49687483090331,2.19999860516822,1.97629794416919,2.29805890740714,1.13937478545982,1.59016134804726,1.93190635952215,2.13930861132375,1.86112678658612,2.24385934925999,2.36101183071111,2.59979992118732,2.47545735688116,1.58569346165831,1.26566318880401,2.54540891009202,2.78931997446966,2.8474375309058,2.22612136664499,2.46516104776099,2.01649886936849,2.65959079822366,2.09665566401128,2.8330610083166,2.54796725528735,2.92447544035806,3.02502118820042,1.50161612018487,1.70862574003574,2.13422371703354,2.35042860706785,2.28930120348852,2.1039852322943,3.03658357494694,2.73947438044472,2.51271606723508,2.73620552493158,2.17906781525371,1.74076611468847,2.30222742463939,2.34521103221958,2.39199882790574,1.56880833734764,2.02037329708694,2.33082193697952,1.41570949111424,1.83042465804194,2.33165782876488,1.91970708471233,2.56569148193393,2.25050733836037,1.15107462048746,2.85415230488827,2.9832731409947,2.43545651177046,2.26748314703757,2.46496686212849,2.08383261446395,1.78515872534353,2.48618889456195,2.74634963608935,2.55081697453225,2.10566625354585,2.64872407294306,2.6659981286933,2.00023975915018,2.89323099198607,2.69514169235687,2.05467038345526,2.84481864950954,1.12640021222313,2.43758352236139,3.0155337243634,1.60620246317312,0.266726167430679
"OTU_12",2.49986544561484,2.14055425576796,2.39364245694022,2.40021704284304,1.8078647297522,2.0434601649048,2.46524235603866,2.35244126743806,2.3314656673168,2.18624852771274,1.72550339166946,2.86467409696447,2.50869532665877,2.2501375977033,2.93707591416831,1.99423989574427,2.82763660409629,2.74054742442807,2.57722225958899,2.48057644917019,2.83177683935187,2.00858944880571,2.2964878151751,1.73781401447815,1.99128805455683,1.86922265722846,2.42165733780017,2.00170873720731,2.35978881626705,2.69169533915608,2.81127637887166,2.51879747298928,2.45525711712449,1.85543201491012,2.40537182670536,2.5457436238678,2.57150647498954,2.50772439302039,2.5045159981116,1.81138430304598,2.07109965988628,1.37804187701427,1.80445888522114,2.48618290275527,2.57132162681791,2.51009719804215,1.6297619428768,1.62161436304611,2.04863921305651,2.248283528264,2.19017580797569,1.9680700483145,2.45589273302629,2.56832612424889,2.3603952140849,2.28693779416502,1.90446466321529,1.73191649941149,2.43442814507821,2.31838378998643,2.49055050163423,2.01545573542222,1.94819769268427,2.57501889749157,2.07215530482376,1.7687612909363,2.22905159381734,2.16469974846906,2.4182387507908,2.48650326629187,1.36123097627486,1.40492917346709,1.76429717007672,1.49953981543956,1.32715921571926,1.56221271597187,1.05524893015632,1.58112668217868,1.954498132332,2.46676477387019,2.39784762975083,1.71928761132822,2.52806138763011,1.93141375826918,1.30447819801616,2.12004110375259,2.58313663398037,2.26195856297968,2.57963918109147,1.37085355012409,2.44155967074103,2.70447830072631,1.42945195142862,1.30561922139717
"OTU_9",1.19476123922496,2.3780003958128,1.77988030563484,2.31828147070125,2.68508171929963,2.84060994583583,1.79747724875013,1.72702830495787,2.12243837726371,2.40546280088707,2.57510274904494,-0.643421079674396,1.32788593092009,2.16635270874803,-0.0997640273830944,2.48735231091119,0.99194620564251,1.66708152846584,2.16546782257326,2.14316480430704,1.5684093176077,2.67713747035229,1.26623926931638,3.09896036131481,3.27101344065733,2.30390631133576,1.55999657341261,2.48342627681523,1.10051116675049,0.689053561295677,0.733256301539198,0.274819806948703,2.0943428060017,2.00248543286661,1.05023263336526,-0.122500326833993,0.0959022178638538,1.45090923303074,1.11822163699171,2.44363665237556,1.20530909611884,2.06121888525437,1.12193127348865,1.31846934739117,0.646281800488173,0.8104694446917,3.36799496351647,2.86742682571495,2.21144327300339,1.59448052526888,1.85953661742297,2.99751897704584,0.408654331841091,1.19527698987902,1.52821708533439,0.882232871201948,1.83339062552452,3.26375316582204,1.71565582671544,1.13632421309121,0.506713300666858,2.96518681753415,2.44562839034616,1.93066188110105,3.29097068218762,2.92125480626799,2.68744585468538,3.17630066014754,1.90429299968856,2.04095263110806,4.22957541185273,2.35968618616904,1.35300114165776,2.5135947160796,2.35822546218584,2.49185923902758,2.65449010456991,2.5619559351904,2.53624248277815,1.80145239230369,1.51408008958223,1.1781566380669,0.597303043595395,2.06782561375906,2.9284693818603,1.27377152109095,-0.712700232023957,1.8934724581126,-0.133660375896889,1.41792106098208,1.38946739770782,-2.58041604548959,2.06779089549357,2.78722376232138
"OTU_11",1.90157605851357,1.6457910100121,2.07998489808518,1.95146851702736,1.43721938680326,1.30983887641708,1.93974232134341,1.48929521481083,1.97141670013159,2.02142012836631,1.67024071299441,2.7979827224658,2.31975218240634,2.0619254642732,2.37467132253761,1.81039045477226,2.26754314717639,1.99202625991598,1.94192987172722,1.91919854624137,1.98672680233316,1.37881188217835,2.18341067055613,0.831408041836534,1.56384403972989,1.80234537456788,2.34384031544336,1.62253432433086,2.18154058486074,2.37704423824216,2.52312003560235,2.38082837601326,1.97287652492902,1.21060341162098,2.19675827772927,2.6032779775618,2.56054317019227,2.20364851079293,2.32688142679777,2.10838878076802,2.09202092504692,1.87929804976411,2.53771606311925,2.41382430418897,2.68106619158427,2.82761713508779,1.58045618189264,1.54610681053796,1.79215118576139,1.76177199865719,2.25219745328515,2.07223653397972,2.5692214183333,2.59030503096766,2.48888650440209,2.14651228175888,1.82216716315467,1.70488782702357,2.31431216385446,2.09599524059559,2.37761009045364,1.49400712426494,1.73590976619696,2.24574292774095,1.40665965559432,1.89786593883747,2.21121167568901,2.0819274621852,2.46212147704989,2.56579005889426,0.895141246350257,2.22884658521023,2.42993770484683,2.20388532130953,2.13808943193559,2.1767167692127,1.95104114048214,1.31917385569271,2.12317277528477,2.63008982997349,2.56664843974893,2.00098164193538,2.52193579420342,2.53404693128829,1.78230455294311,2.6178190121261,2.70829977693438,2.26195856297968,2.55847436989942,0.903256660908921,2.26398871670568,2.69769861374093,1.37464371493362,0.126964225055521
"OTU_15",1.76869086946566,2.0494229370386,2.75543250154572,3.09939742420715,1.83121209374919,1.86572099480045,2.12928412611085,1.71435386406114,2.4770599323906,2.51944743898899,2.79225135503552,0.918763947909158,2.31453931221781,1.91767585542866,0.352221096359963,2.33533610361257,1.61052469070495,1.72551261190168,2.35067689942049,2.24026763472589,2.57756490813832,2.39582079176758,2.23488000578561,2.57560609986565,1.51954378083331,0.805050858540642,1.72314821409884,1.2451153349084,0.113124513192607,1.00848433206204,0.475427192237099,0.53124933589638,3.20916290489667,2.66526151555026,1.21397780458628,1.16787391240716,0.595554541031719,1.66701050171954,0.602911700778394,1.53800862624544,-0.686798346943501,-0.28018619958926,0.751071694557966,0.722847186965101,1.69127299771718,0.625898168163731,1.40317604737162,0.846402229431857,0.970723806159553,1.52084727422542,0.520455993783344,2.07008368061862,1.82272825706806,1.23539698366844,1.16793420001946,1.60204829884406,1.8378449758739,2.83790889537722,1.52344951068894,1.46502530498754,1.79416182715012,0.355785697501783,1.99688885185387,2.80259704587364,0.289698228258017,2.59101311939742,1.98556499415668,1.68152565603358,1.93809037927185,0.636081884415229,1.41219741986688,0.874300922404923,-0.177744502200674,1.00951731930333,1.12573748755189,1.15253707532736,2.45593202872831,1.38137006356262,0.518811015882531,-0.0509316987407993,0.420455342425159,1.37321722063829,-0.737698023136945,0.740179979720674,1.26169092281095,0.758138195756857,-0.572938289648798,1.30370363200649,0.0129430982949867,2.76315393530419,0.262034670504216,-0.845814990101483,1.11929702312478,0.981379553211588
"OTU_18",1.53057795304329,1.4115976225113,1.26905468186885,1.55895238326,0.601263803019992,1.32708068285159,1.65784061180713,1.31904112741699,1.371227395749,1.41496314284366,1.34787308255474,2.16690797054823,2.02569512458585,1.3799101240821,1.82812761616954,1.25020110788794,1.58437941060062,1.73358802590722,1.14714087169028,1.35700742852821,1.28766827451016,0.53850705728212,0.910193454055208,0.458203795946591,0.909917572323228,1.00926639996933,1.72314821409884,1.49497309869284,1.76716673186346,1.9185054509226,1.86172155335699,2.0246883344676,0.82510500030283,0.498408036090339,2.00621588779046,2.06928945451627,2.0284965909434,1.41972630559405,1.78415625402677,1.4343301967706,1.99877899830665,1.4834023926721,2.37871031163891,1.74166255879291,2.18068452697936,2.22719492301413,0.610399025862828,0.839801545400505,1.31672748904632,1.82500418388071,1.34104812091141,1.44362787455734,2.30718177649485,2.17829682427056,2.07939400462395,1.97859036748297,1.68960273273281,0.94078891049134,1.73460091295789,1.72848008210399,1.88117320413975,1.23503515769559,1.09045041642273,1.49702589602619,1.04998471165559,1.45119056208265,1.93413978234925,1.38878028162525,1.98817448366926,1.69647296026314,0.785140351135928,1.88892755499994,2.25159229643252,1.5129628357717,1.45984565687822,1.49711381376051,1.43130015305819,1.14431104418644,1.60894867755967,2.00319203495475,2.1480079104822,1.61558409687802,2.07170467222555,1.90016121476508,1.43669983275862,2.38666976700654,2.12637823148466,1.8901666699781,2.16892471709716,0.713213058021056,1.59888075621013,2.08616276862714,0.940605234381402,0.62773951296801
