"ASVID","SS_7","SS_8","SS_9","SS_10","SS_11","SS_12","SS_13","SS_14","SS_15","SS_16","SS_17","SS_18","SS_19","SS_20","SS_21","SS_22","SS_23","SS_24","SS_25","SS_26","SS_27","SS_28","SS_29","SS_30","SS_31","SS_32","SS_33","SS_34","SS_35","SS_36","SS_37","SS_38","SS_39","SS_40","SS_41","SS_42","SS_43","SS_44","SS_45","SS_46","SS_47","SS_48","SS_50","SS_51","SS_52","SS_53","SS_54","SS_55","SS_56","SS_57","SS_58","SS_59","SS_60","SS_61","SS_62","SS_63","SS_64","SS_65","SS_66","SS_67","SS_68","SS_69","SS_70","SS_71","SS_72","SS_73","SS_74","SS_75","SS_76","SS_77","SS_78","SS_79","SS_80","SS_81","SS_82","SS_84","SS_85","SS_86","SS_87","SS_88","SS_89","SS_90","SS_91","SS_92","SS_93","SS_94","SS_95","SS_96","SS_97","SS_98","SS_99","SS_100","SS_101","SS_102"
"OTU_1",-1.91729296883975,-2.5241418003515,-3.22590585074943,-3.42822025693182,-3.51047082734784,-3.08025421567251,-2.59137873311217,-2.70859714021027,-2.32205128898212,-3.05527449775426,-2.20641643669609,-2.2254181483083,-2.71165282879643,-2.42629184519005,-2.31117234674439,-2.30859640059085,-1.94008833637477,-2.47788037578978,-2.48783950323564,-2.43031154054877,-2.50522603137055,-2.46407900754753,-2.38745726975854,-3.6712116023996,-2.71565362046219,-0.99047929719362,-1.25494067865236,-1.51911160786705,-1.17963033285816,-1.70293581355771,-1.33904390095556,-1.11583448525455,-0.651244473461848,-3.07270603337196,-1.35445943319497,-1.74947534449391,-2.20013699878325,-1.41530068862789,-1.32398941769752,-2.13323812695387,-1.76990356844198,-2.92311919077404,-1.21931014545239,-1.38070986241659,-1.20708786068112,-1.28292452972021,-2.95625851633957,-2.9718690112807,-2.18467828730223,-1.76689610680938,-3.35010572050444,-2.25147697350472,-1.97243304800422,-2.49134844185548,-1.75667332313739,-2.10916280813329,-1.72216617742886,-2.71020073956544,-2.62817994641606,-2.59697274332076,-2.42903820203497,-4.04245202970507,-2.41752798365559,-2.30181069047726,-2.28200604495829,-1.83333662648303,-1.94629368758646,-1.61719564713978,-2.1246097944,-1.45360632452091,-3.42651518964645,-2.10414921916223,-1.34611481766603,-1.67962034792604,-1.37691719930729,-1.32616786139351,-1.11114077454575,-2.50902122191938,-1.40886418739232,-1.43722508978843,-1.62218500716884,-1.94392405108368,-1.63889545967609,-1.01600000376306,-1.98762424046779,-1.80112901784295,-1.36609165380237,-1.22576002969001,-1.39643572924439,-2.71587107281839,-1.23678117675521,-0.762794419976018,-1.65501263974956,-3.90843579304213
"OTU_2",-2.34795041490683,-2.48302572613428,-1.97302354199052,-2.04628598034088,-2.83817954595804,-2.66567353494327,-2.2195921412493,-2.55983425679477,-2.08102256967715,-1.88284828925509,-2.42233986770527,-1.62326500871868,-2.0173931425457,-1.93948305937341,-1.88987366188636,-2.31345636209981,-2.06357040246586,-2.18313189765405,-2.10841663447367,-2.22256407235492,-2.15558457019159,-2.64572929438674,-1.94307656558491,-4.45161131643463,-2.55221527747576,-2.29261186111529,-2.05284158065558,-2.37416461879441,-1.81061740517614,-1.80404610865984,-1.79635617207952,-1.92145334171126,-2.5923835683522,-4.70885583044412,-1.89810127044861,-1.71082488580128,-1.57336867100429,-1.7992760409977,-2.06575990986503,-1.819751833073,-2.04793258297231,-2.14077824073052,-1.87614824834409,-1.80330718707939,-1.72029542679656,-1.54749453006128,-2.29442178235488,-2.0342928081166,-1.97459811270638,-2.13786406706387,-1.67587948159361,-1.76404657257621,-1.55884968215084,-1.54822126777411,-1.68220442452839,-1.80284878020259,-2.13846545172718,-2.8325026624827,-1.68892409356916,-1.71239587872833,-1.65302385623679,-2.32133476776976,-2.15078843588339,-1.63001413341773,-2.39762916200601,-2.26512861400544,-1.78231770738527,-1.93856119877347,-1.59019174484897,-1.62784579515448,-3.55141878334952,-1.62767549998388,-1.92077317001266,-1.98176916428276,-2.37755164763572,-1.93828641768812,-2.28618057327401,-2.48151580181979,-2.13833564519773,-1.86495258282271,-1.77863752324205,-2.13202880411882,-1.89416172305102,-1.90492526517359,-2.29739770992815,-1.85110388148428,-1.66703273896868,-2.13798342109803,-1.95696390009387,-4.20644700580586,-1.90183990421837,-2.00628783311158,-3.42426265459315,-4.8886191736341
"OTU_4",-3.22534136463284,-3.40694472289892,-2.90300993736064,-2.5831896496304,-3.4460206842707,-3.60648953430984,-3.26469629517901,-3.38601939098639,-2.92076923508054,-2.86373947427513,-3.21338417017828,-2.6078018258278,-2.93092570979604,-2.92637536857194,-2.78691381784915,-3.04717218475875,-2.86979543617067,-3.11388172549668,-3.02280159552221,-3.05006594832971,-2.82016281196826,-3.45359306054574,-2.7005397628762,-5.13421590783884,-3.46820587149678,-2.97074914879516,-2.48421484761582,-3.30493347617801,-2.63451078766749,-2.6924042454449,-2.62482931218922,-2.82604210062028,-3.08967240245214,-5.5145888745198,-2.88044754800663,-2.54021228919388,-2.31957093257189,-2.43455026771387,-2.93600066253816,-2.7306334616039,-3.13351907481368,-3.16176400283742,-2.81586819130841,-2.73785048507684,-2.63344983828631,-2.54157511932956,-3.3550417132542,-3.01556465434249,-2.94023080911851,-3.17606773237632,-2.5918269920859,-2.5780850011749,-2.4928442855522,-2.33113762134152,-2.44450468367452,-2.51721591790432,-2.96064788404582,-3.48262513110835,-2.56727144565151,-2.50466227466355,-2.34984694842557,-2.88602758687263,-2.76992261527921,-2.47104770421152,-2.97015802243456,-2.9758663705283,-2.37764123209617,-2.41492786483219,-2.19636399208517,-2.05170296773103,-3.87231788378027,-2.41493422457754,-2.65299042391918,-2.56807674646092,-3.01659231873447,-2.61620486966338,-2.98524934233089,-3.00907424485011,-2.82023381080686,-2.35127013232764,-2.35682014576189,-2.78573639054926,-2.47494620561508,-2.43989751180127,-3.05369406160867,-2.50867028641884,-2.40555127460424,-2.72151229271013,-2.54451627114291,-4.69766893077906,-2.63235354833254,-2.56081765371427,-4.00871064109292,-5.7754138375699
"OTU_7",-3.81794329951146,-4.2520942002001,-3.85812806186292,-2.98381760330132,-4.33285097954569,-4.17146649381412,-3.516415691274,-4.1400890010493,-3.69709102924251,-3.61370991073526,-3.86635541193691,-3.04577478603989,-3.55672326225622,-3.65515517597178,-3.46745636073836,-3.89808009945913,-3.56966072925794,-3.86801577728561,-3.73721906634964,-3.76517704175528,-3.47113256997188,-4.39186032402457,-3.72491161730694,-6.78118373729267,-4.10397070097387,-3.41910830822869,-3.31098007923237,-4.16982839903401,-3.35606342559879,-2.72737613527758,-3.02173533057249,-3.30062880455605,-5.19612642565149,-6.61588262009352,-3.60835549131778,-2.90566766029056,-2.81228797450955,-3.21987866633617,-3.50638657643555,-3.05685587959149,-3.65468752617559,-3.60961040807093,-3.27625215619611,-3.24368625778271,-3.42442389550354,-3.11847033303992,-3.83130755689533,-3.56789362055303,-3.61669271213811,-3.47086513085314,-2.99921457538987,-3.17443013300287,-2.5703174945669,-2.50468226867106,-2.90546484473467,-2.6362015447139,-3.28244556703177,-4.89170294958876,-2.78695016674301,-2.65484368440233,-2.68419967014094,-3.66382061285387,-2.95886803107128,-2.88794162304287,-4.5312031316795,-3.36185448308969,-2.87601340311379,-2.93997114727666,-2.52409109886628,-3.2465254253843,-4.60327863435222,-2.67745467514865,-2.54271669055927,-2.53292541674424,-2.46170509026746,-2.75020760645969,-2.96797280263145,-3.39209088731336,-2.79080827855173,-2.83219746235292,-2.44922237578044,-2.70290880160179,-2.48640457340164,-2.44954977894471,-3.12205871871469,-2.35418091347678,-2.38333937292793,-2.62712962106637,-2.39439782505786,-5.15932257170042,-3.06808678581825,-2.8506429791915,-4.02351850965349,-6.58806641039527
"OTU_10",-2.80100031619198,-2.8450932632516,-2.94354418611366,-3.04667158963596,-3.52074253231194,-3.4578927253387,-2.7280682759916,-3.11183386583042,-2.82620522912013,-2.82884145376738,-2.94889175536836,-2.50757920960896,-2.6667928087303,-2.79603082793713,-2.64482676768193,-3.00203260941024,-2.7882416211745,-2.91528625875662,-3.03136047578678,-2.84247611269391,-3.14961080750938,-3.3727396461258,-3.16408969881486,-5.24860810543959,-3.77930760632095,-3.65757165491409,-3.58378157798487,-3.54505265762831,-3.46038306019937,-3.42093398710508,-3.30128965458792,-3.29886087133278,-4.40539281120295,-5.67950197951472,-3.07159739623909,-3.00543307883278,-2.88826815470129,-3.41577080624324,-3.29499623095208,-3.51119501656861,-2.83120912762113,-3.32680171252082,-2.94236102151959,-3.11747007193815,-2.93208224647754,-2.92855633064499,-3.94082302472108,-3.6421808511047,-3.22458376184673,-3.08111188515572,-3.19867311755068,-3.40417904319923,-2.71864159096651,-2.94443897916644,-3.15863574449084,-2.75072444739849,-3.16979177865711,-4.16840533376535,-3.13496546509066,-3.09164387674508,-3.30085073057832,-3.96132783764805,-3.34135018162408,-3.2844776103271,-3.99621509664849,-3.88713103741963,-3.23554463574821,-3.74989030510952,-3.17724705337801,-3.5980616559977,-4.62742079492291,-2.78132490383146,-2.86341107945158,-3.22668973953358,-3.64498822043326,-3.19724665823252,-3.63751798178192,-3.5666928611764,-3.25208805346959,-3.12770948650575,-3.25761906452924,-3.41742736705061,-3.02256787362851,-3.31873785669807,-3.43541800050418,-3.0307253470617,-3.22961267998031,-3.69928857391139,-3.02923437017923,-5.44068460783496,-3.39426771640528,-2.97598410022071,-4.45174549954709,-6.22455842927536
"OTU_12",-2.90491447543776,-3.18070246924214,-3.03381547827601,-3.05141456063322,-3.56823800637876,-3.33183164019065,-2.89422038355746,-2.85664059167927,-3.03135910445644,-3.18956143719943,-3.66652114448713,-2.9061201148643,-3.0703525145576,-3.12908977161614,-2.55561185046046,-3.32165285352374,-2.66312076954689,-2.66427194212537,-2.74839559303728,-2.85971624076328,-2.47933560473854,-3.33932197794407,-3.1657271194388,-4.6458544226758,-3.36684595369486,-3.72182142604334,-3.29233168732212,-3.40010388784078,-3.3405843553258,-3.07735907812174,-3.08110052800454,-3.25388388757135,-3.51876103950688,-5.08698497616217,-3.21767256960128,-3.25965720942683,-3.17753448471176,-3.12342539132634,-3.25415226987091,-3.72183194846861,-3.44558173380457,-4.06365350546566,-4.00428746470416,-3.181903265575,-3.30096591474243,-3.46477291360708,-3.81001691847033,-3.73137277845681,-3.31342525910522,-3.18770480878028,-3.30164298547473,-3.54430883251255,-3.32797479832184,-3.12383227618131,-3.31694105595627,-3.22284802472863,-3.45443265612904,-4.17739130028334,-2.9965974118637,-3.11967288170799,-3.19847496041142,-3.50390307957787,-3.41598698915607,-3.02986527992345,-3.32256204247471,-3.95001981144558,-3.34197975907985,-3.49834670748959,-3.33040048068784,-3.35475220652349,-4.41497457276323,-4.27687034652621,-4.12180638798624,-4.18644183294956,-4.60110789197921,-4.12401213992401,-4.68286901179164,-3.77592512406837,-3.79960956380843,-3.41792497172664,-3.41603171049663,-3.81426206376475,-3.14874817672316,-4.07198096613524,-4.14719859265206,-3.82958030072278,-3.34580211844059,-3.48628529658989,-3.30561374969716,-5.19502966765324,-3.39015783348849,-3.30058035261675,-4.6303829884595,-5.18204280795244
"OTU_9",-4.24915033542359,-2.93205643612031,-3.66941492755,-3.13706362700888,-2.65060918889688,-2.49014533411717,-3.58858821773995,-3.50842014211415,-3.24944647913394,-2.96020028673452,-2.78209796345212,-6.4659054325399,-4.28281281754451,-3.21638533120384,-5.66376620703813,-2.80526574826608,-4.55576606092815,-3.78256027910803,-3.18153095374629,-3.21340033538254,-3.80107476818725,-2.63645405349957,-4.22274165146527,-3.25646271090903,-1.99330918902985,-3.27387950474108,-4.17523079588408,-2.89751915010582,-4.62490873331244,-5.11908779881886,-5.19849703126583,-5.53180720991639,-3.88861388253785,-4.93895260560669,-4.60209798695112,-5.9630148856399,-5.69060967326694,-4.20854744759391,-4.6689953655097,-3.06801732069552,-4.32967485910785,-3.3634878840966,-4.69579591534848,-4.37781044193834,-5.25699323794743,-5.18964300160756,-1.96217763107346,-2.42440916316185,-3.14416620537602,-3.86111949861131,-3.64259568828705,-2.46147425444124,-5.40597102558956,-4.52919812932977,-4.1693974659386,-4.65717268828771,-3.52767268856247,-2.58832002604291,-3.74065760361784,-4.33189937008742,-5.2169158930329,-2.50532115184377,-2.89716141054982,-3.69691585860647,-2.01388961587679,-2.75492526733554,-2.8628040707574,-2.43236050275995,-3.85862222870103,-3.81277871678776,-1.32239903818375,-3.29967296486722,-4.53855543690611,-3.14532074157277,-3.55176160340691,-3.16923953168828,-3.04640311950228,-2.75615425889824,-3.20004646117105,-4.09903940652631,-4.31888713445002,-4.36456741330211,-5.1155325445686,-3.93307501641471,-2.4566473124736,-4.68817474543565,-6.67500321338882,-3.86416310150176,-6.05258440231327,-5.14769493787456,-4.46394694916936,-8.62149314487674,-3.98329496795381,-3.68115740802003
"OTU_11",-3.52755757204247,-3.69155444456324,-3.36034831291791,-3.51711805579848,-3.94758097915585,-4.08385495555108,-3.44208893898025,-3.75246904272931,-3.40589144998184,-3.36062958304804,-3.72315735541576,-2.97633350558235,-3.26725326048334,-3.32478096830879,-3.1508706501957,-3.51154543883102,-3.25267926693753,-3.44883666528103,-3.41335201081245,-3.44540458638937,-3.37108243265821,-3.98553430838213,-3.28330430474019,-5.55796672579018,-3.80621794653117,-3.79026232880229,-3.37292740812577,-3.78975387437189,-3.52459817958903,-3.40437324776937,-3.3806848250064,-3.3968182692528,-4.01241918963768,-5.73474470026017,-3.43379854303755,-3.19984606177482,-3.18895223168908,-3.43897341964916,-3.43805159510004,-3.41642700132563,-3.42398611431262,-3.55114970025193,-3.25110304115343,-3.25715494792021,-3.18693813231738,-3.13549421592915,-3.86038764228144,-3.80862135425565,-3.5781125950911,-3.68998849947013,-3.23726245111864,-3.43696576797289,-3.21033294464999,-3.10087537427455,-3.18346520741714,-3.3684796512362,-3.53922392306807,-4.2048289148798,-3.12235169531173,-3.35083050343403,-3.31576578383204,-4.03750020528613,-3.63453727359482,-3.37260722210389,-4.00543054992301,-3.81825821474562,-3.36044482917519,-3.58351893845611,-3.28491143589849,-3.27258000384006,-4.8855601102367,-3.43502724618056,-3.44071174870176,-3.46643165180156,-3.77754736619928,-3.49568077349049,-3.77357676518455,-4.04314508086525,-3.62681454621942,-3.2487670628696,-3.24117336963961,-3.52536638992846,-3.15513575600411,-3.45515379346919,-3.6596412173689,-3.3176934061535,-3.21593031463844,-3.48628529658989,-3.32754636436925,-5.66469508594815,-3.57319729064806,-3.30760907459283,-4.68571114437869,-6.36457862499849
"OTU_15",-3.66409155274601,-3.27544691030128,-2.65082175679898,-2.30318641592257,-3.54422414848514,-3.51537180826726,-3.24584694164299,-3.52147164270389,-2.87817403277323,-2.83994090426927,-2.5498209097626,-4.89783979995091,-3.27266426163709,-3.47385212268898,-5.20979658651976,-2.96577651329487,-3.92815032283977,-3.72275848301346,-2.98783749570698,-3.11218772853082,-2.75218335620579,-2.93517903243862,-3.22985215326293,-3.79539260036676,-3.85148113280114,-4.80171305550512,-4.00935134938871,-4.17425289741492,-5.61842841574097,-4.79740339714471,-5.45758100332514,-5.27421981496898,-2.73093740482666,-4.26942015547361,-4.43656660602233,-4.66584218133694,-5.18876580856886,-3.98885316507727,-5.18807604525573,-4.00097693887711,-6.23290632670357,-5.73569825970546,-5.06948162500598,-4.97905025162522,-4.2023498823838,-5.37515327473024,-4.04108321027706,-4.51942594842183,-4.41506421919643,-3.93624552942248,-5.00081375753774,-3.43918778480187,-3.9778235723166,-4.48863636973214,-4.53434689676263,-3.92730044561133,-3.52308719927119,-3.03988987521669,-3.93700632038979,-3.99807056111722,-3.91513504113478,-5.18763970961259,-3.36565570114208,-2.78986125583249,-5.13457219532702,-3.10290016114191,-3.59308043304167,-3.99304425515223,-3.82409937505459,-5.23417876543179,-4.36337551804778,-4.81320009949225,-6.07764224334903,-4.68233545463437,-4.80435969487703,-4.53911152267788,-3.25348426949332,-3.97982253535046,-5.25220715240622,-5.96531305837511,-5.42132718310035,-4.16676334478498,-6.45494695936345,-5.27500987019049,-4.19064779076742,-5.20750908616342,-6.53505194281266,-4.46323624367075,-5.90560952607441,-3.78582139930617,-5.59913645352391,-6.88605084439636,-4.9431348149312,-5.50783661217869
"OTU_18",-3.90761988327478,-3.93094016456035,-4.19038546913238,-3.91922507830273,-4.79441218562662,-4.0663201946689,-3.73182023987386,-3.92638901534925,-4.02094239815504,-3.98274818008703,-4.05215998403279,-3.63098547569503,-3.57097286431343,-4.02442875573655,-3.71528109012879,-4.08445647842753,-3.954803346037,-3.71448709944789,-4.22603656405857,-4.02121731792101,-4.08727085408301,-4.83634642932463,-4.58316891703466,-5.93237148994265,-4.47075928583106,-4.59563441887303,-4.00935134938871,-3.92001816963792,-3.94891783563601,-3.875058863798,-4.05841255299604,-3.76293967875649,-5.17246406300737,-6.44858506351972,-3.62992280955346,-3.75056137862567,-3.73786109746059,-4.24018674300149,-3.9941431293743,-4.10645579817145,-3.52012454370104,-3.95638159595674,-3.4157864998383,-3.94798207687025,-3.70344813826891,-3.75535326077839,-4.84343689887652,-4.52609830933384,-4.06404833399864,-3.62512493928857,-4.1716221091371,-4.08047189853132,-3.4816294974403,-3.52796819031081,-3.60678662377544,-3.54171148653987,-3.67538677406946,-4.97686895978269,-3.72125839949156,-3.72906909615294,-3.82630948715412,-4.30048909961055,-4.29247191918724,-4.13923988212999,-4.36755554864019,-4.27281567348472,-3.64588381485777,-4.29045944114839,-3.77289304721697,-4.16367407737491,-4.99634766376724,-3.78418963391826,-3.62427743889717,-4.17281338241161,-4.46699574026951,-4.19013023705967,-4.30258490723789,-4.22081819867078,-4.15167632589032,-3.89358483145739,-3.67310583473248,-3.92013570368438,-3.62070380454821,-4.1037577904037,-4.01273972782618,-3.5562932411439,-3.81539616973907,-3.8675381297263,-3.72860611213002,-5.85533842896661,-4.25184709034539,-3.93575177726829,-5.12299301127182,-5.86268375724206
