"ID","SS_7","SS_8","SS_9","SS_10","SS_11","SS_12","SS_13","SS_14","SS_15","SS_16","SS_17","SS_18","SS_19","SS_20","SS_21","SS_22","SS_23","SS_24","SS_25","SS_26","SS_27","SS_28","SS_29","SS_30","SS_31","SS_32","SS_33","SS_34","SS_35","SS_36","SS_37","SS_38","SS_39","SS_40","SS_41","SS_42","SS_43","SS_44","SS_45","SS_46","SS_47","SS_48","SS_50","SS_51","SS_52","SS_53","SS_54","SS_55","SS_56","SS_57","SS_58","SS_59","SS_60","SS_61","SS_62","SS_63","SS_64","SS_65","SS_66","SS_67","SS_68","SS_69","SS_70","SS_71","SS_72","SS_73","SS_74","SS_75","SS_76","SS_77","SS_78","SS_79","SS_80","SS_81","SS_82","SS_84","SS_85","SS_86","SS_87","SS_88","SS_89","SS_90","SS_91","SS_92","SS_93","SS_94","SS_95","SS_96","SS_97","SS_98","SS_99","SS_100","SS_101","SS_102"
"OTU_5756",0,0,0,1,0,1,0,1,1,0,0,0,0,6,0,0,1,0,1,2,0,2,8,0,0,1,3,0,1,0,3,2,1,0,2,0,2,2,3,2,1,1,1,2,0,0,3,3,0,2,6,2,1,2,0,1,0,3,0,1,1,4,0,0,6,0,3,1,0,0,0,2,1,0,0,3,3,1,2,1,1,2,1,0,4,1,3,1,0,0,3,1,0,2
"OTU_60",0,4,0,0,1,1,0,5,0,0,6,0,0,0,1,3,0,0,2,1,4,0,0,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,1,1,2,0,0,0,0,0,2,1,1,0,10,1,0,3,0,2,1,1,1,6,6,0,2,6,2,1,37,2,1,2,3,0,0,13,1,1,0,1,0,1,0,1,3
"OTU_1321",1,5,2,1,1,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,10,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"OTU_45",0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,22,2,2,12,0,0,0,0,0,0,1,1,0,1,4,2,0,3,2,0,2,1,2,2,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,2,3,0,1,1,3,2,0,3,9,0,10,162,4,1,2,4,0,3,38,5,2,1,0,5,0,0,1,0
"OTU_1",1985,1110,584,460,403,610,1034,853,1399,696,1480,1632,979,1253,1461,1360,2018,1214,1220,1272,1157,1225,1322,394,856,4254,3473,2714,3705,2410,3326,4068,5227,728,3367,2367,1600,3041,3369,1556,2228,761,3578,3322,3686,3485,664,687,1515,2294,522,1421,1940,1225,2301,1703,2380,929,1063,1085,1276,205,1238,1421,1139,2065,1862,2414,1653,2858,403,1619,3339,2330,3000,3136,3728,816,2979,3000,2510,1944,2589,4124,1479,2160,3225,3346,3213,934,3478,5296,2492,229
"OTU_195",0,1,1,0,1,3,0,2,2,0,1,0,2,1,2,1,2,2,4,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,1,1,2,1,1,1,4,3,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,1,0,3,1,0,3,0,0,3,1,0,0,2,1,2,4,0,1,8,0,1,0,1,0,0,9,3,0,1,0,0,2,0,1,1
"OTU_1031",5,6,1,1,0,2,2,5,1,4,1,9,0,3,6,0,3,1,2,2,3,4,2,2,0,1,2,2,2,6,0,4,0,0,3,3,1,0,4,0,2,4,2,1,0,3,0,1,0,2,3,4,0,0,3,2,7,0,0,3,3,2,1,2,3,1,4,4,2,2,0,1,3,0,0,2,3,1,1,2,2,3,2,2,0,3,3,3,1,1,0,3,1,0
"OTU_589",0,2,0,3,5,1,1,3,1,5,1,0,0,3,0,4,0,0,0,3,5,4,1,21,16,1,0,4,0,3,0,0,0,15,0,0,0,0,3,1,0,3,0,0,0,0,13,1,0,4,1,3,0,2,0,4,4,34,4,3,4,40,1,6,7,1,0,2,0,1,22,1,0,4,2,1,14,26,1,0,0,2,0,1,20,1,0,1,0,8,2,0,14,9
"OTU_5929",1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,7,0,4,4,3,0,0,0,0,13,7,11,4,15,4,12,0,7,0,3,1,8,0,1,7,5,1,4,1,6,4,0,2,6,1,7,2,3,16,2,0,13,10,7,12,5,3,7,3,10,3,3,5,3,1,0,3,2,6,3,1,3,2,1,14,2,4,0
"OTU_3689",0,0,0,4,1,0,0,0,0,5,0,0,1,1,2,1,1,0,3,0,6,0,3,0,0,1,1,1,4,5,2,2,3,0,1,5,1,4,0,6,2,0,0,1,2,3,5,0,1,1,12,2,7,1,2,2,2,0,2,2,3,3,2,2,2,1,8,2,3,9,0,4,0,1,0,5,2,0,2,4,10,1,5,2,0,3,4,6,2,1,3,4,0,0
"OTU_336",11,12,18,11,9,9,17,10,15,11,6,19,19,11,12,5,11,10,8,5,9,6,3,1,3,9,8,8,2,13,14,14,5,1,10,16,10,7,13,4,18,8,20,14,8,9,3,8,4,14,13,5,20,9,10,8,8,1,6,14,9,6,7,17,12,2,15,4,12,6,12,8,11,9,11,8,8,20,8,12,10,16,15,3,8,13,11,6,6,0,7,10,8,1
"OTU_223",67,104,66,76,160,289,95,153,94,126,80,3,87,28,10,19,12,19,5,18,10,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,1,3,21,40,28,31,29,36,13,51,17,1,14,53,52,30,10,8,6,3,2,8,10,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_4877",0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,0,10,0,0,3,2,2,0,2,1,0,0,2,8,2,2,3,2,0,1,0,1,7,4,3,1,0,0,1,4,0,0,1,0,0,0,0,0,0,2,1,1,0,2,1,3,8,3,0,2,2,2,4,0,1,2,1,0,1,0,1,0,0,9,0,0,4,0,0,0
"OTU_1572",0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,7,4,0,5,0,0,1,1,1,1,2,4,1,4,4,1,1,17,5,0,0,1,8,3,3,2,0,3,2,3,1,4,2,2,0,0,3,0,0,0,0,4,9,1,0,2,2,4,3,12,8,2,4,5,16,1,1,3,9,6,4,4,0,6,2,2,2,0,2,0,0,1,2,2,7,4,4,11,6
"OTU_5063",1,3,0,5,0,0,1,0,2,2,6,0,2,7,0,2,2,0,4,1,1,4,1,0,8,1,2,0,4,1,2,1,3,0,1,0,0,3,2,1,0,1,2,0,3,2,3,3,1,2,5,0,1,0,0,1,2,6,2,3,0,5,5,4,7,4,8,6,5,4,2,6,0,4,2,2,4,2,1,1,2,1,1,3,2,1,2,1,0,2,0,0,0,1
