"SampleID","Week","SS.Bacteria.mL","SS.AOB.per.mL","SS.Virus.mL","Eff.Virus.mL","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","SS.COD..mg.L.","SS.COD..mg.L..1","Eff.COD..mg.L.","SS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","SS.MLSS..g.L.","Eff.MLSS..g.L.","SS.MLVSS..g.L.","Eff.MLVSS..g.L.","SS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","SS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","SS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","SS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","SS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","SS.Chloride..mg.L.","Eff.Chloride..mg.L.","SS.Calcium..ug.L.","SS.Magnesium..ug.L.","SS.Potassium..ug.L.","SS.Iron..ug.L.","SS.Manganese..ug.L.","SS.Aluminium..ug.L.","SS.Zinc..ug.L.","SS.Lead..ug.L.","SS.Copper..ug.L.","SS.Arsenic..ug.L.","SS.Cadmium..ug.L.","SS.Sulphur..ug.L.","SS.Sillicon..ug.L.","SS.Nickel..ug.L.","SS.Chromium..ug.L."
"SS_7",7,16277924.45,87488.88889,60865350.16,412533694.6,80.57,11.90051172,9.73,190,39,5,37.8,0.7,0.14,0,0.11,0,0.226,80.863,0.185,0.615,49.035,128.622,12.122,3.357,1.971,0.4,47.836,80.404,39891.8,8056.44,15127.3,6360.43,197.174,513.299,190.093,14.439,178.075,10.376,1.311,21556.6,4035.74,26.469,36.742
"SS_8",8,16043506.35,290055.5556,173429112.4,437007398.7,95.05,14.05283867,8.77,84,36,18,21.3,0.1,0.07,0,0.09,0,0,24.107,0,0,95.427,116.167,7.165,2.286,1.199,0.28,86.181,60.348,46240.4,9443.69,12267.9,3155.07,149.037,397.425,104.161,22.284,168.646,16.126,1.059,20635.6,4061.61,17.099,19.123
"SS_9",9,30010890.65,66211.11111,48098518.8,568748330.9,74.57,13.22926313,9.18,343,38,19,44.2,0.3,0.11,0,0.11,0,1.039,69.439,0.827,0.368,91.321,160.625,15.339,5.071,5.001,0.343,70.979,79.47,44901.7,9365.95,17197.3,11739.7,272.724,713.746,93.217,25.432,110.237,0,1.226,21913.3,4158.26,37.313,19.456
"SS_10",10,27069914.08,53133.33333,28642954.8,1270217692,77.42,13.00221038,9.455,117,48,21,27.1,1.2,0.15,0.02,0.12,0,0.503,42.491,0,0.441,60.501,85.929,18.126,14.292,0.941,0.274,63.352,67.873,49194.2,7356.04,11602.7,2890.71,146.659,384.31,135.261,10.712,194.667,10.044,1.091,16681.9,3482.05,25.403,31.448
"SS_11",11,23249985.63,72633.33333,247354690.5,788582498.8,176.4,10.90988436,8.36,239,39,27,23,2.3,0.16,0.09,0.16,0.09,0.586,22.859,0.256,0,49.931,79.546,17.625,8.498,3.263,0,34.659,45.769,36024.9,6690.38,9137.65,7763.67,185.141,580.672,63.196,25.034,57.994,11.827,0.84,13131.2,3796.35,18.02,18.984
"SS_12",12,43594664.08,95088.88889,271746866.7,477853958,128.3,12.77955272,9.98,105,59,21,39.2,0.3,0.09,0,0.08,0,5.18,28.458,1.355,0,73.262,159.829,22.779,2.448,5.967,0.325,55.209,70.026,50949.3,9452.14,13365.8,11394.7,375.02,701.938,138.952,30.105,122.04,0,2.052,17616.7,3927.03,18.246,23.385
"SS_13",13,16633996.55,71377.77778,31784599.07,252214924.1,89.01,12.38696891,10.18,149,27,17,20.9,1.4,0.11,0.04,0.11,0.02,0.298,48.087,0,0,47.206,102.393,13.885,3.169,1.663,0.261,41.778,54.312,43113.7,8755.07,12925.3,3494.51,212.227,420.129,135.54,21.812,303.809,28.269,0.717,21087.4,3558.71,22.526,31.358
"SS_14",14,40066165.67,77377.77778,139073610.5,321527529.5,82.35,11.40901312,8.99,230,33,22,32.1,0.8,0.12,0.07,0.12,0.05,0.271,80.636,0.278,0,83.012,130.734,14.339,3.956,2.938,0.292,81.704,79.583,49790.8,11149.1,16698.3,4968.63,173.802,386.625,66.596,48.208,120.719,7.511,1.251,25030.3,4270.55,9.144,9.901
"SS_15",15,22395675.92,65633.33333,149492320.7,452963322.1,77.96,9.775171065,9.2,215,22,6,34.5,1,0.12,0.05,0.11,0.04,0.656,66.663,0,0,91.558,115.423,17.572,4,3.635,0.268,75.111,61.198,43873.4,9629.19,17133.8,5918.48,209.261,332.051,167.273,20.689,95.289,17.301,0.737,23207.4,4650.71,7.806,5.827
"SS_16",16,20380992.47,92977.77778,84419728.47,1154192807,94.66,13.53179973,8.8,302,34,22,34.4,18.7,0.16,0.06,0.14,0.02,1.095,31.756,0.402,0,64.08,70.565,18.003,12.569,3.496,0.275,71.972,66.856,44676.9,9312.69,16149.8,0,243.68,345.545,105.665,13.9067,53.0952,19.8948,1.2238,21331.3,4288.6,25.5167,41.449
