"ID","DonorA_Stool2","DonorA_Stool4","DonorA_Stool5","DonorA_Stool6","DonorA_Stool7","DonorA_Stool8","DonorA_Stool9","DonorA_Stool10","DonorA_Stool12","DonorA_Stool13","DonorA_Stool14","DonorA_Stool15","DonorA_Stool16","DonorA_Stool17","DonorA_Stool18","DonorA_Stool19","DonorA_Stool20","DonorA_Stool21","DonorA_Stool22","DonorA_Stool23","DonorA_Stool24","DonorA_Stool25","DonorA_Stool26","DonorA_Stool27","DonorA_Stool28","DonorA_Stool29","DonorA_Stool30","DonorA_Stool32","DonorA_Stool33","DonorA_Stool34","DonorA_Stool36","DonorA_Stool37","DonorA_Stool38","DonorA_Stool39","DonorA_Stool40","DonorA_Stool41","DonorA_Stool42","DonorA_Stool43","DonorA_Stool44","DonorA_Stool45","DonorA_Stool46","DonorA_Stool47","DonorA_Stool49","DonorA_Stool50","DonorA_Stool51","DonorA_Stool52","DonorA_Stool53","DonorA_Stool54","DonorA_Stool55","DonorA_Stool56","DonorA_Stool57","DonorA_Stool58","DonorA_Stool59","DonorA_Stool60","DonorA_Stool61","DonorA_Stool64","DonorA_Stool65","DonorA_Stool66","DonorA_Stool67","DonorA_Stool68","DonorA_Stool70"
"OTU_3632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_344",0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"OTU_266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_543",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,4,0,0,0
"OTU_2849",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_88",35,25,14,19,17,8,24,14,19,18,26,18,9,23,21,31,22,21,35,26,31,8,4,18,3,9,32,29,43,18,22,28,13,59,54,46,21,4,37,24,20,6,20,30,21,14,14,1,4,5,2,8,1,4,1,1,15,2,2,9,9
"OTU_431",0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_2821",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_182",0,0,2,0,0,1,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1752",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_606",0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_2079",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_324",3,0,3,4,3,5,2,0,3,1,2,2,5,3,3,0,2,4,2,1,5,3,0,7,6,0,1,1,2,8,1,4,1,2,5,4,6,2,0,0,1,2,5,7,5,2,1,7,5,1,2,4,3,3,4,0,2,4,2,1,1
