"SampleID","Day","Barometer..mmHg.","Cond..uS.cm.","Sp.Cond..uS.cm.","Sal..psu.","nLFCond..uS.cm.","TDS..mg.L.","Temp..F.","Temp..C.","pH","pH..mV.","ORP..mV.","ODO..percent.Sat.","ODO..mg.L.","ODO..percent..LocalB.","Pressure..psi.a.","Depth..m.","Vertical.Position..m."
"Nov2rep2",0,741.075,74.35,107.225,0.05,109.15,69.5,48.1,8.925,8.0225,-57.625,177.375,98.575,11.405,101.075,-0.00125,-0.00075,-0.01825
"Nov3rep2",1,747.5,73.2666666666667,106,0.05,107.9,69,47.9,8.83333333333333,8.00333333333333,-56.6,246.1,98.1666666666667,11.3933333333333,99.8333333333333,0.167,0.117666666666667,0.177
"Nov4rep2",2,743.166666666667,75.6666666666667,108.2,0.05,110.1,70,48.6666666666667,9.26666666666667,8.05,-59.1333333333333,222.6,100.333333333333,11.5233333333333,102.633333333333,0.217,0.152666666666667,0.163666666666667
"Nov6rep2",4,741.366666666667,74.2,106.8,0.05,108.633333333333,69,48.2666666666667,9.06666666666667,8.01,-56.9,221.233333333333,100.2,11.5766666666667,102.766666666667,0.0683333333333333,0.048,0.091
"Nov9rep2",7,747.2,72.5666666666667,105.4,0.05,107.266666666667,68.6666666666667,47.6333333333333,8.7,8.15333333333333,-64.7,175.3,98.6333333333333,11.4833333333333,100.333333333333,0.104333333333333,0.0733333333333333,0.19
"Nov10rep2",8,746.366666666667,72.4,106.1,0.05,107.9,69,47.1,8.4,7.95666666666667,-54.0333333333333,155.833333333333,98.5333333333333,11.5566666666667,100.333333333333,0.110333333333333,0.0776666666666667,0.111333333333333
"Nov11rep2",9,740,72.0666666666667,106.033333333333,0.05,107.866666666667,69,46.8333333333333,8.23333333333333,8.08,-60.5333333333333,203.4,98.6,11.61,101.266666666667,0.0753333333333333,0.0533333333333333,0.0246666666666667
"Nov12rep2",10,729.233333333333,72.9,106.9,0.05,108.766666666667,69,47,8.3,8.02,-57.3,183.166666666667,97.9333333333333,11.5,102.1,0.119,0.0833333333333333,-0.103333333333333
"Nov13rep2",11,743.333333333333,72.1,107.733333333333,0.05,109.566666666667,70,45.8,7.7,8.01333333333333,-57,178.033333333333,97.7333333333333,11.66,99.9333333333333,0.114,0.08,0.110666666666667
"Nov16rep2",14,747.133333333333,72,108.9,0.05,110.766666666667,71,45.0666666666667,7.26666666666667,7.98333333333333,-55.1,171.3,98,11.8133333333333,99.6333333333333,0.0526666666666667,0.0366666666666667,0.109333333333333
"Nov17rep2",15,741.8,74.0666666666667,109.666666666667,0.05,111.566666666667,71.3333333333333,46.4333333333333,8,8.01666666666667,-57.15,169.25,98.8333333333333,11.6966666666667,101.266666666667,0.132333333333333,0.093,0.112
"Nov18rep2",16,725.9,74.8666666666667,110.133333333333,0.05,112.066666666667,72,46.7666666666667,8.2,8.01666666666667,-57.15,169.25,98.1666666666667,11.5566666666667,102.766666666667,0.0486666666666667,0.034,-0.161333333333333
"Nov19rep2",17,732.2,73.7333333333333,110.066666666667,0.05,111.966666666667,71.6666666666667,45.9,7.73333333333333,8.01666666666667,-57.15,169.25,100.2,11.9433333333333,104.033333333333,0.13,0.0913333333333333,-0.000666666666666668
"Nov20rep2",18,745.533333333333,74.8,114.666666666667,0.05,116.566666666667,74.3333333333333,44.2333333333333,6.8,8.07,-59.7,96.0333333333333,98.0666666666667,11.9633333333333,100,0.0826666666666667,0.058,0.123333333333333
"Nov23rep2",21,742.933333333333,67.0333333333333,107.933333333333,0.05,109.533333333333,70.3333333333333,41.3,5.16666666666667,8.10333333333333,-61.3333333333333,147.5,97.7666666666667,12.4333333333333,100.066666666667,0.229,0.161333333333333,0.209
"Nov24rep2",22,753.233333333333,64.2333333333333,105.3,0.05,106.766666666667,68.3333333333333,40.2333333333333,4.56666666666667,8.02666666666667,-57.4,157.35,32.495,4.20666666666667,32.8733333333333,5.18066666666667,-27.6523333333333,165.430333333333
"Nov25rep2",23,744.666666666667,64.8,106.233333333333,0.05,107.766666666667,69,40.2333333333333,4.6,7.72333333333333,-50.2333333333333,167.2,95.1666666666667,12.28,97.1,0.033,0.0233333333333333,0.0776666666666667
"Nov26rep2",24,752,65.7666666666667,107.933333333333,0.05,109.433333333333,70.3333333333333,40.1666666666667,4.53333333333333,8.1,-70.7333333333333,207.633333333333,93.9333333333333,12.14,94.9666666666667,0.204666666666667,0.144,0.314
