"ASVID","nahant_02um_d1_1","nahant_02um_d2_4","nahant_02um_d3_7","nahant_02um_d4_10","nahant_02um_d5_13","nahant_02um_d6_16","nahant_02um_d7_19","nahant_02um_d8_22","nahant_02um_d9_25","nahant_02um_d10_28","nahant_02um_d11_31","nahant_02um_d12_34","nahant_02um_d13_37","nahant_02um_d14_40","nahant_02um_d15_43","nahant_02um_d16_46","nahant_02um_d17_49","nahant_02um_d18_52","nahant_02um_d19_55","nahant_02um_d20_58","nahant_02um_d21_61","nahant_02um_d22_64","nahant_02um_d23_67","nahant_02um_d24_70","nahant_02um_d25_73","nahant_02um_d26_76","nahant_02um_d27_79","nahant_02um_d28_82","nahant_02um_d29_85","nahant_02um_d30_88","nahant_02um_d31_91","nahant_02um_d32_94","nahant_02um_d33_97","nahant_02um_d34_100","nahant_02um_d35_103","nahant_02um_d36_106","nahant_02um_d37_109","nahant_02um_d38_112","nahant_02um_d39_115","nahant_02um_d40_118","nahant_02um_d41_121","nahant_02um_d42_124","nahant_02um_d43_127","nahant_02um_d44_130","nahant_02um_d45_133","nahant_02um_d46_136","nahant_02um_d47_139","nahant_02um_d48_142","nahant_02um_d49_145","nahant_02um_d50_148","nahant_02um_d51_151","nahant_02um_d52_154","nahant_02um_d53_157","nahant_02um_d54_160","nahant_02um_d55_163","nahant_02um_d56_166","nahant_02um_d57_169","nahant_02um_d58_172","nahant_02um_d59_175","nahant_02um_d60_178","nahant_02um_d61_181","nahant_02um_d62_184","nahant_02um_d63_187","nahant_02um_d64_190","nahant_02um_d65_193","nahant_02um_d66_196","nahant_02um_d67_199","nahant_02um_d68_202","nahant_02um_d69_205","nahant_02um_d70_208","nahant_02um_d71_211","nahant_02um_d72_214","nahant_02um_d73_217","nahant_02um_d74_220","nahant_02um_d75_223","nahant_02um_d76_226","nahant_02um_d77_229","nahant_02um_d78_232","nahant_02um_d79_235","nahant_02um_d80_238","nahant_02um_d81_241","nahant_02um_d82_244","nahant_02um_d83_247","nahant_02um_d84_250","nahant_02um_d85_253","nahant_02um_d86_256","nahant_02um_d87_259","nahant_02um_d88_262","nahant_02um_d89_265","nahant_02um_d90_268","nahant_02um_d91_271","nahant_02um_d92_274"
"OTU_12",51,51,61,55,81,71,119,112,162,147,129,74,56,49,37,33,83,68,64,120,132,153,118,147,71,133,163,221,204,223,181,159,43,44,28,24,11,10,10,17,13,9,24,13,11,28,16,84,19,633,353,443,561,211,334,251,183,183,148,140,112,79,172,471,943,902,825,649,528,421,231,162,158,210,93,47,38,45,32,26,17,39,29,38,40,39,17,40,41,33,33,26
"OTU_6",227,287,251,199,201,126,183,205,166,157,141,231,210,145,156,134,172,161,128,214,255,259,307,265,266,172,163,127,119,141,139,181,48,119,71,73,40,58,119,163,190,142,146,123,97,105,85,125,62,71,51,157,255,224,236,223,227,174,184,151,168,95,49,37,24,40,39,73,101,148,144,134,157,78,135,119,149,112,162,131,89,98,124,155,154,159,128,132,127,134,164,127
"OTU_16",52,37,41,69,50,107,78,80,64,90,136,130,161,128,143,132,118,141,136,70,83,109,132,95,119,119,105,58,98,108,71,97,33,151,99,110,52,86,79,132,85,215,163,230,277,253,239,227,137,166,97,165,118,178,146,205,225,228,155,207,166,144,67,40,18,24,14,38,22,141,59,64,38,12,43,67,81,72,95,118,128,97,115,154,222,174,210,188,231,237,269,255
"OTU_7",203,188,210,178,175,147,121,157,134,125,110,172,140,133,110,98,162,128,114,197,201,202,234,228,216,143,110,105,87,132,106,128,51,89,57,65,31,54,88,128,155,119,118,121,73,77,80,106,54,77,42,110,227,190,209,178,187,146,155,132,118,89,52,39,17,30,40,61,74,117,91,121,145,54,94,96,88,95,156,80,70,102,91,122,130,125,117,102,109,115,105,105
"OTU_15",124,159,124,169,160,269,192,185,191,237,213,162,120,166,208,183,209,245,150,268,226,210,185,169,262,193,185,189,131,198,145,103,48,194,110,169,47,134,132,175,149,103,100,131,165,145,129,102,83,91,29,42,58,131,77,135,88,139,123,150,109,77,38,10,5,8,5,8,11,81,47,45,33,10,18,28,38,29,36,32,26,28,26,35,94,61,64,82,63,65,120,101
"OTU_1574",40,17,20,22,11,11,25,15,22,12,20,6,9,6,9,12,9,19,43,21,32,11,7,15,11,6,2,6,10,8,19,16,8,32,26,28,94,95,44,34,17,25,24,12,13,29,25,15,45,61,146,73,24,21,11,12,35,23,6,10,7,25,32,118,510,494,536,399,375,26,540,327,357,1101,575,503,311,336,116,112,249,295,220,250,84,338,88,57,52,73,22,17
"OTU_21",165,140,142,108,115,87,102,126,95,97,77,99,91,96,75,63,99,76,82,147,147,160,190,151,144,96,86,90,85,98,86,103,36,58,32,40,31,41,50,112,109,92,80,70,56,50,49,71,39,52,19,84,130,131,135,110,144,108,107,111,94,56,27,23,15,13,22,48,50,84,73,84,92,41,67,63,68,83,108,93,65,62,66,106,91,83,69,74,79,84,72,67
"OTU_39",21,12,13,36,25,67,34,48,31,33,77,121,152,111,110,109,93,96,43,32,28,25,28,24,69,32,15,9,7,12,10,20,10,22,18,27,8,6,14,21,18,65,20,87,113,72,104,85,55,39,12,33,52,43,77,81,59,57,79,55,73,54,47,45,15,26,23,60,45,303,125,142,122,32,83,121,174,173,229,168,135,84,149,140,200,160,267,199,237,190,254,286
"OTU_27",81,57,84,95,88,97,80,98,64,95,100,151,176,134,128,133,169,131,58,107,96,101,104,100,130,81,66,59,41,54,46,55,22,44,50,66,27,32,52,75,62,76,80,95,87,100,100,100,62,89,27,33,97,93,127,115,110,89,108,115,106,56,32,10,6,13,11,23,20,58,35,33,34,13,20,33,28,37,68,64,45,55,50,86,127,106,125,98,90,95,111,138
"OTU_19",50,46,129,62,30,39,79,31,89,60,38,20,32,42,35,33,22,24,39,57,100,78,59,161,37,55,19,73,225,79,166,258,46,104,113,206,93,148,83,126,92,69,175,41,52,28,12,37,58,49,59,118,97,82,33,21,52,38,23,64,30,82,116,97,74,46,66,71,29,16,104,81,82,126,168,196,140,110,30,34,82,67,91,24,29,113,48,34,42,33,12,36
