"ASVID","nahant_5um_d1_544","nahant_5um_d2_547","nahant_5um_d3_550","nahant_5um_d4_553","nahant_5um_d5_556","nahant_5um_d6_559","nahant_5um_d7_562","nahant_5um_d8_565","nahant_5um_d9_568","nahant_5um_d10_571","nahant_5um_d11_574","nahant_5um_d12_576","nahant_5um_d13_579","nahant_5um_d14_582","nahant_5um_d15_585","nahant_5um_d16_588","nahant_5um_d17_591","nahant_5um_d18_594","nahant_5um_d19_597","nahant_5um_d20_600","nahant_5um_d21_603","nahant_5um_d22_606","nahant_5um_d23_609","nahant_5um_d24_612","nahant_5um_d25_615","nahant_5um_d26_618","nahant_5um_d27_621","nahant_5um_d29_624","nahant_5um_d30_627","nahant_5um_d31_630","nahant_5um_d32_633","nahant_5um_d33_636","nahant_5um_d34_639","nahant_5um_d35_642","nahant_5um_d36_645","nahant_5um_d38_648","nahant_5um_d39_651","nahant_5um_d40_654","nahant_5um_d41_657","nahant_5um_d42_660","nahant_5um_d43_663","nahant_5um_d44_666","nahant_5um_d45_670","nahant_5um_d46_672","nahant_5um_d47_675","nahant_5um_d48_678","nahant_5um_d49_681","nahant_5um_d51_684","nahant_5um_d52_687","nahant_5um_d53_690","nahant_5um_d54_693","nahant_5um_d55_696","nahant_5um_d56_699","nahant_5um_d57_702","nahant_5um_d58_705","nahant_5um_d59_708","nahant_5um_d60_711","nahant_5um_d61_714","nahant_5um_d62_718","nahant_5um_d63_720","nahant_5um_d64_723","nahant_5um_d65_726","nahant_5um_d66_729","nahant_5um_d67_733","nahant_5um_d68_735","nahant_5um_d69_738","nahant_5um_d70_741","nahant_5um_d71_744","nahant_5um_d72_747","nahant_5um_d73_750","nahant_5um_d74_753","nahant_5um_d75_756","nahant_5um_d76_759","nahant_5um_d77_762","nahant_5um_d78_765","nahant_5um_d79_768","nahant_5um_d80_771","nahant_5um_d81_774","nahant_5um_d82_777","nahant_5um_d83_780","nahant_5um_d84_783","nahant_5um_d85_786","nahant_5um_d86_789","nahant_5um_d87_792","nahant_5um_d88_795","nahant_5um_d90_798","nahant_5um_d91_801","nahant_5um_d92_804"
"OTU_3",2,0,13,4,5,1,2,2,1,7,9,43,17,29,18,11,20,7,0,19,7,11,2,21,30,53,10,47,65,23,10,3,3,10,28,2,5,0,5,0,4,0,1,0,3,1,0,0,0,35,20,282,371,94,69,732,555,968,773,3450,3510,504,835,1053,65,486,225,124,58,2,4,79,31,88,5,23,5,5,0,10,0,9,4,26,1,2,35,33
"OTU_5",10,22,48,17,26,42,4,9,106,8,49,111,239,842,150,134,364,136,17,155,74,9,18,68,109,294,153,185,214,64,30,29,51,51,130,33,19,48,76,202,239,8,232,219,191,171,11,4,1,70,74,201,328,32,18,65,48,56,28,72,109,63,71,77,10,74,19,34,38,10,18,148,107,274,164,322,165,141,195,361,48,244,124,583,340,289,324,433
"OTU_8",28,33,322,132,120,7,45,21,22,33,147,150,217,502,121,72,188,130,6,177,96,49,17,194,753,868,371,1082,1014,394,141,23,10,25,53,17,15,23,31,21,112,1,23,12,20,22,2,7,6,8,6,23,21,10,3,16,8,5,7,5,8,4,10,3,1,12,0,2,5,0,1,12,5,21,10,54,24,16,5,14,4,31,18,48,9,12,18,34
"OTU_4",155,158,62,32,28,73,51,36,132,19,15,103,223,296,320,233,923,384,282,618,219,104,51,48,68,61,98,42,49,14,16,20,24,50,96,32,18,20,62,77,46,8,215,126,81,128,10,10,2,11,4,89,86,22,8,55,44,62,17,17,14,2,18,9,3,9,6,6,10,2,9,37,26,36,18,104,42,29,67,73,30,94,81,250,255,165,174,147
"OTU_9",97,162,160,75,155,73,117,56,125,26,47,42,83,41,18,32,41,39,51,88,97,57,37,17,16,25,309,134,126,46,71,25,21,27,10,9,3,14,136,19,18,9,49,143,3,22,8,10,9,16,20,71,70,19,17,152,31,104,19,10,1,0,5,13,17,44,31,18,44,2,43,47,39,21,73,65,19,12,51,44,16,45,62,117,164,134,93,144
"OTU_20",12,48,100,131,77,50,41,14,44,46,77,54,73,181,33,28,42,54,4,334,130,99,99,90,155,567,532,739,605,152,32,3,4,9,15,3,5,4,19,3,26,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3
"OTU_11",13,19,28,10,10,21,33,20,19,16,22,10,27,25,32,23,3,26,23,46,12,10,24,32,8,13,36,38,16,80,39,1,106,58,25,34,155,81,42,14,7,0,20,44,38,48,42,27,19,28,24,95,74,30,28,42,63,61,55,18,70,131,157,155,209,28,124,121,14,113,146,98,31,130,89,116,32,27,93,32,101,53,40,27,34,22,139,200
"OTU_10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,1,0,0,0,0,0,0,0,1,5,3,1,0,0,1,1,112,158,71,178,510,282,51,222,742,484,117,209,73,37,22,20,28,31,14,17,7,8,0,0,4,4,0,2,8,2,3,2,88,29,19,10,4,5,0,0,1,0,1,7,1,3,2,1,2,0,0
"OTU_2",44,84,75,5,13,21,14,13,18,13,10,4,1,2,17,6,5,7,31,17,15,13,18,35,19,15,34,21,14,55,33,46,33,37,18,15,16,11,30,10,13,18,4,52,72,14,45,108,142,94,124,50,31,97,62,16,39,16,21,3,6,32,14,23,44,29,21,16,36,18,167,121,162,25,63,52,11,5,19,39,38,75,241,22,21,25,3,6
"OTU_30",35,17,22,34,29,48,24,54,23,28,59,21,11,4,14,39,10,13,58,17,33,16,21,22,21,21,15,15,8,12,14,14,2,11,6,29,28,25,21,23,5,23,5,44,35,3,29,101,172,148,174,109,58,232,177,22,43,71,112,26,8,121,71,19,56,65,53,39,25,10,14,3,9,3,16,3,6,13,16,17,25,3,10,5,9,21,4,6
