"ASVID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_2",505,691,718,928,583,637,508,653,654,129,627,282,299,194,356,379,181,124,145,87,437,210,355,416,403,249,346,578,603,582,512,146,133,130,150,200,175,75,36,46,44,37,49,138,42,142,32,17,16,16,222,113,173,76,145,101,218,121,96,93,173,249,113,70,242,71,23,117,121,132,62,78,57,33,75,170,239,197,230,181,117,210,68,167,67,42,72,72,55,91
"OTU_14",77,108,110,106,75,178,45,88,106,49,224,59,88,88,53,41,29,89,71,59,148,268,325,269,272,119,201,144,179,186,192,177,81,41,41,59,37,15,20,13,23,84,50,116,17,89,92,31,35,42,280,213,507,348,178,144,212,104,34,146,59,120,59,205,100,140,52,292,332,407,49,200,151,83,208,73,134,134,113,36,52,48,69,87,78,102,127,83,123,138
"OTU_9",31,48,57,31,35,64,57,67,52,41,71,57,66,84,110,35,45,161,60,37,72,21,81,19,17,29,52,76,144,95,94,81,55,25,30,55,84,33,25,7,19,152,47,55,29,63,72,37,38,33,71,27,56,45,23,111,153,65,20,151,61,173,69,337,445,184,24,57,94,49,53,55,67,20,50,16,77,109,89,55,65,44,107,60,52,134,147,110,141,206
"OTU_4",5,14,18,17,4,7,14,8,4,17,3,51,150,176,444,327,415,397,241,57,166,6,12,8,21,21,31,22,9,6,1,24,38,32,36,10,173,142,39,31,106,62,134,54,107,22,220,66,209,3,8,1,15,5,8,14,52,17,26,9,40,37,25,14,16,9,31,7,3,1,16,9,17,9,35,19,38,49,53,47,30,42,84,83,106,105,45,102,80,29
"OTU_46",29,59,78,87,35,98,20,34,42,12,85,12,12,19,9,9,4,18,21,8,33,44,71,86,69,37,54,45,49,63,61,94,50,37,16,41,12,5,8,5,6,35,8,48,9,44,42,7,15,17,120,91,289,325,177,171,290,109,37,151,45,119,31,135,26,73,52,215,166,243,36,95,67,41,87,24,36,31,31,13,15,12,28,28,18,23,57,27,23,39
"OTU_5",0,0,2,2,1,0,2,3,1,5,1,15,22,13,43,25,16,46,7,0,17,3,2,0,2,5,12,34,0,1,1,12,38,17,10,1,26,44,1,8,75,12,94,31,186,21,377,63,924,7,23,1,12,15,32,24,48,13,40,3,13,28,18,24,40,27,83,24,18,4,97,55,76,27,96,71,121,50,70,26,21,69,162,118,232,220,178,252,408,145
"OTU_1574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,8,6,6,22,25,34,41,34,16,13,30,33,27,21,21,6,5,13,42,64,57,16,26,8,18,22,11,5,19,10,12,24,63,78,51,333,178,212,19,295,156,87,433,297,331,525,132,203,201,364,63,203,81,38,47,35,31,30
"OTU_17",31,45,35,59,53,66,53,46,102,18,108,28,53,43,30,80,38,37,25,30,67,98,77,65,73,52,72,30,54,108,130,37,57,45,57,81,51,30,22,14,15,21,21,37,10,41,30,25,18,29,42,50,78,100,66,47,151,48,23,84,62,85,46,85,86,40,33,90,116,75,28,89,56,44,142,80,103,99,61,57,57,87,41,78,42,29,57,34,32,49
"OTU_28",149,57,29,23,103,84,116,84,85,19,37,81,159,224,224,160,147,222,142,106,72,52,60,46,40,66,56,24,19,12,17,18,13,22,29,58,55,20,6,5,12,26,63,35,22,61,72,32,43,19,69,23,28,99,29,51,88,46,20,46,28,65,50,61,105,43,16,32,43,31,19,15,33,11,20,14,25,33,33,19,27,22,25,21,40,51,48,44,83,87
"OTU_7",207,224,97,128,129,128,78,96,97,39,78,35,73,57,36,37,33,14,72,24,45,105,153,246,134,109,115,128,75,55,128,21,89,42,55,17,11,11,2,8,21,15,12,14,35,23,43,0,7,0,8,2,26,34,50,25,28,28,51,31,28,24,2,1,0,0,1,6,22,21,26,9,15,34,41,67,53,37,105,15,30,82,46,60,55,68,58,56,29,92
