,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,258.74707,861.3626,667.35583,939.1923,292.90234
5,191.84724,808.48755,686.3385,978.9439,277.45526
6,199.35144,772.753,651.0566,918.0545,247.89633
7,235.09305,866.22076,653.5669,925.817,186.34863
8,202.87253,850.538,681.6177,952.3988,253.14574
9,227.79306,802.2134,680.2571,969.54486,283.88785
10,265.82373,932.4758,660.61285,996.4966,138.18866
11,252.89497,932.3379,644.5638,1013.48694,276.95734
12,284.46042,1003.5991,718.3158,1065.491,361.05664
13,277.17966,991.6903,720.6889,1127.4606,297.53635
14,288.38483,999.1427,684.23456,1064.8685,360.39703
15,276.81848,947.2272,709.6075,1088.233,370.522
16,877.7007,1377.4517,996.8658,1479.1682,314.30457
17,85.08685,2790.6824,1717.5917,1703.5773,1770.788
18,442.02188,1520.2891,1151.3048,2119.7632,380.5133
19,-138.48322,1023.11,911.58276,1808.8616,1367.3933
20,211.99503,1065.4231,537.0817,1700.4735,545.9815
21,305.66003,1113.7229,965.3597,1618.0668,496.30475
22,296.3866,1103.196,652.1589,1138.4658,291.68884
23,-1.0123475,1028.5696,784.18835,1182.3322,836.478
24,316.28442,1163.8577,991.4935,1697.5696,503.37018
25,468.84268,934.99115,848.3563,1179.7651,451.9534
26,-42.20917,888.24976,836.2742,1626.3934,1424.7306
27,266.7125,919.9812,742.9169,1344.4608,470.16635
28,168.03244,1039.9071,805.9299,1278.6498,500.39584
29,298.17538,1046.7998,879.8197,1403.4215,380.55356
30,297.35248,1018.69977,779.3401,1202.8025,282.00467
31,330.88382,1088.4934,752.6434,1131.7935,314.85953
32,263.2485,1048.9653,778.32355,1147.0214,409.39685
33,252.73549,1047.1355,794.6598,1196.3467,372.24133
