,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,589.5,1227.1,1422.1666,1626.7,818.8
5,589.5,1227.1,1422.1666,1626.7,818.8
6,589.5,1227.1,1422.1666,1626.7,818.8
7,589.5,1227.1,1422.1666,1626.7,818.8
8,589.5,1227.1,1422.1666,1626.7,818.8
9,589.5,1227.1,1422.1666,1626.7,818.8
10,589.5,1227.1,1422.1666,1626.7,818.8
11,589.5,1227.1,1422.1666,1626.7,818.8
12,589.5,1227.1,1422.1666,1626.7,818.8
13,589.5,1227.1,1422.1666,1626.7,818.8
14,589.5,1227.1,1422.1666,1626.7,818.8
15,589.5,1227.1,1422.1666,1626.7,818.8
16,589.5,1227.1,1422.1666,1626.7,818.8
17,589.5,1227.1,1422.1666,1626.7,818.8
18,589.5,1227.1,1422.1666,1626.7,818.8
19,589.5,1227.1,1422.1666,1626.7,818.8
20,589.5,1227.1,1422.1666,1626.7,818.8
21,589.5,1227.1,1422.1666,1626.7,818.8
22,589.5,1227.1,1422.1666,1626.7,818.8
23,589.5,1227.1,1422.1666,1626.7,818.8
24,589.5,1227.1,1422.1666,1626.7,818.8
25,589.5,1227.1,1422.1666,1626.7,818.8
26,589.5,1227.1,1422.1666,1626.7,818.8
27,589.5,1227.1,1422.1666,1626.7,818.8
28,589.5,1227.1,1422.1666,1626.7,818.8
29,589.5,1227.1,1422.1666,1626.7,818.8
30,589.5,1227.1,1422.1666,1626.7,818.8
31,589.5,1227.1,1422.1666,1626.7,818.8
32,589.5,1227.1,1422.1666,1626.7,818.8
33,589.5,1227.1,1422.1666,1626.7,818.8
