,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,656.4197,1569.5488,1019.4971,350.9164,519.822
5,1221.7842,2532.3538,1031.2095,280.02225,437.3021
6,1472.7909,2914.794,1119.8479,179.8708,514.0013
7,1385.2603,2465.0745,1101.2205,32.611305,515.9753
8,1666.0558,2798.4924,1140.7661,119.77417,457.81335
9,1192.0836,1981.9817,1398.8586,266.75534,572.49286
10,770.54926,1218.1267,1257.6198,359.1662,648.4543
11,425.87357,978.6963,1395.3584,815.0122,847.87006
12,292.95773,745.5633,1198.5569,960.8125,851.52277
13,226.09666,593.6528,1016.9828,952.0766,825.3862
14,277.74628,599.1226,907.0891,1486.6787,938.9282
15,227.3183,480.3783,853.69885,1378.8297,895.3204
16,256.12695,568.29987,849.2211,1683.1013,888.34564
17,104.354485,508.64774,934.30615,1555.3779,599.5028
18,149.62398,560.48376,975.8188,1728.2184,519.75684
19,252.85518,624.99255,1130.0922,1823.8391,597.9919
20,366.32336,655.91254,1220.4148,2092.7007,642.48615
21,249.98709,626.00305,1294.3339,2329.1292,606.8632
22,152.0621,591.74896,1234.5145,2167.2986,607.8633
23,198.01695,559.6244,1119.5651,2105.6565,651.6611
24,280.26157,698.5616,1228.2476,2054.4258,730.678
25,305.12332,805.51227,1392.5979,2094.9236,687.2048
26,414.79727,1167.7352,1697.8148,2642.9146,1128.1387
27,481.42987,1151.5992,1839.6287,2515.13,1160.5955
28,448.78354,1259.9023,1931.554,2581.9749,1313.8104
29,761.9118,1449.6633,1968.7454,2332.218,1242.0448
30,598.25726,1255.7466,1863.626,2457.438,1340.4103
31,692.3541,1369.2946,2035.2428,2620.2104,1384.0201
32,722.6164,1518.175,2059.567,2483.616,1409.6882
33,652.0154,1417.6039,2149.7617,2616.8547,1423.2023
