,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
50,33.968807,13.057575,8.647124,2.207941,3.2681544,2.7243528,1.8982008,1.7349523,1.4778876,1.1585631,1.6265054,1.9595006,1.1594124,1.225471,0.6843193,1.5544682,0.5130286,0.34919557,0.9598264,0.73497266,1.1451192,0.7749055,0.45200536,0.6597305,1.081285,-0.20486835,0.38211697,0.4799012,1.0612487,0.84400994,0.14918336,-0.23591365,1.5493451,0.79229796,0.26350483,0.839424,0.17105909,0.13896078,0.75727594,0.5907806,0.17891175,0.39952013,0.12981057,0.298194,0.067380816,0.8100715,-0.24408172,0.8028345,1.303433,0.12687925,-0.098769926,-0.9143892,0.36609274,0.6653263,0.27737725,0.35668838,0.324991,0.106379315,0.50066566,-0.2227504,0.5847815,0.90512115,0.85496116,1.491414,0.18939956,0.20346493,0.13807283,0.41707912,0.2520049,0.5508525,0.13633257,0.5994457,0.13761485,-0.4122982,0.4307228,0.32472044,-0.007515166,0.30960444,0.42066866,0.54113156,0.28863046,0.41620678,0.020997811,-0.20028545,1.0072918,0.14939709,-0.020868562,0.008665806,-0.12019765,0.3874913,0.7196206,0.8283642,0.12688193,0.3456615,0.055274796,0.852011,0.17975727,0.07451151,0.06774943,0.92782736
51,33.488792,13.832476,9.148674,2.225976,3.2764351,2.8025324,2.067947,1.8766834,1.3867964,1.2528766,1.6976646,2.0788767,1.162315,1.2652516,0.7067764,1.6824629,0.46490228,0.48845464,0.9825486,0.8139194,1.2241014,0.7557257,0.40276232,0.65637445,1.1029387,-0.15747489,0.5646632,0.6113375,1.0984174,0.8903165,0.14747392,-0.27458954,1.5858957,0.6437308,0.37610087,0.7614934,0.14026068,0.20673919,0.81400466,0.6026205,0.14853719,0.4200993,0.19651125,0.18853234,0.12723154,0.85600793,-0.14970006,0.80022234,1.4142499,0.12512106,-0.09876713,-0.9007975,0.2994656,0.8157437,0.25078154,0.25744423,0.26488924,0.26917627,0.38397014,-0.15941857,0.626309,0.8354599,0.9083953,1.5284637,0.23181404,0.1067339,0.08279155,0.4260123,0.35175642,0.60293955,0.118438736,0.73266447,0.12859653,-0.3898617,0.47146013,0.4128165,-0.054872394,0.23645243,0.43353236,0.58399045,0.25246483,0.39691865,-0.04785985,-0.16492869,0.98318756,0.015042251,-0.048043758,-0.0069733355,-0.18174833,0.4591444,0.75014096,0.9085209,0.08705059,0.48513702,-0.09183657,0.85748273,0.13967916,0.0832822,0.05253373,0.9411094
52,33.685295,14.046141,9.172799,2.251667,3.2262626,2.7520437,2.108663,1.9571437,1.4602468,1.2255456,1.732566,2.1395957,1.1141496,1.3209134,0.61386496,1.7474092,0.49907678,0.61066556,0.93544453,0.88860434,1.365967,0.744581,0.36377338,0.5971922,1.0767825,-0.21193293,0.49247226,0.5750963,1.1520312,0.949062,0.11851773,-0.39582807,1.574661,0.641728,0.38897356,0.77306575,0.023871548,0.12178472,0.8937482,0.52839303,0.10514584,0.38459846,0.08788788,0.14025564,0.099762395,0.847164,-0.13366875,0.8158231,1.4814812,0.23239493,-0.20618916,-0.9249602,0.20420848,0.9128017,0.21202578,0.21550982,0.21784288,0.43115348,0.37437636,-0.23451534,0.5925043,0.90470815,0.96141315,1.4841676,0.23828642,0.07769191,0.109340124,0.36371282,0.26170364,0.6339543,0.1656518,0.83695596,0.23997864,-0.46366537,0.3911062,0.46352723,-0.24442473,0.19193184,0.58868057,0.7079835,0.2815644,0.34722856,-0.0905022,-0.18674979,1.0389582,-0.03374522,-0.0187077,-0.002110981,-0.27979314,0.46781582,0.7662526,0.98097545,0.01818828,0.49206194,-0.08056488,0.96661144,0.079474434,0.05695572,0.050191287,0.8883859
53,34.064163,13.577572,9.487845,2.211224,3.2925873,2.759092,2.1147852,1.9177026,1.4643517,1.1816067,1.6701097,2.1482048,1.226014,1.2575264,0.66324,1.5944502,0.504551,0.54467213,0.970406,0.8946344,1.4175698,0.7576574,0.37896207,0.58214474,1.0595341,-0.1651642,0.47215116,0.5162915,1.1441071,1.013173,0.2408082,-0.30612585,1.6057914,0.6995564,0.3696727,0.7738651,0.13174108,0.17607906,0.7728163,0.50954,0.15498924,0.44757283,0.12127018,0.17277859,0.124930605,0.88672304,-0.10301111,0.7823223,1.4501412,0.2020424,-0.15261932,-0.86512613,0.27255017,0.79273975,0.2495418,0.20517774,0.22261214,0.2960502,0.38463366,-0.20542118,0.51465493,0.92170537,0.9063852,1.4432081,0.2995608,0.19060048,0.14145894,0.3192368,0.20515682,0.62382096,0.13987307,0.7348749,0.21680559,-0.43253222,0.39030558,0.34478575,-0.10683746,0.17617492,0.42524016,0.6209696,0.18932402,0.4332242,-0.06907527,-0.11498212,1.0165864,0.068403535,-0.038527817,0.007793481,-0.20808509,0.39231014,0.7732441,0.9150812,0.16142702,0.43894222,-0.0017721299,0.9647307,0.05731951,0.03882135,0.098969504,0.93031204
54,33.80773,13.997635,9.795524,2.2060194,3.2697356,2.7485092,2.183192,1.9820266,1.569147,1.2592895,1.743621,2.1525671,1.2207733,1.2462773,0.6782136,1.6042463,0.6388766,0.5528371,1.0021616,0.9873821,1.4500146,0.81803197,0.4152163,0.48881245,1.0585079,-0.17505132,0.4751771,0.5195958,1.1537131,0.9858278,0.2539981,-0.3470302,1.5921146,0.7015208,0.2934083,0.8197666,0.0656272,0.19016153,0.81833494,0.50959814,0.1842755,0.4479312,0.019741487,0.22528018,0.059403867,0.8687943,-0.12610713,0.8158756,1.4795426,0.21904343,-0.17378233,-0.8684334,0.35731247,0.7900484,0.31559527,0.25608924,0.30051762,0.31761426,0.40683362,-0.18766904,0.5229791,0.8867359,0.929948,1.4804326,0.30337188,0.19786793,0.1475436,0.34552026,0.24015296,0.5567831,0.16535294,0.7034427,0.30468315,-0.42111742,0.39943674,0.36764428,-0.07260484,0.18963447,0.45813525,0.60531145,0.2806995,0.3607794,-0.065580785,-0.14532803,1.0517459,0.093971595,-0.06596293,0.014945245,-0.17377573,0.4062379,0.72643554,0.8898111,0.12589966,0.4367823,0.031219918,1.0125866,0.071499564,0.022961155,0.089701295,0.8231776
55,34.077847,14.007063,10.074858,2.295306,3.2167006,2.8041186,2.235153,2.0167325,1.597149,1.2522826,1.7566296,2.1481996,1.2240897,1.2560251,0.7090288,1.6069115,0.7384992,0.54734325,1.0069774,1.0326422,1.426367,0.8392779,0.4469571,0.47571456,1.022483,-0.17961983,0.47194332,0.498406,1.1271448,0.9431493,0.18840604,-0.34928277,1.5504025,0.6998826,0.29970384,0.7855302,0.04682231,0.19135128,0.7968944,0.48574987,0.19474876,0.4492326,0.032419566,0.28022233,0.011873776,0.8591293,-0.08820594,0.83135384,1.4198614,0.23889303,-0.17628898,-0.8296309,0.39872876,0.7421786,0.34542343,0.2417923,0.32759488,0.3070585,0.4506998,-0.22397783,0.477361,0.88641965,0.90371716,1.4463562,0.3329645,0.20218089,0.1718539,0.38348314,0.22920826,0.48797262,0.16996054,0.70542496,0.34236112,-0.39967823,0.38915095,0.34009153,-0.10020756,0.19024305,0.4613194,0.59854525,0.29981795,0.37701944,-0.05751517,-0.14479497,1.0508116,0.09633493,-0.05462063,0.025334023,-0.1487346,0.38830328,0.7042187,0.82711965,0.12898444,0.43064767,0.08119267,1.0257739,0.104604736,0.024077576,0.09362153,0.78970236
56,34.78411,13.749207,10.220516,2.3059144,3.2271125,2.8531258,2.2915347,2.0254984,1.559957,1.1855148,1.7728219,2.1960769,1.2234437,1.2876682,0.67569774,1.6122733,0.67796725,0.51692146,1.0307997,1.0171932,1.4207597,0.83840376,0.45280674,0.5115905,1.0888805,-0.17259625,0.4828866,0.48008287,1.1033843,1.0006357,0.17116487,-0.38278604,1.6359388,0.6641801,0.29963163,0.7925379,0.052460425,0.17393354,0.8133434,0.49347845,0.1703726,0.46944493,0.02931175,0.25814953,0.023849433,0.8555508,-0.07725507,0.87831193,1.4628873,0.2231991,-0.17746489,-0.8521599,0.35298672,0.7977758,0.33502927,0.28877097,0.31362876,0.30812854,0.42845264,-0.252807,0.5503854,0.8839639,0.95153296,1.4871827,0.3107966,0.17861615,0.18325813,0.38280562,0.2239024,0.55257463,0.11154823,0.72765,0.3485718,-0.42834282,0.41987067,0.3233274,-0.11513426,0.20075834,0.4676363,0.59141093,0.24824762,0.3588814,-0.07740699,-0.06820704,1.0256536,0.08003609,-0.063635245,-0.012375704,-0.1567682,0.39483875,0.752099,0.8231015,0.17070273,0.47512126,0.04537495,0.98798746,0.09240455,0.021107364,0.077156685,0.82624185
57,34.910328,14.162883,10.6482725,2.3166578,3.2004561,2.9198766,2.3789184,2.08792,1.5617242,1.2708886,1.8592553,2.223277,1.2044252,1.3242844,0.6834838,1.6447875,0.7201076,0.5679988,1.0610756,1.0559028,1.4500955,0.92202663,0.47549266,0.48379707,1.1328213,-0.14670964,0.5393346,0.52236617,1.1114461,0.99245775,0.19404902,-0.40049297,1.627516,0.6279971,0.2965297,0.77927685,0.023059223,0.21685053,0.8469452,0.5156231,0.17073566,0.5105267,0.002875194,0.25687298,0.008080576,0.85689026,-0.08333105,0.90294814,1.4907563,0.23234388,-0.15822442,-0.79701966,0.37835282,0.8544699,0.33991757,0.3322904,0.33206794,0.40531075,0.40257296,-0.21752116,0.5909546,0.8404591,0.96682584,1.5074524,0.3159331,0.16930276,0.15630351,0.3910319,0.29687226,0.56174856,0.13632607,0.71875644,0.41718274,-0.36739844,0.47712675,0.37662134,-0.07381651,0.21232845,0.4822582,0.5473559,0.26698482,0.28448373,-0.076774195,-0.05832494,1.0306747,0.05944249,-0.09189614,0.010414107,-0.14707449,0.42201144,0.70539844,0.8281115,0.12801653,0.52075744,0.010932557,0.97987825,0.12617093,-0.0041553937,0.07792119,0.74886864
58,35.792255,14.131162,10.425744,2.382065,3.198463,2.8940926,2.307204,2.0582447,1.6167792,1.229107,1.8958619,2.228487,1.2040887,1.3929735,0.65569085,1.6721647,0.7172092,0.5464034,1.023074,1.0622399,1.4893684,0.9621767,0.51558316,0.49821472,1.1762267,-0.17874889,0.4862221,0.44445312,1.1374342,1.0509545,0.19544229,-0.43858382,1.6557192,0.6442151,0.29988465,0.77943707,0.008889066,0.1862513,0.8392092,0.4418954,0.1609871,0.5011255,-0.024703454,0.27136907,0.0009987354,0.85870826,-0.100332454,0.9252773,1.497288,0.27095163,-0.16451591,-0.7942681,0.3478179,0.89052653,0.3557535,0.3612265,0.32162154,0.42350146,0.42592627,-0.2685229,0.604545,0.89403147,0.9885502,1.5102565,0.29200515,0.19834344,0.19205284,0.36500704,0.22617021,0.5597297,0.120496765,0.72603977,0.46218154,-0.4040269,0.46151417,0.37047985,-0.12121744,0.2278394,0.5121932,0.55574965,0.2433337,0.28205526,-0.061842684,-0.031774282,1.0525243,0.06106688,-0.078814246,0.019385014,-0.16593942,0.39481193,0.7500879,0.850036,0.14920871,0.49639624,0.050691243,0.98957235,0.107050106,-0.032544773,0.07956867,0.8011863
59,36.228996,14.15153,10.764807,2.4308815,3.2145855,2.9825106,2.4264314,2.1580105,1.6165203,1.1990513,1.9116939,2.3084984,1.244641,1.3992627,0.6930609,1.6496022,0.746558,0.538927,1.087416,1.085044,1.49411,0.97127163,0.51439255,0.48346013,1.183022,-0.17242719,0.52191514,0.46231985,1.141734,1.083667,0.19520311,-0.45218223,1.6993606,0.6224273,0.3019943,0.77006346,0.007098209,0.19157057,0.8302462,0.46345302,0.19501698,0.5247022,-0.040753715,0.27735233,-0.021287702,0.86989963,-0.065747455,0.9566743,1.5356249,0.25891688,-0.20032798,-0.77465504,0.38296816,0.8826087,0.38063607,0.37414467,0.32987082,0.40736544,0.43616873,-0.2662149,0.61343163,0.8920716,1.0045186,1.528229,0.305679,0.18074378,0.19738829,0.41780803,0.20983477,0.5697599,0.09625903,0.7341162,0.45953345,-0.3870333,0.4607812,0.34406582,-0.097863294,0.21607405,0.48960757,0.5210785,0.21522674,0.32068697,-0.08455177,-0.00011289818,1.0430479,0.06108985,-0.06488403,0.0011787638,-0.15093005,0.4054848,0.7457027,0.7965547,0.22155556,0.52332705,0.044871483,1.0029074,0.13183989,-0.022641255,0.09634745,0.7884196
