,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,23.079697,10.184779,4.588271,2.5578978,2.9328377,1.7169887,0.590935,0.83726126,1.5173867,0.64551324,1.5590663,1.3758124,1.352217,0.51351005,0.15844052,0.18031605,0.2301862,0.0026052948,0.6961401,0.6915145,0.958031,1.1310552,0.87333584,1.0434163,1.3915856,-0.18367667,-0.5862569,-0.83377814,0.5885252,1.364679,0.6084334,0.07610981,1.3104795,0.86481494,-0.05663374,0.2114116,0.6305545,-0.29579604,-0.10445186,0.17160149,0.21860704,0.6461709,0.4569767,0.657498,0.10492529,0.7663761,-0.63131493,0.5078552,0.693168,-0.016073285,0.24495804,0.014839519,0.35595894,0.4196354,0.87206125,0.37979797,0.118147895,-0.14415212,0.36883786,-0.25226304,0.47031394,1.1094925,0.3438112,0.7484097,-0.078974806,0.5503522,0.6331504,-0.19362098,-0.38941666,0.9509593,-0.33712775,-0.45940462,-0.13600224,-0.45901102,-0.61577946,0.025355995,-0.027506847,0.70186645,0.098238245,0.18935631,-0.66214234,0.30541036,0.037098244,0.44323438,0.5538257,0.29622522,-0.30468172,-0.11772917,0.21396303,-0.06915279,1.1744446,0.56110823,1.0921378,-0.6791366,0.49541518,0.3349019,0.11444697,-0.19024114,-0.1469338,1.3210306
32,23.746471,10.845223,5.508087,2.7170026,0.45482945,2.3376877,1.1992284,1.9341047,0.98576903,0.92253697,0.89969915,1.2426991,1.2812103,1.8105339,1.5896168,1.1336771,1.101847,1.03357,0.5179614,0.6159927,1.2230803,1.5241213,0.98475635,-0.044724487,0.3582408,-0.16889338,0.81603754,0.35725504,1.2412416,0.18275294,0.05520837,-0.12626185,-0.15963578,0.22991419,0.78458136,-0.41072634,-0.003043577,0.67522174,-0.23558995,-0.14749329,0.38926306,0.59437877,0.4017513,0.24589892,-0.13687891,0.8073865,0.370727,0.2563007,0.59108025,0.46527535,-0.10093604,1.4028214,1.0888398,0.7219326,0.6197374,-0.6828829,0.28697962,0.9567347,0.5446669,0.50937945,-0.6353652,0.35362524,-0.19385594,0.34481037,0.51641923,0.10406925,0.0024211586,0.7909542,-0.1345236,-0.43439054,0.41423446,0.3265002,0.04249806,1.3145114,-0.24605763,0.01276532,0.2500281,-0.124773756,0.3335259,-0.2666386,-0.023759827,1.07201,0.01343704,-0.31335053,0.62200284,-0.08197289,0.1043788,0.66013557,0.13171738,-0.013611525,-0.017083641,-0.12449159,0.5049709,-0.3845757,0.39436024,0.6128636,0.94724935,0.20441966,0.27732188,0.032299113
33,29.489754,6.287224,2.0773067,2.0316298,0.92320675,1.0612577,0.36130056,0.82563,1.459183,0.5746578,0.6059272,0.9591274,0.42921343,1.5417699,0.07671515,0.8792564,0.7933893,-0.16240025,0.38041806,0.3183492,1.0587466,1.0262562,1.2431808,0.21507618,1.2139771,-0.65858054,-1.1846948,-0.9304667,1.1847299,0.20607327,0.4270012,-0.26622438,0.26562086,0.70447356,-0.26368544,0.9832945,-0.018453123,-0.6344402,0.4753911,-0.13854785,0.3692523,0.48558864,0.062179487,0.9778256,-0.33536783,0.154155,-0.38469145,0.5317425,0.41813403,0.6005531,-0.031130949,0.29755023,0.4364035,0.9536237,0.5713708,0.50232285,0.51754254,0.76829916,0.9575224,0.02746662,0.56753826,0.9240455,0.11156939,1.2483535,0.06932472,0.1202651,0.41218695,-0.12602891,-0.3455509,0.39684242,0.114279814,-0.13003188,-0.04743451,-0.06696774,-0.12720877,0.55603075,-0.26619744,0.10263552,1.0573617,0.20996837,0.63961494,0.09800137,0.1583291,-0.19718248,1.0047178,0.34888676,-0.06142526,0.2618556,0.4696707,-0.04456289,0.77871454,0.010916278,0.10245037,-0.25810343,0.57411784,0.1277812,0.023027882,0.46102047,0.11063188,0.24619229
34,20.339287,7.7040114,13.101006,1.947599,1.978801,3.1755152,2.720329,1.7437057,0.5938637,0.92078483,0.9949691,1.4878209,1.2059292,-0.066670954,0.8896033,-0.14698221,1.3845279,0.19342615,1.4429095,0.9362799,0.24145994,0.7018467,0.2982224,0.3884315,0.2702344,0.5208147,0.48533297,0.46007246,0.019429095,-0.00901882,-0.06457151,0.5451541,0.6213288,0.42435232,0.1928456,0.13324527,0.5323529,0.38804826,-0.08147082,0.94141585,0.52702343,0.963319,0.6121054,0.80877405,-0.31973392,0.38329583,0.6977635,0.550088,0.049306802,-0.15319884,0.18277192,0.40099514,0.9704548,-0.6940677,0.53781676,0.19414389,0.42849812,-0.32790315,0.60540164,0.04370661,-0.11048089,0.025798272,-0.038361043,0.31684297,0.79767287,0.28517228,0.19975768,0.63460714,0.64373726,0.19830658,0.18841486,-0.1928671,0.16949268,0.52627283,0.41878608,-0.248992,0.5309697,0.035874784,-0.5272324,-0.2937098,-0.018810153,0.35008287,0.04935134,0.43487796,0.18488282,0.39387235,-0.19451103,-0.0019624908,0.8337486,0.25524196,-0.18313725,-0.7318349,0.70387554,0.5104044,0.29557022,0.29415184,0.63916355,0.23041385,0.33824548,-0.3975484
35,24.282293,8.235917,5.762624,1.4926813,2.0978463,1.4796344,0.7568014,0.6127735,1.1907554,1.2872585,1.0025203,0.7948777,0.5324496,0.85951406,0.39096546,1.095096,0.6709531,-0.18036139,0.3086652,0.6789547,0.46197623,0.84395456,0.6348496,0.56377643,0.8416663,0.12101938,0.026977029,0.08349125,0.55470955,0.29584593,0.41269556,0.23365761,0.676687,0.5622402,-0.026026554,0.746748,0.16754362,0.11497764,0.5792501,0.43745473,0.50196165,0.16798304,0.4309301,0.77949643,0.19042061,0.40185907,-0.18913864,0.4028867,0.20048513,0.061257593,0.5528885,-0.52462506,0.4846457,0.17494829,0.44819546,0.54429656,0.66141105,-0.28482658,0.5653704,0.10288042,0.5575591,0.43378216,0.3059988,1.1460744,0.14249477,0.46635738,0.18549237,0.100400046,0.5243527,0.07905075,0.06531354,0.074489,0.115561634,-0.24153005,0.6993247,0.44725773,0.3883159,0.47993746,0.18031867,0.13530329,0.6131462,-0.00808708,0.5364153,-0.1407682,0.45874423,0.33051777,-0.075045,0.1239342,0.23774853,0.27213895,0.45284796,0.5720797,-0.2953606,0.12206668,0.20633914,0.17265613,-0.054698583,0.049697194,-0.06846423,0.72951746
36,20.73061,7.150951,9.438904,2.5007267,1.712556,2.6337123,2.2732935,2.026645,0.57682675,0.2197383,0.76935,1.6696771,1.0764703,0.63180447,0.6126798,0.28153816,0.7551366,0.47681352,0.66897607,0.8352874,0.74941754,0.5450818,0.23343797,0.60133004,0.45587656,0.27203524,0.3826776,0.19682318,0.6020074,0.970137,0.004958205,0.039774224,0.6397028,0.15822136,0.77488476,-0.0866752,0.22209617,0.028921016,-0.038507834,0.44681442,0.69890535,0.46318048,0.6180052,0.4851757,0.07007079,0.359696,0.68625575,0.29780585,0.2775749,0.060855888,-0.024098372,0.55174345,0.15432839,0.029608151,0.5289798,-0.20701511,-0.19169623,0.0067234933,0.3851856,0.1929591,0.10434954,0.5179231,0.14862414,0.056633964,0.35559598,-0.011229223,0.3719619,0.4364034,-0.21467018,0.5531563,-0.07417677,0.4727957,-0.08705784,0.20623648,-0.3305101,-0.17652182,-0.07962125,-0.050054196,-0.024034185,0.14202859,-0.49815375,0.73650414,0.010009795,0.56413877,-0.034369346,-0.12382125,0.22614008,0.007437261,0.16659299,0.2708633,0.5631862,-0.08133823,1.017562,0.11866734,0.1402319,0.24151629,0.3625559,0.16088901,0.24528077,0.47969896
37,22.771013,8.308052,7.0398498,1.5611079,1.539325,2.0256498,1.4012862,1.3305286,0.7609133,1.0410409,0.7769776,1.1770139,0.7113303,0.9902978,0.6588116,1.0558305,0.7086717,0.50216407,0.43370652,0.707817,0.71454895,0.7005759,0.23635375,0.30873,0.4109439,0.28380853,0.57950354,0.5917766,0.7048061,0.29476482,0.19067599,0.066026255,0.4786467,0.21503907,0.47345287,0.42188856,-0.02490622,0.26682854,0.53116125,0.4742876,0.4743534,0.2282806,0.33987674,0.28262544,0.22797501,0.40140358,0.4966124,0.3277632,0.4490901,0.23322201,0.108600624,-0.048582982,0.31229824,0.29936767,0.2345615,0.0382092,0.3059261,0.22655715,0.43257654,0.26621217,0.14966707,0.18038262,0.28158188,0.6820069,0.36659548,0.16501331,0.033876527,0.34530476,0.42303476,0.12551211,0.28464603,0.5658154,0.17162398,0.22029631,0.52884644,0.3493665,0.098740764,-0.01165536,0.27899718,0.2251666,0.415622,0.2877848,0.28187957,-0.01767828,0.29177058,0.037720207,0.112689495,0.1831296,0.034588005,0.44029367,0.12755585,0.38359693,-0.12225064,0.41523096,-0.030894514,0.38972878,0.100938454,0.19467457,0.1350398,0.21177584
38,21.84575,6.626349,7.5559525,1.9407028,2.022176,1.966302,1.5325456,1.3674715,0.8693539,0.39546588,0.6627004,1.3809421,0.9698984,0.5688999,0.29915908,0.4243532,0.5935906,0.3374332,0.3574062,0.8742135,0.88875645,0.413168,0.1393565,0.5816819,0.4396228,0.28178257,0.075385764,0.018601991,0.5910908,0.9842464,0.26042542,0.0721851,0.7645068,0.37460053,0.52156085,0.34331757,0.18182135,-0.11079134,0.22039218,0.32620037,0.58585227,0.21749358,0.4511905,0.43782866,0.28697306,0.34971076,0.5649311,0.23666398,0.30872595,0.18608376,0.060705878,-0.044287514,-0.043996867,0.0005901903,0.4322895,-0.066394806,-0.05046411,-0.2011487,0.42122567,0.04275544,0.10390237,0.584816,0.2738194,0.25263,0.31281707,0.28553438,0.4459453,0.032000978,-0.20879579,0.51615703,-0.018460773,0.47215784,0.055206932,-0.25001606,-0.14240167,-0.051044233,-0.21435031,0.005240638,0.1154533,0.46119183,-0.16854587,0.4933225,0.19629104,0.46187866,0.07971096,0.098347336,0.16922271,-0.037882116,0.030299867,0.24306366,0.66530925,0.35997844,0.6018238,0.075205214,0.24421446,0.38517568,-0.14752771,0.09921467,0.13266066,0.68139935
39,20.944462,7.4120235,8.235714,1.9010786,1.6203309,2.2312977,1.7457978,1.6172782,0.7950365,0.5898618,0.7396676,1.3751868,1.006375,0.70124936,0.6759603,0.55793965,0.83830655,0.56707776,0.51035637,0.8898894,0.8175953,0.59623426,0.13361798,0.32455456,0.20465451,0.323874,0.5065155,0.39198595,0.5728002,0.6415281,0.099030204,0.045519624,0.5562856,0.26522145,0.56694865,0.15835272,0.052630536,0.18475503,0.20231038,0.37230137,0.55150634,0.26948237,0.3137672,0.3157136,0.14823271,0.4140687,0.6882601,0.29390204,0.3736959,0.21673295,-0.063111186,0.17541455,0.28844386,-0.029467694,0.39528626,-0.14779522,0.10205756,-0.022213142,0.43867677,0.10909012,-0.14398205,0.34267673,0.217802,0.2057949,0.4299301,0.22692738,0.2652711,0.3683856,-0.012884076,0.17256747,0.17049435,0.5180971,0.2151749,0.17692053,0.042661093,-0.05621115,-0.04833062,-0.048946183,0.0848832,0.25268623,-0.02292765,0.5565062,0.15790506,0.26965663,0.12787738,0.07357089,0.203742,0.08639964,0.032489944,0.2899192,0.22048336,0.1530733,0.45816284,0.17785116,0.2053648,0.5338028,0.16097914,0.09740545,0.20125741,0.25961632
40,21.01818,7.2611384,6.3064,1.854773,1.693711,1.8090777,1.1699473,1.2103136,0.9010267,0.7056796,0.65368086,1.1283835,0.8703743,0.71912116,0.49800953,0.6184919,0.728217,0.3559993,0.30222917,0.7908577,0.72980046,0.5675218,0.27096432,0.45971376,0.34329072,0.24830839,0.1836393,0.14407447,0.6101851,0.56407624,0.2380705,0.15509503,0.46389285,0.35580558,0.44932017,0.31759822,0.12372638,0.02386179,0.25718173,0.30832544,0.5755089,0.16052519,0.4591955,0.474773,0.23357156,0.34869245,0.49096802,0.2006567,0.20955081,0.2314691,0.10511062,0.04749898,0.21380964,0.00933419,0.44619757,-0.046608858,0.16596207,-0.09360032,0.51789415,0.13745645,0.002510367,0.43760163,0.14509085,0.35621434,0.3179835,0.28732157,0.32270887,0.17687222,-0.006182966,0.20118879,0.12900731,0.37687817,0.05036526,-0.0044537894,0.02351192,0.12442029,-0.08178318,0.051664658,0.18373449,0.33860397,0.13306111,0.46162218,0.28170025,0.17744705,0.17436856,0.13129318,0.17580119,0.08898332,0.07820718,0.25388482,0.40059495,0.30990055,0.30100095,0.042585496,0.26221073,0.37897524,-0.021168787,0.15520173,0.122771844,0.4870487
