,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
4,519.3803,3110.371,1202.6104,72.54799,250.13602
5,715.39,3895.0632,1328.274,-94.66716,151.2395
6,1118.3779,2517.6357,1043.011,158.95804,281.24832
7,1315.6506,2433.5955,936.5971,6.986998,303.48935
8,1613.4983,2063.1626,876.3383,63.45198,436.67566
9,1209.2781,1493.3684,739.29834,165.24326,351.4291
10,435.83932,461.14813,974.05347,301.21368,559.8695
11,193.1113,381.29913,1120.4559,645.295,763.72784
12,219.94879,343.31494,981.9225,693.3115,760.129
13,201.45752,355.37943,1013.8897,863.127,835.1638
14,213.89513,353.27927,1037.646,902.8758,854.04724
15,239.3374,387.01974,680.49854,1154.1573,541.35345
16,259.2456,441.48422,881.08435,1626.1973,589.1886
17,126.39001,274.34775,428.1618,793.2062,328.69672
18,187.50377,516.55457,874.49603,1665.0082,390.63458
19,219.03845,514.9743,1143.0627,2138.3901,525.0548
20,206.77638,477.87012,1117.2855,2019.1755,497.5845
21,214.24858,480.9278,1152.9636,2037.521,530.5981
22,224.56706,475.81638,1052.7114,1775.2098,579.03076
23,245.25703,506.0277,1029.0054,1671.1804,632.60614
24,238.25766,510.0119,1046.1785,1731.091,603.6482
25,319.20303,745.5988,1363.1946,2151.9724,786.1652
26,336.67117,721.5975,1297.0687,2186.5972,820.11804
27,367.42087,829.1009,1511.2284,2313.5344,944.8169
28,479.0678,974.97845,1523.3191,2198.9758,1127.2058
29,466.03854,986.16705,1631.5758,2159.7268,1124.2035
30,470.42395,970.7193,1590.6788,2213.9402,1136.7334
31,497.08328,1025.0814,1523.7234,2092.2292,1114.2631
32,500.72882,1042.8442,1508.3757,2064.7263,1097.1062
33,504.50906,1077.2706,1797.3955,2491.634,1244.2806
